"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume"
"2013-12-05",71.37,71.37,69.66,70.08,1512964
"2013-12-12",69.94,70.35,69.41,70.09,1107879
"2013-12-19",69.8,69.93,69.15,69.48,1386235
"2013-12-26",69.98,70.32,69.55,70.1,502554
"2014-01-02",70.02,70.22,68.84,69.24,1070520
"2014-01-09",76.95,78.06,76.62,77.45,2750093
"2014-01-16",80.61,81.05,80.18,80.47,934069
"2014-01-23",78.01,78.48,77.18,77.24,2023097
"2014-01-30",78.19,78.39,77,77.59,1449716
"2014-02-06",75.73,77.69,75.61,77.59,1164389
"2014-02-13",78.6,79.64,78.41,79.44,1562666
"2014-02-20",80.17,81,80.06,80.6,1016445
"2014-02-27",81.94,82.01,81.18,81.39,911759
"2014-03-06",82.96,83.92,82.66,83.85,1102428
"2014-03-13",83.36,83.48,81.92,82.27,985107
"2014-03-20",81.59,82.7,80.85,82.47,884360
"2014-03-27",82.36,82.75,81.79,82.06,1181327
"2014-04-03",85.04,85.24,83.98,84.89,1197096
"2014-04-10",80.78,81.99,79.31,80.11,2139647
"2014-04-17",79.43,81,78.71,80.78,1788536
"2014-04-24",80.53,80.61,79.26,79.46,974230
"2014-05-01",79.9,81.45,79.48,81.26,1041921
"2014-05-08",79.04,80.36,78.89,79.27,1008694
"2014-05-15",79.81,80.1,78.49,79.86,1288351
"2014-05-22",82.65,83.21,82.51,82.83,574457
"2014-05-29",83.21,84.1,83.18,83.78,797435
"2014-06-05",84.05,84.31,83.4,83.52,632768
"2014-06-12",83.35,84.26,82.47,82.79,866824
"2014-06-19",86.61,87.59,86.36,86.53,1775239
"2014-06-26",88.42,88.5,87,88.1,1388437
"2014-07-03",91.1,91.59,90.5,91.15,1998514
"2014-07-10",88.92,90.29,88.8,89.92,1391683
"2014-07-17",86.95,87.24,86.13,86.21,999319
"2014-07-24",87.26,87.41,86.49,87.25,948807
"2014-07-31",84.3,84.48,82.97,83.26,1473482
"2014-08-07",84.1,84.33,83.07,83.31,589413
"2014-08-14",85.58,85.92,85.07,85.57,506968
"2014-08-21",87.88,87.9,87.35,87.46,502246
"2014-08-28",87.2,87.3,86.67,87.08,442012
"2014-09-04",86.73,87.48,86.43,87.07,1035378
"2014-09-11",86.04,86.48,85.5,86.41,748723
"2014-09-18",87.55,87.88,87.15,87.78,458585
"2014-09-25",87.7,88.08,86.76,86.76,853167
"2014-10-02",83.81,85.93,82.34,84.4,5603105
"2014-10-09",87.28,87.73,86.29,86.38,2745292
"2014-10-16",81.53,82.86,80.7,82.08,1972555
"2014-10-23",87.4,87.95,86.95,87.2,1055944
"2014-10-30",89.06,89.62,88.75,89.41,596132
"2014-11-06",92.45,93.57,92.35,93.53,778307
"2014-11-13",94.2,94.69,92.87,93.37,950354
"2014-11-20",93.88,94.42,93.42,93.88,702429
"2014-12-04",94.01,94.52,93.69,94.18,655749
"2014-12-11",92.57,93.62,92.18,92.46,683770
"2014-12-18",94.28,95.41,93.89,95.41,1221270
"2015-01-08",108.34,109.24,106.59,107.64,3615220
"2015-01-15",109.36,109.38,107.7,108.18,1056383
"2015-01-22",111.19,111.5,109.6,111.4,2453882
"2015-01-29",110.79,111.87,110.15,111.78,1170066
"2015-02-05",112.5,112.96,112,112.66,810803
"2015-02-12",113.57,114.45,112.89,113.51,967445
"2015-02-19",114.66,115.01,114.24,114.78,583660
"2015-02-26",114.14,115.95,114.05,115.78,614933
"2015-03-05",114.57,115.07,113.4,113.82,571843
"2015-03-12",115.99,118.15,115.72,117.99,1285692
"2015-03-19",117,117.01,115.54,116.04,622694
"2015-03-26",114.81,115.74,114.08,114.81,631687
"2015-04-02",116.56,118.06,115.93,117.75,967897
"2015-04-09",119.19,121.88,118.5,120.06,1954360
"2015-04-16",117.54,118.24,117.08,117.36,639580
"2015-04-23",115.46,116.87,115.25,116,844420
"2015-04-30",116.13,116.93,115.74,115.94,1314875
"2015-05-07",114.9,116,114.65,115.31,1286699
"2015-05-14",116.5,117.58,116.19,117.51,1037832
"2015-05-21",119.26,119.99,118.43,119.01,595988
"2015-05-28",118.24,119.31,117.91,119.03,502345
"2015-06-04",121.17,121.37,119.33,119.55,710368
"2015-06-11",122.08,122.13,120.82,121.03,680970
"2015-06-18",120.32,120.74,119.38,120.27,1247207
"2015-06-25",118.18,118.75,117.59,117.67,1149369
"2015-07-02",116.88,118.74,116.32,117.09,1635303
"2015-07-09",117.39,117.76,115.45,115.54,813355
"2015-07-16",117.28,117.79,116.75,117.54,762667
"2015-07-23",119.36,119.58,117.34,117.56,642306
"2015-07-30",117.73,119.61,116.56,119,753719
"2015-08-06",123.98,124.5,123.43,124.18,1255110
"2015-08-13",125.67,128.04,125.11,127.53,1891265
"2015-08-20",128.59,129.8,128.29,128.67,1342079
"2015-08-27",126.11,127.82,125.02,127.04,1715790
"2015-09-03",129.44,130.29,128.64,129,1371609
"2015-09-10",125.88,127.84,125.73,127.41,883996
"2015-09-17",131.19,132.2,130.13,130.41,1403732
"2015-09-24",127.34,127.83,126.3,127.12,585233
"2015-10-01",125.15,127.77,124.57,127.7,1532840
"2015-10-08",134.51,136.84,133.47,136.69,1986658
"2015-10-15",134.49,135.73,134.01,134.93,1384700
"2015-10-22",136.91,137.93,136.5,137.81,1298491
"2015-10-29",135.56,135.57,134.11,135.11,625120
"2015-11-05",133.43,134,132.87,133.26,580603
"2015-11-12",134.3,134.91,133.38,133.38,957885
"2015-11-19",137.98,138.5,137.26,137.46,795363
"2015-12-03",141.99,142.66,140,140.5,961438
"2015-12-10",140.24,141.34,139.35,139.98,910038
"2015-12-17",143,143.44,139.89,139.89,1072795
"2015-12-24",143.46,143.73,142.92,143.03,248464
"2015-12-31",143.31,144.31,142.27,142.44,780112
"2016-01-07",149.5,154.31,147.11,149.61,4601919
"2016-01-14",143.9,144.54,141.25,143.25,1860913
"2016-01-21",144.97,146.2,142.36,143.45,1710025
"2016-01-28",146.76,152.46,146.7,151.82,2443789
"2016-02-04",149.5,150.05,145.44,146.95,3019070
"2016-02-11",137.33,137.74,134.4,135.61,1740398
"2016-02-18",142.17,142.48,139.56,140.33,1186690
"2016-02-25",139.66,143.69,137.57,143.64,1910844
"2016-03-03",143.57,144.54,141.1,144.45,1146307
"2016-03-10",141.58,141.74,139.74,140.5,1080045
"2016-03-17",144.54,147.16,144.18,146.84,1247914
"2016-03-24",149.29,150.26,149.05,149.9,1452593
"2016-03-31",151.58,152.23,150.64,151.09,1349670
"2016-04-07",160.04,160.39,156.4,157.37,2549597
"2016-04-14",156.06,158.21,155.87,156.84,1237788
"2016-04-21",156.19,156.85,154.96,155.16,1188139
"2016-04-28",155.68,157.19,155.06,155.58,782465
"2016-05-05",158.43,159.4,157.77,159.19,1279896
"2016-05-12",163.22,163.42,161.34,161.9,1055940
"2016-05-19",154.26,156.16,154.08,156.09,1161680
"2016-05-26",157.22,158.1,156.55,157.95,763866
"2016-06-02",153.56,154.72,152.84,154.15,1008343
"2016-06-09",154.21,154.42,153.01,154.1,1136984
"2016-06-16",154.88,156.84,154.5,156.76,970184
"2016-06-23",155.01,156.03,154.11,155.99,1200488
"2016-06-30",164.4,166.22,162.35,165.4,4467692
"2016-07-07",166,166.56,165.58,166.01,1438297
"2016-07-14",164,164.99,162.57,162.91,1001202
"2016-07-21",165.33,165.84,164.47,165.39,949133
"2016-07-28",163.15,164.01,162.31,163.59,815091
"2016-08-04",163.21,164.08,162.89,163.62,681017
"2016-08-11",166.47,167.43,165.07,165.14,635009
"2016-08-18",165.29,165.9,164.96,165.27,1056964
"2016-08-25",166.65,167.58,166,166.69,868908
"2016-09-01",163.87,165.13,163.87,164.8,623289
"2016-09-08",166,166.42,164.12,165.55,1073811
"2016-09-15",163,166.94,163,166.47,1361118
