"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2014-11-19",130.59,132.74,130.25,131.61,5037575
"2014-11-20",130.94,132.4,130.71,131.7,4052829
"2014-11-21",132.72,133.36,132.51,132.78,4227147
"2014-11-24",133.45,134.74,133.44,134.61,4161488
"2014-11-25",134.74,135.6,134.74,134.81,4301649
"2014-11-26",134.95,135.3,134.39,134.78,2660270
"2014-11-28",135.51,135.78,134.04,134.36,2089964
"2014-12-01",134.31,134.4,132.2,132.39,3473742
"2014-12-02",132.5,132.96,131.75,132.28,2904938
"2014-12-03",132.65,133.28,131.43,131.97,4627532
"2014-12-04",131.97,132.52,130.92,131.32,2805880
"2014-12-05",131.72,132.62,131.53,132.21,2580216
"2014-12-08",132.02,132.07,129.87,130.28,2862356
"2014-12-09",128.56,129.72,127.74,129.66,3085085
"2014-12-10",128.81,128.98,124.54,124.64,6651721
"2014-12-11",125.22,125.65,123,123.37,6702054
"2014-12-12",122.24,122.27,120.58,120.77,6661058
"2014-12-15",121.4,122.88,120.6,122.08,6238775
"2014-12-16",125.04,125.54,123.91,124.25,7919932
"2014-12-17",124.28,125.38,123.42,125.06,6726507
"2014-12-18",127.13,127.35,124.77,125.67,6485926
"2014-12-19",125.63,127.42,125.5,126.23,7680805
"2014-12-22",126.73,128.54,126.73,128.22,3189253
"2014-12-23",129.04,130.65,128.65,130.03,4028939
"2014-12-24",130.3,132.33,130.17,131.24,2125345
"2014-12-26",131.29,131.93,130.23,131.63,2242857
"2014-12-29",131.72,132.73,131.17,132.29,2718379
"2014-12-30",132,132.28,131.52,131.83,2447665
"2014-12-31",132.25,132.3,129.86,129.98,2712384
"2015-01-02",131.07,131.84,129.09,129.95,4294241
"2015-01-05",129.66,129.92,128.61,129.05,5024782
"2015-01-06",129.05,129.62,126.18,127.53,4992814
"2015-01-07",128.74,129.97,128.72,129.51,3573197
"2015-01-08",130.6,131.98,130.4,131.8,4503399
"2015-01-09",131.59,132.26,130.93,131.54,3056368
"2015-01-12",132.24,132.26,129.95,130.87,3552653
"2015-01-13",132,133.91,130.17,131.17,3441654
"2015-01-14",129.03,131.29,128.95,130.38,3559535
"2015-01-15",130.25,131.83,129.7,130.14,3901990
"2015-01-16",129.75,131.02,129.11,130.78,4425638
"2015-01-20",131.45,132,129.45,131.22,3143746
"2015-01-21",130.87,132.87,130.57,132.41,2898621
"2015-01-22",133.38,136.21,133.05,135.64,4971293
"2015-01-23",135.57,135.78,134.6,134.62,3828329
"2015-01-26",135,135.25,133.53,134.07,3900544
"2015-01-27",132.4,132.99,130.74,132.48,5243868
"2015-01-28",136.3,141.88,135.92,139.64,14355109
"2015-01-29",139.69,148.25,139.63,147.78,15161711
"2015-01-30",146.22,146.85,144.37,145.37,11271116
"2015-02-02",143.72,146.59,143.05,146.26,6790894
"2015-02-03",146.37,148,146.18,147.34,5978190
"2015-02-04",145.97,148.39,145.93,147.22,4766204
"2015-02-05",147.26,148.87,146.46,148.6,4252602
"2015-02-06",148.62,148.89,147.7,148,4398762
"2015-02-09",146.16,148.16,145.63,147.58,4203329
"2015-02-10",148.2,148.71,147.5,148.04,4034851
"2015-02-11",147.51,148.38,147.09,147.92,3272669
"2015-02-12",148.26,148.57,147.68,148.09,2998941
"2015-02-13",147.98,149.84,147.64,149.73,3418587
"2015-02-17",148.72,149.96,148.52,149.92,3622369
"2015-02-18",149.7,151.62,149.37,151.17,3722117
"2015-02-19",151.05,154.24,151,153.75,4384014
"2015-02-20",153.8,158.83,153.8,158.31,9365978
"2015-02-23",155,155.92,153.36,154.74,8653655
"2015-02-24",153.5,154.78,153.21,154.38,4391701
"2015-02-25",154.3,154.74,152.14,153.01,4800528
"2015-02-26",152.31,152.38,150.81,151.73,5149342
"2015-02-27",151,151.89,150.45,150.85,4330678
"2015-03-02",150.75,154.15,150.75,153.8,4622793
"2015-03-03",154.71,156.91,154.17,155.57,8656618
"2015-03-04",154.62,155.22,154,154.35,4476188
"2015-03-05",154.86,155.98,154.31,154.47,3327492
"2015-03-06",153.92,155.03,152.81,153.12,3556216
"2015-03-09",153.3,155.61,153.15,154.75,3432956
"2015-03-10",153.3,154.13,152.42,152.42,3839572
"2015-03-11",152.51,152.69,151.17,151.17,3395401
"2015-03-12",151.28,152.92,151.28,152.04,2965067
"2015-03-13",151.89,152.39,149.79,151.57,3569581
"2015-03-16",152.39,154.19,152.27,153.67,2742901
"2015-03-17",152.88,155,152.73,154.51,2927179
"2015-03-18",154.04,155.99,152.11,155.73,4053609
"2015-03-19",154.91,155.33,153.66,154.11,2539041
"2015-03-20",155.04,155.49,154.48,154.5,4464270
"2015-03-23",154.98,154.98,152.81,152.81,3029723
"2015-03-24",151.96,152.62,151.35,151.65,3319274
"2015-03-25",151.4,152.04,148.13,148.23,3747926
"2015-03-26",147.83,148.85,145.96,148.17,3627403
"2015-03-27",148.59,149.31,147.49,148.85,2600252
"2015-03-30",150.08,153.17,149.98,152.7,3738731
"2015-03-31",152.23,152.25,149.94,150.08,2975622
"2015-04-01",149.97,150.02,146.82,148.64,4167631
"2015-04-02",149.14,150.5,148.31,149.28,2934194
"2015-04-06",148.15,151.45,148,150.93,3371457
"2015-04-07",151.27,153.5,151.14,152.32,4299482
"2015-04-08",152.19,153.5,152.19,153.36,2763398
"2015-04-09",152.62,153.67,151.63,153.42,3966815
"2015-04-10",153.55,154.96,153.25,154.38,3182990
"2015-04-13",153.79,155.5,152.96,153.24,3034047
"2015-04-14",152.93,153.54,151.59,153.21,2845971
"2015-04-15",154.37,154.37,152.21,152.43,3687428
"2015-04-16",151.66,152.53,151.05,151.97,2559883
"2015-04-17",150.88,151.43,149.44,149.6,4671622
"2015-04-20",151.06,153.55,151.01,152.67,3169131
"2015-04-21",153.51,154.09,152,153.33,3772879
"2015-04-22",152.36,153,148.85,151.19,8468924
"2015-04-23",150.83,150.83,149.73,149.87,4080811
"2015-04-24",149.54,149.86,148.02,148.4,4889228
"2015-04-27",148.59,149,147.71,147.8,4603511
"2015-04-28",147.9,148.37,146.01,147.51,4352892
"2015-04-29",147.07,147.45,145.9,146.15,4761676
"2015-04-30",145.25,145.94,142.75,143.34,4925252
"2015-05-01",144.41,145.07,143.84,144.67,3556817
"2015-05-04",143.85,144.79,143.18,144.02,8977535
"2015-05-05",143.76,144.7,142.27,142.91,3670396
"2015-05-06",143.01,143.15,140.43,141.04,5313484
"2015-05-07",140.56,142.18,140.48,141.49,4868673
"2015-05-08",143,145.94,142.98,145.46,7068011
"2015-05-11",145.55,146.79,145.13,145.89,3969023
"2015-05-12",144.94,146.08,144.01,145.43,3543850
