"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume"
"2012-07-05",59.18,59.25,58.44,58.51,1268302
"2012-07-12",58.87,59.8,58.63,59.56,1397050
"2012-07-19",60.84,60.98,60.32,60.75,1614304
"2012-07-26",61.4,61.59,60.68,61.05,1575613
"2012-08-02",61.77,62.19,61.36,62.19,1483295
"2012-08-09",59.12,59.99,59.12,59.79,2364870
"2012-08-16",59.75,60.21,59.46,60.17,1664902
"2012-08-23",57.68,57.83,57.13,57.22,3521117
"2012-08-30",58.14,58.43,58.07,58.31,1315385
"2012-09-06",59.07,59.34,58.87,59.2,1435043
"2012-09-13",58.5,59.44,58.48,59.36,1808121
"2012-09-20",57.39,57.68,57.02,57.27,5079166
"2012-09-27",57.86,57.99,57.57,57.69,2592823
"2012-10-04",59.6,59.89,59.42,59.58,2109558
"2012-10-11",59.86,59.86,59.32,59.39,1248034
"2012-10-18",59.37,60.59,59.37,60.53,1579199
"2012-10-25",59.23,59.44,58.2,58.75,1181460
"2012-11-01",59.51,59.7,59.02,59.37,1736457
"2012-11-08",59.07,59.24,58.53,58.65,2095479
"2012-11-15",58.8,59.2,58.45,58.78,2249285
"2012-11-29",59.36,59.44,58.44,59.01,2199183
"2012-12-06",59.1,59.6,59.1,59.59,1547512
"2012-12-13",59.41,59.83,58.51,58.73,1852219
"2012-12-20",59.22,60.25,59.13,60.25,1492831
"2012-12-27",60.38,60.88,59.87,60.73,1598361
"2013-01-03",61.22,61.58,60.95,61.4,1476033
"2013-01-10",62,62.06,61.6,61.99,1466033
"2013-01-17",61.8,62.32,61.65,62.07,1728408
"2013-01-24",62.95,63.24,62.78,62.9,1360314
"2013-01-31",62.78,62.92,62.3,62.84,2392120
"2013-02-07",62.14,62.29,61.77,61.95,1708211
"2013-02-14",62.67,62.78,62.33,62.45,1718325
"2013-02-21",64.12,64.22,63.75,64.05,1988930
"2013-02-28",64.03,64.51,64.01,64.14,3112532
"2013-03-07",65.48,65.75,65.06,65.16,1376015
"2013-03-14",64.91,65.45,64.9,65.23,1528512
"2013-03-21",65.73,66.26,65.71,65.86,1591835
"2013-03-28",67.31,67.92,66.97,67.91,1716135
"2013-04-04",69.04,70.02,68.95,69.96,1626960
"2013-04-11",71.21,71.69,70.47,70.88,2019940
"2013-04-18",71.45,71.5,70.84,71.11,1449105
"2013-04-25",73.71,74.03,73.3,73.47,2314987
"2013-05-02",75.15,76,75.08,75.58,1222011
"2013-05-09",73.58,74.94,73.55,74.7,14182854
"2013-05-16",77.05,77.4,76.69,77.02,2023985
"2013-05-23",76.42,76.42,74.2,74.32,3814079
"2013-05-30",69.73,70.56,69.29,69.42,2272878
"2013-06-06",67,67.95,66.47,67.93,2185555
"2013-06-13",65.16,67.16,65.01,66.96,2985534
"2013-06-20",65.07,65.07,61.85,62.1,3636155
