"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume"
"2014-02-06",75.93,76.79,75.76,76.46,1174040
"2014-02-13",80.15,80.81,79.85,80.59,1337023
"2014-02-20",80.89,81.68,80.52,81.43,1078476
"2014-02-27",81.81,83.15,81.71,82.95,1264626
"2014-03-06",81.76,82.1,81.64,81.88,610734
"2014-03-13",80.36,80.99,78.73,79.09,1464285
"2014-03-20",79.26,80.03,78.68,79.96,1268478
"2014-03-27",79.41,79.56,78.5,79.08,672575
"2014-04-03",82.09,82.17,81.51,81.61,835039
"2014-04-10",80,80.67,78.39,78.39,949976
"2014-04-17",81.73,82.3,81.45,81.92,1781757
"2014-04-24",84,86.01,83.83,85.53,4079674
"2014-05-01",85.69,86.51,85.5,85.99,1190598
"2014-05-08",85.86,87.1,85.68,86.4,810047
"2014-05-15",85.54,85.72,84.19,84.99,1022893
"2014-05-22",86.02,86.88,85.91,86.13,666730
"2014-05-29",87.42,87.75,86.49,87.18,638057
"2014-06-05",86.61,87.76,86.03,87.58,1185214
"2014-06-12",87.42,87.44,86.76,87.12,952447
"2014-06-19",88.37,88.59,87.86,88.38,589263
"2014-06-26",87.75,87.83,86.52,87.26,616850
"2014-07-03",88.19,88.7,87.98,88.65,612160
"2014-07-10",86.1,86.47,85.81,86.09,1082800
"2014-07-17",85.73,85.99,84.92,85.01,1200154
"2014-07-24",86.14,86.56,84.92,85.02,1524007
"2014-07-31",88.97,88.97,87.41,87.45,1280652
"2014-08-07",87.16,87.61,86.57,86.86,777630
"2014-08-14",89.45,90.12,89.31,90.04,710473
"2014-08-21",91.63,91.91,90.96,91.56,676777
"2014-08-28",90.42,90.91,89.78,90.78,377847
"2014-09-04",91.37,92.14,91.12,91.29,660523
"2014-09-11",91.58,92.33,91.46,92.12,1067701
"2014-09-18",92.4,93.56,92.14,93.46,2068031
"2014-09-25",91.52,91.52,90.26,90.31,866970
"2014-10-02",87.55,87.89,86.55,87.26,686837
"2014-10-09",86.26,86.33,84.02,84.17,1380951
"2014-10-16",80.05,83.07,80.02,82.88,1408149
"2014-10-23",88.55,89.88,88.19,88.98,1926200
"2014-10-30",90.92,92.59,90.57,92.07,772129
"2014-11-06",93.58,94.59,93.28,94.4,1106641
"2014-11-13",96.18,96.55,95.51,95.86,805671
"2014-11-20",94.47,95.66,94.36,95.2,682462
"2014-12-04",95.05,95.29,94.33,94.84,1236494
"2014-12-11",95,95.85,94.65,94.93,1126807
"2014-12-18",95.53,96.42,95.16,96.41,1088632
"2015-01-08",94.66,96.45,94.66,96.43,1029409
"2015-01-15",94.3,94.32,91.62,91.73,1307912
"2015-01-22",93,94.11,92.1,93.87,1280906
"2015-01-29",93.52,95.99,92.66,95.57,3271413
"2015-02-05",96.14,96.59,95.89,96.16,1108882
"2015-02-12",97.04,97.4,96.36,97.28,1269545
"2015-02-19",97.97,98.65,97.58,98.28,589944
"2015-02-26",99.04,99.25,98.1,98.64,792365
"2015-03-05",97.47,97.7,97.13,97.62,634886
"2015-03-12",95.52,96.62,95.34,96.47,750055
"2015-03-19",96.02,96.47,95.27,95.87,1265628
"2015-03-26",94.71,95.15,94.12,94.86,896806
"2015-04-02",95.58,96.47,95.28,95.61,546298
"2015-04-09",96.68,96.75,95.53,96.39,460568
"2015-04-16",96.66,97.45,96.2,97.17,928731
"2015-04-23",100.31,101.06,99.31,99.77,2748078
"2015-04-30",99.16,99.58,98.54,98.7,1598114
"2015-05-07",102.03,102.75,101.38,102.37,1486715
"2015-05-14",104.16,104.28,103.85,104.04,1005563
"2015-05-21",103.57,104.1,103.31,103.88,763648
"2015-05-28",103.25,103.48,102.86,103.34,531739
"2015-06-04",103.4,103.65,102.69,103.07,1503806
"2015-06-11",106.78,107.24,106.3,106.79,1478430
"2015-06-18",104.79,106.83,104.79,106.56,785907
"2015-06-25",106.38,106.73,105.57,105.7,778133
"2015-07-02",107.75,107.85,107.09,107.71,1110973
"2015-07-09",107.71,107.93,105.8,105.82,961695
"2015-07-16",107.89,108.03,107.14,107.21,907184
"2015-07-23",106.35,107.13,106.1,106.35,756427
"2015-07-30",109.61,111.18,104.34,104.51,3568164
"2015-08-06",105.45,105.95,104.75,105.2,952437
"2015-08-13",103.71,104.82,103.54,104.5,890096
"2015-08-20",105.11,105.43,104.5,104.56,1409157
"2015-08-27",99.21,100.96,98.57,100.73,1871526
"2015-09-03",99.11,100.15,98.85,99.29,827114
"2015-09-10",98.85,99.6,98.19,98.73,713683
"2015-09-17",106.78,106.78,100.71,100.95,1094074
"2015-09-24",97.54,98.42,96.84,98.26,1145258
"2015-10-01",96.94,97.39,95.72,96.62,1149549
"2015-10-08",100.06,102.42,99.38,101.74,972548
"2015-10-15",98.71,99.12,97.61,98.73,1057514
"2015-10-22",105,106.15,102.15,105.47,3641561
"2015-10-29",107.12,107.32,105.54,106.46,1063651
"2015-11-05",107.37,107.88,106.53,107.11,1679893
"2015-11-12",105.82,106.93,104.81,105.06,1061087
"2015-11-19",107.13,107.69,106.77,107.34,983194
"2015-12-03",109.74,109.96,107.73,108.29,1126637
"2015-12-10",108.2,109.28,108.02,108.57,1206726
"2015-12-17",109.63,109.84,107.46,107.54,1755536
"2015-12-24",106.84,107.19,106.31,106.95,338358
"2015-12-31",106.81,107.56,106.55,106.73,636929
"2016-01-07",99.12,100.37,98.28,98.41,1439430
"2016-01-14",96.63,98.38,95.29,97.82,1321920
"2016-01-21",93.66,94.95,92.48,92.85,1928389
"2016-01-28",90.27,93.55,89.01,91.82,5059001
"2016-02-04",95.11,98.25,95,96.11,2063105
"2016-02-11",89.76,90.99,88.72,90.14,1816499
"2016-02-18",92.89,93.34,92,92.61,1297865
"2016-02-25",94.05,95.08,93.5,95.07,816941
"2016-03-03",96.63,97.69,96.2,97.51,913487
"2016-03-10",99.03,99.58,97.47,98.35,943661
"2016-03-17",99.8,102.02,99.72,101.71,1280240
"2016-03-24",102.59,103.51,102.18,103.51,1208635
"2016-03-31",105.29,105.64,104.75,105.21,881165
"2016-04-07",104.83,105.76,104.37,104.77,805357
"2016-04-14",109.47,109.62,108.01,108.96,1045850
"2016-04-21",109.9,113.16,109.38,112.27,3149139
"2016-04-28",112.27,113.49,111.81,112.41,1188860
"2016-05-05",110.64,110.96,110.01,110.36,1269449
"2016-05-12",113.42,113.95,112.64,113.65,888634
"2016-05-19",112.4,112.62,111.07,112.33,795690
"2016-05-26",114.32,114.54,113.39,113.62,627643
"2016-06-02",113.5,113.98,113.03,113.98,477368
"2016-06-09",113.55,114.49,112.96,114.37,477487
"2016-06-16",111.61,112.23,110.55,112.02,645019
"2016-06-23",114.71,115.05,114.26,115.05,397667
"2016-06-30",108.63,111.22,108.25,111.22,1520649
"2016-07-07",111.9,113.31,111.9,112.97,792526
"2016-07-14",118.06,118.47,117.34,117.46,585904
"2016-07-21",116.59,116.88,114.4,114.97,1739449
"2016-07-28",122.2,122.43,121.13,122.17,631290
"2016-08-04",121.95,122.92,121.72,122.5,759294
"2016-08-11",123.59,123.85,123.13,123.47,1044781
"2016-08-18",122.21,122.45,121.98,122.21,532518
"2016-08-25",121.53,122,121.01,121.79,488954
"2016-09-01",123.64,124.07,122.8,123.57,694837
"2016-09-08",122.51,122.88,122.22,122.36,632590
"2016-09-15",119.88,121.64,119.88,121.38,793553
