"","V.Open","V.High","V.Low","V.Close","V.Volume"
"2015-04-23",68.2,68.22,67.52,67.72,7193418
"2015-04-30",67.18,67.5,65.42,66.05,11780629
"2015-05-07",65.58,66.78,65.54,66.58,6660325
"2015-05-14",68.96,70.03,68.85,70,6491067
"2015-05-21",69.55,69.87,69.28,69.37,6483841
"2015-05-28",69.48,69.78,68.8,69.56,3894955
"2015-06-04",68.63,69.14,68.02,68.21,6460018
"2015-06-11",69.7,70.02,69.42,69.64,5238730
"2015-06-18",68.9,69.84,68.88,69.5,7596781
"2015-06-25",69.38,69.38,68.51,68.62,4705090
"2015-07-02",68.15,68.32,67.62,68.24,5053044
"2015-07-09",67.65,67.94,67.02,67.05,4837767
"2015-07-16",70.43,70.59,69.97,70.57,6512488
"2015-07-23",72.2,72.25,71.2,71.75,10755749
"2015-07-30",75.89,76.76,75.24,76.38,6506995
"2015-08-06",75.3,75.42,73.55,73.58,7767766
"2015-08-13",73.43,74.42,73.38,73.93,5992012
"2015-08-20",73.56,74.53,72.81,73.95,11982232
"2015-08-27",71.94,72.49,70.8,72.4,8930268
"2015-09-03",70.45,71.08,69.99,70.4,8993956
"2015-09-10",69.5,70.65,69.46,70.23,7214869
"2015-09-17",71.3,72.32,70.5,70.96,7557624
"2015-09-24",70.35,70.63,69.64,70.24,8232718
"2015-10-01",70.09,70.77,68.98,69.99,8669603
"2015-10-08",73,73.93,72.83,73.9,5684685
"2015-10-15",74.96,75.41,74.58,75.34,6804964
"2015-10-22",75.89,76.85,75.64,76.42,8997243
"2015-10-29",78.59,78.71,77.93,78.51,7615810
"2015-11-05",78.42,79.71,78.42,79.26,9341951
"2015-11-12",78.86,79.15,78.14,78.31,8811877
"2015-11-19",80.6,81.01,79.85,80.15,6073750
"2015-12-03",79.36,79.77,78.08,78.29,8689600
"2015-12-10",77.91,79.11,77.62,78.12,8717058
"2015-12-17",79.98,80.28,78.63,78.69,7555339
"2015-12-24",78.35,78.71,78.18,78.26,2188783
"2015-12-31",78.24,78.8,77.55,77.55,6538335
"2016-01-07",73.76,75.09,73.35,73.79,12470822
"2016-01-14",73.15,74.52,72.66,73.8,10310705
"2016-01-21",70.72,72.33,70.1,71.56,11929754
"2016-01-28",71.42,71.85,69.33,69.33,15193082
"2016-02-04",74.1,74.63,72.76,73.68,14701204
"2016-02-11",67.79,69.07,67.42,68.47,13878929
"2016-02-18",71.89,72.25,71.02,71.24,6898858
"2016-02-25",71.96,73.34,71.94,73.27,6839192
"2016-03-03",74.48,74.5,73.36,73.91,6587516
"2016-03-10",71.14,71.4,69.58,70.22,10034748
"2016-03-17",72.28,73.67,72.17,73.14,7383701
"2016-03-24",73.65,74.16,73.41,74.14,6073415
"2016-03-31",76.62,76.92,75.95,76.48,7450182
"2016-04-07",77.71,77.98,77.19,77.58,7518540
"2016-04-14",79.76,80.67,79.31,80.33,11469619
"2016-04-21",81.5,81.67,80.68,80.79,9225179
"2016-04-28",78.35,79.27,77.6,77.68,7805385
"2016-05-05",77.14,77.7,77.01,77.36,5990712
"2016-05-12",77.8,78.19,77.07,77.89,7487066
"2016-05-19",76.87,77.25,76.22,76.88,5522965
"2016-05-26",79.4,79.4,78.87,79,4277990
"2016-06-02",79.27,79.95,78.93,79.95,5627533
"2016-06-09",81.23,81.54,80.98,81.26,6670927
"2016-06-16",77.89,78.52,77.14,78.35,9650828
"2016-06-23",77.76,78.24,76.87,78.23,13566150
"2016-06-30",76.99,77.14,73.8,74.17,24877318
"2016-07-07",74.32,75.29,74.27,74.51,8806656
"2016-07-14",78.06,78.54,77.69,78.14,6607383
"2016-07-21",79.44,79.73,78.4,78.79,9227274
"2016-07-28",78.69,80,78.55,79.19,8709660
"2016-08-04",78.83,79.65,78.75,79.48,5954363
"2016-08-11",80,80.28,79.84,80.12,6577663
"2016-08-18",80.01,80.59,79.91,80.27,7453931
"2016-08-25",80.29,80.52,80,80.32,5773650
"2016-09-01",81.14,81.55,80.97,81.3,6240551
"2016-09-08",83.02,83.63,82.59,82.97,7961076
"2016-09-15",81.42,82.13,81.19,82.01,10636516
