"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume"
"2013-01-17",51.96,52.23,51.86,52.13,371160
"2013-01-24",52.69,53.15,52.69,53.1,652698
"2013-01-31",53.34,53.53,53.31,53.38,1221534
"2013-02-07",53.76,53.79,53.3,53.58,443409
"2013-02-14",54.45,54.63,54.31,54.33,810240
"2013-02-21",54.8,54.93,54.55,54.59,490585
"2013-02-28",55.24,56.01,55.14,55.94,804430
"2013-03-07",57.31,57.53,57.01,57.03,398834
"2013-03-14",57.11,57.17,56.83,57,606329
"2013-03-21",56.9,57.04,56.57,56.71,342419
"2013-03-28",57.17,57.96,57.11,57.89,880034
"2013-04-04",57.55,58.01,57.55,57.97,516841
"2013-04-11",58.91,59.3,58.71,59.27,733492
"2013-04-18",58.52,58.81,58.08,58.54,1179552
"2013-04-25",60.48,61.09,60.29,60.76,1850395
"2013-05-02",60.79,60.79,60.1,60.52,624281
"2013-05-09",60.68,60.75,59.18,59.48,1230745
"2013-05-16",60.15,60.22,59.84,60.06,1213169
"2013-05-23",58.78,58.78,57.48,58.48,721422
"2013-05-30",56.6,57.73,56.43,56.9,1105068
"2013-06-06",55.65,56.38,55.46,56.38,417702
"2013-06-13",56.18,57.38,55.88,57.32,563719
"2013-06-20",53.89,53.94,52.04,52.25,2191557
"2013-06-27",54.95,56.27,54.9,55.13,1657525
"2013-07-11",57.61,58.02,57.4,57.97,677922
"2013-07-18",58.93,59.96,58.78,59.82,608493
"2013-07-25",58.48,59.57,58.42,59.5,618559
"2013-08-01",59.28,59.58,58.96,59,685128
"2013-08-08",57.85,58.26,57.56,58,580751
"2013-08-15",56.19,56.54,55.62,55.66,347998
"2013-08-22",54.25,54.65,54.09,54.36,316856
"2013-08-29",54.51,54.73,53.86,54.35,905499
"2013-09-05",52.87,52.93,52.23,52.27,1005468
"2013-09-12",53.66,54.02,53.01,53.45,2168436
"2013-09-19",55.74,56.02,55.5,55.81,658037
"2013-09-26",55.2,55.69,54.94,55.06,465708
"2013-10-03",54.84,54.84,54.12,54.48,780364
"2013-10-10",55.27,55.82,54.62,55.77,581826
"2013-10-17",55.57,56.76,55.11,56.67,464727
"2013-10-24",57.79,58.03,57.45,57.79,2404803
"2013-10-31",57.2,57.2,54.2,56.03,1944320
"2013-11-07",56.22,56.47,55.46,55.66,1053109
"2013-11-14",54.66,55.9,54.61,55.72,1407921
"2013-11-21",54.2,54.76,53.98,54.54,755339
"2013-12-05",53.17,53.17,52.68,53.08,940693
"2013-12-12",52.66,53.39,52.6,52.79,1395820
"2013-12-19",53.52,53.69,52.64,53.1,879536
"2013-12-26",53.18,53.29,52.9,53,564436
"2014-01-02",53,53,52.04,52.05,1210532
"2014-01-09",52.34,52.64,52.05,52.52,908559
"2014-01-16",52.6,52.84,52.5,52.8,608352
"2014-01-23",53,53.02,52.36,52.65,1160350
"2014-01-30",51.45,52.26,51.37,52.2,850451
"2014-02-06",51.39,52.17,51.3,52.11,873066
"2014-02-13",53.52,54.11,53.51,54.02,1585321
"2014-02-20",54.37,55.22,54.37,55.1,796043
"2014-02-27",55.04,55.28,54.8,55.27,1344216
"2014-03-06",54.48,54.51,53.88,54.05,1382820
"2014-03-13",54.29,55.28,54.2,54.93,1291017
"2014-03-20",53.95,54,53.29,53.55,735671
"2014-03-27",54.23,54.54,54.05,54.5,526151
"2014-04-03",54.23,54.66,54,54.58,682411
"2014-04-10",55.46,55.93,54.9,55,1002651
"2014-04-17",56.33,56.74,55.78,55.94,624709
"2014-04-24",55.63,56.19,55.23,56.17,757495
"2014-05-01",55.62,56.23,55.23,55.95,1039151
"2014-05-08",55.98,56.21,55.53,55.81,1471496
"2014-05-15",55.16,55.21,54.78,54.93,782957
"2014-05-22",54.5,55.06,54.5,54.94,326829
"2014-05-29",54.84,55.2,54.55,54.86,545675
"2014-06-05",54.77,55.28,54.63,55.19,419699
"2014-06-12",53.79,54.07,53.04,54.05,520829
"2014-06-19",55.94,56.61,55.77,56.56,740038
"2014-06-26",56.54,56.75,56.23,56.31,711122
"2014-07-03",56.52,56.63,56.02,56.44,744929
"2014-07-10",56.52,57.11,56.46,56.94,445811
"2014-07-17",55.75,56.03,55.59,55.59,444893
"2014-07-24",56.8,56.98,56.61,56.82,475737
"2014-07-31",54.91,55.48,53.28,53.49,1674693
"2014-08-07",52.28,52.91,52.21,52.57,755250
"2014-08-14",53.55,54.4,53.55,54.35,768997
"2014-08-21",55.09,55.52,55.08,55.42,749043
"2014-08-28",56.35,56.84,56.3,56.58,816959
"2014-09-04",56.27,56.42,55.91,56.06,690488
"2014-09-11",56.26,57.42,56.05,57.21,1379369
"2014-09-18",57.23,57.4,56.13,56.24,994742
"2014-09-25",55.51,55.78,55,55,1122735
"2014-10-02",54.84,55.33,54.69,54.95,604077
"2014-10-09",56.94,57.52,55.97,55.97,1147744
"2014-10-16",56.91,57.43,56.16,57.09,1031141
"2014-10-23",58.91,59.44,58.61,59.1,495538
"2014-10-30",59.33,60.55,59.27,60.52,818808
"2014-11-06",62.79,62.84,61.23,61.79,1305256
"2014-11-13",62,62.1,61.09,61.23,619998
"2014-11-20",61.91,62.44,61.53,61.95,423062
"2014-12-04",65.33,66.23,65.16,65.86,1563266
"2014-12-11",65.34,66.31,65.34,65.87,832591
"2014-12-18",66.15,67.31,65.79,67.29,731411
"2015-01-08",70.21,70.73,69.96,70.12,1212050
"2015-01-15",70.13,70.76,69.64,70.6,464039
"2015-01-22",72.95,73.31,71.83,72.47,568233
"2015-01-29",70.48,72.35,70.26,71.44,2087870
"2015-02-05",70.13,70.36,69.57,69.82,1025321
"2015-02-12",67.05,67.49,66.55,66.94,759213
"2015-02-19",66.67,66.8,65.61,65.83,685855
"2015-02-26",65.09,65.18,64.25,64.4,986559
"2015-03-05",63.26,63.92,63.12,63.53,645842
"2015-03-12",62.08,63.29,61.8,63,503845
"2015-03-19",64.59,65.43,63.93,63.99,734714
"2015-03-26",63.05,63.49,62.29,62.56,697529
"2015-04-02",64.07,64.34,63.57,63.66,890986
"2015-04-09",63.11,63.12,62.36,62.61,797031
"2015-04-16",62.98,63.02,62.13,62.71,770274
"2015-04-23",62.91,63.7,62.84,63.45,519665
"2015-04-30",62.06,62.1,60.78,61.2,1123637
"2015-05-07",59.47,60.08,59.37,59.74,854436
"2015-05-14",58.72,59.42,58.72,59.38,659122
"2015-05-21",60.93,61.22,60.56,61.09,486095
"2015-05-28",61.14,61.39,60.84,61.18,472879
"2015-06-04",58.19,58.95,58.19,58.47,553364
"2015-06-11",57.52,57.93,57.44,57.82,714195
"2015-06-18",57.88,58.59,57.71,58.06,1070832
"2015-06-25",56.78,56.91,56.23,56.31,603642
"2015-07-02",57.93,58.55,57.24,58.32,944111
"2015-07-09",60.44,60.72,59.43,59.68,1039023
"2015-07-16",60.2,61.28,60.2,61.17,1185626
"2015-07-23",60.26,60.26,59.16,59.69,749550
"2015-07-30",60.31,62.23,59.55,61.27,1275740
"2015-08-06",60.83,61.54,60.32,61.51,810628
"2015-08-13",63.5,64.07,62.94,63.86,527210
"2015-08-20",64.17,65.23,63.92,64.34,977143
"2015-08-27",60.78,60.8,59.9,60.78,1328375
"2015-09-03",58.16,58.68,58.02,58.27,717390
"2015-09-10",59.15,59.69,58.88,59.06,963034
"2015-09-17",61,62.47,60.94,61.77,544548
"2015-09-24",62.06,62.82,61.6,62.63,973757
"2015-10-01",64.16,64.35,62.88,63.44,887083
"2015-10-08",62.8,64.22,62.62,64.06,688825
"2015-10-15",65.16,65.98,64.76,65.78,534805
"2015-10-22",66.03,67.02,65.4,66.64,742033
"2015-10-29",63.68,64.25,62.43,63.17,1502145
"2015-11-05",64.99,65.34,64.65,64.71,764167
"2015-11-12",63.27,63.92,62.06,62.08,1350659
"2015-11-19",62.35,62.94,62.02,62.87,767010
"2015-12-03",61.62,61.94,60.93,61.11,2126482
"2015-12-10",62.96,62.96,60.99,61.21,1193298
"2015-12-17",63.57,64.12,63.37,63.59,1109689
"2015-12-24",64.44,64.54,63.95,64.29,185369
"2015-12-31",65.05,65.1,63.78,64.48,517684
"2016-01-07",63.88,64.62,63.7,64.47,839550
"2016-01-14",63.84,65.28,63.64,64.81,849904
"2016-01-21",63.9,64.17,62.72,63.26,821660
"2016-01-28",64.45,65.12,62.82,64.67,789878
"2016-02-04",69.64,69.83,68.61,68.83,1313034
"2016-02-11",68.43,68.99,67.54,67.58,821362
"2016-02-18",66.94,68.02,66.56,67.47,1542551
"2016-02-25",70.55,71.4,70.12,71.21,692019
"2016-03-03",68.59,68.59,67.55,68.48,987570
"2016-03-10",70.74,71.81,69.91,71.37,1779442
"2016-03-17",72.55,73.5,72.26,73.39,784612
"2016-03-24",73.04,73.7,72.72,73.49,553450
"2016-03-31",74.68,75.15,74.49,75.07,860848
"2016-04-07",73.98,74.6,73.57,74.11,577810
"2016-04-14",74.01,74.38,73.63,73.76,723569
"2016-04-21",72.68,72.95,70.81,71.07,843984
"2016-04-28",70.89,71.9,70.75,71.58,1138016
"2016-05-05",73.52,74.33,72.92,73.22,629311
"2016-05-12",73.72,74.65,73.39,74.44,670081
"2016-05-19",70.5,71.46,70.11,71.41,495915
"2016-05-26",72.1,73.03,71.74,72.87,596099
"2016-06-02",74.16,74.3,73.4,74.26,1014048
"2016-06-09",76,77.28,76,77.17,642432
"2016-06-16",76.85,77.69,76.82,77.51,707504
"2016-06-23",77.2,77.31,76.66,77.31,469335
"2016-06-30",79.3,81.08,79.03,81.06,1088528
"2016-07-07",82.32,82.32,80.69,80.95,1057188
"2016-07-14",79.33,79.87,79.12,79.35,699400
"2016-07-21",78.88,79.78,78.58,79.66,566067
"2016-07-28",78.04,78.64,77.79,78.49,478156
"2016-08-04",78.09,78.85,77.85,78.15,625953
"2016-08-11",77.73,77.89,77.42,77.7,508307
"2016-08-18",76.44,77.69,76.44,77.69,714244
"2016-08-25",76.62,77.04,76.56,76.73,374677
"2016-09-01",74.91,75.34,74.58,74.81,482227
"2016-09-08",76.7,77.32,76.48,76.85,511739
"2016-09-15",74.44,75.41,74.32,75.33,528626
