"","ANTM.Open","ANTM.High","ANTM.Low","ANTM.Close","ANTM.Volume"
"2012-09-06",59.34,59.72,59.05,59.72,2343336
"2012-09-13",58.1,58.27,57.04,58.19,4540067
"2012-09-20",58.86,59.03,58.15,58.96,2144141
"2012-09-27",57.84,58.29,57.6,58.07,1781581
"2012-10-04",60.78,62.43,60.55,62.16,7739431
"2012-10-11",61.93,63.1,61.8,62.79,3139799
"2012-10-18",61.63,63.63,61.62,62.93,3245219
"2012-10-25",62.13,62.7,62.04,62.23,2071118
"2012-11-01",61.29,62.05,60.97,61.73,2329978
"2012-11-08",57.85,58.03,55.82,56.01,4579100
"2012-11-15",54.41,55.2,54.25,54.64,2993354
"2012-11-29",54.96,55.81,54.82,55.64,4185048
"2012-12-06",56.12,56.64,55.88,56.62,1850394
"2012-12-13",59.21,59.6,58.67,59.02,2511432
"2012-12-20",60.22,61.52,60.1,61.51,2427008
"2012-12-27",61.06,61.22,59.94,60.48,1819248
"2013-01-03",60.24,60.24,58.75,58.93,3351941
"2013-01-10",62.35,62.37,61.36,62.24,3315824
"2013-01-17",62.13,62.62,61.92,62.42,2008250
"2013-01-24",64.61,65.9,64.1,65.69,2701133
"2013-01-31",65.22,65.28,64.71,64.82,1717655
"2013-02-07",65.56,65.81,64.94,65.7,1387605
"2013-02-14",63.07,64.02,62.63,63.29,2622120
"2013-02-21",62.6,63.16,62.1,62.71,2014695
"2013-02-28",62.42,62.76,61.78,62.18,3174105
"2013-03-07",62.6,63,62.57,62.7,1353106
"2013-03-14",64.99,65.28,64.5,65.18,1364781
"2013-03-21",63.65,64.23,63.42,63.63,1819697
"2013-03-28",65.71,66.33,65.4,66.23,2121481
"2013-04-04",68.15,69.25,67.94,68.49,1915596
"2013-04-11",69.48,70.14,69.26,70.06,1999079
"2013-04-18",68.2,68.41,66.68,67.18,2505052
"2013-04-25",73.65,74.27,73.18,73.75,3121339
"2013-05-02",72.62,73.63,72.53,73.42,2354548
"2013-05-09",74.67,75.49,74.51,75.39,1526942
"2013-05-16",77.42,77.8,76.79,76.84,1578410
"2013-05-23",77.21,78.1,77.05,77.98,1315416
"2013-05-30",78.01,79.6,77.77,79.38,1484508
"2013-06-06",75.39,76.44,75.02,76.44,1230460
"2013-06-13",77.84,79.03,77.12,78.93,1157202
"2013-06-20",77.81,79.27,77.4,77.48,2717835
"2013-06-27",80.46,81.85,80.4,81.7,1817530
"2013-07-11",85.45,85.6,84.75,85.41,1711514
"2013-07-18",85.18,87.08,85.18,86.43,3141989
"2013-07-25",86.5,86.88,85.32,85.9,2333146
"2013-08-01",86.03,86.61,85.98,86.37,1190454
"2013-08-08",87.36,88.49,87.17,87.74,1788740
"2013-08-15",86.08,86.66,85.24,85.42,1582039
"2013-08-22",85.8,86.55,85.52,86.2,977704
"2013-08-29",84.75,86.16,84.65,85.46,1677410
"2013-09-05",87.26,88.08,87.14,87.87,1328853
"2013-09-12",89.09,89.47,88.36,88.46,1594327
"2013-09-19",84.45,85.01,82.44,82.53,3622613
"2013-09-26",83.64,84.76,83.57,84.11,1597976
"2013-10-03",86.34,87.1,85.83,86.48,1746796
"2013-10-10",86.47,88.48,86.29,88.43,1670198
"2013-10-17",87.74,88.78,86.9,88.59,1961893
"2013-10-24",85.68,86.64,83.13,83.6,3476443
"2013-10-31",84.8,85.47,84.06,84.8,3230873
"2013-11-07",87.97,88.5,86.43,86.46,2228818
"2013-11-14",88.22,89.53,87.65,89.49,2901010
"2013-11-21",92.7,93.49,91.85,92.08,2409014
"2013-12-05",91.18,91.73,89.68,89.78,2032838
"2013-12-12",89.18,89.82,88.35,88.69,1915983
"2013-12-19",88.75,88.9,88.06,88.75,1287810
"2013-12-26",91.8,92.49,91.5,92.15,941784
"2014-01-02",92,92.01,90.62,90.63,1432038
"2014-01-09",90.69,93.09,90.69,93,2073305
"2014-01-16",88.13,88.13,85.4,85.56,4882684
"2014-01-23",86.39,86.72,85.27,85.79,2490805
"2014-01-30",87.06,89.04,86.14,87.76,3954673
"2014-02-06",85.67,86.67,84.65,86.58,2062640
"2014-02-13",84.03,85.67,84.03,85.31,2246174
"2014-02-20",87.77,88.21,86.99,87.71,2402938
"2014-02-27",89.19,89.87,88.9,89.28,1967745
"2014-03-06",90.75,92,90.75,91.52,2448489
"2014-03-13",93.79,93.99,93.22,93.27,3576538
"2014-03-20",98.87,100.4,98.4,99.71,3667221
"2014-03-27",99.91,99.99,97.26,97.7,3514776
"2014-04-03",98.58,99.41,98.26,99.24,2893207
"2014-04-10",97.01,97.74,95.12,95.74,3984668
"2014-04-17",92.1,92.88,90.75,92,4584765
"2014-04-24",95.57,97.17,95.57,96.54,2031263
"2014-05-01",100.68,101.76,99.91,100.77,2265953
"2014-05-08",104.67,104.96,103.07,103.28,2444988
"2014-05-15",105.45,105.75,104.18,104.93,1478319
"2014-05-22",107.23,107.69,106.57,107.34,1518546
"2014-05-29",108.07,108.65,107.61,108.55,1591759
"2014-06-05",108.73,108.87,107.16,107.26,2376250
"2014-06-12",107.68,107.68,106.8,107.1,2097471
"2014-06-19",106.49,107.85,106.32,107.69,1479370
"2014-06-26",108.83,109.36,107.41,108.12,1760671
"2014-07-03",110.67,111.01,109.19,110.16,1433875
"2014-07-10",110.37,111.27,109.68,110.76,1501360
"2014-07-17",111.93,115.52,111.93,113.44,3750915
"2014-07-24",115.72,116.17,114.9,115.25,1167479
"2014-07-31",109.56,111.9,106.88,109.81,5201282
"2014-08-07",111.67,111.86,107.07,107.29,2246198
"2014-08-14",111,112.84,110.65,112.48,1916884
"2014-08-21",113.48,114,112.86,113.12,1005740
"2014-08-28",115.31,116.74,115.3,116.25,1689027
"2014-09-04",117,119.05,116.76,118.01,1996323
"2014-09-11",119.21,120.18,118.62,119.95,1764853
"2014-09-18",120.48,122.19,120.34,122.16,1308458
"2014-09-25",123.71,123.87,120.5,120.69,1935681
"2014-10-02",118.36,119.21,116.87,118.45,1694082
"2014-10-09",120.03,120.89,118.54,118.93,1491355
"2014-10-16",111.25,114.33,110.54,111.92,3380060
"2014-10-23",120.32,120.64,119.33,119.77,2138420
"2014-10-30",122.2,123.75,121.02,123.29,2304984
"2014-11-06",127.42,127.98,126.85,127.8,1126082
"2014-11-13",126.57,128.19,125.91,126.63,1148603
"2014-11-20",125.47,126.58,125.17,126.25,1284005
"2014-12-04",128.39,129.49,126.56,127.64,1694585
"2014-12-11",123.96,126.19,123.78,125.4,1316917
"2014-12-18",125.76,127.83,124.29,127.71,1670597
"2015-01-08",126.02,131.8,126.02,131.55,1971082
"2015-01-15",132,134.93,131.94,134.09,1967922
"2015-01-22",140.74,143.38,139.52,142.86,2329598
"2015-01-29",134.62,137.37,133.76,137.1,1950356
"2015-02-05",135.5,138.37,135.4,137.23,2314611
"2015-02-12",142.56,142.56,140.78,142,1515774
"2015-02-19",141.99,142.9,141.69,142.65,1192455
"2015-02-26",146.63,147.34,146.23,146.72,1129524
"2015-03-05",146.5,147.7,146.26,146.85,1175695
"2015-03-12",145.28,147.56,145.12,147.46,1836593
"2015-03-19",157.78,158.1,156.41,157.32,2341882
"2015-03-26",154.18,154.42,152.64,152.82,1966784
"2015-04-02",154.18,155.08,153.54,153.95,1628355
"2015-04-09",154.37,154.72,152.74,153.49,1249254
"2015-04-16",155.35,155.43,153.96,154.93,1602908
"2015-04-23",152.3,154.53,152.05,154.2,889076
"2015-04-30",151.83,154.22,150.46,150.93,2032829
"2015-05-07",158.91,159.45,155.58,155.8,3969144
"2015-05-14",160.13,160.91,158.88,160,2106470
"2015-05-21",163,164.86,162.5,164.62,1123582
"2015-05-28",162.84,164.25,162.57,164.22,1251025
"2015-06-04",162.54,163.45,160.97,161.45,1174138
"2015-06-11",164.53,165.33,163.74,163.97,1200762
"2015-06-18",165.49,167.06,164.95,165.24,1275588
"2015-06-25",167.73,170.58,165.9,170.34,2724664
"2015-07-02",165.79,165.79,162.62,163.14,1559205
"2015-07-09",161.29,161.98,158.58,158.58,1675326
"2015-07-16",159.43,160.06,157.01,157.6,1551337
"2015-07-23",156.6,157.12,154.01,155.21,2284446
"2015-07-30",156.03,157.05,152.62,154.89,3408137
"2015-08-06",154.72,155.95,152.18,152.44,1423151
