"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume"
"2014-02-06",77.86,78.69,77.58,78.12,1609233
"2014-02-13",81.32,83.1,81,82.48,1845924
"2014-02-20",82.09,82.86,81,82.81,1280270
"2014-02-27",85.6,86.83,85.6,86.81,1816488
"2014-03-06",87.79,88.9,87.7,87.97,1312611
"2014-03-13",85.62,86.18,84.02,84.45,1864370
"2014-03-20",84.34,85.56,84.31,85.5,997851
"2014-03-27",84.35,84.86,83.65,84.39,1344487
"2014-04-03",87.57,88.54,86.74,87.18,967351
"2014-04-10",86.48,86.65,84.08,84.12,975089
"2014-04-17",88.25,89.09,87.81,88.58,1469556
"2014-04-24",89.19,89.19,86.86,87.31,1859238
"2014-05-01",87.04,87.32,85.78,85.98,1047554
"2014-05-08",86.3,87.22,84.89,85.32,1111268
"2014-05-15",85.5,85.74,83.63,83.92,1464715
"2014-05-22",84.83,85.46,84.68,85.08,1020939
"2014-05-29",86.74,88.28,86.33,88.03,902337
"2014-06-05",90.17,90.19,88.67,89.51,1110029
"2014-06-12",88.99,89.58,88.22,88.38,758249
"2014-06-19",88.26,88.49,87.35,87.55,833661
"2014-06-26",87.32,87.32,86.39,87.12,845881
"2014-07-03",88.3,88.68,88.11,88.55,412938
"2014-07-10",86.77,87.95,85.88,86.76,803516
"2014-07-17",86.02,86.64,85.63,86.12,1245680
"2014-07-24",88,88.44,87.8,87.97,812454
"2014-07-31",80.78,80.89,78.63,78.78,3219506
"2014-08-07",79.66,79.98,78.68,78.97,916682
"2014-08-14",81,81.24,80.77,81.08,457012
"2014-08-21",81.93,82.39,81.42,81.99,570522
"2014-08-28",81.29,82.61,81.22,82.45,1330773
"2014-09-04",82.9,83.65,82.47,82.57,944130
"2014-09-11",83.01,85.21,81.96,82.34,5640473
"2014-09-18",84.05,84.65,83.93,84.63,955992
"2014-09-25",83.72,83.94,82.22,82.22,1029627
"2014-10-02",78.78,78.99,77.35,78.57,1798241
"2014-10-09",78.24,78.35,76.05,76.06,1350629
"2014-10-16",72.03,74.57,72.03,74.34,1350514
"2014-10-23",78.37,78.88,77.27,78,1364464
"2014-10-30",74.01,76,74,75.77,1922064
"2014-11-06",82.22,83.65,81.6,82.46,1593937
"2014-11-13",84.28,84.29,83.07,83.57,737369
"2014-11-20",84.98,86,84.77,86,1220213
"2014-12-04",84,84.19,82.77,83.22,1553946
"2014-12-11",75.98,77.25,75.45,75.71,1774804
"2014-12-18",73.59,74.81,73.05,74.78,1753781
"2015-01-08",73.91,75.33,73.51,75.32,2302925
"2015-01-15",71.32,71.4,69.75,69.8,2437774
"2015-01-22",71.84,72.6,71.18,72.48,1722661
