"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume"
"2012-12-20",23.98,24.19,23.56,24.11,2868315
"2012-12-27",23.76,23.81,23.14,23.19,2672121
"2013-01-03",23.95,25.17,23.92,24.93,6693888
"2013-01-10",25.77,25.88,24.9,25.39,6139922
"2013-01-17",26.23,26.24,25.6,25.76,3477682
"2013-01-24",25.32,26.37,25.19,25.54,7241844
"2013-01-31",24.02,24.3,23.81,24.15,4312024
"2013-02-07",25.27,25.82,25.15,25.72,4362398
"2013-02-14",26.11,26.19,25.26,25.87,6112247
"2013-02-21",26.27,26.28,25.67,25.91,3829670
"2013-02-28",26.96,27.18,26.64,26.71,3412031
"2013-03-07",29.3,29.97,29.11,29.61,5676789
"2013-03-14",30.78,31.25,30.56,31.17,3709690
"2013-03-21",32.17,32.6,32.04,32.3,4449502
"2013-03-28",32.28,32.6,31.94,32.01,2512043
"2013-04-04",28.76,29.32,28.69,29.3,3252831
"2013-04-11",29.8,30.67,29.8,30.27,2849664
"2013-04-18",30.91,30.93,29.99,30.23,4273165
"2013-04-25",31.18,31.88,30.63,30.89,5523754
"2013-05-02",32.02,32.69,31.8,32.6,2257167
"2013-05-09",33.34,33.67,32.45,32.56,3335393
"2013-05-16",34.6,34.97,34,34.5,4349040
"2013-05-23",32.88,34.37,32.78,34.36,3578950
"2013-05-30",33.07,33.53,32.58,32.64,2792938
"2013-06-06",31.21,31.46,29.67,30.67,7387594
"2013-06-13",32.1,32.8,31.82,32.66,4300773
"2013-06-20",31.56,31.6,30.88,31.16,2909940
"2013-06-27",30.93,31.42,30.47,31.36,2489239
"2013-07-11",31.29,31.34,30.05,30.84,4631607
"2013-07-18",33.69,34.84,33.58,34.49,4860173
"2013-07-25",35.07,35.44,33.03,34.3,7160069
"2013-08-01",35.06,35.94,34.96,35.31,3237608
"2013-08-08",34.44,34.91,34.03,34.81,4028344
"2013-08-15",30.04,30.43,29.47,30.1,6363988
"2013-08-22",29.78,30.48,29.78,30.11,4666413
"2013-08-29",28.54,28.94,28.25,28.5,5217133
"2013-09-05",29.29,29.9,29.26,29.7,3873153
"2013-09-12",32.74,32.96,31.62,31.69,4147738
"2013-09-19",33.26,33.91,33.12,33.79,3281303
"2013-09-26",34.2,34.39,33.64,34.07,2344279
"2013-10-03",31.04,31.67,30.65,31.65,3631634
"2013-10-10",30.48,30.7,30.03,30.12,4195880
"2013-10-17",29.92,31.26,29.91,31.15,5740046
"2013-10-24",30.72,32.11,29.63,31.3,9376607
"2013-10-31",33.82,34.12,33.25,33.95,4739527
"2013-11-07",34.66,35.01,33.89,33.99,4015432
"2013-11-14",36.1,37.03,36.1,36.5,3734319
"2013-11-21",37.05,37.74,36.97,37.11,3059110
"2013-12-05",37.51,37.74,36.73,36.79,3489069
"2013-12-12",36.39,37.93,36.39,37.62,5804454
"2013-12-19",37.42,37.69,36.64,37.27,2399262
"2013-12-26",37.91,38.33,37.61,38.07,2518629
"2014-01-02",37.7,38.13,37.5,37.73,2228357
"2014-01-09",44.13,46.19,43.71,43.8,24475709
"2014-01-16",46.08,47.24,46.04,47.21,4673466
"2014-01-23",48.1,48.74,47,48.43,11051405
"2014-01-30",45.97,46.75,45.76,46.43,4303662
"2014-02-06",43.64,45.93,43.64,45.03,4084094
"2014-02-13",43.99,45.14,43.68,45.1,3666490
"2014-02-20",43.33,45.85,43.33,45.69,5218664
