"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume"
"2015-05-28",52.77,52.97,52.21,52.89,4203765
"2015-06-04",53.4,54.1,53.4,53.81,6045840
"2015-06-11",56.27,56.57,55.97,56.07,6726541
"2015-06-18",56.42,56.99,55.98,56.74,5969564
"2015-06-25",57.58,57.61,56.82,56.86,3600520
"2015-07-02",56.39,57.01,55.88,56.16,4033156
"2015-07-09",55.39,55.64,54.78,55.02,6256442
"2015-07-16",57.74,58.13,57.44,57.7,5760826
"2015-07-23",57.25,57.55,56.6,56.75,4304009
"2015-07-30",56.14,56.87,55.72,56.83,6703371
"2015-08-06",55.67,55.92,55.24,55.51,3826163
"2015-08-13",54.44,54.67,54.07,54.37,4410438
"2015-08-20",53.14,53.29,51.91,51.91,7354226
"2015-08-27",49.41,50.51,49.23,50.4,9294534
"2015-09-03",49.05,49.68,48.75,48.96,5617363
"2015-09-10",48.3,49.05,47.91,48.7,4944332
"2015-09-17",49.5,49.64,47.52,47.78,9127677
"2015-09-24",45.84,46.57,45.56,46.43,6617510
"2015-10-01",47.56,47.62,46.64,47.44,6239421
"2015-10-08",47.94,48.79,47.82,48.62,5089877
"2015-10-15",47.78,48.41,47.46,48.4,4850119
"2015-10-22",49.42,50.17,49.42,49.68,4879274
"2015-10-29",51.18,51.5,50.77,50.99,4268210
"2015-11-05",49.26,50.1,48.95,49.9,9761044
"2015-11-12",49.88,50.14,49.4,49.46,4665920
"2015-11-19",50.93,51.21,50.39,50.75,5741679
"2015-12-03",51.2,51.23,49.78,50.06,7832755
"2015-12-10",48.63,49.57,48.4,48.87,6976934
"2015-12-17",48.85,48.92,47.31,47.47,8432877
"2015-12-24",48.2,48.54,48.1,48.27,1670882
"2015-12-31",48.25,48.83,48.1,48.21,4116433
"2016-01-07",43.31,43.46,42.31,42.51,14022946
"2016-01-14",43.61,44,42.39,43.5,9100585
"2016-01-21",42.32,43.53,42.13,42.7,8700488
"2016-01-28",43.76,44.04,43.18,43.78,5785740
"2016-02-04",40.62,40.84,39.27,39.75,17509833
"2016-02-11",35.55,35.74,35,35.21,14469483
"2016-02-18",39.32,39.45,38.95,39.2,7778070
"2016-02-25",38.61,39.43,38.41,39.42,5317553
"2016-03-03",42.01,42.46,41.76,42.39,4497471
"2016-03-10",42.2,42.93,41.61,42.25,6604443
"2016-03-17",43.76,44.26,43.15,44.08,7445351
"2016-03-24",42.8,42.8,41.7,42.3,8488280
"2016-03-31",44.87,45.1,43.85,43.94,7872548
"2016-04-07",42.49,42.68,41.52,41.92,7464671
"2016-04-14",44.23,44.99,44.09,44.85,4954068
"2016-04-21",46.32,46.73,46.06,46.12,4799544
"2016-04-28",46.31,46.61,45.58,45.73,5945114
"2016-05-05",42.47,43.6,42.2,42.81,8424301
"2016-05-12",43.74,43.92,43.15,43.51,4518857
"2016-05-19",44.58,45.17,43.81,44.31,5502408
"2016-05-26",45.99,45.99,45.03,45.08,4810852
"2016-06-02",45.63,45.71,45.3,45.71,3743230
"2016-06-09",44.25,44.31,43.63,43.78,6005711
"2016-06-16",41.45,42.28,41.04,42.22,6669323
"2016-06-23",43.38,44.18,43.2,44.17,5636409
"2016-06-30",39.42,39.84,38.8,39.83,10107874
"2016-07-07",38.4,39.23,37.88,38.27,8384756
"2016-07-14",42.36,42.98,41.85,42.38,17183360
"2016-07-21",43.26,43.4,42.96,43.22,9623715
"2016-07-28",43.03,43.33,42.73,43.08,3764227
"2016-08-04",41.21,41.32,38.87,39.54,25464015
"2016-08-11",40.27,40.45,39.94,40.15,7735711
"2016-08-18",40.26,40.68,40.22,40.47,4446786
"2016-08-25",40.79,41.35,40.79,41.31,5565051
"2016-09-01",43.45,43.94,42.64,43.06,6620013
"2016-09-08",43.13,43.55,42.97,43.47,5134003
"2016-09-15",43.63,44.76,43.5,44.5,7654192
