"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume"
"2015-04-09",71.68,71.78,70.86,71.26,923507
"2015-04-16",71.05,72.67,71,72.49,1358941
"2015-04-23",75.7,76.72,75.7,76.27,1190136
"2015-04-30",74.61,74.91,73.23,73.78,2280975
"2015-05-07",75.17,75.57,74.55,75.24,1169860
"2015-05-14",76.68,78.44,76.31,78.36,1532249
"2015-05-21",76.91,77.87,76.64,77.64,723213
"2015-05-28",77.32,77.74,76.97,77.03,753931
"2015-06-04",75.56,75.97,74.99,75.14,1067789
"2015-06-11",74.65,74.99,73.88,74.05,903162
"2015-06-18",72.84,73.58,72.62,73.27,1121934
"2015-06-25",71.34,71.8,71.09,71.37,1462297
"2015-07-02",70.38,70.59,69.22,69.91,1142515
"2015-07-09",69.58,70.36,69.14,69.3,1561087
"2015-07-16",72.23,72.89,72.21,72.63,688206
"2015-07-23",72.94,74.18,72.56,73.51,1030067
"2015-07-30",72.68,75.95,72.23,74.96,4404556
"2015-08-06",75.98,76,73.94,74.42,1241561
"2015-08-13",73.82,74.5,73.47,73.84,1129548
"2015-08-20",72.3,72.57,69.77,69.78,2095985
"2015-08-27",69.09,70.89,68.53,70.5,2081759
"2015-09-03",71.86,74.71,71.54,73.26,2378559
"2015-09-10",73.28,75.03,73.19,74.55,1408916
"2015-09-17",74.88,75.4,74.07,74.64,1696913
"2015-09-24",70.28,70.4,69.02,69.39,1700606
"2015-10-01",69.06,69.44,68.14,68.96,1453232
"2015-10-08",73.12,73.91,72.85,73.8,957160
"2015-10-15",70.79,71.69,70.38,71.56,1074760
"2015-10-22",71.71,73.95,71.52,72.53,1502656
"2015-10-29",61.7,61.75,60.43,61.11,6356010
"2015-11-05",62.44,62.44,61.09,61.7,1520086
"2015-11-12",61.32,61.82,60.4,60.44,1377658
"2015-11-19",59.84,60,58.8,59.21,1369489
"2015-12-03",56.31,56.62,54.53,54.81,2509593
"2015-12-10",53.39,54.28,53.08,53.7,2067548
"2015-12-17",53.34,53.93,52.59,52.59,2272663
"2015-12-24",53.4,53.51,52.96,53.04,410229
"2015-12-31",52.84,53.42,52.61,52.63,1131956
"2016-01-07",49.34,50.7,48.16,48.19,4029624
"2016-01-14",45.98,47.26,45.1,46.91,2914985
"2016-01-21",46.33,47.82,45.8,46.21,3350301
"2016-01-28",44.85,45.21,43.28,43.47,2726344
"2016-02-04",44.41,45.28,43.87,44.64,2399488
"2016-02-11",47.13,49.44,46.5,49.14,5801181
"2016-02-18",54.83,54.83,53.07,53.28,3437913
"2016-02-25",54.92,55,54.15,54.96,2251459
"2016-03-03",55.83,55.89,55.2,55.64,2524406
"2016-03-10",55.24,55.43,53.9,54.64,3072663
"2016-03-17",55.48,56.08,55.28,56.06,1687437
"2016-03-24",54.65,55.13,54.39,54.84,1363288
"2016-03-31",55.06,55.73,54.7,55.57,1641308
"2016-04-07",54.5,55,53,53.28,1738269
"2016-04-14",51.53,52.34,51.13,51.67,1273999
"2016-04-21",51.36,51.71,51.03,51.36,1318837
"2016-04-28",54.48,54.81,52.29,52.41,2520391
"2016-05-05",49.77,50.04,49.09,49.51,2053313
"2016-05-12",51,51.74,50.5,51.12,1652601
"2016-05-19",50.68,51.29,50.06,50.68,837085
"2016-05-26",52.76,54.17,52.62,53.98,2333968
"2016-06-02",54.1,54.97,54.1,54.9,707489
"2016-06-09",54.63,55.5,54.16,55.44,1424082
"2016-06-16",52.8,53.81,52.35,53.71,1281228
"2016-06-23",55.24,57.17,55.12,57.17,2517337
"2016-06-30",54.79,55.94,53.99,55.93,1957599
"2016-07-07",55,55.38,54.68,54.94,989553
"2016-07-14",57.72,58.01,57.11,57.43,1611116
"2016-07-21",57.89,58.12,57.01,57.2,1486517
"2016-07-28",50.45,51.12,50.21,50.69,4725013
"2016-08-04",49.28,49.7,48.92,49.43,1939228
"2016-08-11",52.15,52.3,51.3,51.41,1582287
"2016-08-18",52.35,52.64,52,52.35,1108053
"2016-08-25",53.8,54.68,53.76,54.56,1971270
"2016-09-01",54.82,55.08,54.16,55.07,1770093
"2016-09-08",53.9,54.31,53.24,53.5,3483993
"2016-09-15",51.31,51.71,50.91,51.38,3071969
