"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume"
"2013-08-15",37.24,38.26,37.13,38.1,5132755
"2013-08-22",38.4,38.95,38.34,38.78,2220545
"2013-08-29",37.93,38.19,37.72,37.87,2483555
"2013-09-05",38.49,38.8,38.12,38.5,2729985
"2013-09-12",39.54,39.75,38.54,38.88,4297120
"2013-09-19",41.51,41.81,41.03,41.22,5737560
"2013-09-26",42.94,42.94,42.33,42.47,2853990
"2013-10-03",42.51,42.8,42.11,42.36,2838805
"2013-10-10",41.85,41.9,41.08,41.38,4694995
"2013-10-17",41.83,42.18,41.69,41.91,3030815
"2013-10-24",42.34,42.34,41.35,42.03,3847890
"2013-10-31",43.21,43.49,42.81,43.12,2515970
"2013-11-07",42.22,42.75,42.11,42.15,5122405
"2013-11-14",43.76,44,43.36,43.74,2553465
"2013-11-21",43.09,43.2,42.73,42.92,1924960
"2013-12-05",47.66,47.88,46.96,47.12,9026255
"2013-12-12",45.5,45.72,45.08,45.13,3031675
"2013-12-19",45.32,45.95,45.23,45.6,2484960
"2013-12-26",46.48,46.9,46.4,46.53,1268880
"2014-01-02",46.61,47.36,46.46,46.74,3460110
"2014-01-09",46.65,48.33,46.6,48,7461540
"2014-01-16",49.42,49.82,49.24,49.69,2134645
"2014-01-23",48.39,48.95,47.6,47.93,4231025
"2014-01-30",46.02,47.18,45.5,46.52,4243950
"2014-02-06",45.63,46.1,45.5,45.99,2893525
"2014-02-13",45.58,46.44,45.44,46.25,8174315
"2014-02-20",47.7,48.35,47.69,48.17,4620380
"2014-02-27",48.61,49.93,48.57,49.81,4751315
"2014-03-06",52.41,53.17,52.22,52.83,4220630
"2014-03-13",51.3,51.49,50.09,50.31,5756445
"2014-03-20",50.33,50.68,49.98,50.29,3136925
"2014-03-27",50.25,51.01,50.07,50.94,3617220
"2014-04-03",52.42,52.8,51.78,51.96,4240165
"2014-04-10",50.5,50.8,49,49.15,5645690
"2014-04-17",49.36,49.42,48.46,48.47,3128495
"2014-04-24",48.81,48.81,48,48.06,2679095
"2014-05-01",48.95,49.06,48.35,48.4,2867445
"2014-05-08",48.24,49.65,46.8,48.27,7675510
"2014-05-15",49.29,49.41,47.59,47.84,5513575
"2014-05-22",49.08,49.41,48.61,48.92,3803015
"2014-05-29",48.46,48.91,48,48.47,3621985
"2014-06-05",49.25,49.48,48.6,48.98,2515840
"2014-06-12",47.63,47.83,46.99,47.19,3154270
"2014-06-19",48.95,49.34,48.39,49.2,3479110
"2014-06-26",48.52,48.52,47.78,48.3,2135975
"2014-07-03",48.94,49.14,48.71,49.08,1533090
"2014-07-10",48.07,48.3,47.77,48.09,2348805
"2014-07-17",48.8,51.06,48.75,50.17,7625965
"2014-07-24",50.91,51.46,50.72,50.91,4598160
"2014-07-31",50.5,50.88,49.98,50.07,3499045
"2014-08-07",50.84,50.84,48.13,48.76,10106030
"2014-08-14",49.21,49.7,49.03,49.49,2964705
"2014-08-21",51.73,52.05,51.23,51.74,2769370
"2014-08-28",51.66,52.12,51.35,52.05,2332040
"2014-09-04",51.31,51.31,50.61,50.89,2156015
"2014-09-11",49.91,50.47,49.72,50.15,1855500
"2014-09-18",51.55,52.05,51.34,51.94,2781115
"2014-09-25",54.4,54.71,53.86,54.21,3924295
"2014-10-02",53.47,55.28,52.76,55.19,5590345
"2014-10-09",56.24,56.24,53.78,54.21,5076350
"2014-10-16",49.83,51.45,49.46,50.77,4666310
"2014-10-23",51.75,53.54,50.91,51.14,3068905
"2014-10-30",51.08,52.23,50.92,51.85,3104760
"2014-11-06",48.51,51.23,48.21,50.3,6183245
"2014-11-13",53.14,53.74,53.12,53.42,2950485
"2014-11-20",54.49,54.96,54.08,54.61,2701015
"2014-12-04",53.8,54.37,53.43,53.99,2744695
"2014-12-11",50.49,50.82,50.04,50.38,4560050
"2014-12-18",52.06,52.19,51.04,51.87,2969270
"2015-01-08",58.84,59.03,58.06,58.96,3931020
"2015-01-15",58.68,59.24,57.6,57.75,6182395
"2015-01-22",60.8,61.51,60.4,61.45,2893565
"2015-01-29",60.32,61.4,59.56,61.36,2644245
"2015-02-05",59.93,60.36,59.26,59.92,3119870
"2015-02-12",59.9,60.8,59.5,60.52,2420340
"2015-02-19",59.3,61.32,59,60.88,3865195
"2015-02-26",61.39,61.78,60.33,61.32,2459945
"2015-03-05",61,61.29,60.48,60.66,2231505
"2015-03-12",58.69,59.04,57.92,58.38,2364800
"2015-03-19",58.52,58.92,58,58.01,3446940
"2015-03-26",58.67,59.62,58.53,58.85,3369420
"2015-04-02",56.48,57.18,55.7,56.04,2750160
"2015-04-09",56.62,57.53,56.62,56.96,3001740
"2015-04-16",57,59.16,56.8,58.59,3795350
"2015-04-23",57.19,58.28,57.01,57.95,2699315
"2015-04-30",58.4,58.43,57.36,57.49,3720130
"2015-05-07",58.88,60.31,57.93,60.02,5851590
"2015-05-14",61.13,61.37,60.52,60.86,3494215
"2015-05-21",62.28,64.11,61.93,63.42,5430105
"2015-05-28",64.3,64.64,63.66,64.33,3170730
"2015-06-04",63.98,64.38,63.56,63.69,4402160
"2015-06-11",64.11,64.8,63.72,63.85,2527235
"2015-06-18",63.37,65.03,63.37,64.25,2588745
"2015-06-25",63.18,64.12,63.1,63.96,1939820
"2015-07-02",65.38,65.55,64.45,64.54,1818986
"2015-07-09",60.84,61.6,60.51,60.8,2407157
"2015-07-16",62.42,62.82,62.07,62.74,1322684
"2015-07-23",62.62,63.25,62.04,62.32,1355661
"2015-07-30",59.37,60.03,58.95,59.12,1081721
"2015-08-06",65.94,67.16,62.91,63,5808095
"2015-08-13",61.96,63.9,60.7,63.22,2861959
"2015-08-20",61.7,62.51,60.47,61.07,2102596
"2015-08-27",57.49,58.26,56.36,57.88,1953220
"2015-09-03",55.59,57.23,55.48,56.97,2438961
"2015-09-10",56.85,57.08,56,56.4,873162
"2015-09-17",54.7,55.74,53.72,53.85,2004173
"2015-09-24",47.27,47.73,45.5,46.42,5138701
"2015-10-01",44.97,45.44,44.03,44.8,2517420
"2015-10-08",51.73,53.32,51.4,52.86,2980993
"2015-10-15",52.82,53.65,51.87,53.41,2652400
"2015-10-22",52.56,53.99,52.27,53.7,2227976
"2015-10-29",52.21,52.21,51.03,51.3,1664464
"2015-11-05",48.61,48.98,45.7,46.84,9152054
"2015-11-12",46.93,47.84,46.67,47.11,2677596
"2015-11-19",48.95,49,46.44,46.57,4682256
"2015-12-03",45.35,46.67,45.25,45.86,3297629
"2015-12-10",43.09,43.7,42.1,42.24,1298675
"2015-12-17",41.31,42.05,40.53,41.24,3183578
"2015-12-24",44.09,44.36,43.2,43.25,1650081
"2015-12-31",40.75,41.29,40.47,40.81,2020126
"2016-01-07",35.31,36.66,33.69,34.14,5010640
"2016-01-14",31.97,33.15,31.17,32.62,3892968
"2016-01-21",29.18,31.11,29.12,30.27,5881736
"2016-01-28",30.22,30.5,29.4,30.33,3438074
"2016-02-04",30.2,30.83,29.6,30.59,5449673
"2016-02-11",26.91,29.42,26.29,29.04,5144836
"2016-02-18",33,34.49,32.73,34.37,7372716
"2016-02-25",32.13,33.65,31.57,33.16,4092738
"2016-03-03",35.26,36.39,34.86,36.19,3969640
"2016-03-10",35.38,35.42,32.89,33.64,4271436
"2016-03-17",34.48,35.19,33.99,35.05,3742761
"2016-03-24",32.44,32.44,31.45,31.94,4183464
"2016-03-31",31.91,32.18,30.8,31.34,4166261
"2016-04-07",29.1,29.65,28.75,29.19,5130121
"2016-04-14",30.59,30.94,30.15,30.59,4094749
"2016-04-21",35,35.84,34.19,34.24,3664416
"2016-04-28",33.12,35.17,32.69,34.32,3609154
"2016-05-05",31,32.04,30.02,30.79,7510871
"2016-05-12",30.29,30.42,27.58,27.85,5467814
"2016-05-19",28.63,29.22,28.23,28.74,3459545
"2016-05-26",29.96,30.15,28.86,28.96,6051072
"2016-06-02",27.64,28.27,27.5,27.98,6262357
"2016-06-09",30.59,30.59,29.47,29.79,4885963
"2016-06-16",27.4,27.8,26.55,27.59,4312964
"2016-06-23",27.19,27.66,26.83,27.64,4862538
"2016-06-30",24.36,24.84,23.63,24.1,4517829
"2016-07-07",23.91,24.32,23.38,23.5,3029785
"2016-07-14",27.46,28.32,27.33,27.87,7391378
"2016-07-21",26.74,27.07,26.2,26.29,3077920
"2016-07-28",25.12,25.18,24.35,24.66,3735677
"2016-08-04",22.72,22.95,20.77,21.43,25849258
"2016-08-11",21.37,22.27,21.23,22.26,6181084
"2016-08-18",23.27,23.33,22.58,22.74,5635054
"2016-08-25",23.94,24.59,23.94,24.23,4955289
"2016-09-01",26.11,26.18,25.47,25.6,4141140
"2016-09-08",25.4,26.47,25.39,25.96,5459455
"2016-09-15",23.94,24.4,23.57,24.09,5368066
