"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume"
"2015-11-12",84.16,84.63,83.53,83.96,222200
"2015-11-19",87.1,88.02,86.38,87.6,386376
"2015-12-03",88.26,88.7,86.72,86.8,415187
"2015-12-10",87.78,88.4,87.2,87.8,463887
"2015-12-17",91.53,92.18,90.15,90.35,518235
"2015-12-24",90.82,91.31,90.34,91.08,176038
"2015-12-31",92.07,92.74,90.8,90.81,504268
"2016-01-07",89.63,91.51,89.15,90.85,697989
"2016-01-14",89.27,90.2,88.62,89.39,792653
"2016-01-21",89.95,90.77,88.8,89.34,650378
"2016-01-28",92.62,93.44,91.16,91.93,493122
"2016-02-04",90.47,92.34,86.11,87.63,1655226
"2016-02-11",85.05,85.87,83.92,84.87,587512
"2016-02-18",89.26,91.69,88.47,91.41,804204
"2016-02-25",91.75,92.63,91.67,92.28,532458
"2016-03-03",94.66,94.66,92.77,94.09,501076
"2016-03-10",94.73,94.83,92.98,94.06,353505
"2016-03-17",99.44,101.22,99,100.98,499428
"2016-03-24",98.61,99.09,97.83,98.31,465974
"2016-03-31",101.22,102.42,100.64,102.21,571663
"2016-04-07",101.92,102.2,101.3,101.94,509938
"2016-04-14",98.95,99.4,96.13,96.13,817232
"2016-04-21",97.07,97.63,95.23,95.63,268709
"2016-04-28",96.38,97.3,96.16,96.56,229432
"2016-05-05",98.83,100.76,98.43,100.57,476219
"2016-05-12",100.9,102.08,99.87,101.87,566523
"2016-05-19",98.57,99.47,98.19,99.09,278542
"2016-05-26",101,101.7,100.44,100.91,617086
"2016-06-02",102.43,102.79,101.5,101.9,572868
"2016-06-09",98.2,98.74,97.83,98.48,700413
"2016-06-16",101.19,102.56,101.19,102.17,445124
"2016-06-23",102.78,103.03,102.11,102.33,431684
"2016-06-30",105.36,106.43,104.57,106.4,1340384
"2016-07-07",109.3,109.58,107.4,108.49,458525
"2016-07-14",108.54,108.54,105.82,106.07,565140
"2016-07-21",106.05,106.27,105.24,105.71,404469
"2016-07-28",103,104.52,101.44,103.8,534944
"2016-08-04",103.56,103.57,102.23,102.76,280322
"2016-08-11",103.17,104.22,100.56,101.42,553998
"2016-08-18",95.05,95.73,93.76,94.3,1566677
"2016-08-25",93.26,95.11,93,94.38,962521
"2016-09-01",93.99,95.45,93.58,95,620998
"2016-09-08",95.54,95.6,94.5,94.99,641470
"2016-09-15",92.83,93.17,92.14,92.74,581773
