"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume"
"2012-07-12",62.03,62.5,61.6,62.24,2272769
"2012-07-19",64.52,64.62,63.11,63.69,3404543
"2012-07-26",61.78,62.64,61.57,61.61,2720605
"2012-08-02",62.77,63.24,62.45,62.87,2202101
"2012-08-09",63.77,64.22,63.75,63.89,1660131
"2012-08-16",63.8,64.14,63.52,64.03,1267597
"2012-08-23",65.38,65.5,64.55,64.8,2192703
"2012-08-30",64.48,64.73,64.15,64.49,1381162
"2012-09-06",64.62,65.6,64.47,65.34,2504698
"2012-09-13",67.44,68.62,67.4,68.45,2474913
"2012-09-20",67.92,68.72,67.9,68.45,2170913
"2012-09-27",68.26,68.52,67.8,68.41,2032341
"2012-10-04",69.28,70,69.02,69.28,2156204
"2012-10-11",69.75,69.76,69.06,69.16,1665929
"2012-10-18",73.51,74.7,73.21,73.94,6328152
"2012-10-25",73.51,73.57,71.83,72.12,2804460
"2012-11-01",71.16,72.12,69.73,70.23,5295725
"2012-11-08",68.71,69.57,68.63,69,3039457
"2012-11-15",68.32,68.59,67.95,68.32,2315630
"2012-11-29",71.1,71.65,70.89,71.18,1498590
"2012-12-06",73.76,73.76,72.89,73.15,2500507
"2012-12-13",73.44,73.96,73.19,73.23,1952452
"2012-12-20",73.43,73.95,73.2,73.82,2441102
"2012-12-27",72.27,72.43,71.11,71.82,2012922
"2013-01-03",72.8,73.6,72.52,73.42,2124778
"2013-01-10",74.31,74.47,74,74.45,2361102
"2013-01-17",75.62,76.12,75.29,75.9,1524251
"2013-01-24",77.78,78.49,77.62,78.09,1546622
"2013-01-31",77.59,78.59,77.49,78.46,3044999
"2013-02-07",79.14,79.16,78.05,79.12,2285855
"2013-02-14",79.64,80.47,79.53,80.34,1810517
"2013-02-21",80.08,80.4,79.92,80.38,2422688
"2013-02-28",80.61,81.25,80.33,80.42,2161238
"2013-03-07",81.11,81.44,80.9,81.2,1143057
"2013-03-14",82.24,82.89,81.98,82.36,2086895
"2013-03-21",83.53,84.09,83.4,83.75,1846901
"2013-03-28",83.43,84.28,83.43,84.19,1312819
"2013-04-04",83.92,84.61,83.85,84.34,1366872
"2013-04-11",84.99,86.13,84.99,86.06,2246677
"2013-04-18",85.43,85.7,83.73,84.1,1913704
"2013-04-25",85.95,86,85.06,85.27,2138556
"2013-05-02",84.11,84.51,84,84.42,1348226
"2013-05-09",87.28,87.4,86.23,86.46,1651766
"2013-05-16",87.59,87.69,86.62,86.87,1674841
"2013-05-23",83.14,83.84,82.76,83.5,2011178
"2013-05-30",83.66,84.78,83.66,84.56,1721739
"2013-06-06",81.86,81.95,80.63,81.74,2763446
"2013-06-13",81.52,82.83,80.91,82.8,1655070
"2013-06-20",81.52,81.71,79.68,79.78,2842978
"2013-06-27",80.05,80.38,79.81,80.34,1886383
"2013-07-11",82.62,82.86,82.14,82.7,1620148
"2013-07-18",84.38,84.7,84.27,84.53,2360513
"2013-07-25",82.05,82.95,81.51,82.85,2656796
"2013-08-01",84.25,84.77,84.1,84.36,1809836
"2013-08-08",82.11,82.71,81.51,82.03,1908644
"2013-08-15",81.52,81.92,80.83,81.07,1889362
"2013-08-22",79.57,80.69,79.38,80.55,1147103
"2013-08-29",79.69,80.75,79.5,80.25,1464909
"2013-09-05",80.94,81.1,80.59,80.66,1682101
"2013-09-12",83.13,83.6,82.92,83.12,1988709
"2013-09-19",86.46,87.53,86.05,86.9,2876628
"2013-09-26",85.92,86.44,85.56,85.83,1049447
"2013-10-03",84.32,84.35,83.78,84.06,1998326
"2013-10-10",83.02,84.3,83.02,84.17,2003295
"2013-10-17",85.32,86.12,84.87,86.02,1997963
"2013-10-24",86.28,87.34,86.17,87.03,1991552
"2013-10-31",86.99,87.09,86.29,86.3,1821176
"2013-11-07",87.6,88.03,87.15,87.22,2139393
"2013-11-14",87.56,88.28,87.29,88.25,1585894
"2013-11-21",88.18,89.42,88,89.22,1787655
"2013-12-05",88.37,88.76,87.84,87.92,2334349
"2013-12-12",87.08,87.37,86.5,86.63,1889326
"2013-12-19",87.96,88.93,87.79,88.79,2140292
"2013-12-26",89.89,90.16,89.38,90.01,938632
"2014-01-02",90.51,90.66,88.97,89.33,1543919
"2014-01-09",87.76,88.22,87.17,87.68,1687224
"2014-01-16",87.55,87.86,86.91,87.24,1412082
"2014-01-23",83.42,84.37,82.92,83.07,4141762
"2014-01-30",82.62,82.72,82.16,82.36,2755337
"2014-02-06",80.65,80.73,79.95,80.69,2642791
"2014-02-13",81.87,82.9,81.56,82.88,2650719
"2014-02-20",84.18,84.37,83.37,83.81,2083547
"2014-02-27",83.28,83.86,83.1,83.85,1585301
"2014-03-06",83.94,84.53,83.75,84.4,1922290
"2014-03-13",83.68,83.86,82.51,82.59,2120999
"2014-03-20",82.9,83.51,82.51,83.23,2753429
"2014-03-27",83.27,83.83,83.22,83.49,3569237
"2014-04-03",84.83,85.11,84.45,84.98,1904643
"2014-04-10",85.7,86.32,84.92,84.99,2138885
"2014-04-17",87.15,87.39,86.4,86.68,1888622
"2014-04-24",88.3,88.99,88.3,88.59,2239565
"2014-05-01",90.64,90.92,90.25,90.83,2753628
"2014-05-08",90.98,91.52,90.91,91.24,1775442
"2014-05-15",92.45,92.65,91.91,92.37,2257175
"2014-05-22",92.8,93.1,92.6,93.01,1364329
"2014-05-29",93.4,94.31,93.4,94.1,1724212
"2014-06-05",94.89,95,94.24,94.97,1854753
"2014-06-12",94.97,95.19,94.57,95,1840484
"2014-06-19",95.55,95.66,95.01,95.6,2115947
"2014-06-26",94.88,94.96,93.61,94.41,1215461
"2014-07-03",94.64,94.85,94.35,94.84,828949
"2014-07-10",93.73,94.38,93.55,94.3,1656089
"2014-07-17",95.33,95.74,94.64,94.7,1202901
"2014-07-24",92.09,93.09,91.91,92.88,2410367
"2014-07-31",90.75,91.2,89.55,89.56,2647721
"2014-08-07",89.84,90.26,89.66,89.9,1877197
"2014-08-14",91.37,92.25,91.33,92.22,1076343
"2014-08-21",93.01,94.18,92.9,93.94,1348142
"2014-08-28",94.36,94.77,94.18,94.34,1221378
"2014-09-04",94.63,94.99,94.08,94.26,1491386
"2014-09-11",92.85,93.04,92.55,92.92,1349685
"2014-09-18",93.94,94.89,93.69,94.78,1620021
"2014-09-25",94.63,94.79,93.64,93.7,1998944
"2014-10-02",93.02,93.53,92.78,93.07,2282471
"2014-10-09",94.47,95.44,93.78,93.89,2543343
"2014-10-16",91.01,92.3,90.95,91.81,2739481
"2014-10-23",96.38,97.23,96.18,96.77,3707256
"2014-10-30",99.1,100.53,99.07,100,2715903
"2014-11-06",101.89,102.04,101.28,101.91,1289885
"2014-11-13",103.3,103.52,102.74,103.23,1420115
"2014-11-20",102.59,103.72,102.58,103.46,1596357
"2014-12-04",105.19,105.44,104.8,105.1,3234770
"2014-12-11",103.78,105.73,103.71,104.57,2467639
"2014-12-18",105.41,105.95,104.7,105.95,2225349
"2015-01-08",105.84,107.24,105.66,107.18,1942587
"2015-01-15",104.04,104.62,103.41,104.21,1547910
"2015-01-22",106.5,108.24,105.24,108.17,3486830
"2015-01-29",104.89,105.07,103.51,104.54,2797371
"2015-02-05",106.46,107.48,106.46,107.41,1705660
"2015-02-12",107.78,108.16,107.56,108.04,2151893
"2015-02-19",107.9,108.29,107.63,107.99,2156522
"2015-02-26",106.81,108.04,106.75,107.82,2673100
"2015-03-05",106.88,107.7,106.68,107.6,1418439
"2015-03-12",106.37,107.85,106.31,107.83,1475411
"2015-03-19",109.64,109.76,108.73,109.11,1448539
"2015-03-26",107.31,107.38,106.44,106.83,1489796
"2015-04-02",107.13,107.86,106.97,107.74,1105581
"2015-04-09",107.34,107.89,106.77,107.3,1218393
"2015-04-16",107.78,109.01,107.46,108.67,1804348
"2015-04-23",101.35,103.99,101.35,103.48,3115381
"2015-04-30",102.67,103.01,100.76,101.11,3058120
"2015-05-07",101.43,102.81,101.25,102.58,1744394
"2015-05-14",102.71,102.94,102.4,102.75,1641616
"2015-05-21",103.62,103.8,103.04,103.09,1777108
"2015-05-28",101.97,102.22,101.65,102.15,1215735
"2015-06-04",100.11,101.23,99.97,100.21,1637813
"2015-06-11",99.07,100.3,99.01,100.13,1709206
"2015-06-18",100.09,101.7,100.09,101.47,2196547
"2015-06-25",98.37,98.81,97.74,97.81,1403834
"2015-07-02",99.49,100.46,99.08,99.23,1996205
"2015-07-09",100.38,100.99,99.87,100.07,3102032
"2015-07-16",103.35,103.71,103.01,103.29,2020059
"2015-07-23",105.39,105.59,104.88,105.3,1568749
"2015-07-30",106.2,106.65,105.92,106.5,1103927
"2015-08-06",106.23,106.3,104.92,105.46,1497351
"2015-08-13",105.26,107.7,104.56,106.95,3227624
"2015-08-20",106.19,106.63,105.66,105.7,1551454
"2015-08-27",101.09,101.72,99.79,101.4,2706917
"2015-09-03",99.17,100.11,99.01,99.37,2383249
"2015-09-10",98.16,99.75,98.07,99.09,1623525
"2015-09-17",101.94,103.13,101.25,101.66,1761927
"2015-09-24",98.64,99.23,98.32,98.86,2356232
"2015-10-01",99.85,99.97,97.18,98.34,2977017
"2015-10-08",101.67,103.21,101.56,103.09,1213510
"2015-10-15",103.62,104.96,103.22,104.96,1628797
"2015-10-22",110.82,112.93,110.76,112.32,2487980
"2015-10-29",114.31,114.77,113.68,114.29,1932910
"2015-11-05",114.43,114.58,113.84,113.97,1511001
"2015-11-12",113.83,114.19,112.26,112.31,1891537
"2015-11-19",114.85,115.3,114.13,115.02,1067986
"2015-12-03",114.07,114.28,111.04,111.29,4310063
"2015-12-10",110.89,111.75,110.25,110.99,1580642
"2015-12-17",114.69,114.79,113.24,113.27,2215697
"2015-12-24",112.87,113.74,112.74,113.27,507317
"2015-12-31",114.12,114.32,112.83,112.86,956059
"2016-01-07",107.5,108.44,106.03,106.44,2284352
"2016-01-14",105.94,108.01,105.83,106.98,1889068
"2016-01-21",103.86,105.1,101.23,102.7,3183963
"2016-01-28",103.79,104.82,103.04,104.47,1391380
"2016-02-04",106.76,107.44,106.59,107.49,1601726
"2016-02-11",103.73,104.56,103.07,103.77,2520823
"2016-02-18",109.01,109.25,108.58,108.85,1668308
"2016-02-25",108.79,109.27,108.22,109.27,1392937
"2016-03-03",109.92,110.28,108.63,109.8,1819393
"2016-03-10",111.26,112.36,110.58,111.53,1682975
"2016-03-17",114.73,116.17,114.44,115.83,1515531
"2016-03-24",115.64,115.92,114.67,115.39,1477414
"2016-03-31",117.39,117.61,116.49,116.71,1105428
"2016-04-07",115.58,115.58,114.36,114.5,1279765
"2016-04-14",115.87,115.99,115.1,115.36,1588270
"2016-04-21",111.53,112.37,108.25,108.79,5063129
"2016-04-28",108.72,109.87,108.37,109.13,1448345
"2016-05-05",110.39,111.16,110.27,110.75,1590145
"2016-05-12",112.19,113.04,111.63,112.64,1274761
"2016-05-19",110.53,110.97,109.86,110.1,1628951
"2016-05-26",113.48,113.76,113.01,113.6,1199720
"2016-06-02",114.76,114.88,114.21,114.87,1130876
"2016-06-09",113.83,114.39,113.53,114.22,918802
"2016-06-16",111.24,112.78,111,112.75,1143088
"2016-06-23",113.22,113.9,112.53,113.85,1132534
"2016-06-30",116.91,119.05,116.83,119.04,2584307
"2016-07-07",118.7,118.79,117.05,117.51,1237142
"2016-07-14",119,119.08,118.38,118.74,1090269
"2016-07-21",116.39,116.87,115,116.72,1807349
"2016-07-28",116.58,117.68,116.21,117.61,1268336
"2016-08-04",118.1,118.45,117.5,117.88,1905130
"2016-08-11",118.7,118.9,118.36,118.6,986930
"2016-08-18",117.37,117.82,117.05,117.82,1271362
"2016-08-25",117.13,118.05,116.98,117.75,823103
"2016-09-01",118.9,118.9,117.67,118.35,1462458
"2016-09-08",118.04,118.34,116.89,116.9,1584956
"2016-09-15",113.47,115.22,113.47,114.94,1391921
