"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2015-02-18",68.03,69.06,67.61,67.73,8932609
"2015-02-19",66.06,67.85,65.42,67.42,9022637
"2015-02-20",67.19,67.42,66.33,67.38,8782608
"2015-02-23",66.68,67.54,66.51,66.92,6072811
"2015-02-24",67.47,67.48,66.76,67.09,4867541
"2015-02-25",67.47,67.84,66.96,67.53,6151780
"2015-02-26",66.89,66.89,65.59,65.85,7837009
"2015-02-27",66,66.1,65.13,65.2,6963548
"2015-03-02",65.36,65.36,63.83,64.4,8059199
"2015-03-03",64.36,65.27,64.27,64.78,5424716
"2015-03-04",64.79,64.79,63.67,64.25,5487142
"2015-03-05",64.01,64.08,63.33,63.33,5987635
"2015-03-06",63,63.68,62.67,62.79,6732813
"2015-03-09",62.77,63.34,61.97,61.97,6492752
"2015-03-10",60.99,61.72,60.69,60.87,8922397
"2015-03-11",60.95,61.87,60.81,61.3,6341230
"2015-03-12",61.58,61.91,61.32,61.36,5520939
"2015-03-13",60.76,61.8,60.57,61.64,8255814
"2015-03-16",61.21,62.46,60.83,62.4,6317997
"2015-03-17",62.01,62.48,61.38,62.01,6488885
"2015-03-18",61.54,64.31,61.51,63.64,9536311
"2015-03-19",62.78,63.31,62.44,62.76,7907128
"2015-03-20",63.15,64.12,63,63.84,10059894
"2015-03-23",64,64.18,63.21,63.23,7428648
"2015-03-24",63.45,63.62,62.52,62.55,6377426
"2015-03-25",63.22,63.5,62.66,63.05,7662259
"2015-03-26",63.95,64.14,62.92,63.24,6889901
"2015-03-27",62.96,63.09,62.46,62.93,5199144
"2015-03-30",63.48,64.15,63.4,64,6027354
"2015-03-31",63.25,63.47,62.24,62.26,9169693
"2015-04-01",62.71,63.49,62.64,63.02,8939345
"2015-04-02",62.71,63.41,62.57,63.18,5908158
"2015-04-06",63.42,65.88,63.4,65.39,10169981
"2015-04-07",65.26,66.04,65.07,65.79,7177210
"2015-04-08",66.07,66.23,64.8,64.81,8571607
"2015-04-09",65.02,67.46,64.86,67,10984054
"2015-04-10",67.36,67.4,66.38,66.53,6015921
"2015-04-13",66.9,67.42,66.33,66.34,5737075
"2015-04-14",66.82,68.55,66.74,68.36,8917573
"2015-04-15",68.91,69.66,68.5,69.4,7773652
"2015-04-16",68.99,69.72,68.21,69.01,8395037
"2015-04-17",68.59,68.59,67.18,67.69,9616719
"2015-04-20",68.09,69.25,68.05,68.61,7846070
"2015-04-21",68.61,68.99,67.65,68.02,5563444
"2015-04-22",67.95,68.14,67.13,67.88,4480162
"2015-04-23",68.26,68.88,68.01,68.26,4627518
"2015-04-24",67.85,67.87,67.03,67.51,6275747
"2015-04-27",67.78,67.97,67,67.06,4427917
"2015-04-28",67.2,67.76,67.01,67.74,4265664
"2015-04-29",67.42,68.31,67.22,68.06,6038368
"2015-04-30",69.02,69.03,67.66,67.92,7365705
"2015-05-01",67.74,67.98,66.97,67.44,5974391
"2015-05-04",67.41,67.62,66.7,67.02,6638102
"2015-05-05",67.44,68.36,66.98,67.2,9142889
"2015-05-06",67.96,68.17,66.79,67.23,7089554
"2015-05-07",67.53,67.53,66.1,66.62,6298900
"2015-05-08",67.14,67.37,66.36,67.17,5961199
"2015-05-11",67.12,67.2,65.11,65.28,7261767
"2015-05-12",65.29,65.65,65.05,65.4,4719688
"2015-05-13",65.8,66.03,65.15,65.39,5424484
"2015-05-14",65.54,66.11,65.33,65.42,4345287
"2015-05-15",65.25,66.06,65.06,65.76,4728831
"2015-05-18",65.75,66.22,65.18,66.04,5158582
"2015-05-19",65.75,65.75,65.11,65.12,7945956
