"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume"
"2013-01-17",21.47,21.85,21.02,21.28,6333893
"2013-01-24",21.18,21.69,21.12,21.5,9513414
"2013-01-31",21.68,22.41,21.56,22.38,9495259
"2013-02-07",22.34,22.42,22.1,22.37,4898625
"2013-02-14",21.52,21.76,21.09,21.68,4892595
"2013-02-21",21.63,21.63,21.12,21.33,4742520
"2013-02-28",20.67,20.99,20.52,20.68,5062092
"2013-03-07",20.67,21.2,20.67,21.12,7525807
"2013-03-14",20.75,21.04,20.43,20.51,3430201
"2013-03-21",18.64,18.93,18.55,18.89,13211300
"2013-03-28",18.66,18.78,18.47,18.54,7870536
"2013-04-04",18.33,18.33,17.93,18.12,5465905
"2013-04-11",18.7,18.79,18.36,18.56,6623534
"2013-04-18",17.79,17.84,17.25,17.32,4658641
"2013-04-25",15.78,16.13,15.66,15.91,8980184
"2013-05-02",16.36,16.47,16.23,16.3,8215507
"2013-05-09",17.24,17.44,17.15,17.34,5318263
"2013-05-16",17.7,18.02,17.49,17.78,11884160
"2013-05-23",17.16,17.39,17.16,17.28,6994124
"2013-05-30",18.04,18.18,17.9,18.01,4433940
"2013-06-06",18.75,19.1,18.18,18.47,9057290
"2013-06-13",18.34,19.31,18.33,19.27,8396092
"2013-06-20",19.07,19.43,18.97,19.19,10666668
"2013-06-27",18.59,19.11,18.56,19.05,5326539
"2013-07-11",19.88,20.19,19.86,20.16,4896382
"2013-07-18",20.8,21.12,20.73,21.03,3362304
"2013-07-25",21.69,22.1,21.67,22.07,7011429
"2013-08-01",21.76,22.03,21.69,21.97,3761832
"2013-08-08",22.09,22.19,21.95,22.16,2323573
"2013-08-15",20.48,20.65,20.29,20.3,6013305
"2013-08-22",19.93,20.14,19.75,19.91,4200212
"2013-08-29",18.99,19.19,18.82,18.87,4104340
"2013-09-05",20.69,20.79,20.41,20.5,3629635
"2013-09-12",21.45,21.58,21.14,21.16,3687756
"2013-09-19",21.66,21.79,21.37,21.42,3325170
"2013-09-26",20.18,20.72,20.1,20.15,3719960
"2013-10-03",20.09,20.43,19.94,20.13,5489059
"2013-10-10",20.21,20.32,19.94,20.01,7231904
"2013-10-17",20.87,20.9,20.54,20.68,4724947
"2013-10-24",19.03,19.18,18.52,18.59,13353609
"2013-10-31",18.66,18.76,18.56,18.64,4593793
"2013-11-07",18.72,18.84,18.6,18.68,6694865
"2013-11-14",18.62,19.41,18.6,19.4,14097740
"2013-11-21",19.95,20.16,19.78,20.13,10160858
"2013-12-05",20.88,21.47,20.79,21.35,12171358
"2013-12-12",21.25,21.31,20.57,20.64,10518448
"2013-12-19",21.23,21.42,21.18,21.2,6895952
"2013-12-26",21.86,22,21.8,21.91,2942787
"2014-01-02",22.57,22.65,22.28,22.48,5654017
"2014-01-09",22.94,22.95,22.52,22.83,12526506
"2014-01-16",25.8,25.96,25.71,25.79,3798634
"2014-01-23",25.93,26.36,25.69,26.01,12281022
"2014-01-30",28.03,28.03,27.48,27.87,6548111
"2014-02-06",26.92,27.52,26.88,27.01,6092642
"2014-02-13",26.85,27.48,26.82,27.47,8817909
"2014-02-20",27.48,28.39,27.18,27.41,18054475
"2014-02-27",26.87,27.1,26.77,27.01,5623506
"2014-03-06",26.49,26.72,26.37,26.44,5732941
"2014-03-13",25.56,25.67,25.09,25.11,7386428
"2014-03-20",26.16,26.79,26.15,26.47,4851396
"2014-03-27",25.65,25.94,25.32,25.33,4693983
"2014-04-03",26.32,26.88,26.28,26.8,6303872
"2014-04-10",25.48,25.48,24.84,24.85,7647010
"2014-04-17",25.02,25.32,24.86,25.17,9636855
"2014-04-24",25.19,25.42,24.62,25.24,12027081
"2014-05-01",24.74,25.24,24.67,24.91,5829062
"2014-05-08",24.66,25.15,24.54,24.64,4703865
"2014-05-15",24.97,25.11,24.47,24.71,6654347
"2014-05-22",24.59,24.83,24.56,24.7,5476116
"2014-05-29",25.4,25.7,25.4,25.45,7077835
"2014-06-05",25,25,24.54,24.8,5405101
"2014-06-12",24.63,24.8,24.44,24.63,4471687
"2014-06-19",25.09,25.11,24.2,24.21,14218716
"2014-06-26",24.2,24.34,24.03,24.24,4280592
"2014-07-03",24.95,24.96,24.65,24.65,2388688
"2014-07-10",24.14,24.5,24.01,24.39,3248774
"2014-07-17",23.8,24.01,23.69,23.85,7795628
"2014-07-24",22.44,23.33,22.4,23.21,13961618
"2014-07-31",23.56,23.82,23.48,23.54,6581093
