"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume"
"2014-07-31",259.29,260.71,255.02,257.14,119796
"2014-08-07",258.17,259.39,256.4,257.45,120912
"2014-08-14",263.98,266.64,262.74,265.8,124500
"2014-08-21",271.62,272.24,269.74,271.65,120760
"2014-08-28",269.96,271.85,269.41,270.44,53823
"2014-09-04",272.83,274.42,270.38,271.22,120985
"2014-09-11",266.71,271.55,266.71,270.15,114524
"2014-09-18",267.44,269.17,266.45,268.04,57143
"2014-09-25",260.81,261.77,257.56,258.68,128411
"2014-10-02",251.99,253.66,249.09,251.42,167206
"2014-10-09",251.66,252.53,246.31,247.26,128407
"2014-10-16",228.9,237.84,228.3,236.64,212083
"2014-10-23",248.53,251.46,246.74,250.29,62124
"2014-10-30",254.75,258.8,254.04,257.9,96540
"2014-11-06",259.73,263.98,258.74,263.62,172900
"2014-11-13",285.44,290.93,284.99,290.03,228951
"2014-11-20",290.3,293.46,290.3,292.51,110164
"2014-12-04",298.86,300.32,296.91,298.11,160120
"2014-12-11",290.07,294.4,288.22,290.34,129940
"2014-12-18",288.5,296.06,288.5,295.82,135546
"2015-01-08",299.96,303.84,298.59,300.72,129843
"2015-01-15",297.25,297.25,286.35,289.09,273424
"2015-01-22",298.02,307.65,294.37,304.77,154213
"2015-01-29",299.21,306.61,296.49,305.56,150042
"2015-02-05",313.01,314.07,309.79,311.27,175968
"2015-02-12",305.83,308.58,305.83,307.13,151258
"2015-02-19",309.39,311.99,308.43,309.22,98328
"2015-02-26",315.89,317.55,314.3,314.66,83589
"2015-03-05",313.5,314.78,311.45,313.66,209166
"2015-03-12",312.07,317.92,311.68,317.09,88613
"2015-03-19",327.96,332.47,325.07,330.71,166751
"2015-03-26",318.61,320.84,318.15,318.88,84417
"2015-04-02",323.31,326.7,319.7,321.47,141823
"2015-04-09",325.95,329.42,324.26,329.23,122246
"2015-04-16",327.48,327.58,324.55,325.74,54936
"2015-04-23",324.24,326.65,323.07,324.36,63163
"2015-04-30",318.08,323.77,315.19,317.01,185474
"2015-05-07",324.53,325.75,319.72,321.89,145248
"2015-05-14",324.81,325.62,322.72,325.6,139538
"2015-05-21",331.6,333.2,328.2,330.84,142951
"2015-05-28",329.44,331.21,327.63,328.18,126642
"2015-06-04",334.76,336.58,329.14,329.89,112745
"2015-06-11",337.75,340.25,337.2,340.09,138816
"2015-06-18",342.91,346.67,341.15,342.04,192915
"2015-06-25",342.76,343.42,337.29,342.48,163310
"2015-07-02",345.52,346.8,342.87,346.46,112941
"2015-07-09",333.43,333.43,327.93,329.1,150986
"2015-07-16",343.23,345.98,340.54,345.67,262524
"2015-07-23",341.35,342.9,336.83,337.52,194948
"2015-07-30",337.64,344.26,334.11,340.38,159149
"2015-08-06",332.48,335.8,326,327.1,157666
"2015-08-13",318.85,325.06,318.85,321.61,169923
"2015-08-20",317.71,323.53,310.74,311.29,187752
"2015-08-27",302.96,306.09,298.66,305.69,147371
"2015-09-03",297.64,301.04,294.14,296.27,150444
"2015-09-10",295,296.84,289.18,290.96,373325
"2015-09-17",300.41,306.4,297.88,303.14,188176
"2015-09-24",278.91,281.22,276.36,279.18,269733
"2015-10-01",285.12,288.04,281.55,284.19,231823
"2015-10-08",286.5,293.47,284.51,292.17,168737
"2015-10-15",284.42,288.32,282.05,288.01,216097
"2015-10-22",294.26,302.4,294.26,300.44,274840
"2015-10-29",305.46,311.24,305.46,309.43,201200
"2015-11-05",314,315.48,310.62,312.36,283067
"2015-11-12",330.52,333.39,324.99,325.11,160790
"2015-11-19",340.48,341.74,337.15,340,155447
"2015-12-03",336.48,338.2,330.02,332.17,250624
"2015-12-10",331.42,336.6,325.4,333.63,134803
"2015-12-17",340.81,343.79,332.06,332.06,164170
"2015-12-24",339.5,342.62,337.67,341.86,48397
"2015-12-31",342.52,344.72,338.72,339.13,83849
"2016-01-07",318.79,320.36,314.86,315.73,229581
"2016-01-14",312.33,316.6,309.03,310.66,184214
"2016-01-21",307.9,309.5,302.85,307.08,164893
"2016-01-28",315.39,315.39,306.39,307.4,220806
"2016-02-04",308.18,318.08,307.08,313.98,425017
"2016-02-11",301.95,304.55,295.89,299.31,196061
"2016-02-18",321.41,321.98,315.03,316.8,151349
"2016-02-25",317.21,319.44,314.07,318.03,101005
"2016-03-03",329.81,333.26,328.7,332.45,138435
"2016-03-10",331.9,335.56,325.7,329.29,130148
"2016-03-17",337.08,337.14,332.43,332.49,160556
"2016-03-24",335.24,338.38,334.53,337.89,77507
"2016-03-31",343.53,345.8,340.78,344.76,123812
"2016-04-07",354.05,355.95,344.01,347.76,197204
"2016-04-14",359.14,363.43,355.28,358.95,82904
"2016-04-21",362.36,368.41,356.85,365.14,126764
"2016-04-28",363.68,367.09,357.5,359.32,168495
"2016-05-05",357.13,364.05,356.16,364.05,241012
"2016-05-12",365.25,370.1,363.33,369.23,288215
"2016-05-19",367.52,375.73,360.8,363.35,262090
"2016-05-26",368.16,371.98,367.4,370.19,214701
"2016-06-02",376.83,377.58,374.54,377.37,125202
"2016-06-09",383.22,386.68,379.67,385.5,162672
"2016-06-16",370.69,375.26,368.61,374.45,83818
"2016-06-23",377.14,382.02,375.86,381.56,172302
"2016-06-30",360.52,364.95,359.49,364.92,361398
"2016-07-07",366.34,367.92,363.45,366.75,94531
"2016-07-14",383.38,386.51,383.19,385.17,153394
"2016-07-21",387.68,389.18,382.5,385.26,111801
"2016-07-28",392.1,400.67,390.11,397.69,195619
"2016-08-04",398.43,400,395.73,396.14,212459
"2016-08-11",404.04,406.26,401.98,403.4,92407
"2016-08-18",400.2,406.48,400.2,405.49,167674
"2016-08-25",403.39,408.98,401.95,405.02,137425
"2016-09-01",404.08,407.31,401.25,404.72,258803
"2016-09-08",405.87,409.2,401.62,402.54,395503
"2016-09-15",396.88,401.07,395.55,399.07,146892
