"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume"
"2015-10-22",58.41,58.73,57.87,58.38,2260195
"2015-10-29",54.66,54.99,54.09,54.88,2509221
"2015-11-05",53.27,54.2,53.24,54.19,2619367
"2015-11-12",49.79,50.23,49.54,49.99,2470529
"2015-11-19",51.23,51.8,50.96,51.59,2217294
"2015-12-03",53.02,53.19,51.79,52.08,3449589
"2015-12-10",54,54.17,53.43,53.63,2529193
"2015-12-17",55,55.19,54.56,54.81,2083569
"2015-12-24",55.43,55.6,55.13,55.52,755719
"2015-12-31",56.65,56.94,56.26,56.43,2056231
"2016-01-07",56.63,57.08,56.01,56.21,2580462
"2016-01-14",54.37,55.07,54.07,54.64,2793213
"2016-01-21",53.23,54.62,52.6,54,2731611
"2016-01-28",54.09,54.73,53.55,53.79,2441022
"2016-02-04",55.79,56.59,55.17,56.37,1639019
"2016-02-11",49.31,49.57,47.85,48.72,6487083
"2016-02-18",50.52,51.96,50.29,51.6,2124090
"2016-02-25",54.05,55.1,53.89,55.08,2101858
"2016-03-03",58.18,58.19,56.27,56.71,5488690
"2016-03-10",57.3,58.18,56.17,57.28,4587703
"2016-03-17",61.33,62.13,60.71,62.01,2383248
"2016-03-24",60.27,61.07,59.58,60.96,2210163
"2016-03-31",62.81,63.63,62.48,62.96,3144931
"2016-04-07",62,62.61,61.65,62.38,2301761
"2016-04-14",63.36,63.42,62.94,63.21,1186428
"2016-04-21",62.29,62.3,59.43,59.69,3793828
"2016-04-28",62.03,62.78,61.96,62.26,1887364
"2016-05-05",65.28,65.86,65.05,65.86,2597959
"2016-05-12",65.73,66.98,65.26,66.72,1361573
"2016-05-19",64.71,64.99,64.28,64.91,1981683
"2016-05-26",65.9,66.31,65.69,65.99,1136606
"2016-06-02",65.58,66,65.13,65.99,1454364
"2016-06-09",67.8,68.45,67.58,68.42,1573481
"2016-06-16",69.13,69.9,68.92,69.88,1425203
"2016-06-23",69.33,69.67,68.8,68.9,1666048
"2016-06-30",72.04,72.88,71.47,72.82,2435065
"2016-07-07",73.23,73.29,72.04,72.15,2451969
"2016-07-14",72.19,72.19,70.8,70.92,2577640
"2016-07-21",72.84,73.33,72.55,73.31,1238729
"2016-07-28",73.43,74.81,73.38,74.52,1718513
"2016-08-04",73.8,73.88,73.42,73.78,1099513
"2016-08-11",74.36,74.45,73.3,73.95,1561906
"2016-08-18",73.97,74.36,73.62,74.18,1108825
"2016-08-25",73.28,73.94,73.06,73.53,1174146
"2016-09-01",72.81,72.86,72.03,72.33,1914300
"2016-09-08",73.76,73.86,72.92,72.98,3594203
"2016-09-15",67.45,68.17,67.14,67.96,2762936
