"","UAA.Open","UAA.High","UAA.Low","UAA.Close","UAA.Volume"
"2012-12-06",52,52.78,50.95,52.73,933025
"2012-12-13",50.63,50.99,48.39,48.46,1788532
"2012-12-20",49.05,49.15,46.81,47.47,2331759
"2012-12-27",47.51,48.59,47,48.05,1763141
"2013-01-03",48.3,50.18,48.22,49.66,1168086
"2013-01-10",46.78,47.97,46.13,47.68,2207203
"2013-01-17",47.33,47.57,46.72,46.95,1222254
"2013-01-24",46.48,47.04,44.32,45.86,9093316
"2013-01-31",50.16,51.94,50,50.87,5394083
"2013-02-07",50.24,50.24,49.14,49.94,2031763
"2013-02-14",48.48,49.22,48.19,48.9,1013767
"2013-02-21",48.7,48.88,47.22,47.74,1555980
"2013-02-28",48.21,49.57,48.12,49.28,1626697
"2013-03-07",50.5,50.53,49.72,50.5,1062639
"2013-03-14",49.98,51.13,49.91,51.08,1634120
"2013-03-21",49.12,49.42,48.33,48.37,1334069
"2013-03-28",50.71,51.75,50.71,51.2,1312958
"2013-04-04",53.11,53.79,52.6,53.23,1360412
"2013-04-11",55.4,56.56,55.26,56.03,1691999
"2013-04-18",56.85,56.87,55.17,55.67,2401070
"2013-04-25",56.06,56.93,56,56.45,1386583
"2013-05-02",56.98,57.25,56.18,56.94,952078
"2013-05-09",58.21,59.18,58.11,58.65,1271069
"2013-05-16",61.3,61.79,61.15,61.39,1565193
"2013-05-23",62.75,63.28,62,63.01,1837684
"2013-05-30",62.68,63.47,62.21,62.74,1148609
"2013-06-06",59.49,59.6,58.72,59.45,2208982
"2013-06-13",59.3,59.61,58.65,59.39,648736
"2013-06-20",59.23,59.23,57.4,57.72,1633163
"2013-06-27",58.16,58.81,57.66,58.46,952397
"2013-07-11",62.25,62.25,59.9,60.35,1604824
"2013-07-18",60.82,61.47,60.52,61.11,1543491
"2013-07-25",65.38,69.55,65.35,69.38,5778443
"2013-08-01",67.94,69.72,67.64,69.5,1557767
"2013-08-08",69.62,72.47,69.27,71.98,2087798
"2013-08-15",72.27,72.33,70.51,70.6,1439453
"2013-08-22",72.55,72.89,71.79,72.2,714538
"2013-08-29",72.35,73.68,72.35,73.32,475388
"2013-09-05",74.93,77.34,74.73,76.89,1318987
"2013-09-12",80.59,80.97,79.9,80.59,1274903
"2013-09-19",78.31,78.82,77.17,77.64,1061500
"2013-09-26",77.83,79.37,77.83,79.11,1021349
"2013-10-03",82.61,83.4,79.67,80.88,1523993
"2013-10-10",78,79.45,78,79,926342
"2013-10-17",82.29,82.81,81.21,82.12,1069410
"2013-10-24",78.99,80.84,77.35,79.98,5197541
"2013-10-31",81.42,81.95,79.94,81.15,1291547
"2013-11-07",79.63,79.68,76.03,76.35,1943296
"2013-11-14",82.89,83.63,81.77,83.53,1177935
"2013-11-21",79.55,80.79,79.11,80.67,866485
"2013-12-05",80.29,82.23,79.8,81.97,711856
"2013-12-12",84.15,84.45,82.4,84.18,1085990
"2013-12-19",86.3,87.56,85.73,86.05,938169
"2013-12-26",86.68,87.28,86.14,86.47,362964
"2014-01-02",87.3,88.03,86.47,86.98,748138
"2014-01-09",87.24,88.28,86.7,87.89,778884
"2014-01-16",84.68,84.99,82.02,82.42,1297439
"2014-01-23",83.8,84.04,82.58,83.9,1334897
"2014-01-30",96.7,106.65,96,104.76,9092399
"2014-02-06",105.21,106.9,104.66,106.17,1395694
"2014-02-13",107.22,109.83,107.09,108.58,1452484
"2014-02-20",107,108.44,106.52,107.19,806878
"2014-02-27",116.14,116.64,114.68,116.35,1001673
"2014-03-06",116.32,116.8,114.59,115.8,1075538
"2014-03-13",117.65,117.9,115.6,116.41,759597
"2014-03-20",120.17,122.03,118.76,121.85,1767521
"2014-03-27",113.78,116.06,112.5,114.6,987012
"2014-04-03",119.03,119.68,112.14,112.66,2112272
"2014-04-10",108.5,108.53,101.85,102.24,2156871
"2014-04-17",53.73,54.15,53.03,53.06,1895822
"2014-04-24",51.89,52.31,48.78,50.42,13267030
"2014-05-01",48.94,50.33,48.55,49.18,4934267
"2014-05-08",46.43,47.97,46.1,46.57,3291677
"2014-05-15",46.96,47.15,45.05,46.32,4077699
"2014-05-22",47.03,48.42,46.8,47.89,1928372
"2014-05-29",50.16,50.81,49.84,50.79,3480061
"2014-06-05",53.75,55.08,52.57,55.05,5653528
"2014-06-12",55.8,57,55.77,56.61,2389505
"2014-06-19",59.74,59.74,58.26,58.74,1798153
"2014-06-26",59.14,59.56,58.51,59.17,1646701
"2014-07-03",59.66,60.4,59.46,60.25,954533
"2014-07-10",58.67,58.95,57.33,58.19,4897243
"2014-07-17",57.19,57.99,56.79,57,1801757
"2014-07-24",65.51,70.25,65.5,69.55,12576879
"2014-07-31",68.26,68.97,66.28,66.75,4522650
"2014-08-07",68.5,68.99,67.41,67.74,1443383
"2014-08-14",69.39,69.45,68.36,68.8,1435031
"2014-08-21",70.88,70.89,69.08,69.44,1689107
"2014-08-28",69.79,69.84,69.22,69.68,1559602
"2014-09-04",70.56,72.65,70.48,71.97,2757468
"2014-09-11",70.11,70.37,69.33,69.92,1856419
"2014-09-18",69.23,69.75,69.06,69.57,1391448
"2014-09-25",68.4,68.88,67.5,67.55,3064867
"2014-10-02",66.34,67.03,64.44,66.79,3140214
"2014-10-09",67.45,67.89,65.11,65.37,2997768
"2014-10-16",61.69,64.82,61.56,64.63,2913501
"2014-10-23",62.79,67.4,61.82,64.34,9997216
"2014-10-30",64.24,65.06,63.99,64.23,1667739
"2014-11-06",64.46,66.32,64.34,66.28,1901331
"2014-11-13",69.16,70,68.84,69.05,1701747
"2014-11-20",70.2,70.92,69.63,70.41,2023269
"2014-12-04",69.64,70.65,69.23,69.59,1491781
"2014-12-11",68.16,69.38,67.63,68.53,1821378
"2014-12-18",70.24,70.98,69.58,70.94,2642555
"2015-01-08",67.08,68.3,67.08,68.27,2277345
"2015-01-15",66.09,66.25,64.53,64.65,1734135
"2015-01-22",67.08,69.65,66.47,69.42,3415020
"2015-01-29",71.25,72.98,70.95,72.8,2398733
"2015-02-05",74.07,76.54,72.34,73.3,11048849
"2015-02-12",73.97,74.1,73.35,73.95,1405947
"2015-02-19",74.05,74.17,73.43,73.83,1320905
"2015-02-26",76.63,77.28,76.54,77.01,1698953
"2015-03-05",75.59,76.32,75.51,75.79,1993846
"2015-03-12",75.1,76.85,74.75,76.69,1589882
"2015-03-19",80.02,81.16,79.89,81.01,1576730
"2015-03-26",79.08,79.44,77.52,78.63,2589186
"2015-04-02",78.9,79.92,78.84,79.41,1597854
"2015-04-09",82.95,84.44,82.85,84.19,2475822
"2015-04-16",84.5,85.78,84.35,85.71,2063209
"2015-04-23",82.13,84.1,82.07,83.26,3590755
"2015-04-30",78.9,79.29,77.06,77.55,3319026
"2015-05-07",77,78.35,76.83,77.76,1921456
"2015-05-14",77.68,78.38,76.51,78.09,1589433
"2015-05-21",78.59,78.79,77.7,78.2,1112824
"2015-05-28",76.92,78.43,76.6,78.38,1541799
"2015-06-04",77.9,78.59,77.55,78.04,1566273
"2015-06-11",81.29,82.15,80.91,81.26,1555809
"2015-06-18",82.69,83.93,82.69,83.7,1498271
"2015-06-25",84.83,85.29,84.3,85.15,1446330
"2015-07-02",84.49,84.78,83.9,84.59,1051630
"2015-07-09",85.39,85.8,84.48,84.49,1920045
"2015-07-16",86.95,87.23,84.37,85.35,6208340
"2015-07-23",93.5,97.69,93.35,95.93,10030455
"2015-07-30",98.66,99.43,98.15,99.28,1759884
"2015-08-06",101.14,101.78,97.58,98.19,2422705
"2015-08-13",98.13,100.51,97.65,99.4,1871296
"2015-08-20",99.01,99.25,96.55,96.65,2127109
"2015-08-27",93.55,95.78,92.6,95.69,4650536
"2015-09-03",96.09,97.02,95.07,95.63,2619320
"2015-09-10",95,96.86,94.18,96.17,2184035
"2015-09-17",103.36,105.89,103.06,104.1,5215225
"2015-09-24",100.87,102.45,99.22,102.19,1830911
"2015-10-01",97.06,98.95,95.65,98.84,2663066
"2015-10-08",99,101.45,98.14,101.14,1815152
"2015-10-15",98.37,99.72,97.63,99.49,2254111
"2015-10-22",98.07,100.67,90.63,93.81,13750581
"2015-10-29",96.29,96.92,94.75,96.36,2297112
"2015-11-05",96.07,96.66,94.38,96.03,2095414
"2015-11-12",93.18,94.16,92.28,92.36,3051162
"2015-11-19",87.75,89.65,87.5,89.25,3890069
"2015-12-03",87.01,87.5,83.11,84.15,3478128
"2015-12-10",86.26,86.76,85.48,85.67,1731636
"2015-12-17",83.62,83.8,81.23,81.27,2515667
"2015-12-24",81.71,81.91,79.91,81.2,1580447
"2015-12-31",80.89,81.72,80.47,80.61,2354487
"2016-01-07",78.61,80.63,77.53,78,3661998
"2016-01-14",71.75,71.85,67.85,69.87,5516842
"2016-01-21",67.6,70.34,67,69.06,5029354
"2016-01-28",79.49,84.78,78.11,84.07,18569329
"2016-02-04",80.09,80.68,78.63,80.54,3015437
"2016-02-11",73.07,73.98,71.19,72.58,3899447
"2016-02-18",83.16,83.45,80.72,81.03,2889790
"2016-02-25",82.41,83.7,81.87,83.06,2250826
"2016-03-03",82.4,83.47,80.57,83.09,3229301
"2016-03-10",81.15,82.19,80.04,81.03,1894880
"2016-03-17",81.14,83.99,80.97,83.14,3495119
"2016-03-24",82.64,82.87,81.26,82.16,1673410
"2016-03-31",85.62,86.83,84.74,84.83,2533010
"2016-04-07",85.82,86.45,84.78,85.97,2448398
"2016-04-14",43.13,44.03,43.07,43.48,5185038
"2016-04-21",47.61,47.8,46.15,46.93,15128895
"2016-04-28",44.84,45.99,44.55,44.66,4574254
"2016-05-05",39.85,40.24,39.28,39.75,6149192
"2016-05-12",37.63,38.07,37.08,37.66,7149429
"2016-05-19",36.68,37.65,36.61,37.44,6568309
"2016-05-26",38.4,38.45,37.73,37.76,4686359
"2016-06-02",36.37,36.87,36.26,36.56,10277291
"2016-06-09",38.8,38.83,38.29,38.66,6402439
"2016-06-16",37.25,37.27,36.12,36.42,8344690
"2016-06-23",38.01,38.4,37.64,38.32,3234208
"2016-06-30",39.7,40.28,39.15,40.13,4644785
"2016-07-07",39.88,40.59,39.87,40.52,3242352
"2016-07-14",41.79,42.24,41.4,41.54,3222170
"2016-07-21",42.25,42.98,42.15,42.64,5097440
"2016-07-28",39.83,40.03,39.1,39.65,4356607
"2016-08-04",38.98,39.42,38.76,38.95,2364922
"2016-08-11",39.6,41.28,39.6,40.94,5879851
"2016-08-18",41.52,42.12,41.52,42.06,2124127
"2016-08-25",43.15,43.33,41.93,42.23,3721078
"2016-09-01",39.87,39.89,39.26,39.75,3211145
"2016-09-08",39.7,40.15,39.14,39.35,4179055
"2016-09-15",38.18,38.64,37.72,38.56,3700486
