"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume"
"2013-05-09",62.66,62.91,61.37,61.47,5333930
"2013-05-16",64.35,66.2,64.28,66.11,5269405
"2013-05-23",64.8,66.22,62.71,65.83,4930536
"2013-05-30",66.25,67.59,65.84,66.79,3137590
"2013-06-06",65.56,66.58,65.3,66.4,4045725
"2013-06-13",64.05,66.9,64,66.59,7208695
"2013-06-20",67.45,68.16,66.7,67,3984985
"2013-06-27",67.7,68.02,67.07,67.5,4611011
"2013-07-11",70.61,70.64,69.11,69.39,3658389
"2013-07-18",68.3,68.62,67.53,67.54,4580983
"2013-07-25",67.41,68.28,67.39,68.05,2231576
"2013-08-01",68.3,68.93,67.86,67.99,9263766
"2013-08-08",68.75,69,68.24,68.59,3046499
"2013-08-15",69.35,69.52,68.18,68.34,4126453
"2013-08-22",67.89,69.96,67.75,69.5,2325201
"2013-08-29",69.25,70.67,69.04,70.3,2663764
"2013-09-05",69.4,70.63,69.24,70.34,4696106
"2013-09-12",70.74,70.95,70.08,70.19,4248755
"2013-09-19",73.46,75.67,73,73.79,5150665
"2013-09-26",73.39,74.23,73.11,74.01,3188833
"2013-10-03",73.94,74.2,72.57,73.98,3364249
"2013-10-10",74.63,75.31,73.78,75.09,2726521
"2013-10-17",76.17,77.74,76.17,77.57,1881969
"2013-10-24",78.86,79.08,77.89,78.05,2580782
"2013-10-31",75.29,76.1,74.6,74.6,3090927
"2013-11-07",75.52,76,74.51,74.81,4737698
"2013-11-14",76.89,78.47,76.66,78.26,3362402
"2013-11-21",77.08,78.22,77.08,77.76,2569918
"2013-12-05",76.2,76.36,74.51,75.15,4283409
"2013-12-12",76.5,78.26,76.03,76.5,3057921
"2013-12-19",78.36,78.95,77.51,77.96,3258097
"2013-12-26",79.3,79.67,78.95,79.33,1633545
"2014-01-02",80.05,80.21,77.9,78.78,4922706
"2014-01-09",79.81,80.82,79.78,80.48,3499584
"2014-01-16",82.42,82.97,81.91,82.22,2351978
"2014-01-23",80.19,80.19,76.49,77.76,10505057
"2014-01-30",77.39,78.93,76.65,78.06,4588120
"2014-02-06",78,79.25,77.56,79.12,2807814
"2014-02-13",81.88,83.76,81.88,83.37,3304911
"2014-02-20",84.32,86.24,83.47,85.8,4005053
"2014-02-27",86.89,87.92,86.43,87.87,3754127
"2014-03-06",90.57,91.94,90.53,91.06,4128424
"2014-03-13",90.65,91.02,88.83,89.03,3118596
"2014-03-20",89.56,90.3,89.25,90.26,2245907
"2014-03-27",89.75,89.79,87.34,87.36,4693930
"2014-04-03",90.07,90.91,89.8,90.46,2567353
"2014-04-10",88.93,88.93,87.17,87.38,4483749
"2014-04-17",91.62,92.49,90.43,92.11,3284320
"2014-04-24",92.02,92.2,90.79,91.48,2298330
"2014-05-01",92.79,92.83,91.87,92.42,2194697
"2014-05-08",95.54,96.36,93.91,94.45,3756693
"2014-05-15",96.18,96.34,94.29,95.24,2984475
"2014-05-22",98,98.46,97.56,97.7,2662366
"2014-05-29",99.16,100.49,98.52,100.35,1954183
"2014-06-05",99.9,100.32,98.77,99.04,3706513
"2014-06-12",98.73,101.13,98.73,99.26,4191780
"2014-06-19",99.06,99.41,98.55,98.8,2091529
"2014-06-26",98.96,99,97.63,98.5,2604517
"2014-07-03",98.87,99.89,98.84,99.67,1320566
"2014-07-10",97.64,99.3,97.57,98.49,2085689
"2014-07-17",98.49,100.42,98.47,99.53,2279740
"2014-07-24",103.11,103.47,102.14,102.42,2287893
"2014-07-31",107.33,107.59,105.95,106.25,3505704
"2014-08-07",109.15,109.99,107.66,107.93,2604570
"2014-08-14",110,110.49,109.7,109.79,1909120
"2014-08-21",112.19,112.73,111.46,112.3,1887644
"2014-08-28",113.51,113.71,112.56,113.48,1602128
"2014-09-04",114.47,114.91,113.58,113.84,1572954
"2014-09-11",113.01,113.42,112.55,113.23,1806473
"2014-09-18",112.22,113.86,112.19,113.75,2911453
"2014-09-25",111.43,111.79,109.98,110.06,2033347
"2014-10-02",104.2,104.5,100.78,103,7078221
"2014-10-09",102.76,103.09,99.01,99.18,4465526
"2014-10-16",84.47,90.54,84.46,89.33,9025146
"2014-10-23",94.48,94.9,92.31,94.33,5020539
"2014-10-30",90.03,91.44,89.35,91.01,4771212
"2014-11-06",84.81,87.22,84.43,86.3,4869987
"2014-11-13",88.56,89.65,86.88,87.94,4850408
"2014-11-20",88,90.75,87.66,90.42,6185540
"2014-12-04",78.25,81.14,78.21,81.14,7160629
"2014-12-11",74.42,76.89,74.41,75.3,5133692
"2014-12-18",80.87,81.21,76.85,79.26,9716195
"2015-01-08",76.05,78.56,75.86,78.22,6055550
"2015-01-15",75.08,76.84,74.32,75.27,5792153
