"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume"
"2012-08-09",77.47,77.53,76.33,77.03,2564290
"2012-08-16",77.42,79.11,77.42,78.77,3660996
"2012-08-23",79.4,79.6,78.78,79.2,2493258
"2012-08-30",79.53,79.88,78.37,79.06,3705415
"2012-09-06",78.74,79.71,78.65,79.4,4581782
"2012-09-13",78.93,80.89,78.7,80.53,4667943
"2012-09-20",81.39,81.5,80.18,80.92,5668054
"2012-09-27",78.85,79,77.96,78.35,4807091
"2012-10-04",78.93,79.23,78.44,78.53,2933048
"2012-10-11",76.52,77.15,76.04,76.05,4408053
"2012-10-18",78.33,79.36,78.05,79.23,3316973
"2012-10-25",78.24,78.6,77.02,77.29,4529253
"2012-11-01",78.46,80.39,78.12,79.06,6020584
"2012-11-08",77.44,77.7,76.15,76.16,3399708
"2012-11-15",74.87,75.33,74.55,74.84,3625495
"2012-11-29",79.86,80.2,79.11,79.76,4206415
"2012-12-06",80.3,80.9,79.93,80.87,3156667
"2012-12-13",81.22,81.38,80.19,80.37,4064587
"2012-12-20",83.11,83.64,82.67,83.17,4136233
"2012-12-27",82.16,82.45,81.13,82.07,2953334
"2013-01-03",83.75,84.46,83.41,84.31,3786699
"2013-01-10",85,85.02,84.36,84.97,3541453
"2013-01-17",86.08,86.6,85.59,86.4,3430738
"2013-01-24",88.01,88.96,87.53,88.92,5352400
"2013-01-31",88.59,89.1,87.57,87.57,5747022
"2013-02-07",89.54,89.95,88.61,89.95,3780668
"2013-02-14",89.23,90,88.8,89.69,3629302
"2013-02-21",89.78,89.81,88.52,89.41,3790861
"2013-02-28",90.74,91.32,90.23,90.55,3838807
"2013-03-07",91.2,91.89,91.18,91.71,2526738
"2013-03-14",93.38,93.45,92.97,93.45,3274607
"2013-03-21",93.01,93.31,92.28,92.43,2222723
"2013-03-28",93.1,93.73,93.01,93.43,4047155
"2013-04-04",93.37,93.8,92.96,93.16,3029415
"2013-04-11",95.52,95.84,95.17,95.82,3908865
"2013-04-18",92.91,93.11,91.25,91.55,4387739
"2013-04-25",92.4,93.19,92,92.11,3592097
"2013-05-02",91.29,92.19,91.29,91.75,2725272
"2013-05-09",94.51,95.58,94.32,94.76,3633283
"2013-05-16",95.51,95.83,95.05,95.17,2939497
"2013-05-23",95.38,95.97,94.93,95.49,3270609
"2013-05-30",95.44,96.51,95.2,95.96,3701475
"2013-06-06",92.99,93.14,91.84,92.75,4648510
"2013-06-13",92.82,94.46,92.19,94.29,4092120
"2013-06-20",93.24,93.47,92.2,92.35,3758570
"2013-06-27",93.37,93.59,92.71,93.51,4421905
"2013-07-11",98.93,99.78,98.82,99.69,3736998
"2013-07-18",100.94,101.48,100.74,101.34,2704135
"2013-07-25",105.08,105.09,103.89,104.79,3339480
"2013-08-01",106.42,107.85,106.42,107.18,3014792
"2013-08-08",106.57,107.16,105.61,106.26,2100674
"2013-08-15",103.96,104.18,102.68,102.99,2747329
"2013-08-22",102.09,104,101.65,102.96,2703350
"2013-08-29",99.73,100.9,99.5,100.46,2323452
"2013-09-05",103.23,104.13,102.84,103.68,1672658
"2013-09-12",107.8,109.13,107.65,107.83,3514113
"2013-09-19",111.52,112.46,111.34,112,3094834
"2013-09-26",109.67,110.38,109.11,109.66,2577338
"2013-10-03",104.83,104.98,102.73,103.69,4265426
"2013-10-10",104.37,105.92,103.98,105.92,3419646
"2013-10-17",105.98,108.16,105.98,108.02,2069450
"2013-10-24",107.35,107.49,106.21,107.06,2654748
"2013-10-31",105.9,107.24,105.73,106.25,2963762
"2013-11-07",108.78,109.27,107.09,107.27,2536017
"2013-11-14",108.5,108.97,107.48,108.69,2561018
"2013-11-21",109.12,109.85,108.99,109.77,1964099
"2013-12-05",108.09,109.58,108.09,109.05,2023989
"2013-12-12",108.5,108.93,107.36,108.09,3652140
"2013-12-19",109.63,109.99,109.19,109.5,2927447
"2013-12-26",111.61,112.76,111.56,112.69,2449588
"2014-01-02",112.9,113.21,112.31,112.49,2649693
"2014-01-09",114.07,114.23,113.05,113.71,2123215
"2014-01-16",113.88,114.39,113.59,114.22,2653175
"2014-01-23",115.08,115.92,114.49,114.84,4086370
"2014-01-30",113.98,115.27,113.65,114.68,3211136
"2014-02-06",108.1,109.5,108.1,109.45,3717752
"2014-02-13",112.18,113.58,111.69,113.3,2520904
"2014-02-20",114.36,115.4,113.47,115.05,3096784
"2014-02-27",116.13,116.63,115.65,116.61,2147123
"2014-03-06",118.08,118.2,117.26,117.76,1787080
"2014-03-13",116.02,116.5,112.32,112.89,5926397
"2014-03-20",114.03,114.5,113,113.77,2895527
"2014-03-27",114.29,114.7,113.3,113.8,2412757
"2014-04-03",119.99,120,119.12,119.77,3775308
"2014-04-10",117.01,117.41,114.49,114.56,3075760
"2014-04-17",118.5,119.29,118.1,118.57,3314138
"2014-04-24",120.08,120.08,118.55,118.98,2150307
"2014-05-01",118.03,118.52,116.61,116.8,4123105
"2014-05-08",116.87,118.09,116.78,117.02,2520194
"2014-05-15",117.05,117.25,115.34,115.7,2864671
"2014-05-22",114.47,115.51,114.28,115.04,2176495
"2014-05-29",116.23,116.65,115.79,116.35,2279182
"2014-06-05",117.28,118.4,116.93,118.17,2803276
"2014-06-12",117.85,118.24,116.56,116.85,2537871
"2014-06-19",117.47,117.74,116.66,117.58,2256978
"2014-06-26",116.06,116.22,115.06,115.75,2914236
"2014-07-03",115.52,116,115.39,115.53,1746017
"2014-07-10",112.79,113.92,112.44,113.51,3654818
"2014-07-17",113.93,114.11,112.72,112.77,4876198
"2014-07-24",110,110.19,108.79,108.95,6811902
"2014-07-31",105.7,106.57,105.1,105.15,6528939
"2014-08-07",104.39,104.57,103.74,104.22,4155700
"2014-08-14",105.55,106.05,105.5,105.77,2327209
"2014-08-21",110,110.22,109.5,110.06,2849592
"2014-08-28",108.8,109.23,108.28,109.11,2128312
"2014-09-04",109.49,109.65,109.06,109.22,2856614
"2014-09-11",108.28,108.73,108.05,108.51,2270591
"2014-09-18",107.41,108.66,107.41,108.52,3439674
"2014-09-25",106,106.06,104.3,104.49,3936197
"2014-10-02",103.71,103.97,102.45,103.24,4034343
"2014-10-09",102.25,102.71,99.83,99.94,6740200
"2014-10-16",98.16,100.09,97.95,99.23,6099346
"2014-10-23",102.87,103.94,102.46,103.18,5691721
"2014-10-30",105.21,106.59,104.7,106.34,2890537
"2014-11-06",107.9,108.83,107.78,108.58,3581311
"2014-11-13",108.32,108.97,107.97,108.14,4211737
"2014-11-20",108,108.86,107.87,108.82,2195714
"2014-12-04",110.47,111.22,109.95,111.21,4645509
"2014-12-11",114.1,114.86,113.26,114.04,5286118
"2014-12-18",115.15,116.96,114.5,116.96,4739978
"2015-01-08",113.92,115,113.3,114.65,3899898
"2015-01-15",114.17,114.69,113.06,113.52,3170579
"2015-01-22",119.76,120.68,118.76,120.45,6562889
"2015-01-29",116.88,117.03,114.47,116.45,6328643
"2015-02-05",118.26,120.36,117.92,120.11,4687311
"2015-02-12",119.17,119.96,118.82,119.59,2896974
"2015-02-19",121.58,123,121.58,122.91,3407031
"2015-02-26",123.32,123.55,122.15,122.67,2498163
"2015-03-05",121.29,121.49,120.34,120.79,1928310
"2015-03-12",120.35,121.47,120.28,121.24,4907836
"2015-03-19",120.04,120.31,119.04,119.38,2880840
"2015-03-26",115.96,116.62,115.02,116.04,4389728
"2015-04-02",116.59,117.68,115.99,117.13,4227259
"2015-04-09",117.7,118.74,117.18,117.88,2088375
"2015-04-16",117.35,118.31,116.92,117.48,2905076
"2015-04-23",116.42,117.91,116.03,117.26,2632790
"2015-04-30",114.93,115.63,113.29,113.75,3899200
"2015-05-07",115.13,116.56,114.59,116.04,3155721
"2015-05-14",117.82,119.37,117.82,119.14,2728783
"2015-05-21",118.81,119.66,118.7,119.12,2121214
"2015-05-28",117.27,118,117.27,117.69,2904413
"2015-06-04",117.83,118.42,116.79,117.14,3581637
"2015-06-11",117.99,118.4,117.43,118.32,2707484
"2015-06-18",114.29,116.56,114.29,115.9,3753626
"2015-06-25",114.24,114.65,113.3,113.3,3786178
