"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume"
"2013-04-04",49.53,49.85,49.26,49.51,2560785
"2013-04-11",49.89,50.43,49.77,50.28,3474603
"2013-04-18",48.86,49,48.22,48.44,4683418
"2013-04-25",49.86,49.97,49.3,49.53,3851742
"2013-05-02",48.56,48.81,48.08,48.25,5378371
"2013-05-09",49.62,49.69,49.27,49.43,3223106
"2013-05-16",50.36,50.52,50.03,50.16,2849023
"2013-05-23",48.41,49.01,48.26,48.76,3868935
"2013-05-30",48.69,49.05,48.59,48.83,3215866
"2013-06-06",45.84,46.49,45.6,46.49,4164116
"2013-06-13",46.97,47.52,46.53,47.41,3063890
"2013-06-20",46.74,47.99,46.47,46.57,5458756
"2013-06-27",48.06,48.42,48,48.3,2486186
"2013-07-11",50.76,50.85,50.27,50.38,2735594
"2013-07-18",51.31,52.38,51.25,52.08,3134786
"2013-07-25",51.13,51.28,50.61,51.22,2933843
"2013-08-01",51.93,52.61,51.75,52.22,3831019
"2013-08-08",50.41,50.94,50.26,50.39,3445645
"2013-08-15",49.67,50.12,49.2,49.36,2456872
"2013-08-22",48.81,49.54,48.8,49.4,1431374
"2013-08-29",47.74,48.22,47.66,48.07,2033882
"2013-09-05",48.29,48.65,48.23,48.48,2548712
"2013-09-12",50.6,50.72,50.08,50.12,2606866
"2013-09-19",52,52.8,51.97,52.62,4229240
"2013-09-26",51.53,51.92,51.26,51.35,2331760
"2013-10-03",50.84,50.98,50.24,50.89,4243941
"2013-10-10",51.55,52.02,51.55,51.98,2275143
"2013-10-17",53.39,54,53.38,53.95,1753984
"2013-10-24",53.16,53.56,53.14,53.55,2721455
"2013-10-31",52.43,53.56,52.29,53.06,4230470
"2013-11-07",53.68,53.85,52.93,52.94,2233478
"2013-11-14",54,54.5,53.81,54.47,1713584
"2013-11-21",53.88,54.48,53.8,54.32,2191806
"2013-12-05",53.46,53.71,53.17,53.4,2607890
"2013-12-12",52.96,53.19,52.76,52.79,2065644
"2013-12-19",52.45,53.33,52.33,53.25,3017260
"2013-12-26",54.03,54.07,53.66,53.77,1297117
"2014-01-02",54.09,54.45,53.5,53.55,1909106
"2014-01-09",53.62,54,53.55,53.83,1991611
"2014-01-16",53.82,53.89,53.08,53.18,3703775
"2014-01-23",52.01,52.18,51.33,51.64,2879565
"2014-01-30",52.05,52.36,51.84,52.3,1801689
"2014-02-06",50.87,52.39,50.24,52.36,6487386
"2014-02-13",52.25,52.71,52.06,52.7,1671312
"2014-02-20",53.22,53.65,52.43,53.47,4347792
"2014-02-27",53.57,54.24,53.34,54.23,2373188
"2014-03-06",55.2,55.48,54.96,55.17,2414658
"2014-03-13",55.63,55.71,55.07,55.11,2762507
"2014-03-20",55.07,55.79,55.01,55.56,2539198
"2014-03-27",55.6,55.8,55.45,55.64,1925649
"2014-04-03",56.48,56.68,56.26,56.59,2207721
"2014-04-10",56.11,56.43,55.5,55.51,3705588
"2014-04-17",55.79,56.27,55.67,55.77,3150446
"2014-04-24",56.37,56.47,56.05,56.4,1885643
"2014-05-01",56.93,57.5,56.79,57.29,2177538
"2014-05-08",57.69,58.32,57.66,57.98,3403404
"2014-05-15",57.87,57.9,57.38,57.56,3390696
"2014-05-22",58.4,58.52,58.26,58.35,1797966
"2014-05-29",58.26,58.38,58.04,58.3,1240158
"2014-06-05",58.6,59.18,58.6,59.11,2443715
"2014-06-12",59.14,59.26,58.58,58.71,2087714
"2014-06-19",59.03,59.04,58.48,58.82,3662789
"2014-06-26",58.73,58.81,58.41,58.55,1734413
"2014-07-03",59.22,59.4,58.93,58.97,1530191
"2014-07-10",58.07,58.29,57.69,58.07,2701858
"2014-07-17",58.03,58.6,57.81,57.82,1970410
"2014-07-24",58.25,58.57,58.13,58.49,1138147
"2014-07-31",58.19,59.89,57.2,58.45,6260338
"2014-08-07",59.71,59.97,59.13,59.31,3130362
"2014-08-14",60.19,60.79,60.19,60.78,2512904
"2014-08-21",61.4,61.56,61.1,61.51,2367579
"2014-08-28",61.33,61.54,61.13,61.15,1847137
"2014-09-04",61.67,61.87,61.32,61.37,1563772
"2014-09-11",60.8,61.24,60.78,61.21,1764753
"2014-09-18",61.9,62.41,61.79,62.32,1881219
"2014-09-25",61.47,61.58,61.02,61.09,2005855
"2014-10-02",60.92,61.43,60.74,61.14,1961656
"2014-10-09",61.55,61.86,61,61.01,2819250
"2014-10-16",59.76,60.33,59.28,59.86,3693985
"2014-10-23",62.4,62.42,61.88,62,2454653
"2014-10-30",63.6,64.13,63.42,63.91,2503939
"2014-11-06",65.69,66.24,65.6,66.13,2538877
"2014-11-13",67.17,67.32,66.71,66.92,1962911
"2014-11-20",66.94,67.48,66.88,67.29,1635512
"2014-12-04",68.12,68.66,68.06,68.39,2551397
"2014-12-11",68.59,69.66,68.33,69.06,3088811
"2014-12-18",69.17,69.79,68.84,69.79,2979948
"2015-01-08",70.25,71.15,70.21,71.15,2967847
"2015-01-15",69.44,69.88,69.12,69.23,2058231
"2015-01-22",70.67,72.11,70.39,71.95,2523003
"2015-01-29",70.52,71.25,70.27,71.05,2854998
"2015-02-05",69.68,72.52,69.04,72.3,4825039
"2015-02-12",71.24,71.69,71.16,71.57,2063370
"2015-02-19",70.65,71.27,70.59,71.17,2001889
"2015-02-26",70.87,71.42,70.87,71.31,1903381
"2015-03-05",69.79,69.91,69.3,69.56,3138006
"2015-03-12",69.4,70.42,69.33,70.4,1635454
"2015-03-19",70.7,71.27,70.32,70.6,2623199
"2015-03-26",70.3,70.54,69.98,70.2,1933879
"2015-04-02",71.29,71.65,71.14,71.45,1971936
"2015-04-09",71.61,72.01,71.61,71.9,1828325
"2015-04-16",71.86,72.31,71.51,72.04,1490136
"2015-04-23",70.68,71.28,70.6,70.81,1917036
"2015-04-30",70.14,70.38,69.33,69.66,3440781
"2015-05-07",67.23,67.86,66.98,67.72,4320193
"2015-05-14",67.21,67.67,67.19,67.64,2061778
"2015-05-21",68.42,68.61,67.88,68.1,2538855
"2015-05-28",67.4,67.94,67.4,67.8,2044246
"2015-06-04",67.38,67.68,66.96,67.05,2392353
"2015-06-11",67.05,67.49,66.92,67.49,2069636
"2015-06-18",67.38,68.47,67.34,68.35,2905857
"2015-06-25",66.19,66.28,65.03,65.03,3805781
"2015-07-02",65.48,65.7,64.89,64.99,2818082
"2015-07-09",65.76,65.77,65.25,65.41,2358893
"2015-07-16",68.34,68.49,67.64,67.98,1978416
"2015-07-23",68.4,68.66,68.2,68.36,2112818
"2015-07-30",68.85,69.28,68.72,69.16,1371927
"2015-08-06",62.86,63.06,61.59,61.97,3843591
"2015-08-13",63.62,64.04,63.44,63.49,2261465
"2015-08-20",63.14,63.14,62.66,62.7,2529800
"2015-08-27",57.64,59.02,57.51,58.74,4777689
"2015-09-03",58.01,58.55,57.82,57.98,2177136
"2015-09-10",57.24,58.04,57.01,57.67,2595153
"2015-09-17",59.25,59.81,58.82,58.99,4719572
"2015-09-24",58.12,58.81,57.77,58.59,2552688
"2015-10-01",58.25,58.44,57.33,57.97,3853141
"2015-10-08",59.88,61.23,59.74,61.12,2474983
"2015-10-15",60.43,61.69,60.26,61.59,2906602
"2015-10-22",61,61.64,60.62,61.55,2836172
"2015-10-29",62.16,62.93,62.07,62.79,2700879
"2015-11-05",62.96,63.72,62.9,63.55,3230794
"2015-11-12",62.43,62.88,62.28,62.55,2948980
"2015-11-19",63.49,63.62,63.21,63.37,1660357
"2015-12-03",62.95,63.27,62.49,62.77,3197882
"2015-12-10",62.91,63.08,62.3,62.48,2417128
"2015-12-17",63.41,63.41,62.37,62.37,2161643
"2015-12-24",62.83,63.45,62.68,63.14,1298653
"2015-12-31",62.62,62.77,62.07,62.09,1573616
"2016-01-07",58.79,59.66,58.31,58.44,3982556
"2016-01-14",57.97,59.18,57.97,58.42,3193228
"2016-01-21",58.21,58.66,57.82,58.15,3858001
"2016-01-28",58.83,59.5,58.42,59.22,3191019
"2016-02-04",60.48,61.93,60.48,62.05,5505355
"2016-02-11",61.95,62.66,61.7,62.32,3006392
"2016-02-18",64.91,65,64.07,64.3,4086419
"2016-02-25",63.92,64.44,63.67,64.41,1935492
"2016-03-03",65.4,65.47,65,65.31,1985356
"2016-03-10",64.59,65.02,63.73,64.26,3071393
"2016-03-17",66.33,67.45,66.07,67.2,2334128
"2016-03-24",66.47,66.48,65.94,66.19,1396720
"2016-03-31",67.75,67.92,67.25,67.37,1683765
"2016-04-07",66.49,66.81,66.03,66.28,1599984
"2016-04-14",67.15,67.47,66.58,66.67,2457493
"2016-04-21",65.4,66.57,65.24,65.45,3295891
"2016-04-28",65.02,65.55,64.8,64.95,1482320
"2016-05-05",68.09,69.24,67.05,67.87,4521612
"2016-05-12",67.57,67.77,67.08,67.54,1601937
"2016-05-19",66.98,67.25,66.59,66.84,2159414
"2016-05-26",67.28,67.58,67.15,67.51,1229784
"2016-06-02",67.29,67.44,67.11,67.44,1153054
"2016-06-09",67.49,67.96,67.37,67.79,1456741
"2016-06-16",65.49,66.57,65.45,66.47,1565173
"2016-06-23",67.61,67.86,67.42,67.86,2030630
"2016-06-30",68.54,69.95,68.52,69.95,2637984
"2016-07-07",69.45,69.77,68.79,68.94,1928906
"2016-07-14",69.62,69.92,69.25,69.31,1454451
"2016-07-21",69.07,69.12,68.8,68.89,1072127
"2016-07-28",68.84,69.37,68.64,69.17,903647
"2016-08-04",67.99,69.24,67.99,68.62,2149815
"2016-08-11",69.42,69.51,69.04,69.11,1796681
"2016-08-18",69.16,69.55,69.07,69.44,1657033
"2016-08-25",68.22,68.68,68.12,68.54,1145126
"2016-09-01",68.97,69.08,68.32,68.66,1699016
"2016-09-08",69.29,69.38,69.06,69.22,1382500
"2016-09-15",67.36,68.05,67.27,67.82,1761550
