"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume"
"2015-05-14",63.69,64.5,63.69,64.32,914489
"2015-05-21",64.35,65.98,64.21,65.94,1594796
"2015-05-28",64.25,64.7,64.08,64.48,609401
"2015-06-04",63.24,63.37,62.05,62.16,972245
"2015-06-11",62.14,62.25,61.54,62.19,737898
"2015-06-18",61.56,61.95,61.24,61.73,916403
"2015-06-25",63.73,64.02,63.18,63.68,3015314
"2015-07-02",68.99,69.08,67.69,67.94,1401652
"2015-07-09",65.95,66.19,64.52,64.55,1031121
"2015-07-16",64.31,64.62,63.81,64.38,965964
"2015-07-23",61.04,62.06,60.85,61.87,1480355
"2015-07-30",60.73,60.86,60.17,60.74,794189
"2015-08-06",60.95,61.26,60.46,60.97,827715
"2015-08-13",61.02,62.12,60.77,61.2,375386
"2015-08-20",60.32,60.44,58.88,58.9,900774
"2015-08-27",55.1,56.52,54.86,55.75,1507164
"2015-09-03",53.87,54.67,53.8,54.23,800926
"2015-09-10",54.05,54.97,53.26,54.21,993189
"2015-09-17",54.69,54.84,53.08,53.21,1570928
"2015-09-24",49.92,51.31,49.44,51.07,1709980
"2015-10-01",51.08,51.5,49.33,49.55,2051879
"2015-10-08",55.17,57.55,54.97,57.53,2266760
"2015-10-15",55.65,56.68,54.73,56.65,1981938
"2015-10-22",54.1,56.33,54.02,55.67,3058515
"2015-10-29",54.5,55.55,54.42,55.34,1082015
"2015-11-05",58.37,59.69,58.13,59.4,1859065
"2015-11-12",55.77,56.34,54.41,54.45,1707867
"2015-11-19",56.31,56.94,55.97,56.77,732341
"2015-12-03",55.68,56.26,55.4,55.83,2229828
"2015-12-10",52.71,53.76,52.39,53.27,1193797
"2015-12-17",51.8,52.28,49.58,49.58,2230778
"2015-12-24",50.36,50.67,50.12,50.28,396765
"2015-12-31",49.72,50.04,49.48,49.53,723558
"2016-01-07",46.67,47.26,46.27,46.48,1642035
"2016-01-14",45.3,46,44.5,45.51,1679086
"2016-01-21",43.22,43.69,42.52,43.38,2347340
"2016-01-28",46.1,46.32,44.66,45.47,1696012
"2016-02-04",45.52,48.1,45.52,46.81,3012255
"2016-02-11",42.19,43.55,41.57,43.08,1838636
"2016-02-18",47.38,48.52,47.12,48.27,2304522
"2016-02-25",47.86,48.27,46.6,47.9,1354115
"2016-03-03",50.6,51.11,50.24,50.88,1284700
"2016-03-10",50.3,50.87,48.87,49.48,1443177
"2016-03-17",51.99,53.86,51.67,53.81,1867154
"2016-03-24",52.45,52.74,51.79,52.65,1315714
"2016-03-31",54.09,54.54,54.01,54.26,1227732
"2016-04-07",51.17,51.31,50.61,50.7,1762741
"2016-04-14",55.36,55.66,54.78,55.31,1209876
"2016-04-21",56.39,56.83,56.01,56.44,902490
"2016-04-28",59.33,59.73,58.51,58.69,1269749
"2016-05-05",57.32,57.61,56.72,56.9,1037743
"2016-05-12",59.3,59.84,58.55,59.22,1445994
"2016-05-19",58.66,58.77,57.67,58.36,2136494
"2016-05-26",61.55,62.13,60.77,60.84,1172069
"2016-06-02",60.13,63.39,59.69,60.75,4322609
"2016-06-09",60.53,60.56,59.86,60.16,1030130
"2016-06-16",59.17,60.36,58.81,60.28,1861155
"2016-06-23",61.48,61.63,61.17,61.51,1232230
"2016-06-30",57.92,58.3,57.31,58.29,1327469
"2016-07-07",59.26,59.87,58.94,59.32,1038763
"2016-07-14",64,64.02,63.39,63.41,1017828
"2016-07-21",62.24,62.88,61.79,61.98,1078282
"2016-07-28",63.22,64.14,62.37,63.88,1367821
"2016-08-04",62.29,63.04,62.2,62.25,714857
"2016-08-11",64.68,66.07,64.37,65.83,1127005
"2016-08-18",66.63,66.76,66.35,66.53,631934
"2016-08-25",64.47,64.53,63.82,63.98,1382737
"2016-09-01",62.94,63.49,62.42,63.21,1584932
"2016-09-08",63.01,63.01,62.04,62.17,1858646
"2016-09-15",58.86,59.26,58.5,59.01,2166720
