"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume"
"2013-06-06",35,35.36,34.64,35.2,1851763
"2013-06-13",35.32,36.52,35.08,36.4,1627804
"2013-06-20",37.36,37.66,36.76,36.92,2790356
"2013-06-27",36.08,36.92,36.02,36.72,1552242
"2013-07-11",38.8,39.16,38.56,38.84,2166592
"2013-07-18",38.88,39.36,38.8,39.28,2742755
"2013-07-25",39.76,40,39.04,39.2,6518031
"2013-08-01",39.12,39.68,38.98,39.64,3042770
"2013-08-08",39.72,40.06,39.44,39.92,2291155
"2013-08-15",41.6,41.8,40.84,41.12,2547158
"2013-08-22",40.32,40.46,39.9,40.12,1603206
"2013-08-29",39.6,40.48,39.44,40.16,3452555
"2013-09-05",40.04,40.32,40,40.24,2825646
"2013-09-12",41.28,41.32,40.4,40.56,2188835
"2013-09-19",41.64,41.8,40.72,40.96,2876840
"2013-09-26",41.48,41.8,41.22,41.52,2314982
"2013-10-03",41.88,42.16,41.16,41.6,1681513
"2013-10-10",41.4,42.6,41.4,42.6,2867053
"2013-10-17",42.64,43.28,42.48,43.2,1937162
"2013-10-24",41.88,42,38.2,38.44,8362083
"2013-10-31",39.2,40.18,39,39.76,3447673
"2013-11-07",41.36,41.48,40.2,40.36,3692445
"2013-11-14",44.24,44.4,43.52,44.12,2732839
"2013-11-21",44.32,44.64,44,44.28,3380500
"2013-12-05",44.48,44.92,43.96,44.16,2532032
"2013-12-12",44.64,45.04,44.24,44.8,1656320
"2013-12-19",47.04,47.4,46.72,47.12,1919334
"2013-12-26",48.76,49.12,48.68,48.92,1147016
"2014-01-02",48.36,48.44,47.08,47.64,2620351
"2014-01-09",48.4,48.6,47.68,48.2,1599458
"2014-01-16",49.56,50.6,49.56,49.76,3061594
"2014-01-23",47.88,48,46.68,47.04,5861006
"2014-01-30",42.68,44.4,42.64,44.2,6356790
"2014-02-06",41.32,41.68,41.18,41.4,4358136
"2014-02-13",42.56,43.24,42.44,43.16,3030580
