"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume"
"2013-01-03",34.63,34.75,34.14,34.31,21819654
"2013-01-10",34.56,34.92,34.41,34.91,17843884
"2013-01-17",34.76,34.81,34.6,34.62,17828043
"2013-01-24",34.88,35.4,34.82,34.94,18662261
"2013-01-31",35.27,35.69,35.25,35.51,19077604
"2013-02-07",35.14,35.19,34.45,34.56,26869281
"2013-02-14",34.87,35.07,34.69,34.9,15887050
"2013-02-21",34.95,34.95,34.17,34.28,20923524
"2013-02-28",34.7,34.86,34.22,34.24,23816996
"2013-03-07",35.94,36.13,35.76,35.94,15104557
"2013-03-14",35.8,36.32,35.62,36.3,21042107
"2013-03-21",32.78,32.94,32.18,32.3,132669406
"2013-03-28",31.89,32.39,31.79,32.33,23679815
"2013-04-04",32.36,32.51,32.23,32.36,18169869
"2013-04-11",33.62,33.92,33.56,33.62,23080618
"2013-04-18",32.65,32.8,31.9,32.12,24892486
"2013-04-25",32.56,32.58,32.21,32.27,25913266
"2013-05-02",33.11,33.78,32.98,33.69,22993393
"2013-05-09",33.3,34,33.28,33.7,18722157
"2013-05-16",34.09,34.61,34.09,34.37,25526628
"2013-05-23",33.95,34.41,33.86,34.23,20442625
"2013-05-30",34.49,34.79,34.34,34.34,17928351
"2013-06-06",33.98,33.98,33.13,33.35,29160177
"2013-06-13",33.47,34.32,33.41,34.25,15727440
"2013-06-20",33.88,34.02,33.03,33.21,35222399
"2013-06-27",30.31,31.14,30.29,30.45,43016091
"2013-07-11",31.57,32,31.57,31.86,33193603
"2013-07-18",31.96,32.46,31.81,32.01,23621144
"2013-07-25",32.41,32.41,31.97,32.37,21051436
"2013-08-01",32.62,32.83,32.4,32.75,15800980
"2013-08-08",32.91,33.1,32.76,33.02,14204640
"2013-08-15",33.24,33.24,32.54,32.73,19574910
"2013-08-22",32.42,32.53,32.13,32.4,10271780
"2013-08-29",31.57,31.98,31.56,31.7,14012139
"2013-09-05",32.38,32.52,32.16,32.26,11437819
"2013-09-12",33.01,33.11,32.74,32.79,16250325
"2013-09-19",33.64,34,33.25,33.89,63329516
"2013-09-26",33.98,34.26,33.69,33.81,15621290
"2013-10-03",33.53,33.68,33.08,33.24,15480112
"2013-10-10",32.48,33,32.34,32.99,21581394
"2013-10-17",32.62,33.05,32.52,32.87,22822284
"2013-10-24",32.74,33.25,32.73,33.07,26573583
"2013-10-31",33.5,33.91,33.44,33.5,16172506
"2013-11-07",34.18,34.46,33.94,34,17101351
"2013-11-14",34.17,34.57,34.06,34.38,25791002
"2013-11-21",34.84,35.05,34.71,34.94,11773038
"2013-12-05",35.17,35.17,34.82,34.85,20839845
"2013-12-12",33.83,33.9,33.29,33.6,30946095
"2013-12-19",35.56,36.96,35.5,36.6,62857058
"2013-12-26",37.33,37.75,37.3,37.69,11517965
"2014-01-02",37.78,38.03,37.55,37.84,18163750
"2014-01-09",37.85,37.85,37.46,37.65,13623514
"2014-01-16",38.39,38.77,38.17,38.29,13463041
"2014-01-23",38.17,38.26,37.93,38.15,14174259
"2014-01-30",37.19,37.56,37.08,37.4,12976123
"2014-02-06",36.12,36.83,36.11,36.72,14762157
"2014-02-13",37.84,38.49,37.78,38.42,11690786
"2014-02-20",37.84,38.35,37.7,38.27,11786612
"2014-02-27",38.5,39.1,38.36,38.95,14055693
"2014-03-06",39.68,39.85,39.42,39.46,13082468
"2014-03-13",38.62,38.66,37.52,37.65,15361198
"2014-03-20",38.5,38.69,38.01,38.37,18960231
"2014-03-27",38.99,39.56,38.8,39.24,26283593
"2014-04-03",41.04,41.14,40.34,40.37,22500195
"2014-04-10",40.89,41.05,39.48,39.79,26397893
"2014-04-17",39.96,40.18,39.39,40.08,14644119
