"","DPS.Open","DPS.High","DPS.Low","DPS.Close","DPS.Volume"
"2016-06-23",92.51,92.64,92.08,92.57,418309
"2016-06-30",94.05,96.65,94.04,96.63,1500428
"2016-07-07",98.03,98.4,96.84,97.01,915584
"2016-07-14",95.94,97.54,95.94,96.95,727641
"2016-07-21",97.29,97.6,97.07,97.57,791135
"2016-07-28",96.2,98.08,96.2,97.87,1124067
"2016-08-04",96.71,97.49,96.45,97.19,873006
"2016-08-11",97.37,97.68,96.65,96.98,944465
"2016-08-18",95.69,96.27,95.43,95.64,726155
"2016-08-25",93.53,93.88,93.16,93.52,1188663
"2016-09-01",93.59,93.78,92.61,93.32,1183428
"2016-09-08",93.15,93.88,92.77,92.99,1172842
"2016-09-15",90.11,90.54,89.9,90.22,1036720
