"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume"
"2012-07-26",57.45,57.8,56.95,57.74,3792210
"2012-08-02",58.27,58.34,57.4,57.95,2356910
"2012-08-09",58.53,59,58.53,58.78,1415296
"2012-08-16",59.6,59.64,58.84,58.92,1981005
"2012-08-23",58.33,58.49,58.02,58.27,1464918
"2012-08-30",58.37,58.67,58.01,58.45,1543803
"2012-09-06",58.48,59.05,58.36,59.04,2106927
"2012-09-13",60.01,61.09,60.01,60.77,4310556
"2012-09-20",60.73,61.13,60.59,61,2832980
"2012-09-27",60.1,60.5,59.8,60.23,2244027
"2012-10-04",61.43,61.88,61.08,61.75,2202985
"2012-10-11",61.14,61.34,60.75,60.96,2151921
"2012-10-18",61.43,63.05,61.43,62.74,4175386
"2012-10-25",61.74,61.89,60.99,61.42,1794922
"2012-11-01",62.62,63.98,62.45,63.61,4485178
"2012-11-08",65.49,65.86,64.58,64.59,4867594
"2012-11-15",64.99,66,64.83,65.9,4214998
"2012-11-29",66.26,66.36,65.59,65.96,2366866
"2012-12-06",64.5,64.6,63.86,64.43,3742184
"2012-12-13",65.8,65.94,65.31,65.66,1719821
"2012-12-20",66.53,67.8,66.53,67.8,3002418
"2012-12-27",66.35,66.78,65.72,66.53,1782041
"2013-01-03",67.58,67.83,67.44,67.78,2528779
"2013-01-10",68.69,68.81,68.24,68.43,2799458
"2013-01-17",66.78,67.42,66.57,67.19,5242546
"2013-01-24",66.29,67.98,65.89,67.78,4036915
"2013-01-31",67.96,68.16,67.39,67.84,2360004
"2013-02-07",69.09,69.12,68.36,68.53,2662516
"2013-02-14",68.31,69.04,67.9,68.17,3086932
"2013-02-21",67.37,67.62,66.4,66.42,3221285
"2013-02-28",67.41,67.99,67.31,67.6,3603010
"2013-03-07",69.88,70.09,69.18,69.29,2620971
"2013-03-14",69.78,70.34,69.72,70.06,3217891
"2013-03-21",69.57,70.23,69.47,70.06,2065011
"2013-03-28",72.03,72.74,71.82,72.64,2450604
"2013-04-04",71.55,72.24,70.97,71.12,4292853
"2013-04-11",71.45,72.07,71.33,71.87,3214319
"2013-04-18",70.54,71.16,68.71,68.9,4277745
"2013-04-25",69.75,69.77,68.89,69.09,4282602
"2013-05-02",69.09,70.8,69.02,70.7,3234788
"2013-05-09",71.09,71.45,70.79,70.99,3203523
"2013-05-16",70.55,71.99,70.36,71.85,5876564
"2013-05-23",71.85,72.3,71.45,72.15,3260278
"2013-05-30",71.4,72.32,71.29,72,1992036
"2013-06-06",68.93,69.52,68.5,69.52,2917006
"2013-06-13",69.65,70.92,68.82,70.75,2973535
"2013-06-20",69.24,69.3,67.91,68.1,3140136
"2013-06-27",70.2,70.4,69.64,69.7,2790474
"2013-07-11",71.91,72.76,71.78,72.62,2777436
"2013-07-18",73.66,74.14,72.75,73.1,3027294
"2013-07-25",73.4,73.58,72.63,72.81,2757242
"2013-08-01",73.5,73.67,72.03,72.2,4021960
"2013-08-08",71.8,73.24,71.8,73.16,3477029
"2013-08-15",73.17,73.45,71.75,72.33,3933436
"2013-08-22",71.16,71.47,70.46,71.42,1100150
"2013-08-29",70.49,70.67,70,70.16,2028803
"2013-09-05",69.73,69.97,69.54,69.78,2190862
"2013-09-12",72.19,72.3,71.45,71.63,2429386
"2013-09-19",71.84,72.37,71.1,72.2,2208066
"2013-09-26",66.81,67.06,66.09,66.35,5600033
"2013-10-03",63.98,65.14,63.94,64.46,6066740
"2013-10-10",65.45,65.96,65.41,65.96,3029997
"2013-10-17",66.47,67.38,65.77,67.24,3807079
"2013-10-24",65.76,65.89,64.99,65.44,3880527
"2013-10-31",66,66.45,65.7,65.87,3080243
"2013-11-07",65.82,66.12,65.22,65.22,2991868
"2013-11-14",66.69,67.64,66.52,67.6,4437431
"2013-11-21",69.11,69.25,68.2,68.41,3330907
"2013-12-05",66.56,67.11,66.3,66.7,4657951
"2013-12-12",66.82,66.98,66.25,66.55,3250322
"2013-12-19",67.42,67.42,66.48,67.06,3432129
"2013-12-26",69.22,69.5,68.65,69.32,1670692
"2014-01-02",69.54,69.68,69.04,69.19,2069974
"2014-01-09",70.18,70.29,69.46,70.21,3924848
"2014-01-16",69.37,70.47,69.37,70.06,2596049
"2014-01-23",70.45,70.74,68.98,69,4464615
"2014-01-30",68.76,69.43,68.44,69.27,3777254
"2014-02-06",67.54,67.67,67.04,67.09,3559938
"2014-02-13",68.96,69.35,68.62,69.26,2267102
"2014-02-20",69.1,69.68,69.09,69.35,2571835
"2014-02-27",69.15,69.49,68.06,68.89,3614016
"2014-03-06",68,68.09,67.5,67.57,3226579
"2014-03-13",67.77,67.83,66.9,66.97,1748365
"2014-03-20",67.29,67.86,67.04,67.84,3069801
"2014-03-27",75.68,75.68,72.69,72.8,19991727
"2014-04-03",73.45,73.5,72.8,73.39,3351079
"2014-04-10",73.49,73.5,71.84,72.26,3038704
"2014-04-17",73.52,74,72.41,72.81,4258274
"2014-04-24",72.58,72.86,72.27,72.3,2682081
"2014-05-01",72.85,74.63,72.85,74.39,5121502
"2014-05-08",74.64,75.42,74.5,74.83,2255478
"2014-05-15",75.09,75.46,74.3,74.58,3103995
"2014-05-22",74.22,74.75,74.07,74.54,1540331
"2014-05-29",74.46,74.6,74.27,74.4,1311467
"2014-06-05",73.27,74.02,72.97,73.91,4259844
"2014-06-12",73.26,73.3,72.81,73,2399474
"2014-06-19",73.78,74.03,73.66,73.89,1950263
"2014-06-26",73.81,73.85,72.76,73.23,2593682
"2014-07-03",75.08,75.24,74.52,74.88,1388954
"2014-07-10",75.43,76.78,75.15,76.75,3308227
"2014-07-17",76.19,77.24,75.94,76.25,2564419
"2014-07-24",76.85,77.29,76.63,77,2326817
"2014-07-31",75.42,75.67,74.52,74.69,3411392
"2014-08-07",74.55,74.74,73.53,73.77,1542883
"2014-08-14",75.22,75.22,74.56,74.75,1599413
"2014-08-21",76.31,76.34,75.67,75.8,2101616
"2014-08-28",75.11,75.19,74.63,74.91,1604870
"2014-09-04",74.15,74.74,73.62,73.71,2393967
"2014-09-11",74.92,75.35,74.65,75.09,1841486
"2014-09-18",72.9,73.24,72.36,73.1,3169148
"2014-09-25",71.88,71.89,71.19,71.28,1762827
"2014-10-02",71.61,71.68,70.81,71.55,2239602
"2014-10-09",72.93,73.25,71.71,71.81,2689237
"2014-10-16",67,69.18,67,68.18,5768205
"2014-10-23",68.98,69.47,68.95,69.1,2146565
"2014-10-30",70.25,70.25,69.5,70.06,3586201
"2014-11-06",71,71.77,70.66,71.6,4749780
"2014-11-13",71.43,72.25,71.33,72.08,2915502
"2014-11-20",72.23,72.34,71.6,71.99,3330716
"2014-12-04",73.39,73.62,73.02,73.57,2202213
"2014-12-11",73.63,73.63,72.85,73.11,2440490
"2014-12-18",73.19,74.08,72.9,74.07,2688045
"2015-01-08",72.28,73.46,72.24,73.3,3079353
"2015-01-15",72.12,72.31,71.22,71.48,2030815
"2015-01-22",71.88,72.29,71.04,72.26,2728202
"2015-01-29",71.28,71.9,70.27,71.38,4908682
"2015-02-05",71,71.82,70.7,71.36,3327512
"2015-02-12",69.82,70.13,69.57,70.08,2097099
"2015-02-19",68.19,68.24,67.34,67.42,5890853
"2015-02-26",68.7,69.15,68.53,68.67,2370863
"2015-03-05",69.5,69.62,68.96,69.21,2034085
"2015-03-12",67.15,67.42,66.93,67,3322848
"2015-03-19",68.48,68.64,67.75,67.98,4725828
"2015-03-26",68,68.64,67.8,68.02,3320458
"2015-04-02",67.5,68.25,67.11,68,2593482
"2015-04-09",69.49,70.2,69.26,70.15,3581703
"2015-04-16",70.06,70.31,69.86,70.15,2866775
"2015-04-23",70.52,72.06,70.02,71.51,4619308
"2015-04-30",69.46,69.46,68.49,68.74,2428928
"2015-05-07",69.23,69.75,68.58,69.33,2637735
"2015-05-14",68.5,69.11,68.24,69.04,2493030
"2015-05-21",67.88,68.02,67.18,67.54,5425847
"2015-05-28",66.84,67.25,66.79,67.15,4819273
"2015-06-04",65.61,65.83,65.14,65.62,5711625
"2015-06-11",66.03,68.4,65.92,68.26,12780297
"2015-06-18",68.19,69.5,68.16,69.25,7440028
"2015-06-25",71.3,72.54,71.15,72.34,9423492
"2015-07-02",38.77,38.85,38.2,38.3,20257093
"2015-07-09",37.08,37.09,36.73,37.02,10327207
"2015-07-16",37.76,37.82,37.54,37.77,8280712
"2015-07-23",37.8,38.21,37.76,37.97,10271983
"2015-07-30",37.82,40.07,37.71,40.01,14504032
"2015-08-06",41.89,42.56,41.78,41.93,23178468
"2015-08-13",40.81,41.04,40.51,40.82,4966905
"2015-08-20",40,40.14,39.51,39.61,7850732
"2015-08-27",37.97,38.77,37.74,38.59,9198189
"2015-09-03",37.54,37.79,36.92,37.05,5831542
"2015-09-10",36.25,36.32,35.75,36.07,5871902
"2015-09-17",36.25,36.88,36.12,36.35,3326530
"2015-09-24",35.55,35.58,34.77,35.29,6031033
"2015-10-01",32.69,32.86,32.3,32.73,5584420
"2015-10-08",32.93,33.33,32.62,33.25,6938101
"2015-10-15",33.16,33.78,32.96,33.7,4013129
"2015-10-22",35.65,35.66,34.43,34.92,7085140
"2015-10-29",37.19,37.76,37.08,37.59,6903061
"2015-11-05",37.73,37.87,37.22,37.55,3445251
"2015-11-12",37.49,37.8,37.35,37.46,2729544
"2015-11-19",37.95,38.12,37.72,37.91,2782462
"2015-12-03",37.47,37.7,36.82,36.87,6117109
"2015-12-10",36.84,37.61,36.67,37.28,3727368
"2015-12-17",37.79,37.84,37.37,37.54,2667148
"2015-12-24",38.06,38.38,38.06,38.15,2762245
"2015-12-31",37.86,38.55,37.72,38.15,3521709
"2016-01-07",36.89,37.04,36.16,36.79,7258204
"2016-01-14",34.97,35.55,34.75,35.31,11571978
"2016-01-21",34.8,35.44,34.57,35.25,3405640
"2016-01-28",36.96,37.23,35.42,35.7,6940199
"2016-02-04",38.33,38.52,37.78,38.29,6858983
"2016-02-11",36.29,36.56,35.74,35.88,4987381
"2016-02-18",38.14,38.34,37.9,38.07,3962854
"2016-02-25",39.07,39.86,38.9,39.84,3947320
"2016-03-03",39.48,39.53,38.99,39.33,4372866
"2016-03-10",39.75,40.18,39.42,39.8,3806303
"2016-03-17",40,40,39.28,39.72,2477846
"2016-03-24",40.36,40.51,39.9,40.11,4145293
"2016-03-31",41.33,41.5,41.05,41.08,5680397
"2016-04-07",42.04,42.3,41.35,41.73,3349839
"2016-04-14",42.81,42.98,42.35,42.65,3522708
"2016-04-21",43.29,43.46,42.87,43.01,4022989
"2016-04-28",44.05,44.67,43.95,44.26,16267601
"2016-05-05",45.08,45.46,44.9,45.3,21337196
"2016-05-12",46.56,46.95,45.22,45.63,20482119
"2016-05-19",44.37,44.65,43.05,43.16,18139568
"2016-05-26",43.63,43.74,43.25,43.43,11689047
"2016-06-02",43.31,43.6,43.11,43.43,4482887
"2016-06-09",44.53,44.79,44.22,44.75,3770068
"2016-06-16",44.14,44.62,44.01,44.57,3558812
"2016-06-23",45.18,45.96,45.16,45.96,3274706
"2016-06-30",44.99,45.24,44.76,45.22,5242502
"2016-07-07",45.92,46.36,45.86,46.12,2485362
"2016-07-14",47.09,47.2,46.74,46.95,2907113
"2016-07-21",46.64,46.72,45.87,46.1,2369152
"2016-07-28",48.31,48.49,47.96,48.22,3776903
"2016-08-04",48.09,48.35,47.75,48.08,4607929
"2016-08-11",48.61,49.48,48.6,49.03,3499862
"2016-08-18",47.9,48.24,47.85,48.01,3314025
"2016-08-25",46.99,47.6,46.91,47.1,5112683
"2016-09-01",46.75,46.78,45.91,46.18,4249317
"2016-09-08",45.83,46.38,45.75,46.07,5145204
"2016-09-15",45.54,47.28,45.42,47.07,6337608
