"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume"
"2013-06-06",96.19,97.33,95.92,97.33,349539
"2013-06-13",97.24,99.24,96.76,99.02,319069
"2013-06-20",99.26,99.26,97.04,97.36,392934
"2013-06-27",99.85,100.51,99.41,100.38,312951
"2013-07-11",105.11,105.23,103.62,104.49,319464
"2013-07-18",103.43,104.9,102.93,104.63,506108
"2013-07-25",100.38,100.95,99.71,100.77,410397
"2013-08-01",101.93,102.98,101.79,102.93,554530
"2013-08-08",102.39,103.23,102.16,102.97,393212
"2013-08-15",101.9,102.29,99.56,99.76,627336
"2013-08-22",98.98,100.69,98.44,100.19,250961
"2013-08-29",98.32,99.52,98.13,98.93,209497
"2013-09-05",100.98,101.71,100.79,101.7,162198
"2013-09-12",104.67,105.29,104.3,104.41,475193
"2013-09-19",107.1,107.55,106.13,106.44,363369
"2013-09-26",106.6,107.82,106.6,107.73,772132
"2013-10-03",105.59,105.6,104.25,104.59,420928
"2013-10-10",103.25,103.92,103.16,103.87,300503
"2013-10-17",103.86,106.43,103.52,106.35,368046
"2013-10-24",101.77,102.18,100.11,101.29,803012
"2013-10-31",101.14,101.46,100.38,100.92,473110
"2013-11-07",99.94,99.97,98.34,98.45,360084
"2013-11-14",100.06,100.99,99.73,100.62,264914
"2013-11-21",100.81,102.12,100.8,101.38,301790
"2013-12-05",99.19,99.19,98.34,98.49,287655
"2013-12-12",95.25,96.47,95.11,96.01,622598
"2013-12-19",97.99,99.1,97.99,99.02,655317
"2013-12-26",99.61,100.07,99.26,99.6,233146
"2014-01-02",100,100.17,99,99.22,335610
"2014-01-09",100.8,101.06,100.34,100.62,384386
"2014-01-16",103.9,105.33,103.75,105.25,612473
"2014-01-23",104.07,104.95,103.92,104.58,531646
"2014-01-30",109.42,110.37,109.4,109.81,1094846
"2014-02-06",105.64,106.97,104.95,106.9,335528
"2014-02-13",110.34,112.11,110.05,112.05,613486
"2014-02-20",112,115.06,111.61,114.94,879227
"2014-02-27",111.92,112.32,111.51,112.21,357763
"2014-03-06",113.36,113.84,112.64,112.78,243882
"2014-03-13",113.5,113.85,112.46,112.7,500376
"2014-03-20",112.12,113.13,111.7,112.49,675742
"2014-03-27",107.4,108.33,106.77,107.81,344146
"2014-04-03",110.75,111.07,109.61,110.85,319161
"2014-04-10",114.36,114.36,109.77,109.92,576901
"2014-04-17",109.46,111.67,109.26,111.15,493836
"2014-04-24",111.19,111.31,109.83,110.29,391203
"2014-05-01",98.18,100.9,97.86,100.53,912420
"2014-05-08",101.51,103.41,101.3,101.93,668447
"2014-05-15",101.72,101.96,99.88,101.59,1531680
"2014-05-22",101.01,101.75,100.31,100.36,608590
"2014-05-29",100.59,100.88,100.12,100.46,722358
"2014-06-05",102.71,104.77,102.24,104.57,564837
"2014-06-12",104.97,104.97,104.22,104.43,536450
"2014-06-19",107.11,107.4,105.35,105.66,756520
"2014-06-26",105.54,105.82,104.54,104.92,293714
"2014-07-03",104.71,105.87,104.55,105.82,137674
"2014-07-10",102.01,102.64,101.41,102.19,364872
"2014-07-17",100.86,101.8,99.19,99.25,712641
"2014-07-24",104.98,106.01,104.25,105.73,465689
"2014-07-31",104.96,105.18,103.11,103.44,577189
"2014-08-07",103.63,104.12,102.56,102.73,482810
"2014-08-14",103.32,104.66,103.12,104.52,338397
"2014-08-21",103.7,103.7,102.82,103.3,473425
"2014-08-28",103.01,103.46,102.53,103.36,228291
"2014-09-04",103.73,104.6,103.23,103.52,324596
"2014-09-11",102.88,103.87,102.84,103.7,378389
"2014-09-18",101.81,102.57,101.81,102.13,358887
"2014-09-25",101.26,101.47,100.01,100.11,562428
"2014-10-02",97.92,98.05,96.88,97.18,1025744
"2014-10-09",99,99.1,97.82,97.9,568826
"2014-10-16",94.27,96.16,93.76,95.12,744758
"2014-10-23",105.53,108.02,105.39,107.34,627781
"2014-10-30",109.84,110.86,109.17,110.6,420658
"2014-11-06",112.02,113.21,111.94,112.88,514491
"2014-11-13",113.5,114.32,113.26,113.72,324729
"2014-11-20",114.15,116.68,114.13,115.93,970259
"2014-12-04",116.83,117.57,116.41,116.49,465041
"2014-12-11",112.8,114.11,112.54,113.36,406995
"2014-12-18",114.47,114.49,113.12,114.26,604373
"2015-01-08",117.11,118.4,116.49,118.09,491290
"2015-01-15",114.82,114.97,112.77,112.79,272576
"2015-01-22",114.58,116.03,113.43,115.91,428450
"2015-01-29",118.8,120.72,117.84,120.62,466959
"2015-02-05",119.65,121.48,119.62,120.1,316070
"2015-02-12",119.01,119.54,118.52,119.15,274085
"2015-02-19",119.66,119.95,119.09,119.49,252541
"2015-02-26",120.78,121.39,119.91,120.93,172076
"2015-03-05",120.29,122.12,120.19,121.89,301192
"2015-03-12",120.04,122.35,119.73,121.98,511403
"2015-03-19",123.61,123.94,122.17,123.61,365037
"2015-03-26",120.84,122.29,120.62,121.85,328217
"2015-04-02",123.64,124.94,122.96,124.2,338651
"2015-04-09",125.03,125.88,124.61,125.43,344173
"2015-04-16",124.12,125.5,123.88,124.94,534895
"2015-04-23",123.87,124.8,123.38,124.35,357998
"2015-04-30",124.64,127,124.18,125.19,684013
"2015-05-07",127.23,128.39,126.67,128.06,327395
"2015-05-14",130.65,131.12,129.46,130.01,884184
"2015-05-21",134.93,135,133.56,133.84,378244
"2015-05-28",134.69,135.03,133.53,134.57,357257
"2015-06-04",134.49,134.71,133.6,133.86,309642
"2015-06-11",134.97,134.98,133.73,134.64,345563
"2015-06-18",134.79,137.08,134.04,136.5,488832
"2015-06-25",132.72,132.72,128.42,130.22,1532232
"2015-07-02",129.43,129.5,128.09,129.37,344503
"2015-07-09",126.94,127.22,125.03,125.41,564562
"2015-07-16",131.49,131.74,129.98,130.79,294096
"2015-07-23",133,133.31,131.47,131.57,363818
"2015-07-30",133.3,133.3,131.64,132.59,559941
"2015-08-06",134.88,135.28,131.09,131.54,309227
"2015-08-13",129.38,130.04,128.33,128.62,388300
"2015-08-20",127.65,128.92,125.79,125.82,282924
"2015-08-27",123.84,126.47,123.43,125.71,597589
"2015-09-03",122.5,124.3,121.89,122.67,437903
"2015-09-10",122.51,124,121.87,122.9,384557
"2015-09-17",124.68,125.96,123.72,124.07,402211
"2015-09-24",118.63,119.47,117.87,118.72,448962
"2015-10-01",118.13,118.5,115.53,117.36,571970
"2015-10-08",119,119.86,117.73,119.76,413387
"2015-10-15",118.12,120.63,117.83,120.6,373599
"2015-10-22",121.79,124.13,120.48,123.18,579064
"2015-10-29",128.82,129.24,127.15,128.56,469531
"2015-11-05",132.36,132.9,130.93,131.74,370757
"2015-11-12",130.62,132.17,129.42,129.45,358310
"2015-11-19",131.89,132.36,130.4,131.55,792312
"2015-12-03",130.88,130.88,126.88,127.56,777033
"2015-12-10",128.99,131.13,128.65,130.25,344523
"2015-12-17",133.86,134.57,131.27,131.3,312385
"2015-12-24",133.73,134.53,133.13,133.94,103926
"2015-12-31",134.98,135.87,134.58,134.58,319224
"2016-01-07",127.87,129.77,127.2,128.82,763581
"2016-01-14",124.14,127.77,123.77,127.03,454184
"2016-01-21",125.4,125.85,123.13,124.56,741170
"2016-01-28",120.83,121,115.71,117.45,928773
"2016-02-04",118.39,119.54,117.25,117.92,483926
"2016-02-11",115.19,117.8,115.19,116.46,541106
"2016-02-18",121.89,122.69,120.94,121.2,328933
"2016-02-25",121.09,121.93,120.1,121.81,393741
"2016-03-03",125.61,126.66,125,126.35,428810
"2016-03-10",128.14,128.93,126.61,127.49,537015
"2016-03-17",130.05,130.52,127.73,127.76,706590
"2016-03-24",130.01,130.86,129.31,129.83,313010
"2016-03-31",132.16,132.87,131.3,131.92,598153
"2016-04-07",133.47,133.91,129.6,130.15,834132
"2016-04-14",134.86,135.25,134.16,134.89,367834
"2016-04-21",136.41,138.08,136.31,137.68,349038
"2016-04-28",132.73,133.3,131.15,131.65,513587
"2016-05-05",130.66,131.7,130.18,131.1,399234
"2016-05-12",134.97,135.2,133.78,134.96,452045
"2016-05-19",134.4,135.06,133.43,134.92,418499
"2016-05-26",137.31,137.52,136.47,136.71,187146
"2016-06-02",138.13,140.11,138.13,139.76,623770
"2016-06-09",139.45,140.7,139.35,140.05,342091
"2016-06-16",134.48,135.61,133.58,135.37,267408
"2016-06-23",138.57,139.12,137.55,138.4,345155
"2016-06-30",134.41,140.75,134.38,140.65,814084
"2016-07-07",142.74,143.3,141.89,142.47,300962
"2016-07-14",149.16,149.6,148.06,149.27,252104
"2016-07-21",150.3,150.93,148.67,149.46,321489
"2016-07-28",157.31,157.59,155.89,157.06,507208
"2016-08-04",157.49,158.79,156.38,157.45,760701
"2016-08-11",158.68,159.43,157.87,159.3,289609
"2016-08-18",158,159.59,157.31,159.1,364519
"2016-08-25",158.15,159.23,157.04,158.11,362622
"2016-09-01",157.42,158.25,155.77,156.1,490529
"2016-09-08",158.86,160.26,158.62,159.49,372190
"2016-09-15",153.08,155.63,152.69,155.16,337446
