"","HPQ.Open","HPQ.High","HPQ.Low","HPQ.Close","HPQ.Volume"
"2012-08-30",16.87,16.99,16.77,16.78,15827085
"2012-09-06",17.37,17.74,17.23,17.59,23130820
"2012-09-13",18.03,18.33,17.84,18.24,21947005
"2012-09-20",17.94,17.97,17.51,17.76,19593992
"2012-09-27",16.81,17.31,16.75,17.22,28952183
"2012-10-04",14.7,14.98,14.24,14.94,90421740
"2012-10-11",14.22,14.45,14.14,14.25,36202386
"2012-10-18",14.73,14.85,14.6,14.8,22172764
"2012-10-25",14.15,14.38,14.06,14.19,21476138
"2012-11-01",13.88,14.1,13.8,14,24996769
"2012-11-08",13.78,13.89,13.72,13.82,19332229
"2012-11-15",13.13,13.27,12.93,13.08,24577987
"2012-11-29",12.78,13.09,12.78,12.89,31339419
"2012-12-06",13.91,14.04,13.64,13.83,31089912
"2012-12-13",14.57,14.81,14.36,14.5,26304225
"2012-12-20",14.4,14.46,14.15,14.43,17392469
"2012-12-27",14.13,14.19,13.87,14.04,16080292
"2013-01-03",15.13,15.72,14.92,15.14,42882675
"2013-01-10",16.01,16.34,15.7,16.28,36317544
"2013-01-17",17.25,17.45,17.04,17.11,28718933
"2013-01-24",16.96,17.3,16.83,17.01,17062859
"2013-01-31",16.38,16.67,16.16,16.51,20508049
"2013-02-07",16.64,16.67,16.27,16.44,16290283
"2013-02-14",17.03,17.12,16.78,17.03,14264565
"2013-02-21",16.61,17.19,16.57,17.1,37848733
"2013-02-28",19.68,20.26,19.66,20.14,27189493
"2013-03-07",20.93,21.12,20.76,20.85,17908492
"2013-03-14",21.32,21.94,21.28,21.93,24288138
"2013-03-21",22.74,23.05,22.27,22.32,36434398
"2013-03-28",23.5,23.93,23.4,23.84,24383292
"2013-04-04",21.87,22.33,21.79,22.3,20598960
"2013-04-11",20.99,21.27,20.61,20.88,47726432
"2013-04-18",20.53,20.58,20.06,20.21,18682950
"2013-04-25",19.92,20,19.58,19.59,22505144
"2013-05-02",20.43,20.62,20.3,20.45,9406903
"2013-05-09",21.04,21.68,21,21.18,15489377
"2013-05-16",20.91,21.54,20.91,21.36,17402238
"2013-05-23",23.21,24.95,22.9,24.86,87691336
"2013-05-30",25.18,25.47,25.05,25.26,23708206
"2013-06-06",24.19,24.57,23.71,24.25,15151520
"2013-06-13",24.78,25.28,24.6,24.93,13718652
"2013-06-20",25.62,25.62,24.57,24.72,17813444
"2013-06-27",24.11,24.77,24.09,24.77,15528106
"2013-07-11",26.23,26.54,25.99,26.38,20146423
"2013-07-18",26.24,26.43,25.93,26.33,10693827
"2013-07-25",26.04,26.28,25.79,26.24,10951547
"2013-08-01",25.79,26.36,25.7,26.23,9523918
"2013-08-08",26.89,26.93,26.46,26.87,9959970
"2013-08-15",26.76,26.84,25.83,25.95,15056236
"2013-08-22",23.2,23.24,21.81,22.22,67689518
"2013-08-29",22.53,22.69,22.37,22.52,11190190
"2013-09-05",22.27,22.27,22.01,22.12,15239788
"2013-09-12",22.21,22.3,21.81,21.96,19890414
"2013-09-19",21.91,21.97,21.27,21.31,17030549
"2013-09-26",21.27,21.59,21.24,21.3,10444582
"2013-10-03",21.39,21.42,20.8,20.92,12740665
"2013-10-10",23.02,23.51,22.06,22.32,34004468
"2013-10-17",23.13,23.43,22.97,23.38,9806814
"2013-10-24",23.78,24.04,23.75,23.88,9058139
"2013-10-31",24.13,24.57,24.09,24.37,13803883
"2013-11-07",25.66,26.28,25.63,25.69,14840260
"2013-11-14",25.75,25.94,24.84,25.07,26392135
"2013-11-21",25.2,25.24,24.97,25.03,11265782
"2013-12-05",28.15,28.18,27.03,27.25,22046937
"2013-12-12",27.05,27.11,26.42,26.6,13422416
"2013-12-19",27.55,28.23,27.51,28.04,15903894
"2013-12-26",28.2,28.7,28.19,28.31,7793707
"2014-01-02",27.88,28.22,27.44,27.66,13128453
"2014-01-09",27.57,27.88,27.35,27.61,18030965
"2014-01-16",29.5,29.82,29.12,29.56,22069514
"2014-01-23",29.42,29.73,29.06,29.37,9909639
"2014-01-30",29.15,29.42,29.08,29.25,9109429
"2014-02-06",28.23,28.66,28.2,28.49,6697008
"2014-02-13",29.31,29.92,29.18,29.83,10028853
"2014-02-20",29.32,30.28,29.1,30.19,27031110
"2014-02-27",29.72,29.89,29.63,29.75,11153506
"2014-03-06",29.99,30.2,29.85,30.09,7135374
"2014-03-13",29.64,29.85,28.75,28.91,13214103
"2014-03-20",31.5,32.41,31.46,31.48,23917888
"2014-03-27",32.16,32.29,31.65,31.93,12374397
"2014-04-03",33.62,33.64,32.84,33,15483304
"2014-04-10",33.3,33.9,32.79,32.8,25619687
"2014-04-17",32.29,32.49,31.45,31.93,21235041
"2014-04-24",31.94,32.08,31.75,32,11635868
"2014-05-01",33.12,33.28,32.52,32.64,8956940
"2014-05-08",32.29,32.81,32.09,32.23,6690153
"2014-05-15",32.97,33.09,32.35,32.41,7216401
"2014-05-22",32.45,33.36,31.21,31.78,32458843
"2014-05-29",33.42,33.83,33.33,33.64,9858337
"2014-06-05",33.71,33.9,33.56,33.87,6225154
"2014-06-12",33.74,34.3,33.29,33.39,12563230
"2014-06-19",34.69,34.8,34.34,34.48,5966241
"2014-06-26",33.76,33.95,33.58,33.91,6577992
"2014-07-03",34.04,34.12,33.92,34,4860521
"2014-07-10",33.44,34.01,33.24,33.85,8630421
"2014-07-17",34.69,34.69,34.33,34.43,13630322
"2014-07-24",35.13,35.18,34.87,35.04,7584758
"2014-07-31",35.73,35.86,35.45,35.61,10710126
"2014-08-07",35.22,35.38,34.66,34.82,6447799
"2014-08-14",35.3,35.62,34.96,35.59,9824152
"2014-08-21",35.39,37.4,35.27,37,39516027
"2014-08-28",37.9,38.09,37.6,37.99,6971615
"2014-09-04",38.05,38.25,37.48,37.66,8635120
"2014-09-11",37,37.03,36.52,36.76,8035076
"2014-09-18",36.63,37.1,36.59,37.01,7840573
"2014-09-25",35.98,35.99,35.17,35.27,8333670
"2014-10-02",34.61,34.79,33.93,34.51,9424911
"2014-10-09",35.79,35.86,34.27,34.32,13987137
"2014-10-16",31.75,34.17,31.71,34,23421635
"2014-10-23",34.73,35.21,34.71,34.94,10047339
"2014-10-30",35.56,35.77,35.21,35.32,14134823
"2014-11-06",36.03,36.42,35.99,36.15,6993144
"2014-11-13",36.6,36.76,36.22,36.36,7678962
"2014-11-20",37.02,37.25,36.83,36.93,7351127
"2014-12-04",39.05,39.25,38.68,39.07,7486675
"2014-12-11",37.3,38.9,37.3,38.47,12335747
"2014-12-18",39.09,39.84,38.96,39.82,12488539
"2015-01-08",40.12,40.89,40.08,40.68,9829708
"2015-01-15",39.46,39.64,38.17,38.19,13777895
"2015-01-22",38.92,40.09,38.58,40.06,11681829
"2015-01-29",37.3,37.89,36.75,37.74,10152196
"2015-02-05",37.97,38.18,37.8,37.95,6313146
"2015-02-12",38.44,38.85,38.23,38.37,9193573
"2015-02-19",38.15,38.4,37.84,38.38,5732249
"2015-02-26",34.5,34.65,33.69,34.01,32530555
"2015-03-05",34.28,34.33,33.84,34,18224703
"2015-03-12",31.63,32.8,31.51,32.72,26255292
"2015-03-19",32.94,33.04,32.63,32.84,11780944
"2015-03-26",31.91,32.6,31.57,32.01,13709029
"2015-04-02",31.3,31.75,31.22,31.4,8527721
"2015-04-09",31.55,31.76,31.36,31.55,7544265
"2015-04-16",32.95,33.17,32.8,32.81,7559754
"2015-04-23",33.2,33.7,33.13,33.38,8612816
"2015-04-30",33.31,33.46,32.84,32.97,10519480
"2015-05-07",32.45,33,32.27,32.82,7754694
"2015-05-14",33.51,33.73,33.4,33.7,6111931
"2015-05-21",33.1,33.94,33.02,33.83,13435050
"2015-05-28",33.71,33.91,33.47,33.65,6860211
"2015-06-04",33.54,33.83,33.18,33.3,12885544
"2015-06-11",32.94,33.1,32.47,32.52,8896698
"2015-06-18",32.25,32.56,32.02,32.08,15268000
"2015-06-25",31.71,31.71,31.07,31.21,9561699
"2015-07-02",30.7,31.01,30.64,30.69,15700691
"2015-07-09",30.73,30.84,30.34,30.39,13029704
"2015-07-16",30.63,30.75,30.34,30.35,10712067
"2015-07-23",31.02,31.46,30.8,31.23,15227078
"2015-07-30",30.22,30.67,30.08,30.62,7057992
"2015-08-06",30.4,30.78,30.11,30.14,10626838
"2015-08-13",29,29.41,28.44,28.45,8519777
"2015-08-20",27.51,27.86,27.21,27.35,16415215
"2015-08-27",27.39,27.86,27.18,27.79,16875990
"2015-09-03",28.03,28.7,27.94,28.13,10800245
"2015-09-10",27.19,27.5,26.85,27.33,10328793
"2015-09-17",27.78,28.26,27.51,27.57,16971384
"2015-09-24",25.18,25.33,24.94,25.26,13784394
"2015-10-01",25.52,25.71,25.08,25.35,12498646
"2015-10-08",27.99,29.2,27.9,29.18,20047676
"2015-10-15",29.04,29.26,28.73,28.77,11801023
"2015-10-22",12.25,12.25,11.7,11.83,7964621
"2015-10-29",27.63,27.77,27.27,27.37,9990060
"2015-11-05",14.21,14.25,13.96,14.05,16650362
"2015-11-12",13.79,13.8,13.29,13.31,20422536
"2015-11-19",13.67,13.84,13.62,13.79,15353783
"2015-12-03",11.97,12.37,11.86,12.15,47349888
"2015-12-10",12.12,12.38,12.12,12.36,15199887
"2015-12-17",12.28,12.35,11.89,11.9,25744262
"2015-12-24",11.75,11.89,11.72,11.73,4626631
"2015-12-31",11.83,11.99,11.76,11.84,10382718
"2016-01-07",11.05,11.05,10.72,10.77,25487650
"2016-01-14",10.6,10.82,10.54,10.62,29015649
"2016-01-21",9.61,10.01,9.51,9.94,25717951
"2016-01-28",9.75,9.77,9.42,9.48,13377673
"2016-02-04",9.6,9.94,9.6,9.86,11710067
"2016-02-11",9.14,9.2,8.91,9.02,14675048
"2016-02-18",10.13,10.67,10.1,10.52,18758508
"2016-02-25",10.16,10.46,9.95,10.34,35555923
"2016-03-03",10.97,11.3,10.96,11.11,18094878
"2016-03-10",11.39,11.56,11.14,11.42,15901289
"2016-03-17",11.62,12.25,11.59,11.72,18154248
"2016-03-24",11.98,12.1,11.72,12.07,12084324
"2016-03-31",12.3,12.36,12.2,12.32,13803283
"2016-04-07",12.21,12.29,11.93,11.99,13942423
"2016-04-14",12.56,12.69,12.34,12.55,14139961
"2016-04-21",12.78,12.84,12.58,12.59,10997200
"2016-04-28",12.74,12.8,12.52,12.57,7970601
"2016-05-05",11.67,11.74,11.4,11.45,8973069
"2016-05-12",11.78,11.8,11.45,11.56,12098328
"2016-05-19",11.47,11.55,11.31,11.44,10703137
"2016-05-26",12.5,13.15,12.45,13.04,29823408
"2016-06-02",13.39,13.64,13.38,13.54,13659159
"2016-06-09",13.78,13.88,13.62,13.84,9411979
"2016-06-16",12.94,13.02,12.71,12.98,8609864
"2016-06-23",12.83,12.97,12.79,12.95,13354172
"2016-06-30",12.27,12.55,12.14,12.55,14463718
"2016-07-07",12.66,12.88,12.59,12.85,13625681
"2016-07-14",13.89,13.94,13.75,13.8,9378251
"2016-07-21",14.13,14.18,13.93,14,18661695
"2016-07-28",13.95,13.98,13.82,13.94,16141287
"2016-08-04",14.33,14.38,14.1,14.15,14859942
"2016-08-11",14.2,14.33,14.15,14.3,8173799
"2016-08-18",14.52,14.6,14.46,14.51,9054597
"2016-08-25",13.64,14.48,13.55,14.37,36143367
"2016-09-01",14.39,14.5,14.28,14.5,10854014
"2016-09-08",14.6,14.69,14.55,14.63,10291981
"2016-09-15",14.19,14.6,14.14,14.5,11848829
