"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume"
"2013-07-25",73.5,73.98,73.02,73.14,3266809
"2013-08-01",74.21,74.97,73.75,74.85,2972138
"2013-08-08",72.81,73.6,72.62,72.98,3151647
"2013-08-15",70.67,71.96,70.5,71.53,3651335
"2013-08-22",72.84,74.5,72.79,74.1,3467201
"2013-08-29",72.32,73.22,72.14,72.72,1828073
"2013-09-05",73,74.26,73,74,2390834
"2013-09-12",74.99,75.23,74.08,74.16,3104478
"2013-09-19",78.05,78.33,77.46,77.55,2837857
"2013-09-26",76.5,76.73,75.62,75.87,5011515
"2013-10-03",73.37,73.6,73.01,73.14,2760902
"2013-10-10",70.99,71.44,70.81,71.26,3247198
"2013-10-17",71.81,72.91,71.56,72.85,2998332
"2013-10-24",73.74,73.97,73.35,73.5,3761207
"2013-10-31",74.24,74.37,73.5,73.5,2773614
"2013-11-07",74.37,76.28,74.37,75.55,4435750
"2013-11-14",76.81,77.58,76.28,77.06,3943474
"2013-11-21",78.36,78.72,77.88,78.43,2207679
"2013-12-05",76.14,76.29,75.63,75.79,2197281
"2013-12-12",74.53,74.87,74.04,74.08,3266318
"2013-12-19",77.6,79.95,77.49,79.51,10933187
"2013-12-26",81.47,82.53,81.23,82.15,2399183
"2014-01-02",81.5,81.92,81.09,81.13,2405384
"2014-01-09",82.02,83.05,82,82.95,4054242
"2014-01-16",83.54,84.26,83.14,84.12,4183539
"2014-01-23",84.81,85.07,83.5,83.92,4147473
"2014-01-30",81.05,81.34,80.19,80.72,2244657
"2014-02-06",77.87,78.74,77.79,78.52,2224827
"2014-02-13",80.86,81.98,80.63,81.74,1895048
"2014-02-20",83.16,83.59,82.94,83.38,2465314
"2014-02-27",82.4,83.69,81.94,83.36,2108035
"2014-03-06",84.24,84.36,83.59,83.8,1976399
"2014-03-13",83.01,83.02,81.87,82.09,2702255
"2014-03-20",82.5,83.1,81.81,83.06,1657264
"2014-03-27",80.11,80.29,76.25,78.8,14821341
"2014-04-03",79.79,80,78.05,79.35,3588598
"2014-04-10",78.57,78.73,76.77,76.83,3518380
"2014-04-17",78.73,79.5,78,78.9,4428126
"2014-04-24",79.45,79.46,77.96,78.36,3378850
"2014-05-01",80.18,80.7,79.65,79.84,2387091
"2014-05-08",78.17,79.04,78.01,78.83,2607587
"2014-05-15",78.83,79.9,78.28,78.42,2790164
"2014-05-22",79.41,79.54,78.88,79.45,1309187
"2014-05-29",79.93,80.46,79.45,80.42,1320799
"2014-06-05",83.53,83.65,82.92,83.58,2313400
"2014-06-12",83.04,83.12,82.09,82.42,1928710
"2014-06-19",82.83,83.37,82.71,83.06,2352305
"2014-06-26",82.95,83.14,79.77,81.53,7405984
"2014-07-03",81.26,81.69,81.22,81.55,1042859
"2014-07-10",80.08,80.42,79.7,79.77,2964981
"2014-07-17",79.65,80.1,79.18,79.24,2107703
"2014-07-24",80.33,80.9,80.23,80.69,2065630
"2014-07-31",79.91,80.66,79.22,79.28,2745846
"2014-08-07",78.31,78.59,77.34,77.5,2138060
"2014-08-14",79.19,79.27,78.88,79.27,1682441
"2014-08-21",80.66,81.03,80.42,80.82,1360147
"2014-08-28",80.59,81.8,80.33,81.02,1846100
"2014-09-04",82.14,82.16,81.52,81.76,2781111
"2014-09-11",81.06,81.53,80.82,81.51,1856166
"2014-09-18",80.08,80.71,79.79,80.46,3034414
"2014-09-25",79.97,80.11,78.54,78.98,5547638
"2014-10-02",79.49,79.8,78.75,79.43,3046440
"2014-10-09",79.94,80.01,78.12,78.19,3949057
"2014-10-16",74.93,76.6,74.6,76.15,4648219
"2014-10-23",78.22,78.48,77.69,78.08,1976710
"2014-10-30",79.35,80.65,79.35,80.62,2775442
"2014-11-06",82.19,83.31,82.11,83.24,2606915
"2014-11-13",84.03,84.78,83.8,84.44,2337166
"2014-11-20",83.48,83.91,83.16,83.44,1573443
"2014-12-04",86.41,86.56,85.93,86.34,1724428
"2014-12-11",84.38,85.43,83.68,83.88,2369316
"2014-12-18",88.12,90.99,87.79,89.74,8918390
"2015-01-08",89,90.15,88.84,89.88,2807888
"2015-01-15",89.01,89.1,87.67,88.17,1824431
"2015-01-22",88.72,89.56,87.95,89.5,2656855
"2015-01-29",84.95,85.7,83.94,85.64,3590586
"2015-02-05",88.11,88.54,87.34,88.47,2102529
"2015-02-12",88.06,89.22,87.98,89.09,1931324
"2015-02-19",89.53,90.38,89.37,90.27,1751661
"2015-02-26",90.82,91.23,90,90.3,2156791
"2015-03-05",91.31,92.18,91.18,92.05,3019572
"2015-03-12",87.03,88.3,86.86,88.2,2165238
"2015-03-19",90.89,91.34,89.99,90.19,2658467
"2015-03-26",91.51,94.98,90.94,94.17,7156977
"2015-04-02",93.7,94.42,93.1,94.18,2145674
"2015-04-09",95.4,95.66,94.68,95.47,1952209
"2015-04-16",93.91,94.22,93.67,94.06,1934824
"2015-04-23",93.38,94.27,92.85,93.84,2165463
"2015-04-30",93.23,93.86,92.13,92.65,1804775
"2015-05-07",92.93,94.83,92.74,94.49,2466589
"2015-05-14",96.14,97,96.06,96.98,1504599
"2015-05-21",96.78,97.05,96.29,96.83,1677792
"2015-05-28",96.7,97.02,96.08,96.91,1202657
"2015-06-04",96.08,96.79,95.69,95.93,1535068
"2015-06-11",96.66,97.18,96.55,96.92,1857597
"2015-06-18",97.06,97.7,96.79,97.31,2004051
"2015-06-25",100.2,100.47,99.16,99.48,5103246
"2015-07-02",98.29,98.72,96.51,97.33,2456720
"2015-07-09",98.8,99.09,97.65,97.75,2734880
"2015-07-16",100.55,101.62,100.55,101.45,1859196
"2015-07-23",102.5,103.31,102.17,102.42,2308125
"2015-07-30",102.06,102.99,101.61,102.66,1448084
"2015-08-06",104.3,104.86,103,103.1,1644171
"2015-08-13",104.04,104.09,102.66,103.39,2358240
"2015-08-20",102.18,103.66,99.87,99.97,3442494
"2015-08-27",96.21,96.5,93.96,95.73,3975529
"2015-09-03",95.01,95.94,94.66,95.61,2816128
"2015-09-10",95.39,97.36,95.36,96.81,3340175
"2015-09-17",98.96,99.94,98.35,98.53,2369186
"2015-09-24",95.77,98,95.67,97.77,4038266
"2015-10-01",98.47,99,97.05,98.44,3163708
"2015-10-08",102.51,105.27,102.19,105.01,3450828
"2015-10-15",103.05,103.05,102.14,102.3,2737786
"2015-10-22",102.9,106.61,102.9,106.46,2483489
"2015-10-29",109.07,109.38,107.48,107.95,2438870
"2015-11-05",106.52,106.96,105.91,106.09,1841879
"2015-11-12",104.82,105.23,104.16,104.32,1823373
"2015-11-19",107.88,108.43,107.04,107.28,2527800
"2015-12-03",107.54,108.17,105.37,105.93,2588317
"2015-12-10",107.29,108.5,106.84,107.6,2313174
"2015-12-17",107,107.15,103.24,103.26,7181260
"2015-12-24",104.22,104.79,104.19,104.23,686248
"2015-12-31",105.4,105.93,104.38,104.5,1987700
"2016-01-07",99.75,100.84,98.84,99.16,3194718
"2016-01-14",99.12,102.47,98.91,101.88,4285455
"2016-01-21",99.04,99.91,98,98.29,4499267
"2016-01-28",102.84,103.59,101.59,103.08,3378822
"2016-02-04",102.22,103.02,101.38,102.73,3863467
"2016-02-11",92.54,93.92,92.25,93.43,4181229
"2016-02-18",99.62,101.12,98.31,98.52,2740237
"2016-02-25",99.96,100.93,99.16,100.91,2794525
"2016-03-03",102.45,102.85,101.18,102.8,2036237
"2016-03-10",103.64,104.4,102.1,103.58,2406897
"2016-03-17",107.59,108.67,107.19,108.56,2876720
"2016-03-24",108.79,114.44,108.68,114.3,6471589
"2016-03-31",115.1,116,115,115.4,2703436
"2016-04-07",113.73,114.02,111.79,112.1,3068873
"2016-04-14",115,115.27,114.14,114.75,2062235
"2016-04-21",115.33,116.17,114.44,114.48,2327084
"2016-04-28",114.99,116.04,113.98,114.33,2028155
"2016-05-05",113.65,114.43,113.47,114.08,1704623
"2016-05-12",116.42,116.63,115.47,116.36,2114261
"2016-05-19",116.27,116.27,114.59,116.03,1719780
"2016-05-26",118.59,119.2,118.05,118.41,1435852
"2016-06-02",118.7,119.27,118,119.24,1605730
"2016-06-09",118.35,119.53,117.8,119.44,1197211
"2016-06-16",116.82,118.52,116.63,118.3,1569607
"2016-06-23",118.54,118.91,116.5,118.91,2858771
"2016-06-30",112.32,113.31,112.11,113.29,3682559
"2016-07-07",113.51,113.9,112.51,112.7,2050523
"2016-07-14",117.5,118,116.66,116.77,1502076
"2016-07-21",115.07,115.29,111.97,112.36,2482538
"2016-07-28",113.93,113.93,111.92,112.08,2224616
"2016-08-04",113.17,113.99,112.69,113.71,2215283
"2016-08-11",113.53,113.99,113.38,113.39,1297603
"2016-08-18",112.74,113.13,111.92,112.35,2406432
"2016-08-25",114.24,115.26,113.67,115.04,1869256
"2016-09-01",114.75,115.5,114.04,115.06,1572686
"2016-09-08",114.43,114.56,112.25,112.3,3078476
"2016-09-15",109.64,111.42,108.83,110.72,2905821
