"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume"
"2013-03-28",68.38,70.52,67.96,69.97,6224846
"2013-04-04",62.57,63.95,61.94,62.39,6139078
"2013-04-11",63.81,63.86,61.81,62.01,6205726
"2013-04-18",57.92,58.54,56.13,57.23,4270153
"2013-04-25",62.04,63.09,61.78,61.9,4384071
"2013-05-02",60.07,60.68,59.16,60.3,4212394
"2013-05-09",63.23,63.27,61.88,62.13,3436857
"2013-05-16",64.71,65.41,63.7,63.84,3994641
"2013-05-23",64.44,65.56,63.9,65.25,2380415
"2013-05-30",66.35,67.11,65.68,66.77,2897199
"2013-06-06",63.68,65.15,63.35,65,2637249
"2013-06-13",63.09,64.82,62.37,64.51,3336236
"2013-06-20",62.58,62.69,60.06,60.39,5087343
"2013-06-27",60.32,60.41,58.45,59.22,3885729
"2013-07-11",57.05,57.9,56.02,57.76,5355425
"2013-07-18",58.19,58.28,56.71,56.92,4329181
"2013-07-25",58.68,59.7,58.24,59.42,4550994
"2013-08-01",61.87,61.91,60.32,60.52,3919487
"2013-08-08",58.02,59.36,57.9,59,3254798
"2013-08-15",58.27,58.43,57.04,57.15,3496233
"2013-08-22",57.98,58.87,57.52,58.11,3009342
"2013-08-29",57.87,58.47,57.38,57.72,2119323
"2013-09-05",58.68,59.1,57.79,57.8,3849762
"2013-09-12",56.99,57.34,56.33,56.45,2662766
"2013-09-19",58.34,59.21,57.9,58.15,4668981
"2013-09-26",58.01,59,58.01,58.48,2713944
"2013-10-03",58.86,59.83,58.6,59.56,4244425
"2013-10-10",57.67,58.79,57.62,58.57,4396865
"2013-10-17",60.57,62.39,60.5,62.22,3405038
"2013-10-24",64.54,64.6,62.7,63.23,4249959
"2013-10-31",64.98,65.53,64.41,64.43,3786337
"2013-11-07",64.28,64.86,63.62,63.84,3084232
"2013-11-14",66.24,68.36,66.23,67.56,4088469
"2013-11-21",67.06,67.64,65.84,67.5,2933400
"2013-12-05",69.82,70.5,69.17,69.73,3978767
"2013-12-12",70.8,71.69,70.44,71.22,2773014
"2013-12-19",73.55,74.39,72.7,72.92,3506065
"2013-12-26",75,75.29,74.68,75.12,1186977
"2014-01-02",77.17,77.32,76.36,76.45,2861834
"2014-01-09",77.01,78.25,76.88,78.13,4197844
"2014-01-16",75.31,75.73,74.67,75.39,3231899
"2014-01-23",77.52,78.1,76.04,77.2,4105669
"2014-01-30",74.44,74.97,73.37,73.56,4595404
"2014-02-06",71.3,73.62,70.89,73.3,5388975
"2014-02-13",72.75,74.92,72.63,74.65,3234445
"2014-02-20",75.02,75.76,74.75,75.29,3165048
"2014-02-27",76.48,76.8,74.33,74.74,5639991
"2014-03-06",76.98,78.79,76.95,78.14,3704833
"2014-03-13",80.07,80.39,77.72,78.14,3439148
"2014-03-20",78.07,78.96,77.53,78.5,3108177
"2014-03-27",77.29,77.67,76.73,76.86,3430618
"2014-04-03",79.67,80.91,79.67,80.6,3328587
"2014-04-10",78.27,79.38,76.67,76.69,3875445
"2014-04-17",80.67,81.35,80,80.28,4517150
"2014-04-24",82.6,83.05,81.76,82.57,2592177
"2014-05-01",83.27,84.67,83.09,84.05,2602303
"2014-05-08",84.21,84.75,82.49,82.92,3057537
"2014-05-15",83.01,83.01,81.29,82.01,11589592
"2014-05-22",81.69,82.86,81.59,82.38,2433438
"2014-05-29",83.24,84.41,82.82,84.32,2451596
"2014-06-05",84.07,84.64,83.42,83.52,3736572
"2014-06-12",83.37,83.71,82.43,82.8,2882818
"2014-06-19",84.71,85.54,84.62,85.26,2954384
"2014-06-26",81.92,82.46,81.09,82.1,5311006
"2014-07-03",81.2,81.95,81,81.5,1712333
"2014-07-10",78.72,80.09,78.68,79.73,2722712
"2014-07-17",80.4,80.98,79.4,79.54,2370164
"2014-07-24",81.73,82.83,81.3,82.1,3517441
"2014-07-31",81.14,82.51,80.56,81.11,3119964
"2014-08-07",82.5,83.03,81.17,81.52,2532085
