"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume"
"2014-10-02",63.47,64.03,62.8,63.68,2337676
"2014-10-09",64.81,64.96,63.47,63.51,2533318
"2014-10-16",61.02,62.23,60.44,61.82,2830329
"2014-10-23",61.91,62.26,61.65,61.89,3325097
"2014-10-30",63.27,63.48,62.58,62.84,3600554
"2014-11-06",65.03,65.73,64.73,65.69,2526285
"2014-11-13",65.46,66.06,64.74,65.24,3301815
"2014-11-20",64.01,64.64,63.75,64.18,3115056
"2014-12-04",65.16,65.27,64.71,64.96,1793965
"2014-12-11",63.28,64.09,63.06,63.22,3651560
"2014-12-18",63.36,65.06,63.23,65.01,5198032
"2015-01-08",64.01,64.7,63.85,64.35,2051812
"2015-01-15",61.21,61.89,60.06,60.1,4489011
"2015-01-22",58.03,58.04,55.76,57.32,19602148
"2015-01-29",54.68,55.12,54.02,54.84,7319590
"2015-02-05",56.93,57.73,56.88,57.5,6071355
"2015-02-12",58.6,59.47,58.18,59.43,4871248
"2015-02-19",59.24,60,59.09,59.65,3011654
"2015-02-26",61.05,61.46,60.97,61.26,3660138
"2015-03-05",59.25,59.5,58.95,59.1,2713994
"2015-03-12",59.24,60.17,59.01,59.88,5302823
"2015-03-19",58.76,59.04,58.43,58.59,2451945
"2015-03-26",56.82,57.24,56.58,56.8,3650805
"2015-04-02",57.63,58.24,57.43,58.2,3076937
"2015-04-09",57.17,57.68,56.88,57.44,2886372
"2015-04-16",58.84,59.48,58.71,59.42,2517660
"2015-04-23",57.92,58.7,57.79,58.67,5097837
"2015-04-30",58,58.51,57.77,57.97,4645366
"2015-05-07",58.29,58.33,57.7,57.91,4905196
"2015-05-14",59.91,60.39,59.82,60.34,2063378
"2015-05-21",59.74,60.05,59.53,59.6,1600150
"2015-05-28",59.21,59.49,58.92,59.04,1518120
"2015-06-04",58.48,58.62,57.93,58.16,2564194
"2015-06-11",58.82,59.41,58.7,59.21,2510442
"2015-06-18",58.39,59.03,58.14,58.76,3043010
"2015-06-25",59.19,59.34,58.87,59.04,3067034
"2015-07-02",58.6,58.94,58.3,58.45,2071844
