"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume"
"2013-12-05",111.97,112,110.43,110.97,2367301
"2013-12-12",110.5,111.31,110.04,110.26,1983879
"2013-12-19",113.47,114.09,113.05,113.81,1859822
"2013-12-26",114.76,115.7,113.55,115.31,1112652
"2014-01-02",116.12,117.5,115.97,116.31,2677114
"2014-01-09",115.08,115.3,111.02,111.89,4281832
"2014-01-16",112.78,112.98,112.37,112.68,1396866
"2014-01-23",110.1,110.17,107.61,108.83,3670552
"2014-01-30",107.3,107.58,106.06,107.25,3050814
"2014-02-06",107.11,108.38,106.88,108.28,2013168
"2014-02-13",109.26,110.92,108.76,109.88,2749812
"2014-02-20",109.6,110.82,109.17,110.7,3039301
"2014-02-27",108.75,109.63,108.54,108.88,2676236
"2014-03-06",113.44,113.99,113.07,113.74,1685345
"2014-03-13",112.99,114.05,111.7,111.95,3003193
"2014-03-20",113,114.05,112.42,114,1912652
"2014-03-27",111.72,112.25,110.7,110.8,2035765
"2014-04-03",116.78,117.47,116,117.04,5161513
"2014-04-10",114.82,114.95,112.34,112.54,2768035
"2014-04-17",112.26,113.13,112.02,112.95,2876121
"2014-04-24",112.16,112.87,110.59,110.6,2830036
"2014-05-01",110.42,110.7,109.67,110.24,2552167
"2014-05-08",115.51,116.73,115.44,115.82,2448031
"2014-05-15",116.51,117,115.01,115.4,2239723
"2014-05-22",116.54,119.53,116.48,119.3,4576220
"2014-05-29",120.79,121.6,120.52,121.57,1510064
"2014-06-05",121.51,122.5,120.52,121.96,2130167
"2014-06-12",120.87,121.91,120.59,120.91,2547668
"2014-06-19",121.84,122.03,120.92,121.77,1724760
"2014-06-26",127,127.86,125.5,126.18,4947253
"2014-07-03",126.55,126.85,125.82,126.52,1410818
"2014-07-10",122.6,123.05,121.96,122.56,3931561
"2014-07-17",119.76,120.61,119.36,119.59,3561007
"2014-07-24",116.39,116.5,115.7,116.19,5658681
"2014-07-31",113.79,114.58,113.09,113.09,3705195
"2014-08-07",116.37,116.71,114.93,115.15,3455742
"2014-08-14",116.81,117.44,116.77,117.06,3038010
"2014-08-21",121.23,121.23,117.52,117.65,6809398
"2014-08-28",115.72,115.93,114.92,115.76,3624298
"2014-09-04",114.93,115.35,113.25,113.63,4020156
"2014-09-11",112.82,114.24,112.8,113.62,3354049
"2014-09-18",114.92,115.52,114.28,115.49,6024325
"2014-09-25",115,115,113.13,113.24,3674779
"2014-10-02",110.54,111.02,109.36,110.19,5342409
"2014-10-09",108.47,110.33,107.57,107.69,6603452
"2014-10-16",107.29,111.1,107.2,110.66,7165807
"2014-10-23",114.87,114.87,112.56,112.81,5224883
"2014-10-30",111.85,115.47,111.85,113.69,3772586
"2014-11-06",114.25,114.77,113.89,114.51,3123933
"2014-11-13",118.74,120.03,118.68,119.47,3819044
"2014-11-20",119.28,120.03,119,119.52,2100672
"2014-12-04",120.48,121.28,120.04,121.09,2036368
"2014-12-11",119.45,121.21,119.41,120.07,2803589
"2014-12-18",120,120.11,118.21,119.59,3641874
"2015-01-08",119.01,119.59,118.16,119.19,3843718
"2015-01-15",118.25,119.16,117.26,117.32,2548224
"2015-01-22",118.68,120.18,118.34,120,2718888
"2015-01-29",117.35,118.97,117.26,118.49,2875915
"2015-02-05",119.89,121.47,119.69,120.86,2364050
"2015-02-12",123.13,123.2,122,122.77,2749833
"2015-02-19",124.34,125.75,123.94,125.46,3665085
"2015-02-26",123.82,124.1,119.9,119.97,5004931
"2015-03-05",120,120,118.75,119.27,2968773
"2015-03-12",117.39,118.84,116.98,118.44,2239754
"2015-03-19",116.17,116.77,115.2,115.38,3111994
"2015-03-26",112.61,112.61,111.16,112.25,3584705
"2015-04-02",116.72,116.88,115.32,116.3,4169557
"2015-04-09",117.4,119.51,116.9,119.32,3229933
"2015-04-16",119.07,119.34,118.38,118.93,2098830
"2015-04-23",116.8,117.74,116.42,117.49,1996889
"2015-04-30",114.9,114.97,113.61,113.96,2240245
"2015-05-07",116.08,119.31,115.34,119.13,3676908
"2015-05-14",118.68,120.96,118.59,120.72,3764776
"2015-05-21",118.83,120.13,118.6,120,1920991
"2015-05-28",118.18,120,118.18,118.6,2548709
"2015-06-04",114.23,115.11,113.32,113.58,4157771
"2015-06-11",115.06,115.45,114.21,115.08,1561687
"2015-06-18",112.92,114.64,112.92,114.45,2300797
"2015-06-25",106.82,108.34,105.96,107.3,4915155
"2015-07-02",107.91,108.48,107.15,108.35,3962840
"2015-07-09",107.03,107.37,106.12,106.51,3445516
"2015-07-16",107.7,108.32,107.29,107.82,1826851
"2015-07-23",105.23,105.33,103.87,104.05,2187803
"2015-07-30",102.16,103.21,101.96,103.02,1944750
"2015-08-06",102.36,102.78,101.88,102.18,1566382
"2015-08-13",103.17,103.84,102.57,103.32,1962187
"2015-08-20",101.93,102.08,100.1,100.15,3322799
"2015-08-27",98.5,99.48,97.12,98.4,7416979
"2015-09-03",97.38,97.62,96.77,96.97,2607226
"2015-09-10",93.07,94.3,93,93.76,3252161
"2015-09-17",90.43,91.25,89.9,90.1,5245957
"2015-09-24",83.83,84.27,81.22,83.95,5589858
"2015-10-01",85.36,85.84,84.68,85.78,3543797
