"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume"
"2013-07-11",61.74,61.84,60.58,60.89,1116118
"2013-07-18",58.94,59.39,58.13,59.13,3038609
"2013-07-25",58.86,59.48,58.71,59.15,1164486
"2013-08-01",58.97,59.66,58.6,59.51,943682
"2013-08-08",58.1,58.23,57.22,57.68,823308
"2013-08-15",56.96,57.09,56.35,56.6,807152
"2013-08-22",56.07,57.12,55.99,57.06,479229
"2013-08-29",54.76,55.5,54.75,55.1,722290
"2013-09-05",55.41,55.92,55.41,55.47,990818
"2013-09-12",55.31,55.43,54.9,55,1323099
"2013-09-19",55.99,56.35,55.09,56.02,1772536
"2013-09-26",55.51,55.88,54.95,55.29,958711
"2013-10-03",53.38,53.66,52.66,53.15,2644230
"2013-10-10",53.56,54.74,53.41,54.73,1568090
"2013-10-17",54.96,56.58,54.79,56.51,1788034
"2013-10-24",55.72,56.1,55.4,56,930136
"2013-10-31",57.19,57.24,56.39,56.42,1151422
"2013-11-07",57.44,57.65,56.2,56.23,932873
"2013-11-14",57.53,57.94,57.14,57.2,1377856
"2013-11-21",57.6,58.04,57.4,57.94,722518
"2013-12-05",57.74,58.14,57.69,57.75,997045
"2013-12-12",57.29,57.55,56.66,57.14,1279251
"2013-12-19",59.26,59.43,58.71,59.28,1209370
"2013-12-26",61.58,61.82,61.27,61.71,688229
"2014-01-02",61.76,61.95,60.66,60.89,1011050
"2014-01-09",62.16,62.38,61.29,61.49,909445
"2014-01-16",61.04,61.34,60.73,61.05,1080119
"2014-01-23",62.76,62.95,61.75,62.6,1983630
"2014-01-30",61.09,61.34,60.42,61.12,955203
"2014-02-06",59.22,59.95,58.98,59.75,794818
"2014-02-13",61.53,62.11,61.36,62.04,895644
"2014-02-20",61.54,61.97,60.98,61.54,926907
"2014-02-27",61.48,62.19,61.47,62.18,839776
"2014-03-06",62.37,63,62.07,62.82,812790
"2014-03-13",63,63,61.71,61.8,1013461
"2014-03-20",63.67,66.1,63.43,65.58,2496825
"2014-03-27",64.66,64.93,63.68,64.32,1296972
"2014-04-03",65.9,65.94,65.19,65.47,1543054
"2014-04-10",62.87,62.88,61.4,61.56,1621063
"2014-04-17",58.92,59.77,58.85,59.39,1923249
"2014-04-24",61.19,61.23,60.2,60.24,1377980
"2014-05-01",60.27,60.94,59.87,60.06,932079
"2014-05-08",60.72,61.63,59.88,61.04,1212053
"2014-05-15",60.79,61.01,58.72,59.62,1621845
"2014-05-22",59.86,60.49,59.76,60.33,603801
"2014-05-29",60.87,60.94,60.21,60.49,712375
"2014-06-05",61.34,61.84,60.96,61.63,503290
"2014-06-12",62.15,62.62,61.79,62.2,778065
"2014-06-19",64.54,64.57,63.72,64.12,1019102
"2014-06-26",64.04,64.19,63.09,64.07,720431
"2014-07-03",64.39,65.28,64.14,64.89,654222
"2014-07-10",63.54,64.05,63.11,63.83,626835
"2014-07-17",64.15,64.68,63.9,64.34,1414799
"2014-07-24",66.4,67.26,66.37,67.11,1115597
"2014-07-31",67.64,67.92,66.89,66.89,1460459
"2014-08-07",66.24,66.47,65.45,65.69,2076120
"2014-08-14",66.76,67.13,66.37,66.98,875581
"2014-08-21",67.2,68,67.2,67.99,1233452
"2014-08-28",68.85,68.89,68.45,68.8,822455
"2014-09-04",69.62,69.88,69,69.07,1146470
"2014-09-11",68.64,69.14,68.48,69.07,819240
"2014-09-18",70.04,70.84,69.89,70.33,1582318
"2014-09-25",69.14,69.71,68,68.08,1076248
"2014-10-02",67.22,67.61,66.83,67.37,674395
"2014-10-09",67.59,67.59,65.42,65.44,1740100
"2014-10-16",61.39,63.3,60.78,62.76,1644944
"2014-10-23",62.16,63.1,62.12,62.86,2278123
"2014-10-30",64.73,65.5,64.59,65.23,1286954
"2014-11-06",66.44,66.9,66.19,66.83,819494
"2014-11-13",68,68.2,67.19,67.52,817616
"2014-11-20",67.55,68.43,67.39,68.31,789245
"2014-12-04",67.6,68,67.32,67.53,729892
"2014-12-11",67.45,68.19,66.76,66.86,885198
"2014-12-18",67.19,68.03,67.07,68.03,1153760
"2015-01-08",64.75,65.5,64.75,65.26,801321
"2015-01-15",62.28,62.61,61.48,61.79,1219763
"2015-01-22",66.48,68.62,66.24,68,2236768
"2015-01-29",64.73,66.45,64.49,66.4,1399200
"2015-02-05",67.84,68.88,67.69,68.5,981572
"2015-02-12",70.6,71.01,70.14,70.59,1490317
"2015-02-19",69.11,69.64,68.93,69.63,1452786
"2015-02-26",71.16,71.37,69.9,70.18,1488357
