"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume"
"2016-04-14",128.18,128.55,127.25,127.4,1240085
"2016-04-21",128.2,128.2,124.27,124.58,1416398
"2016-04-28",127.33,128.44,127.09,127.78,421226
"2016-05-05",128.44,129.46,128.02,128.38,534853
"2016-05-12",130.96,131.79,130.06,131.51,760990
"2016-05-19",126.28,127.14,125.67,127.08,565076
"2016-05-26",128.64,129.77,128.5,129.47,526372
"2016-06-02",129.15,130.4,128.98,130.4,659757
"2016-06-09",139,143.82,139,143.23,3681466
"2016-06-16",143.5,145.83,143.05,145.4,1044791
"2016-06-23",146.8,147.41,145.54,146.56,1190944
"2016-06-30",148.79,152.6,148.74,152.41,1626745
"2016-07-07",153.87,154.71,152.66,153.21,738584
"2016-07-14",152.6,153.3,150.88,151.5,1443256
"2016-07-21",152.59,152.79,151.88,152.74,493316
"2016-07-28",151.37,152.75,150.89,152.35,1052129
"2016-08-04",153.39,156.33,153.39,156.2,1138197
"2016-08-11",154.45,154.45,152.1,152.86,977329
"2016-08-18",153,154.77,152.32,154.37,823732
"2016-08-25",142.08,142.94,140.68,140.99,1324232
"2016-09-01",141.23,141.72,140.06,140.66,1140153
"2016-09-08",139.41,140.28,138.75,139.58,537965
"2016-09-15",136.89,137.9,136.41,137.68,687371
