"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume"
"2012-06-21",51.32,51.42,49.58,49.63,1849489
"2012-06-28",50.39,50.84,49.9,50.8,1033797
"2012-07-05",51.97,52.13,51.38,51.43,1330697
"2012-07-12",49.87,49.97,49.2,49.61,1101056
"2012-07-19",52.23,52.65,51.57,51.91,1355126
"2012-07-26",49.33,50.97,49.31,50.76,2119667
"2012-08-02",50.7,51.18,50,50.81,1146721
"2012-08-09",54.3,54.72,53.98,54.37,1070207
"2012-08-16",54.44,55.16,54.2,54.94,1257456
"2012-08-23",54.76,54.96,54.33,54.4,568181
"2012-08-30",54.06,54.85,53.73,54.55,897784
"2012-09-06",54.95,56.15,54.92,56.01,992639
"2012-09-13",56.01,58.16,55.76,58.12,2148468
"2012-09-20",57.32,57.55,56.93,57.45,1222867
"2012-09-27",56.56,57.21,56.32,56.94,1038470
"2012-10-04",56.92,58.13,56.92,57.77,1582872
"2012-10-11",57.45,57.57,56.8,56.83,1441329
"2012-10-18",58.84,59.27,58.56,58.92,1048989
"2012-10-25",58.59,60.68,58.42,59,2656123
"2012-11-01",58.27,59.71,57.83,59.68,1544677
"2012-11-08",58.69,59.41,57.99,58.01,1458044
"2012-11-15",57.4,58.37,57.2,58.06,1806657
"2012-11-29",60.95,61.74,60.75,61.46,1367191
"2012-12-06",61.03,61.82,60.74,61.78,1152080
"2012-12-13",61.78,61.89,61.12,61.38,1133574
"2012-12-20",62.91,63.52,62.83,63.51,987955
"2012-12-27",62.54,62.8,61.63,62.57,1011160
"2013-01-03",65.21,66.01,65.06,65.17,1673126
"2013-01-10",64.8,65,64.49,65,939734
"2013-01-17",64.53,65.6,64.42,65.4,1285625
"2013-01-24",66.53,67.3,66.39,66.88,1215288
"2013-01-31",66.86,67.44,65.72,66.32,2340484
"2013-02-07",66.48,66.72,65.47,66.13,1320988
"2013-02-14",67.58,69.12,67.58,69.04,1572907
"2013-02-21",67.7,67.82,67.06,67.25,1174536
"2013-02-28",68.11,69.15,67.98,68.63,1849213
"2013-03-07",70.69,71.07,70.42,70.74,988129
"2013-03-14",73.85,74.52,73.57,74.46,1778176
"2013-03-21",74.5,75,73.6,73.64,1529916
"2013-03-28",72.97,73.82,72.85,73.65,1577599
"2013-04-04",71.96,72.47,71.7,72,1092314
"2013-04-11",74.6,75.5,74.49,75.28,1175934
"2013-04-18",71.47,71.48,69.34,69.6,2156900
"2013-04-25",73.17,74.27,72.83,73.98,1117283
"2013-05-02",72.89,73.72,72.3,73.56,1624289
"2013-05-09",76.91,77.32,76.39,76.54,1166023
"2013-05-16",81.16,81.78,80.35,80.46,1179874
"2013-05-23",79.55,81.09,79.14,80.39,1164075
"2013-05-30",82.15,84.29,81.9,83.94,1300007
"2013-06-06",79.73,81.02,79.33,81.02,1114405
"2013-06-13",81.09,83.21,80.85,82.99,782714
"2013-06-20",80.62,81.26,78.73,79.06,2207760
"2013-06-27",80.99,81.74,80.68,81.69,1079178
"2013-07-11",86.17,86.58,85.63,86.46,1121184
"2013-07-18",86.23,87.06,85.76,86.84,1289429
"2013-07-25",86.91,88.26,86.42,87.6,2171877
"2013-08-01",89.95,91.14,89.64,90.98,1319566
"2013-08-08",90.48,90.77,89.03,89.92,789030
"2013-08-15",88.98,89.01,87.5,87.8,854599
"2013-08-22",87.88,89.25,87.53,89.03,643451
"2013-08-29",85.65,87.92,85.65,87.11,825739
"2013-09-05",87.44,88.65,87.26,87.79,1101728
"2013-09-12",90.88,91.12,90.13,90.39,611947
"2013-09-19",94.31,94.45,93.23,93.42,1097571
"2013-09-26",91.22,92.17,91,91.59,607542
"2013-10-03",91.66,92.12,90.05,91.56,1028286
"2013-10-10",92.37,93.4,92.13,93.35,994731
"2013-10-17",96.33,98.22,95.73,98.13,1642899
"2013-10-24",99.18,99.77,98.61,99.53,897748
"2013-10-31",100.7,101.88,100.31,100.54,1253686
"2013-11-07",102.22,102.86,100.22,100.43,1497208
"2013-11-14",104.21,105.31,103.96,105.22,736076
"2013-11-21",105.66,107.01,105.66,106.79,1248025
"2013-12-05",106.44,106.72,105.68,106.23,805677
"2013-12-12",106.25,107.29,106.11,106.52,1069026
"2013-12-19",111.15,111.5,110.65,110.84,1269110
"2013-12-26",113.15,114.15,112.79,113.81,412405
"2014-01-02",114.58,114.81,113.42,113.88,783767
"2014-01-09",116.24,116.82,115.15,115.51,1924489
"2014-01-16",114.29,114.36,113.57,113.66,991669
"2014-01-23",114.11,114.12,111.03,111.24,1613466
"2014-01-30",105.93,107.02,105.81,106.43,805097
"2014-02-06",103.72,105.73,103.48,105.64,1292643
"2014-02-13",106.15,107.53,105.77,107.33,955361
"2014-02-20",106.72,107.07,105.49,106.2,1209716
"2014-02-27",106.57,108.75,106.25,108.63,1131600
"2014-03-06",110.37,111.51,110.17,110.84,1097519
"2014-03-13",111.63,111.95,108.94,109.16,1178824
"2014-03-20",108.52,111.84,108.38,111.72,1494849
"2014-03-27",108.33,109,106.85,107.02,1137791
"2014-04-03",113.5,114.49,112.15,113.27,1215585
"2014-04-10",109.06,109.4,105.04,105.04,1730003
"2014-04-17",105.15,106.58,105.1,106.03,1020065
"2014-04-24",107.1,107.25,105.6,105.85,844827
"2014-05-01",111.79,111.88,110.52,111.6,1224163
"2014-05-08",111.14,112.71,111.01,111.34,822197
"2014-05-15",109.99,110.19,107.21,108.23,1045216
"2014-05-22",110.14,111.06,109.73,110.56,637696
"2014-05-29",112.18,112.92,111.58,112.82,1207169
"2014-06-05",115,115.95,114.44,115.79,802359
"2014-06-12",116.8,116.91,115.44,115.82,563408
"2014-06-19",118.38,118.64,117.27,117.8,873837
"2014-06-26",119,119.24,117.85,119.15,615650
"2014-07-03",121.94,122.7,121.94,122.42,414812
"2014-07-10",118.98,120.64,118.86,120.27,721869
"2014-07-17",121.44,122.97,120.46,120.71,646410
"2014-07-24",122.78,123.12,122.27,122.53,494616
"2014-07-31",122.17,122.58,119.53,119.6,1189141
"2014-08-07",117.62,118.13,116.02,116.5,992893
"2014-08-14",120.04,120.78,119.93,120.38,663277
"2014-08-21",122.78,123.72,122.56,123.48,725102
"2014-08-28",124.96,125.47,124.67,125.21,517347
"2014-09-04",126.27,127.1,125.23,125.61,695670
"2014-09-11",124.72,125.27,124.57,124.89,896000
"2014-09-18",127.36,128.2,127.19,127.57,712265
"2014-09-25",124.37,124.68,122.71,122.94,1104982
"2014-10-02",119.59,120.42,118.26,119.92,911003
"2014-10-09",120.24,120.25,117.04,117.05,1170698
"2014-10-16",107.07,110.89,106.44,109.87,1612498
"2014-10-23",116.5,117.39,115.93,116.51,1180632
"2014-10-30",123.48,124.88,123.16,124.11,961222
"2014-11-06",128.4,129,127.47,128.89,692034
"2014-11-13",130.26,130.88,129.35,130.03,589890
"2014-11-20",129,131.17,128.91,130.46,727688
"2014-12-04",132.7,133.7,132.35,133.6,580742
"2014-12-11",134.46,135.71,133.61,133.89,869597
"2014-12-18",130.95,134.43,129.81,134.32,1229411
"2015-01-08",128.53,129.37,127.75,128.87,1681386
"2015-01-15",125.13,125.65,122.73,122.86,889283
"2015-01-22",127.19,130.53,125.93,130.23,1185768
"2015-01-29",129.06,130.14,126.35,128.26,1637686
"2015-02-05",131.4,133.08,130.75,132.48,916064
"2015-02-12",136.24,137.69,136.16,137.57,755897
"2015-02-19",135.5,136.46,135.37,135.85,883239
"2015-02-26",135.42,136.05,134.79,135.34,549940
"2015-03-05",134.01,134.62,133.59,134.41,647346
"2015-03-12",131.73,134.53,131.67,134.44,849540
"2015-03-19",135.1,135.34,132.72,133.34,1005775
"2015-03-26",129.77,131.4,129.18,130.25,903620
"2015-04-02",130.14,131.17,129.67,130.19,1225774
"2015-04-09",128.7,129.45,123.88,125.28,2728877
"2015-04-16",130,131.48,129.37,130.77,2331052
"2015-04-23",127.26,128.03,125.29,127.17,4336481
"2015-04-30",126.63,127.49,125.06,125.28,1419602
"2015-05-07",123.12,125,123.01,124.56,1494349
"2015-05-14",127.48,128.32,126.73,128.3,956667
"2015-05-21",127.98,128.64,127.95,128.29,755748
"2015-05-28",126.67,127.14,125.95,127.01,1101465
"2015-06-04",124.52,126.83,124.52,125.33,1124228
"2015-06-11",130.04,130.69,129.28,129.63,1136269
"2015-06-18",128.91,129.78,128.27,129.48,812853
"2015-06-25",129.22,129.22,127.77,127.86,1259632
"2015-07-02",125.98,126.57,124.61,125.23,1237882
"2015-07-09",123.87,124.9,122.45,123.09,935814
"2015-07-16",127.81,128.35,127.24,127.89,1210126
"2015-07-23",128.68,129.22,125.96,126.21,1879825
"2015-07-30",125.91,126.75,125.43,126.58,962711
"2015-08-06",125.23,125.53,123.1,123.7,838182
"2015-08-13",121.81,122.69,121.18,121.62,1363484
"2015-08-20",120.18,120.18,118.6,118.88,1436037
"2015-08-27",113.73,115.38,112.4,114.96,1438249
"2015-09-03",109.61,110.85,109.21,109.62,1538826
"2015-09-10",108.59,110.62,108.28,109.56,1267519
"2015-09-17",110.28,112.34,109.23,109.52,1453945
"2015-09-24",105.7,107.19,105.37,106.89,1183721
"2015-10-01",109.06,109.72,107.58,109.61,1269648
"2015-10-08",111.43,112.32,110.89,112.05,1587261
"2015-10-15",108.7,110.7,108.1,110.62,872175
"2015-10-22",110.2,115.6,108.01,114.09,1359641
"2015-10-29",115.31,116.03,114.59,115.41,836317
"2015-11-05",115.93,117.23,115.84,117.05,749005
"2015-11-12",115.1,115.25,113.75,113.75,726280
"2015-11-19",115.56,115.81,114.61,114.97,727453
"2015-12-03",113.4,113.73,110.85,111.3,1010855
"2015-12-10",108.79,110.2,108.41,108.79,1248936
"2015-12-17",107.89,107.99,104.81,105.1,955283
"2015-12-24",108.29,108.83,107.61,107.94,367197
"2015-12-31",106.5,107.72,106.13,106.42,730220
"2016-01-07",98,99.42,96.79,97.13,1624198
"2016-01-14",92.95,96.2,91.37,95.09,1535079
"2016-01-21",92.09,93.2,90.43,90.57,1456626
"2016-01-28",90.8,92.93,81.4,86.92,4964328
"2016-02-04",84.81,86.21,84.24,85.47,1951194
"2016-02-11",77.06,78.13,76,76.27,2456921
"2016-02-18",85,85.48,83.62,84.28,2321318
"2016-02-25",83.74,84.8,82.97,84.37,1344453
"2016-03-03",88.12,89.92,87.5,89.54,1898116
"2016-03-10",89.62,89.88,86.81,88.46,1316927
"2016-03-17",91.04,94.12,91.04,93.38,1254176
"2016-03-24",91.4,92.01,90.65,91.98,1860483
"2016-03-31",95.11,95.47,93.51,94.01,1958984
"2016-04-07",92.07,92.78,90.11,91.04,1691431
"2016-04-14",97.29,98.13,96.37,97.14,1238691
"2016-04-21",99.1,99.89,98.28,98.83,873109
"2016-04-28",100.31,101,97.76,98.13,1161659
"2016-05-05",94.37,95.05,93.04,93.17,1524633
"2016-05-12",95.87,96.71,94.31,95.34,1060254
"2016-05-19",96.74,97.98,95.52,96.61,1280448
"2016-05-26",101.25,101.26,100.12,100.17,845898
"2016-06-02",101.43,102.13,100.73,102.02,698337
"2016-06-09",100.96,100.99,99.95,100.67,799680
"2016-06-16",95.66,96.34,94.62,96.26,1240200
"2016-06-23",100.5,101.72,100.48,101.71,1043114
"2016-06-30",89.04,89.85,87.62,89.85,2104121
"2016-07-07",87.5,88.84,87.25,88.08,1150683
"2016-07-14",96.21,96.38,94.81,95.76,1076766
"2016-07-21",96.5,97.07,96.12,96.25,568238
"2016-07-28",95.17,95.92,94.13,95.55,925335
"2016-08-04",94.1,94.36,93.29,93.94,759257
"2016-08-11",95.85,96.6,95.37,96.13,441423
"2016-08-18",97.14,97.74,96.85,97.17,772121
"2016-08-25",97.31,97.56,96.79,97.42,681055
"2016-09-01",101.49,101.71,99.34,99.89,1062687
"2016-09-08",100.59,101.13,100.56,100.75,644448
"2016-09-15",98.82,101.46,98.82,100.92,887214
