"","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume"
"2013-09-05",21.49,21.6,21.16,21.27,20725672
"2013-09-12",21.92,21.96,21.7,21.74,14165210
"2013-09-19",22.26,22.39,22.12,22.2,15730576
"2013-09-26",21.72,22.06,21.68,22.05,18696348
"2013-10-03",22.58,22.65,22.31,22.5,19189476
"2013-10-10",22.39,22.71,22.31,22.68,17470332
"2013-10-17",23.44,23.75,23.39,23.74,19338702
"2013-10-24",23.63,24,23.5,23.88,17553284
"2013-10-31",23.29,24.1,23.29,23.8,31185012
"2013-11-07",24.06,24.12,23.56,23.62,19181474
"2013-11-14",23.76,23.89,23.62,23.84,12836778
"2013-11-21",23.57,23.86,23.46,23.72,14157104
"2013-12-05",24.34,24.54,24.1,24.54,21093794
"2013-12-12",24.32,24.58,24.25,24.34,15404324
"2013-12-19",25.02,25.4,24.99,25.39,21741486
"2013-12-26",25.59,25.77,25.59,25.76,8146570
"2014-01-02",25.9,25.95,25.64,25.72,19522498
"2014-01-09",26.45,26.58,26.16,26.44,20919264
"2014-01-16",27.04,27.15,26.62,26.77,20263280
"2014-01-23",26.62,26.79,26.42,26.54,18490640
"2014-01-30",26.65,27.18,26.49,27.1,28997696
"2014-02-06",26.87,27.08,26.7,27.02,15804886
"2014-02-13",26.76,27.14,26.38,26.48,166551204
"2014-02-20",25.89,26.07,25.66,25.88,51477140
"2014-02-27",25.32,25.68,25.25,25.54,35473120
"2014-03-06",26.06,26.16,25.92,26.06,25728450
"2014-03-13",25.56,25.6,25.08,25.23,30253550
"2014-03-20",25,25.47,24.95,25.3,30960292
"2014-03-27",24.7,24.8,24.5,24.55,25188316
"2014-04-03",25.38,25.66,25.36,25.56,28831592
"2014-04-10",24.84,24.96,24.2,24.21,38223460
"2014-04-17",24.48,24.75,24.38,24.55,30275600
"2014-04-24",25.68,25.96,25.56,25.68,33769678
"2014-05-01",25.91,26.06,25.86,26.06,26996322
"2014-05-08",25.82,25.88,25.39,25.55,37924954
"2014-05-15",24.9,25.18,24.58,25.16,33025946
"2014-05-22",25.64,26,25.62,25.85,22344854
"2014-05-29",26.03,26.09,25.89,26.04,18987288
"2014-06-05",26.22,26.38,26.04,26.36,14680972
"2014-06-12",26.25,26.4,26.2,26.34,19549364
"2014-06-19",26.32,26.48,26.25,26.47,18794216
"2014-06-26",26.59,26.82,26.52,26.8,18776616
"2014-07-03",27.37,27.48,27.26,27.45,15269828
"2014-07-10",27.16,27.39,27.04,27.18,20308796
"2014-07-17",27.26,27.58,27.05,27.1,30708988
"2014-07-24",27.48,27.62,27.36,27.56,26207604
"2014-07-31",27.5,27.52,26.81,26.86,30528858
"2014-08-07",26.56,26.6,26.26,26.34,23479634
"2014-08-14",27.1,27.21,27.04,27.18,13077104
"2014-08-21",27.32,27.42,27.18,27.22,14949480
"2014-08-28",27.16,27.33,27.14,27.26,11142164
"2014-09-04",27.62,27.7,27.42,27.44,26368872
"2014-09-11",28.44,28.56,28.28,28.49,19394058
"2014-09-18",28.55,28.68,28.36,28.42,29141144
"2014-09-25",27.41,27.42,26.88,26.97,27726776
"2014-10-02",26.42,26.48,25.82,26.42,36106320
"2014-10-09",27.38,27.39,26.64,26.66,37937074
"2014-10-16",25.05,25.13,24.76,24.8,89564832
"2014-10-23",26.09,26.76,25.95,26.61,43760482
"2014-10-30",27.21,27.45,27.04,27.18,26433386
