"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume"
"2012-07-26",37.39,37.62,36.61,37.3,3161874
"2012-08-02",38.65,39.23,37.96,38.48,2231195
"2012-08-09",40.37,40.92,40.34,40.68,1444896
"2012-08-16",39.57,40.12,39.47,39.96,1328736
"2012-08-23",40.16,40.16,39.06,39.14,2188225
"2012-08-30",38.02,38.02,37.55,37.7,1336053
"2012-09-06",37.24,38.16,37.2,38.09,2807364
"2012-09-13",38.87,40.56,38.7,40.47,7389952
"2012-09-20",39.23,39.71,38.8,39.71,2320281
"2012-09-27",38.42,38.57,37.87,38.35,2307179
"2012-10-04",38.22,38.94,38.22,38.66,1883607
"2012-10-11",39.17,39.32,38.85,39.01,1431111
"2012-10-18",39.98,41.2,39.61,41,3756475
"2012-10-25",40.85,40.95,40.02,40.23,2039659
"2012-11-01",40.32,41.86,40.29,41.53,2824712
"2012-11-08",40.47,40.68,39.95,40.04,1565964
"2012-11-15",39.55,39.94,39.2,39.36,2004530
"2012-11-29",41.06,41.86,40.74,41.04,2000742
"2012-12-06",40.78,40.81,40.18,40.68,1769423
"2012-12-13",41.28,41.72,40.98,41.19,1867617
"2012-12-20",43.44,43.98,43.25,43.97,1985804
"2012-12-27",43.68,43.8,42.61,43.15,2489016
"2013-01-03",44.77,45.27,44.49,44.69,2448058
"2013-01-10",45.5,45.6,45.2,45.47,1894757
"2013-01-17",46.1,46.88,45.8,46.64,3116469
"2013-01-24",48.12,48.34,47.6,47.78,2651676
"2013-01-31",46.32,46.39,46,46.01,2422428
"2013-02-07",46.87,46.92,46.01,46.28,3013269
"2013-02-14",47.3,48.34,47.25,48.23,2881070
"2013-02-21",45.66,45.76,44.32,44.7,4741648
"2013-02-28",44.96,45.61,44.73,45.05,2596913
"2013-03-07",46.51,47.16,46.49,46.78,2351159
"2013-03-14",46.14,46.46,45.63,46.43,4331045
"2013-03-21",46.53,47.18,46.29,46.4,1697254
"2013-03-28",45.93,46.44,45.56,46.15,2571032
"2013-04-04",43.21,44.12,43,43.5,2767270
"2013-04-11",44.95,45.41,44.62,44.99,3074222
"2013-04-18",42.79,42.93,41.6,42.23,3589193
"2013-04-25",43.85,44.23,43.23,43.44,3035713
"2013-05-02",43.05,43.65,42.65,43.4,1481415
"2013-05-09",45.82,45.96,45.29,45.45,1549749
"2013-05-16",45.06,46.01,44.85,44.99,2192458
"2013-05-23",45.42,45.89,45.22,45.7,1841409
"2013-05-30",45.81,46.06,45.56,45.64,1228466
"2013-06-06",44.37,44.59,44,44.48,1551501
"2013-06-13",43.56,45.44,43.56,45.24,3579834
"2013-06-20",44.23,45.25,43.78,44,3214065
"2013-06-27",43.95,44.59,43.95,44.08,1353251
"2013-07-11",45,45.99,44.87,45.62,2836603
"2013-07-18",45.29,46.22,45.15,45.65,2244134
"2013-07-25",45.76,46.65,45.62,46.6,2018457
"2013-08-01",47.17,47.42,46.91,47.14,1056075
"2013-08-08",46.71,47.7,46.69,47.32,2180856
"2013-08-15",47.24,47.41,46.83,47.23,1782498
"2013-08-22",45.95,46.87,45.88,46.46,1201065
"2013-08-29",45.46,46.12,45.34,45.72,1314481
"2013-09-05",46.34,46.84,46.32,46.6,1430271
"2013-09-12",48.4,48.48,48.13,48.35,1688669
"2013-09-19",50.99,51.25,50.2,50.2,2707236
"2013-09-26",49.54,49.81,48.84,49.32,1721762
"2013-10-03",48.83,49.11,48.18,48.44,1947360
"2013-10-10",47.95,48.41,47.91,48.38,1976831
"2013-10-17",49.97,50.94,49.3,50.79,2570943
"2013-10-24",51.44,51.8,51.26,51.35,1206188
"2013-10-31",51.3,52.27,51.16,51.77,1825517
"2013-11-07",54.26,54.3,53.41,53.51,1731714
"2013-11-14",52.6,53.33,52.08,53.1,2436543
"2013-11-21",52.94,53.1,52.52,53.05,994367
"2013-12-05",51.47,52.05,51.34,51.86,1860264
"2013-12-12",51.5,51.5,51.01,51.22,1077515
"2013-12-19",51.67,52.67,51.5,52.39,1617334
"2013-12-26",53.42,53.82,53.34,53.65,1089483
"2014-01-02",53.29,53.38,52.51,52.73,1611326
"2014-01-09",53.32,53.36,52.52,52.74,1684222
"2014-01-16",51.63,51.95,51.49,51.82,1501517
"2014-01-23",50.54,50.61,49.93,50.16,1848033
"2014-01-30",48.67,48.8,47.84,48.59,1976554
"2014-02-06",47.21,48.42,47.16,48.32,3534711
"2014-02-13",49.76,50.58,49.73,50.55,1619445
"2014-02-20",50.64,51.15,50.46,51.09,1425789
"2014-02-27",49.64,50.44,49.64,50.36,1184336
"2014-03-06",50.97,51.44,50.49,50.59,2487950
"2014-03-13",49.08,49.43,48.24,48.65,2471696
"2014-03-20",49.28,49.8,49.08,49.78,1380649
"2014-03-27",50.33,50.52,49.96,50.19,1415646
"2014-04-03",51.2,51.98,51.08,51.55,1480256
"2014-04-10",52.48,52.48,51.09,51.2,2116013
"2014-04-17",51.95,52.58,51.79,52.14,3070014
"2014-04-24",52.54,52.54,51.11,51.49,2630261
"2014-05-01",51.65,52.16,51.39,51.89,1183659
"2014-05-08",52.39,52.89,51.81,52.03,1025573
"2014-05-15",52.9,52.93,51.7,52.17,1152244
"2014-05-22",51.5,51.57,50.86,50.94,1782178
"2014-05-29",51.37,51.77,50.99,51.7,1189108
"2014-06-05",50.41,51.25,50.2,50.97,1443605
"2014-06-12",50.65,50.68,50.12,50.3,1123954
"2014-06-19",51.93,52.22,51.55,51.68,1105102
"2014-06-26",50.03,50.22,49.65,49.85,1574613
"2014-07-03",49.74,50.75,49.72,50.53,1747993
"2014-07-10",49.85,50.1,49.58,49.68,1317495
"2014-07-17",50.09,50.45,49.71,49.8,1516347
"2014-07-24",51.83,52.94,50.91,51.11,1858186
"2014-07-31",50.8,51.26,50.15,50.22,1650173
"2014-08-07",50.74,50.87,49.88,50.09,1242815
"2014-08-14",52.62,52.66,51.99,52.19,1730964
"2014-08-21",53.95,54.02,53.59,53.75,1205162
"2014-08-28",53.84,54.01,53.54,53.96,841683
"2014-09-04",55,56.09,54.97,55.79,2393661
"2014-09-11",54.68,55.17,54.64,55.17,979441
"2014-09-18",58.3,58.34,57.54,58.09,2814339
"2014-09-25",55.94,56,54.82,55.25,2629441
"2014-10-02",52.85,52.96,51.54,52.38,2382667
"2014-10-09",51.31,51.31,49.57,49.63,2197641
"2014-10-16",47.91,50.02,47.91,49.55,2140619
"2014-10-23",51.87,51.87,50.25,51.12,3566289
"2014-10-30",52.6,53.61,52.35,53.07,2543494
"2014-11-06",53.13,53.64,52.86,53.48,1355487
