"","KORS.Open","KORS.High","KORS.Low","KORS.Close","KORS.Volume"
"2013-02-14",61.28,62.84,61.06,61.67,5751014
"2013-02-21",60.81,60.98,58.81,59,25675224
"2013-02-28",59.83,60.37,59.23,59.28,5628707
"2013-03-07",61.06,61.33,58.19,58.21,8005954
"2013-03-14",58.71,59.41,57.62,58.05,4840182
"2013-03-21",55.75,56.18,54.97,55.05,3729935
"2013-03-28",56.58,57.26,55.97,56.79,4458238
"2013-04-04",54.89,55.49,54.4,54.66,1753649
"2013-04-11",55.15,57.72,54.75,57.31,5186147
"2013-04-18",54,54.49,52.31,53.61,4762346
"2013-04-25",54.33,56.98,53.9,56.64,5235367
"2013-05-02",56.52,57.4,56.1,57.05,2108968
"2013-05-09",58.24,60.28,58.22,59.41,4314190
"2013-05-16",60.61,60.8,59.15,59.27,3336530
"2013-05-23",59.02,60.75,57.88,59.81,3274433
"2013-05-30",64.54,66.18,64.43,65.68,6676703
"2013-06-06",61.06,62.1,60.86,61.93,2901210
"2013-06-13",60.33,60.65,57.96,59.5,6266014
"2013-06-20",60.89,61.08,58.98,59.6,2883273
"2013-06-27",59.87,61.57,59.77,61.28,3210629
"2013-07-11",64.85,64.94,63.77,64.19,2125256
"2013-07-18",63,63,60.08,61.69,6500377
"2013-07-25",63.97,64.74,63.26,64.57,3600580
"2013-08-01",68.12,69,67.77,68.65,4479571
"2013-08-08",70.11,71.73,69.66,71.28,4869743
"2013-08-15",71.75,71.8,70.2,71.23,3748903
"2013-08-22",71.95,72.45,71.47,72.19,1798066
"2013-08-29",71.53,73.52,71.53,73.15,2234960
"2013-09-05",75.91,76.22,75.5,75.84,2343881
"2013-09-12",74.73,74.78,73.22,73.32,2722722
"2013-09-19",75.73,78.62,75.25,77.49,4462517
"2013-09-26",73.92,74.16,73.07,73.99,1570483
"2013-10-03",75.89,76.97,74.57,74.83,2466014
"2013-10-10",73.3,74.63,73.23,74.23,2931591
"2013-10-17",74.14,74.83,71.71,73.75,5834529
"2013-10-24",77.69,78,76.57,76.94,2226885
"2013-10-31",77.01,77.27,75.84,76.95,6142349
"2013-11-07",79.52,80.16,77.59,77.91,4575592
"2013-11-14",82.4,82.59,81.17,81.86,3498419
"2013-11-21",79.37,80.66,78.98,80.44,2036394
"2013-12-05",80.53,81.12,80.01,80.76,1751344
"2013-12-12",80.67,82.77,80.45,82.65,3858460
"2013-12-19",84.15,84.58,83.44,83.92,1883878
"2013-12-26",81.65,81.65,80.49,81.02,1699287
"2014-01-02",80.94,82.75,80.94,82.41,3342211
"2014-01-09",78.06,79.1,77.56,78.59,3407674
"2014-01-16",76.91,77.04,74.11,75.7,5652063
"2014-01-23",79.39,80.34,78.78,80.29,3943763
"2014-01-30",80.5,81,79.5,80.39,3090912
"2014-02-06",91.1,92.94,90.83,91.5,4180492
"2014-02-13",96,98.81,95.83,98.41,3056246
"2014-02-20",97.79,98.53,97.21,98,1868140
"2014-02-27",99.26,100.41,98.61,99.56,1418029
"2014-03-06",99.3,99.46,98.19,98.62,1279980
"2014-03-13",98.5,98.72,96.27,97.02,1645075
"2014-03-20",98.17,98.44,96.64,97.67,1932881
"2014-03-27",91.95,92.04,89.43,91.54,2761950
"2014-04-03",95.3,95.59,92.07,92.64,2009567
"2014-04-10",90.51,90.81,89,89.65,4800966
"2014-04-17",90.05,91.15,89.09,89.93,1786635
"2014-04-24",91.76,91.97,89.62,91.14,1846092
"2014-05-01",91.05,93,90.67,92.4,2001323
"2014-05-08",91.33,93.73,90.76,91.81,1405128
"2014-05-15",92.88,92.9,90.56,91.27,2016730
"2014-05-22",93.11,94.55,93.03,93.66,1543211
"2014-05-29",97.04,97.14,91.03,92.28,7881944
"2014-06-05",93.45,94.3,92.9,93.36,2065913
"2014-06-12",94.88,95.79,94.4,94.66,2589700
"2014-06-19",90.96,91,88.29,89.36,4383378
"2014-06-26",90,90.6,89.06,90.12,1874111
"2014-07-03",90.83,90.98,90.04,90.27,746133
"2014-07-10",89.9,89.91,88.7,89.17,2423957
"2014-07-17",81.54,83.92,81.11,81.86,6483221
"2014-07-24",82.15,82.68,81.58,82.04,1870559
"2014-07-31",83.27,83.27,81.25,81.48,3656216
"2014-08-07",79.84,80.65,78.48,78.75,2498374
"2014-08-14",78.94,79.26,77.9,78.38,1822629
"2014-08-21",82.86,83.14,81.61,81.73,2060501
"2014-08-28",81.9,81.91,80.78,81,1796715
"2014-09-04",79.47,80.51,79.24,79.97,2313169
"2014-09-11",75.16,76.05,75.16,75.66,2270330
"2014-09-18",76.38,77.77,76.15,77.22,2649190
"2014-09-25",74.31,74.45,72.04,73.15,4744640
"2014-10-02",71.42,74.89,71.25,74.08,4623216
"2014-10-09",76.87,77.08,74.4,74.91,2594377
"2014-10-16",70.43,72.67,70,72.07,3468762
"2014-10-23",75.55,76.77,75.13,75.78,1520026
"2014-10-30",76.71,78.75,76.46,77.9,1943755
"2014-11-06",73.29,73.3,71.83,72.31,4254844
"2014-11-13",71.07,71.76,70.46,70.74,3240872
"2014-11-20",72.8,73.96,72.57,73.43,7780998
"2014-12-04",75.76,77.07,75.5,76.53,3533684
"2014-12-11",75.8,77.45,75.5,76.7,3068061
"2014-12-18",76.43,76.69,73.39,74.29,5661903
"2015-01-08",69.1,70.35,68.71,70,3837174
"2015-01-15",67.36,68,66,66.01,3284184
"2015-01-22",68.78,69.45,68,69.09,2331805
"2015-01-29",72.47,73,71.08,72.53,4376914
"2015-02-05",68,70.65,67.11,69.77,16901529
"2015-02-12",71.52,72.09,70.81,71.55,2686805
"2015-02-19",70.15,70.65,69.49,69.59,4041642
"2015-02-26",68.66,68.85,67.74,67.89,2917693
"2015-03-05",67.15,67.49,66.1,67.14,2959055
"2015-03-12",65.49,65.6,64.24,65.42,3232054
"2015-03-19",66.53,66.85,65.99,66.82,2031128
"2015-03-26",67.61,67.88,66.65,66.66,1772419
"2015-04-02",64.18,64.94,63.21,63.39,3871027
"2015-04-09",65.1,65.83,65.07,65.24,2251255
"2015-04-16",63.48,63.83,63.37,63.72,2601290
"2015-04-23",62.51,63.96,62.3,63.34,3548611
"2015-04-30",62.25,62.46,61.43,61.86,2483629
"2015-05-07",62.39,62.64,62.01,62.42,1908278
"2015-05-14",61.07,61.41,60.24,61.08,2442204
"2015-05-21",60.57,61.51,60.23,61.33,3838308
"2015-05-28",45.61,46.95,45.57,45.78,21680875
"2015-06-04",48.1,49.31,48.01,49.28,6495020
"2015-06-11",48.32,48.73,47.19,47.84,5426600
"2015-06-18",46.7,46.93,46.1,46.17,3107841
"2015-06-25",46.51,46.51,45.23,45.37,4415362
"2015-07-02",43.14,43.54,42.8,43.07,2869127
"2015-07-09",42.16,42.67,41.92,41.99,3216091
"2015-07-16",42.3,42.3,41.09,41.25,5932239
"2015-07-23",40.08,40.4,39.68,39.81,3539203
"2015-07-30",40.12,42.28,40,42.12,7944461
"2015-08-06",42.38,44.59,41.7,43.77,13993931
"2015-08-13",44.34,44.44,43.57,43.61,3790950
"2015-08-20",42.86,43.16,42.15,42.16,3579495
"2015-08-27",41.56,43.44,41.39,43.28,5941916
"2015-09-03",44.49,45.23,44.32,44.92,2891562
"2015-09-10",43.64,44.13,43.35,43.69,1767735
"2015-09-17",43.95,45.15,43.74,44.35,2017588
"2015-09-24",42,42.87,41.62,42.72,2089187
"2015-10-01",42.21,42.61,41,41.66,2146003
"2015-10-08",42.27,43.68,42.22,43.51,2058098
"2015-10-15",42.04,42.04,40.69,41.75,2064371
"2015-10-22",40.26,40.34,39.33,39.46,3831903
"2015-10-29",38.76,38.79,37.91,38.69,4815355
"2015-11-05",43.11,43.93,42.9,43.49,5265684
"2015-11-12",41.01,42.16,40.84,41.64,2530428
"2015-11-19",40.95,41.42,40.56,40.88,1911465
"2015-12-03",43.06,43.52,42.07,42.7,4171293
"2015-12-10",41.9,42.66,41.61,42.22,2091708
"2015-12-17",40.86,41.05,38.97,39.43,3267436
"2015-12-24",41.53,41.57,40.83,40.86,822963
"2015-12-31",40.08,40.49,39.87,40.06,1854469
"2016-01-07",39.02,40.28,38.73,38.96,2808294
"2016-01-14",36.26,36.62,35.02,36.11,2752154
"2016-01-21",37,38.36,36.43,37.51,3488044
"2016-01-28",38.7,39.05,37.79,38.73,2444736
"2016-02-04",51.1,52.15,50.7,51.72,6341766
"2016-02-11",49.72,50.44,48.6,49.14,4508216
"2016-02-18",52.54,53.93,52.07,53.24,4843605
"2016-02-25",55.22,56.66,55.02,56.47,3720526
"2016-03-03",57.75,57.76,56.71,57.19,3173767
"2016-03-10",58.19,58.32,56.53,57.37,3203852
"2016-03-17",56.08,57.09,56.07,56.79,2531795
"2016-03-24",55.81,55.82,55.05,55.53,1994829
"2016-03-31",56.87,57.54,56.84,56.96,1912512
"2016-04-07",55.66,55.95,53.46,53.74,4168968
"2016-04-14",53.07,53.36,51.59,51.8,2068268
"2016-04-21",52.34,52.58,51.59,51.64,1650015
"2016-04-28",54.89,55.23,52.65,52.82,2364853
"2016-05-05",51.08,51.34,50.11,50.18,2271411
"2016-05-12",44.34,44.44,43.06,43.79,5574929
"2016-05-19",40.66,41.46,40.36,40.7,3620605
"2016-05-26",42.34,42.6,41.48,41.82,2992363
"2016-06-02",45.42,47.83,45.3,47.51,9374083
"2016-06-09",50.33,50.86,49.8,50.74,4610416
"2016-06-16",49.63,49.94,48.85,49.09,2786759
"2016-06-23",51.37,51.58,50.58,50.82,3150462
"2016-06-30",48.47,49.48,48.02,49.48,2675062
"2016-07-07",48.58,49.84,48.48,49.05,3622307
"2016-07-14",51.91,51.98,51.49,51.57,1748230
"2016-07-21",51.5,52.21,51.26,51.35,2008148
"2016-07-28",52.23,52.36,51.78,52.06,1743313
"2016-08-04",49.26,50.66,49.26,49.67,3211149
"2016-08-11",49.22,49.84,48.48,49.13,4356187
"2016-08-18",48.95,49.44,48.51,49.31,2873358
"2016-08-25",50.11,50.86,49.78,50.26,2551040
"2016-09-01",48.88,49.67,48.71,49.62,1770993
"2016-09-08",49.92,49.99,49.04,49.17,2316420
"2016-09-15",47.09,47.76,46.85,47.68,1824346
