"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume"
"2013-01-17",82.73,82.99,82.38,82.39,3392356
"2013-01-24",83.05,83.83,83.05,83.4,3312088
"2013-01-31",86.05,88.59,85.65,88.27,13895642
"2013-02-07",88.62,88.74,87.75,88.17,4147449
"2013-02-14",86.74,87.31,86.45,86.91,4147690
"2013-02-21",84,84.28,83.09,83.43,4189457
"2013-02-28",82.24,82.55,81.92,82.33,4914333
"2013-03-07",82.03,82.21,81.61,81.69,4046206
"2013-03-14",83.59,84.7,83.43,84.4,5325173
"2013-03-21",78.25,79.05,77.94,78.36,6152972
"2013-03-28",78.1,78.74,77.82,78.37,5364660
"2013-04-04",80.99,82.09,80.51,81.82,7351679
"2013-04-11",84,84.74,83.5,84.2,14673878
"2013-04-18",80.59,81.14,79.4,79.91,4785328
"2013-04-25",83.59,87.92,82.55,85.55,9544752
"2013-05-02",88.09,88.46,86.91,88.09,5356785
"2013-05-09",89.28,89.34,87.89,88.2,5901915
"2013-05-16",90.54,91.93,90.23,91.03,4366760
"2013-05-23",90,90.57,88.9,90.53,4648954
"2013-05-30",94.46,95.56,93.9,94.75,6121223
"2013-06-06",92.94,93.4,91.86,92.55,5803125
"2013-06-13",91.01,93.53,90.81,93.04,3989363
"2013-06-20",90.82,90.94,88.49,88.94,5444216
"2013-06-27",89.91,91.26,89.52,90.31,3372852
"2013-07-11",90.45,90.72,89.45,90.42,3877008
"2013-07-18",90.2,91.67,90.14,91.27,2838431
"2013-07-25",90.72,91.23,90.18,91.05,2308370
"2013-08-01",89.65,90.1,89.11,89.85,3400663
"2013-08-08",88.09,88.82,87.15,88.48,3994723
"2013-08-15",87.34,87.51,86.7,86.99,3448383
"2013-08-22",85.51,86.8,85.34,86.12,2460062
"2013-08-29",88.01,89.07,87.95,88.21,3682284
"2013-09-05",89.71,90.4,89.6,89.74,2007494
"2013-09-12",90.55,91.63,90.32,91.01,3774751
"2013-09-19",92.44,92.89,91.8,92.11,2986540
"2013-09-26",93.75,94.4,93.06,93.58,5120007
"2013-10-03",94.74,95,93.72,94.4,3619744
"2013-10-10",94.98,95.88,94.36,95.1,3286125
"2013-10-17",96.8,98.08,96.67,98.08,3553354
"2013-10-24",95.96,97.31,95.49,97.03,2241680
"2013-10-31",96.2,97.24,95.39,96.08,3576021
"2013-11-07",96.71,96.89,95.42,95.85,3865792
"2013-11-14",97.02,97.65,96.48,97.48,3315918
"2013-11-21",97.5,98.72,97.13,98.65,2645418
"2013-12-05",94.4,94.44,93.36,93.43,4570079
"2013-12-12",91.44,92.12,90.98,91.24,4265767
"2013-12-19",91.82,93.13,91.5,92.93,4232866
"2013-12-26",93.47,94.11,93.13,94.03,2047943
"2014-01-02",94.51,94.84,93.41,93.85,2765153
"2014-01-09",94.84,95.12,94.06,94.84,3147857
"2014-01-16",91.33,91.94,91.06,91.77,3790923
"2014-01-23",90.66,90.66,89.17,89.42,4373991
"2014-01-30",88.74,89.23,86.5,88.3,5523517
"2014-02-06",87.61,88.96,87.61,88.48,5375972
"2014-02-13",91.41,92.51,91.15,92.27,3711162
"2014-02-20",95,95.59,94.75,95.4,3829114
"2014-02-27",95.09,95.55,94.68,95.53,2842224
"2014-03-06",96.05,96.55,95.81,96.27,2987187
"2014-03-13",96.71,96.92,95.53,95.81,2621894
"2014-03-20",94.74,94.75,91.2,92.93,10873941
"2014-03-27",93.54,94.83,93.05,94.64,4372013
"2014-04-03",96.45,96.66,96.03,96.51,3569594
"2014-04-10",95.79,96.39,94.35,94.44,4148750
"2014-04-17",95.41,96.78,95.4,96.6,4609375
"2014-04-24",97.07,97.38,96.25,97.14,1971639
"2014-05-01",95.74,95.8,94.93,94.99,3138776
"2014-05-08",96.38,96.5,95.06,95.19,2670686
"2014-05-15",97.07,97.27,96.11,97.06,3529420
"2014-05-22",97.6,98.03,97,97.23,2738396
"2014-05-29",99.15,99.88,98.91,99.83,4922280
"2014-06-05",100.7,100.97,99.65,100.9,4658084
"2014-06-12",100.39,101.65,100.29,101.25,5024167
"2014-06-19",103.34,103.64,102.98,103.35,3157627
"2014-06-26",102.84,102.84,101.29,102.64,2546867
"2014-07-03",102.33,102.75,101.77,102.17,2414657
"2014-07-10",101.11,101.55,99.89,100.41,4824958
"2014-07-17",101.88,102.17,99.83,99.95,2781896
"2014-07-24",101.53,101.59,100.35,100.88,2352625
"2014-07-31",98.83,99.09,97.48,97.71,5444690
"2014-08-07",99.55,99.75,97.77,98.29,3270742
"2014-08-14",100.29,100.82,99.74,99.97,3461763
"2014-08-21",101.76,102.5,101.54,102.27,2665814
"2014-08-28",103.24,104.48,103.09,104.01,2815845
"2014-09-04",102.65,103.47,101.91,102.37,3786646
"2014-09-11",97.86,98.43,97.34,98.35,3144952
"2014-09-18",98.5,98.69,97.59,97.87,2359109
"2014-09-25",97.86,98.36,96.37,96.77,5353425
"2014-10-02",93.83,95.82,93.24,95.22,5601792
"2014-10-09",95.06,95.14,91.99,92.53,5477246
"2014-10-16",83.55,87.15,83.28,86.44,8779423
"2014-10-23",90.23,91.6,89.21,91.01,4309533
"2014-10-30",88.42,88.8,86.78,87.93,4476381
"2014-11-06",84.92,86.63,84.91,86.4,7715722
"2014-11-13",87.68,88.25,85.08,86.29,7928957
"2014-11-20",86.04,86.98,86,86.87,3747838
"2014-12-04",82.15,82.96,81.86,82.54,6882621
"2014-12-11",74.68,76.74,74.66,75.08,6034286
"2014-12-18",79.62,79.99,77.08,79.17,8062147
"2015-01-08",77.81,78.76,77.48,77.69,6734730
"2015-01-15",76.6,76.87,74.94,75.99,7271531
"2015-01-22",80,80,77.72,78.86,5221583
"2015-01-29",78.29,78.41,75.55,78.31,6297638
"2015-02-05",81.86,82.9,81.45,82.12,5246950
"2015-02-12",80.93,82.23,80.56,82.04,6010482
"2015-02-19",79.07,81.37,79.01,80.61,4521458
"2015-02-26",79.34,79.61,77.85,78.32,4696394
"2015-03-05",78.13,78.2,77.18,77.49,3614559
"2015-03-12",74.71,75.05,74.23,74.58,4268762
"2015-03-19",72.81,73.13,71.7,71.87,5466362
"2015-03-26",74.61,74.7,73.12,73.73,4952509
"2015-04-02",73.64,74.77,73.35,74.55,5277579
"2015-04-09",76.64,78.05,76.6,77.83,4100857
"2015-04-16",81.17,81.74,80.35,81.37,5510780
"2015-04-23",79.85,80.75,79.64,80.04,3425361
"2015-04-30",80.4,80.64,79.4,80.1,3855225
"2015-05-07",78.61,78.96,77.17,77.61,6703303
"2015-05-14",76.28,77.18,76.19,76.29,2457982
"2015-05-21",76.93,77.43,76.51,76.95,3460102
"2015-05-28",76.67,78.04,76.31,77.73,4787805
"2015-06-04",77.84,78.28,77.24,77.3,4749181
"2015-06-11",78.79,79.4,78.54,78.89,3355602
"2015-06-18",79.05,79.36,78.5,79.1,4335143
"2015-06-25",79,79.33,78.34,78.53,4245391
"2015-07-02",76.41,76.88,75.71,75.73,3007405
"2015-07-09",73.72,74.25,73.09,73.12,3554510
"2015-07-16",73.22,73.44,72.41,72.5,4419937
"2015-07-23",69.44,69.79,68.9,69.69,3708043
"2015-07-30",70.73,71.7,69.64,71.4,4943627
"2015-08-06",68.37,69.64,67.8,69.42,5514077
"2015-08-13",72.95,73.44,72.3,72.93,7357650
"2015-08-20",71.84,72.19,70.46,70.47,4247009
"2015-08-27",68.4,70.62,68.03,70.56,7993772
"2015-09-03",71.31,72.53,70.52,70.86,4717345
"2015-09-10",67.75,68.33,66.67,67.74,4472627
"2015-09-17",68.4,69.78,67.88,68.34,5758521
"2015-09-24",64.19,65.57,64.14,65.08,4346389
"2015-10-01",67.03,67.97,65.37,65.97,5052553
"2015-10-08",71.85,74.26,71.58,74.07,6120403
"2015-10-15",73.71,74.8,73.14,74.72,5430092
"2015-10-22",72.6,74.44,72.59,74.34,4251214
"2015-10-29",73.45,74.88,73,74.13,4825751
"2015-11-05",75.27,77.27,75.15,75.71,3938057
"2015-11-12",74.53,74.95,72.96,73.14,3834629
"2015-11-19",75.32,76.38,74.81,75.3,3644089
"2015-12-03",75.71,75.83,71.93,72.43,6962144
"2015-12-10",67.66,69.32,67.35,68.42,5003785
"2015-12-17",68.23,68.6,65.65,66.42,5748233
"2015-12-24",69.21,69.63,68.65,69.2,2206369
"2015-12-31",66.42,68,66.42,67.61,4618026
"2016-01-07",64.07,65.68,63.69,64.26,6562615
"2016-01-14",60.75,64.81,60.19,64,9560540
"2016-01-21",59.11,61.17,58.76,60.85,7198604
"2016-01-28",66.15,66.75,64.08,65.87,7591862
"2016-02-04",68.9,70.49,66.78,66.98,9247429
"2016-02-11",64.39,66.52,64.12,66.2,6012513
"2016-02-18",71.33,71.46,69.81,70.29,4878554
"2016-02-25",69.55,69.93,68.46,69.65,2516101
"2016-03-03",71.59,71.62,69.38,70.49,6663151
"2016-03-10",68.27,68.73,67.53,68.44,4636543
"2016-03-17",70.33,71.17,69.45,70.66,4325188
"2016-03-24",67.27,68.74,67.25,68.51,5142178
"2016-03-31",68.24,69.42,68.15,68.43,3303573
"2016-04-07",69.55,70.4,69,69.38,2543402
"2016-04-14",72.66,74.47,72.3,74.32,6056478
"2016-04-21",75.21,75.73,74.38,74.62,3228225
"2016-04-28",77.71,77.71,75.83,76.23,3683029
"2016-05-05",75.66,76.89,75.08,76.14,6338658
"2016-05-12",76.98,77.2,76.16,76.48,3638323
"2016-05-19",74.5,75,73.82,74.84,3890796
"2016-05-26",76.7,77.18,76.05,76.11,2286839
"2016-06-02",74.82,75.25,74.36,75.21,2244645
"2016-06-09",74.56,75.66,74.52,75.6,3846622
"2016-06-16",74.36,74.63,73.82,74.45,3378008
"2016-06-23",77.82,78.31,77.29,78.31,4104008
"2016-06-30",75.22,75.66,74.84,75.56,3779265
"2016-07-07",75.67,75.99,75,75.45,4564218
"2016-07-14",77.55,77.66,76.92,77.21,4158220
"2016-07-21",75.92,76.51,75.59,75.73,2027089
"2016-07-28",73.78,74.32,73.43,73.91,3569989
"2016-08-04",74.01,74.85,73.92,74.25,3745642
"2016-08-11",73.84,74.58,73.31,74.25,2729414
"2016-08-18",76.92,77.51,76.73,77.48,4390508
"2016-08-25",77.66,77.7,77,77.36,3228074
"2016-09-01",76.55,76.84,76,76.84,3261008
"2016-09-08",77.57,77.9,76.79,77.75,5019188
"2016-09-15",71.87,72.77,71.83,72.27,5345299
