"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume"
"2012-05-24",47.24,47.38,45.91,46.58,1265285
"2012-05-31",45.31,46.83,44.21,46.38,2297332
"2012-06-07",46.54,47.14,45.6,45.73,1426980
"2012-06-14",45.74,48.08,45.54,47.5,2019040
"2012-06-21",51.31,51.73,50.08,50.44,3737458
"2012-06-28",53.46,54.21,52.9,54.07,2174110
"2012-07-05",54.37,55.24,54.26,54.61,1613048
"2012-07-12",52.79,53.22,52.2,52.99,2245335
"2012-07-19",55.91,56.05,55.19,55.41,2151444
"2012-07-26",55.85,57.08,55.18,55.76,2155506
"2012-08-02",55.29,55.29,53,53.36,2057061
"2012-08-09",55.52,57.69,55.34,56.85,1459445
"2012-08-16",55.04,56.29,55,56.07,1113220
"2012-08-23",56.07,56.12,54.35,54.44,994547
"2012-08-30",53.1,53.7,52.68,53.54,1159339
"2012-09-06",53.8,54.83,53.67,54.47,772109
"2012-09-13",57.75,58.2,56.62,57.76,1077435
"2012-09-20",56.69,57.28,56.35,57.26,820431
"2012-09-27",57.46,59.27,57.34,58.84,1165410
"2012-10-04",58.72,60.1,58.6,59.87,1854765
"2012-10-11",60.2,61.36,59.86,60.84,1075635
"2012-10-18",60.88,61.32,60.61,61.23,483986
"2012-10-25",58.67,61.37,58.42,60.72,2087768
"2012-11-01",60.16,61.85,60.01,61.11,828271
"2012-11-08",59.89,60.3,58.78,58.79,661800
"2012-11-15",60.22,60.68,59.54,59.87,1135958
"2012-11-29",62.06,62.57,60.43,60.54,1755124
"2012-12-06",58.78,59.08,58.43,58.9,1427826
"2012-12-13",58.2,58.2,56.9,56.96,966662
"2012-12-20",57.32,60.19,57.32,59.17,3883092
"2012-12-27",58.96,59.05,57.93,58.62,1140894
"2013-01-03",57.97,59.58,57.55,59.06,1332140
"2013-01-10",57.46,57.83,56.87,57.7,1272225
"2013-01-17",58.45,59.25,58.16,59.06,1696373
"2013-01-24",60.13,62.43,59.8,60.76,2274425
"2013-01-31",60.46,60.59,59.28,59.41,2014480
"2013-02-07",62,62.4,61.57,61.79,1441363
"2013-02-14",60.61,61.1,60.38,60.5,1363521
