"","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume"
"2012-05-24",55.94,56.46,55.87,56.45,737092
"2012-05-31",56.23,57.38,56.17,56.83,1346210
"2012-06-07",58,58.03,57.54,57.59,2445926
"2012-06-14",58.79,59.55,58.68,59.47,1090881
"2012-06-21",59.34,59.69,58.42,58.48,831920
"2012-06-28",58.3,59.05,58.2,59.02,652062
"2012-07-05",59.34,59.75,59.19,59.19,716246
"2012-07-12",59.03,59.42,58.83,59.23,480447
"2012-07-19",60.87,60.98,60.13,60.68,778689
"2012-07-26",60.06,60.55,59.82,60.12,996488
"2012-08-02",60.79,61.39,60.42,60.94,791268
"2012-08-09",60.68,60.69,60.06,60.22,512879
"2012-08-16",60.34,60.43,60,60.39,767435
"2012-08-23",59.42,59.45,58.46,58.53,763376
"2012-08-30",58.72,58.79,58.42,58.58,396517
"2012-09-06",59.41,59.75,59.29,59.69,431139
"2012-09-13",58.68,59.29,58.57,59.27,759278
"2012-09-20",58.44,58.91,58.35,58.78,588866
"2012-09-27",60.11,60.11,59.42,59.76,966414
"2012-10-04",60.43,60.96,60.32,60.58,355221
"2012-10-11",60.91,61.03,60.53,60.76,753976
"2012-10-18",61.56,61.92,61.51,61.69,575119
"2012-10-25",61.22,61.62,60.79,61.6,619209
"2012-11-01",62.2,62.32,61.53,61.62,656801
"2012-11-08",59.45,60.1,59.18,59.31,623456
"2012-11-15",58.73,59.21,58.2,58.64,831948
"2012-11-29",59.69,59.9,59.35,59.89,524174
"2012-12-06",61.68,61.81,61.05,61.2,735107
"2012-12-13",61.39,61.48,60.75,60.94,658509
"2012-12-20",60.97,61.27,60.76,61.18,542572
"2012-12-27",60.19,60.5,59.4,60.08,587137
"2013-01-03",61.45,61.76,61.19,61.43,548056
"2013-01-10",61.15,61.48,60.81,61.41,624918
"2013-01-17",61.17,61.56,61.06,61.28,417090
"2013-01-24",62.47,62.98,62.38,62.5,405104
"2013-01-31",63.31,63.48,63.06,63.31,631721
"2013-02-07",63.88,64.43,63.64,64.16,537420
"2013-02-14",64.24,64.56,63.89,64.36,698953
"2013-02-21",64.85,64.91,64.45,64.83,767734
"2013-02-28",66.3,67.01,66.18,66.8,1183294
"2013-03-07",66.82,67.25,66.48,66.49,689233
"2013-03-14",66.36,66.66,66.18,66.41,681598
"2013-03-21",66.28,66.5,66.07,66.2,553702
"2013-03-28",66.97,68.38,66.87,68.34,1241676
"2013-04-04",68.5,68.91,68.46,68.84,463651
"2013-04-11",69.31,69.61,69.03,69.55,644694
"2013-04-18",71.93,72.48,71.65,72.05,1409825
"2013-04-25",72.96,73.09,72.09,72.25,1864567
"2013-05-02",72.39,72.72,72.12,72.38,772292
"2013-05-09",71.63,71.83,70.03,70.21,895752
"2013-05-16",71.24,71.26,70.79,71.03,881269
"2013-05-23",69.89,69.89,68.37,69.28,1116664
"2013-05-30",66.5,68.14,66.5,67.45,1816430
"2013-06-06",66.07,66.8,65.9,66.78,664292
"2013-06-13",65.99,67.12,65.4,67.04,901577
"2013-06-20",65.65,65.72,63.85,64,1435982
"2013-06-27",66.61,67.27,66.56,66.66,755945
"2013-07-11",68.15,68.78,68.06,68.74,735309
"2013-07-18",69.78,70.61,69.6,70.53,570068
"2013-07-25",69.54,70.28,69.33,70.02,752734
"2013-08-01",71.07,71.63,70.93,71.59,774302
"2013-08-08",70.76,71.28,70.43,71.07,533265
"2013-08-15",69.02,69.09,68.3,68.46,847822
"2013-08-22",66.88,67.22,66.61,66.93,422503
"2013-08-29",67.28,67.45,66.73,67.02,706266
"2013-09-05",65.74,66,64.92,65,1117067
"2013-09-12",66.4,67.02,65.6,65.69,771934
"2013-09-19",68.1,68.65,67.6,67.91,843099
"2013-09-26",66.69,67.06,66.31,66.56,760620
"2013-10-03",66.07,66.07,64.98,65.19,767248
"2013-10-10",66,66.55,65.15,66.52,875525
"2013-10-17",66.08,67.34,65.71,67.22,1286927
"2013-10-24",68.27,68.32,67.3,67.6,1174949
"2013-10-31",69.25,69.48,68.19,69.14,1178552
"2013-11-07",70.32,70.64,69.33,69.36,1440876
"2013-11-14",68.47,69.41,68.42,69.15,705777
"2013-11-21",68.9,69.27,68.61,68.92,962389
"2013-12-05",66.71,66.83,66.29,66.38,951615
"2013-12-12",65.21,66.08,65.21,65.36,1079199
"2013-12-19",65.95,65.98,64.99,65.6,1210184
"2013-12-26",66.6,66.67,65.92,66.16,619347
"2014-01-02",66.4,66.44,65.22,65.26,1415319
"2014-01-09",65.39,65.82,65.18,65.68,1135255
"2014-01-16",65.69,65.91,65.32,65.91,847185
"2014-01-23",66.61,66.78,66.18,66.46,1035934
"2014-01-30",66.65,67.45,66.61,67.28,686561
"2014-02-06",67.2,67.65,66.87,67.58,917363
"2014-02-13",68.64,69.64,68.45,69.57,1516454
"2014-02-20",71.57,72.54,71.57,72.33,1822307
"2014-02-27",71.47,71.98,71,71.24,750536
"2014-03-06",71.22,71.26,70.07,70.35,884989
"2014-03-13",70.61,71.58,70.36,71.39,1420869
"2014-03-20",70.5,70.83,69.85,70.77,1013180
"2014-03-27",72.21,72.96,71.87,72.92,892852
"2014-04-03",74.62,74.84,74.21,74.65,600061
"2014-04-10",75.26,75.78,74.88,75.17,1329353
"2014-04-17",76.87,77.56,76.52,76.62,1411404
"2014-04-24",76.93,77.19,76.27,77.15,1090267
"2014-05-01",78.29,78.4,77.43,78.19,976013
"2014-05-08",79.24,79.45,77.66,77.97,997752
"2014-05-15",76.29,76.47,75.69,75.85,871050
"2014-05-22",74.37,75.2,74.37,75.15,492795
"2014-05-29",75.7,75.76,74.95,75.37,705256
"2014-06-05",76.62,76.82,76.1,76.54,757429
"2014-06-12",73.67,74.22,72.76,74.18,857351
"2014-06-19",77.08,77.72,76.84,77.67,931924
"2014-06-26",77.9,78.05,77.17,77.74,1353448
"2014-07-03",75.31,75.33,74.74,75.11,877003
"2014-07-10",75.34,76.4,75.25,76.36,956979
"2014-07-17",75.89,76.4,75.76,75.84,1209591
"2014-07-24",76.59,77.3,76.28,77.26,1479519
"2014-07-31",75.38,75.48,73.74,73.82,1107915
"2014-08-07",72.51,73.57,72.51,73.07,1482396
"2014-08-14",75.42,75.94,75.22,75.92,660140
