"","CHK.Open","CHK.High","CHK.Low","CHK.Close","CHK.Volume"
"2014-10-30",21.5,21.64,20.97,21.35,8140922
"2014-11-06",22.41,22.86,21.7,22.76,13362685
"2014-11-13",23.17,23.17,22.39,22.71,14330550
"2014-11-20",23.02,24.13,23.02,23.95,9864674
"2014-12-04",19.63,19.88,19.28,19.5,8941790
"2014-12-11",17.26,17.62,16.63,16.71,13263943
"2014-12-18",19.81,19.92,18.48,19.14,17944005
"2015-01-08",17.96,18.7,17.56,18.41,15190915
"2015-01-15",18.85,19.05,18.07,18.33,17393859
"2015-01-22",19.95,20.05,18.9,19.62,13635396
"2015-01-29",19.38,19.49,18.63,19.21,10816098
"2015-02-05",20.81,21.12,20.55,20.85,9484464
"2015-02-12",20.44,20.7,20.38,20.5,7554363
"2015-02-19",20.16,20.58,20.07,20.4,13516272
"2015-02-26",17.72,17.98,17.11,17.2,38380233
"2015-03-05",15.4,15.98,15.07,15.92,27400999
"2015-03-12",14.29,14.36,13.9,13.92,20944565
"2015-03-19",13.56,13.8,13.38,13.5,31063927
"2015-03-26",14.64,14.71,14.13,14.22,24486358
"2015-04-02",14.22,14.69,14.2,14.59,32121976
"2015-04-09",15.16,15.26,14.94,15.23,19092350
"2015-04-16",16.04,16.04,15.42,15.87,24023683
"2015-04-23",14.47,14.68,14.44,14.54,15650566
"2015-04-30",15.17,15.84,14.75,15.77,35049931
"2015-05-07",14.6,14.61,14.16,14.5,29892897
"2015-05-14",15.28,15.57,15.03,15.09,20685433
"2015-05-21",14.85,15.33,14.82,15.31,14987242
"2015-05-28",14.72,14.74,14,14.05,24884077
"2015-06-04",13.42,13.47,12.98,13.04,33066393
"2015-06-11",12.9,12.95,12.45,12.5,40325434
"2015-06-18",12.15,12.23,11.86,11.88,23783637
"2015-06-25",11.38,11.49,11,11.11,28001004
"2015-07-02",10.69,10.81,10.61,10.77,15908629
"2015-07-09",11.77,11.88,11.59,11.68,21616099
"2015-07-16",11.4,11.69,11.15,11.58,14035448
"2015-07-23",9.02,9.23,8.4,8.71,39528969
"2015-07-30",9.09,9.29,8.92,8.97,18371004
"2015-08-06",7.15,8.44,7.01,8.19,44852964
"2015-08-13",7.83,7.89,7.48,7.5,17839735
"2015-08-20",7.35,7.5,7.15,7.15,13361076
"2015-08-27",6.55,7.13,6.53,7.02,26777070
"2015-09-03",7.4,7.65,7.26,7.44,11542870
"2015-09-10",7.73,7.84,7.51,7.59,9668237
"2015-09-17",8.83,8.98,8.54,8.61,21419107
"2015-09-24",7.44,7.8,7.2,7.76,15909177
"2015-10-01",7.27,7.59,6.95,7.21,21164632
"2015-10-08",9.05,9.38,8.67,9.34,23848518
"2015-10-15",8.17,8.37,7.99,8.35,13315811
"2015-10-22",7.89,8.01,7.65,7.8,13293910
"2015-10-29",7.04,7.28,6.86,6.94,15577335
"2015-11-05",7.34,7.9,7.13,7.52,22144414
"2015-11-12",6.46,6.52,6.25,6.32,19537493
"2015-11-19",5.5,5.64,5.28,5.4,51079887
"2015-12-03",5.43,5.49,4.69,4.87,50297321
"2015-12-10",4.39,4.67,4.34,4.56,12887611
"2015-12-17",3.89,3.93,3.56,3.72,19055577
"2015-12-24",4.49,4.6,4.35,4.45,16662796
"2015-12-31",4.38,4.55,4.3,4.5,20011934
"2016-01-07",4.43,4.64,4.36,4.41,24150759
"2016-01-14",3.61,3.82,3.56,3.71,28011347
"2016-01-21",3.25,3.66,3.17,3.55,24333923
"2016-01-28",3.52,3.57,3.1,3.16,29634639
"2016-02-04",3.4,3.65,3.19,3.26,39022940
"2016-02-11",1.66,1.81,1.53,1.78,48451523
"2016-02-18",1.97,2.14,1.9,1.98,37222510
"2016-02-25",2.64,2.9,2.5,2.56,39662984
"2016-03-03",3.37,4.72,3.32,4.27,138294056
"2016-03-10",4.62,4.74,4.35,4.61,42176571
"2016-03-17",4.62,4.88,4.45,4.79,39912293
"2016-03-24",3.86,4.45,3.78,4.25,30151638
"2016-03-31",3.97,4.16,3.95,4.12,15518616
"2016-04-07",3.74,3.82,3.54,3.61,26184029
"2016-04-14",6.13,6.19,5.74,6.01,52937128
"2016-04-21",6.64,6.73,6.16,6.19,37460712
"2016-04-28",7.1,7.59,6.78,6.78,57699547
"2016-05-05",6.3,6.47,5.7,5.71,60908848
"2016-05-12",4.59,4.63,4.08,4.17,42148318
"2016-05-19",3.78,3.89,3.59,3.86,31343926
"2016-05-26",4.63,4.74,4.11,4.23,45803357
"2016-06-02",4.3,4.44,4.22,4.25,30100734
"2016-06-09",4.75,4.92,4.52,4.88,56623966
"2016-06-16",4.21,4.35,4.03,4.24,38943015
"2016-06-23",4.57,4.65,4.52,4.64,19077255
"2016-06-30",4.39,4.4,4.15,4.28,35427895
"2016-07-07",4.45,4.57,4.22,4.23,35198769
"2016-07-14",4.43,4.58,4.37,4.5,40486223
"2016-07-21",4.92,5.25,4.88,4.97,65635260
"2016-07-28",5.18,5.32,5.13,5.19,33250111
"2016-08-04",5.04,5.28,4.95,5.13,71244043
"2016-08-11",5.09,5.1,4.82,5.03,70380561
"2016-08-18",5.75,6.25,5.75,6.2,80389544
"2016-08-25",6.25,6.44,6.2,6.33,32317994
"2016-09-01",6.23,6.35,6.15,6.25,28084797
"2016-09-08",6.93,7.81,6.87,7.74,112945421
"2016-09-15",7.2,7.38,7.1,7.25,39629509
