"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume"
"2012-09-13",72.36,74.01,72.28,73.84,1646947
"2012-09-20",72.2,72.2,68.55,69.02,2743926
"2012-09-27",68.37,68.93,68.21,68.65,1173982
"2012-10-04",69.81,70.16,68.51,68.79,1121043
"2012-10-11",67.79,68.1,66.97,67.03,1295823
"2012-10-18",66.45,66.97,66.28,66.39,664620
"2012-10-25",64.02,64.41,59.35,64.12,5177778
"2012-11-01",61.37,61.75,60.13,60.3,1811512
"2012-11-08",61.5,61.77,61.13,61.29,1751240
"2012-11-15",60.41,61.96,60.37,61,1176164
"2012-11-29",64.71,64.72,63.9,64.33,811874
"2012-12-06",65.97,66.42,65.32,65.65,1269029
"2012-12-13",66.47,66.92,66.41,66.57,1276349
"2012-12-20",67.68,67.88,67.4,67.84,709049
"2012-12-27",67.6,68.04,67.01,67.69,476961
"2013-01-03",68.93,69.1,68.34,68.48,954347
"2013-01-10",69.22,69.46,68.9,69.22,911316
"2013-01-17",71.02,71.02,70.43,70.57,897846
"2013-01-24",70.47,70.72,69.92,70.17,1425229
"2013-01-31",69.47,69.69,65.76,67.91,3356122
"2013-02-07",66,66.27,64.87,65.15,1731124
"2013-02-14",65.15,65.99,65.1,65.37,1463292
"2013-02-21",65.65,66.3,65.49,66.17,2044052
"2013-02-28",66.42,67.29,65.98,66.98,1391563
"2013-03-07",68.25,68.68,67.77,68.03,1043299
"2013-03-14",68,68.38,67.91,68.3,909292
"2013-03-21",66.04,66.9,65.99,66.15,948760
"2013-03-28",67.14,67.3,65.92,66.91,2617355
"2013-04-04",66.31,67.69,66.09,67.56,1221794
"2013-04-11",69.94,71.35,69.7,71.17,1185815
"2013-04-18",72.1,72.24,71.49,71.97,792302
"2013-04-25",72.81,73.05,71.73,71.84,1327437
"2013-05-02",70.43,70.57,68.96,69.17,1291328
"2013-05-09",66.12,66.92,63.94,66.07,8691742
"2013-05-16",63.7,64.13,63.26,63.52,1884481
"2013-05-23",61.88,63.7,61.33,62.99,1912299
"2013-05-30",60.93,61.52,60.78,61.23,1367124
"2013-06-06",62.26,63.06,61.13,62.39,2324599
"2013-06-13",58.4,59.93,58.3,59.62,1077347
"2013-06-20",58.92,59.01,56.02,56.28,2037789
"2013-06-27",59.65,60.8,59.65,60.27,1508422
"2013-07-11",62.04,64.6,61.91,64.58,3198815
"2013-07-18",63.92,64.53,63.67,64.36,609839
"2013-07-25",63.12,63.3,62.51,62.99,1247788
"2013-08-01",55.29,55.49,54.31,54.7,4397546
"2013-08-08",55.83,55.96,55.04,55.42,809270
"2013-08-15",54,54,53.23,53.38,1320510
"2013-08-22",52.76,53.43,52.56,53.3,1086299
"2013-08-29",54.85,56.03,54.8,55.68,1277035
"2013-09-05",52.99,52.99,51.01,51.58,2742283
"2013-09-12",54.85,55.27,53.79,54.26,2742679
"2013-09-19",57.5,57.85,56.8,56.94,985296
"2013-09-26",55.55,56.34,55.55,56.03,1093288
"2013-10-03",54.69,55.12,52.68,52.82,1969383
"2013-10-10",53.17,54.1,53.17,53.89,826767
"2013-10-17",55.15,57.47,54.82,57.28,1627617
"2013-10-24",56.33,57.3,56.12,57.3,896252
"2013-10-31",49.22,49.25,46.65,47.66,5565326
"2013-11-07",47.26,47.43,46.12,46.63,2771515
"2013-11-14",46.77,47.47,46.25,47.12,1803759
"2013-11-21",47.12,47.74,46.78,47.54,1238827
"2013-12-05",45,46.65,44.94,46.29,2677217
"2013-12-12",45.34,45.39,44.37,44.62,1606770
"2013-12-19",46.22,46.4,45.57,46.29,1159749
"2013-12-26",49.26,49.8,48.77,49.1,1114157
"2014-01-02",49.63,50.83,49.3,49.47,2583986
"2014-01-09",49.76,50.23,49.1,49.7,893952
"2014-01-16",52.64,53.12,52.46,52.83,2754293
"2014-01-23",52.24,52.55,51.98,52.45,1249860
"2014-01-30",50.86,50.95,49.9,49.95,1859077
"2014-02-06",51.91,52.19,50.85,51.45,1343056
"2014-02-13",52.94,53.95,52.8,53.57,1234738
"2014-02-20",52.62,53.04,51.79,52.09,1665489
"2014-02-27",53.64,54.05,53,53.71,695718
"2014-03-06",54.94,55.08,54.15,54.3,786459
"2014-03-13",52.57,52.79,51.06,51.28,1211216
"2014-03-20",50.14,50.34,48.85,49.77,2193825
"2014-03-27",51.92,53.65,51.92,53.16,2263116
"2014-04-03",52.18,53.37,51.81,53.12,1616615
"2014-04-10",54.43,55.07,52.45,52.88,1658227
"2014-04-17",53.9,54.01,52.94,53.47,1277140
"2014-04-24",52.82,53.12,52.53,52.86,2262382
"2014-05-01",53.29,53.84,52.78,53.54,1425300
"2014-05-08",55.89,56.25,55.74,56.23,2680878
"2014-05-15",58.59,58.77,57.88,58.24,1683310
"2014-05-22",57.75,57.99,57.28,57.46,1136158
"2014-05-29",57.18,57.61,56.51,57.4,1341207
"2014-06-05",58.06,59.35,58.06,59.3,1949924
"2014-06-12",56.76,57.02,55.96,56.68,1051506
"2014-06-19",57.95,58.58,57.65,58.08,950857
"2014-06-26",57.5,57.74,57.26,57.69,622791
"2014-07-03",58.6,58.86,57.64,58.17,599573
"2014-07-10",59.13,60.11,59.05,59.8,1104882
"2014-07-17",60.36,60.7,60.18,60.41,922586
"2014-07-24",63.33,63.99,63.22,63.47,1721425
"2014-07-31",64.35,65.15,64.13,64.39,2841565
"2014-08-07",64.05,64.45,63.67,64,1127419
"2014-08-14",66.03,66.3,65.56,65.77,580023
"2014-08-21",67.12,67.75,66.91,67.52,976746
"2014-08-28",65.59,65.72,65.33,65.47,631137
"2014-09-04",65.87,66.2,65.41,65.95,726533
"2014-09-11",65.71,66.4,65.29,66,2603218
"2014-09-18",63.67,63.71,62.53,62.86,1125812
"2014-09-25",61.78,62.12,61.56,61.76,657136
"2014-10-02",62.74,63.33,62.33,62.83,1114311
"2014-10-09",63.28,64.44,63.28,63.56,982104
"2014-10-16",63.18,63.67,62.56,63.02,1856061
"2014-10-23",66.43,66.63,66.04,66.3,2070499
"2014-10-30",66.95,68.01,66.73,67.5,1917415
"2014-11-06",68.44,68.75,67.55,67.61,1131412
"2014-11-13",68.61,69.12,68.07,69.06,949566
"2014-11-20",68.58,68.85,68.07,68.31,693715
"2014-12-04",68.88,68.88,68.16,68.53,992799
"2014-12-11",68.27,68.27,66.93,66.97,797781
"2014-12-18",66.11,66.48,65.55,66.44,991552
"2015-01-08",68.2,69.1,67.85,68.91,1165762
"2015-01-15",71.25,71.67,70.82,71.53,1088265
"2015-01-22",72.72,73.75,72.72,73.51,1394716
"2015-01-29",74.42,74.79,73.52,74.1,960932
"2015-02-05",73.69,74.3,73.06,74.18,1651167
"2015-02-12",69.7,70.9,69.59,70.72,1677320
"2015-02-19",67.32,67.74,65.87,66.27,1206889
"2015-02-26",66.21,66.33,64.97,65.44,1300589
"2015-03-05",65.95,66.55,65.73,65.87,768366
"2015-03-12",64.79,65.31,64.53,64.95,778647
"2015-03-19",66.04,66.98,65.82,66.55,836490
"2015-03-26",66.62,67,66.33,66.67,1006116
"2015-04-02",65.26,66.05,65.18,65.84,651144
"2015-04-09",66.13,66.6,65.03,65.35,1254311
"2015-04-16",64.94,65.53,64.35,65.41,716226
"2015-04-23",66.15,66.49,65.86,65.86,718896
"2015-04-30",63.55,63.82,62.76,63.41,1113535
"2015-05-07",63.84,65.04,63.16,64.84,1227696
"2015-05-14",64.91,66.1,64.69,65.88,773251
"2015-05-21",66.29,66.36,65.48,65.97,765508
"2015-05-28",66.53,67.14,66.19,66.5,642816
"2015-06-04",65.07,65.45,64.47,64.7,708624
"2015-06-11",64.85,65.73,64.85,65.2,1231502
"2015-06-18",67.49,69.12,67.48,68.79,1730638
"2015-06-25",66.29,66.63,66.02,66.21,809619
"2015-07-02",68.8,69.46,68.27,68.91,1490386
"2015-07-09",68.77,69.56,67.7,67.93,834931
"2015-07-16",67.68,68.43,67.65,68.03,3037393
"2015-07-23",66.31,66.31,64.99,65.3,1677340
"2015-07-30",64.71,64.85,64.27,64.64,1373382
"2015-08-06",64.94,65.22,64.22,65.2,1611915
"2015-08-13",65.58,66.43,65.2,66.09,1339486
"2015-08-20",66.65,67.21,66.43,66.67,727105
"2015-08-27",63.68,65.45,63.09,64.69,974065
"2015-09-03",63.51,64.06,62.91,63.2,1546399
"2015-09-10",61.67,62.4,61.51,61.75,903039
"2015-09-17",63.75,65.31,63.22,64.46,790531
"2015-09-24",64.09,64.4,63.34,63.91,912737
"2015-10-01",65.43,65.52,64.4,64.75,1088145
"2015-10-08",69,69.12,68.27,69.08,1107873
"2015-10-15",70.32,71.34,70.32,71.22,926373
"2015-10-22",71.81,73.19,71.72,72.93,1302661
"2015-10-29",72.13,72.72,71.23,71.85,1601172
"2015-11-05",73.5,74.48,73.46,73.89,1620111
"2015-11-12",72.95,73.09,71.95,72.05,819423
"2015-11-19",71.5,71.71,70.83,71.32,973826
"2015-12-03",72.09,72.34,71,71.51,1017558
"2015-12-10",71.48,71.9,70.31,70.38,1486680
"2015-12-17",72.79,74.4,72.53,73.87,1251189
"2015-12-24",75.75,75.8,75.17,75.56,343875
"2015-12-31",76.85,76.85,75.59,75.62,751033
"2016-01-07",76.28,77.04,76.11,76.78,1349595
"2016-01-14",77.95,78.73,77.31,78.36,1871958
"2016-01-21",72.93,73.54,71.87,72.5,1537699
"2016-01-28",77.54,80.8,77.08,79.47,2221149
"2016-02-04",80.39,81.97,79.85,81.35,1064010
"2016-02-11",77.16,77.9,76.43,77.08,1706712
"2016-02-18",79.76,80.55,79,79.9,1322273
"2016-02-25",81.4,82.2,80.88,81.85,1305353
"2016-03-03",82.66,82.67,81.02,82.27,1200572
"2016-03-10",85.93,86.14,84.49,85.23,1725728
"2016-03-17",86.79,88.71,86.57,88.41,1432313
"2016-03-24",86.96,86.96,85.74,86.16,1259445
"2016-03-31",88.22,88.58,87.82,88.49,933727
"2016-04-07",89.53,90.57,89.36,90.07,1154505
"2016-04-14",89.23,89.23,86.71,87.63,1942156
"2016-04-21",87.1,87.4,85.5,85.62,984919
"2016-04-28",87.29,88.42,87.24,88.03,1014032
"2016-05-05",91.32,92.25,90.78,91.45,860917
"2016-05-12",93.26,95.07,92.85,94.67,858899
"2016-05-19",92.85,93.14,90.89,92.69,2592269
"2016-05-26",94.96,95.05,94.42,94.8,1133676
"2016-06-02",95.4,97.24,95.23,97.13,1785614
"2016-06-09",102.58,103.08,102.14,102.84,1218563
"2016-06-16",100.22,101.74,100.07,101.67,1596106
"2016-06-23",104.8,105.37,104,104.82,1344448
"2016-06-30",108.51,109.08,107.69,108.99,1205297
"2016-07-07",111.89,112.05,108.59,109.04,2240189
"2016-07-14",109.53,109.96,106.24,107.04,2392912
"2016-07-21",104.8,104.8,101.26,102.06,3418339
"2016-07-28",105.59,108.12,105.54,107.69,1705316
"2016-08-04",102.58,103.32,101.99,103.07,1506077
"2016-08-11",101.67,102.07,100.36,101.64,1012785
"2016-08-18",101.96,102.21,100.92,101.22,982851
"2016-08-25",98.73,99.69,98.19,98.77,998351
"2016-09-01",99,99.52,98.28,99.45,1269543
"2016-09-08",101.28,101.28,100.08,100.46,1560310
"2016-09-15",92.05,92.83,91.27,92.67,1669335
