"","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume"
"2013-01-31",96.5,97.11,96.3,96.93,4426925
"2013-02-07",97.8,97.97,97.01,97.11,3540007
"2013-02-14",97.84,99.31,97.84,99.21,5013749
"2013-02-21",100.09,100.55,99.67,100.17,6168721
"2013-02-28",101.44,102.33,101.31,102.16,8876433
"2013-03-07",103.25,103.58,103.03,103.41,2619352
"2013-03-14",103.81,104.25,103.59,103.99,3178795
"2013-03-21",101.94,102.57,101.73,101.96,4422733
"2013-03-28",103.32,104.48,102.97,104.2,4532517
"2013-04-04",104.66,105.56,104.36,105.13,3836579
"2013-04-11",106.38,106.98,106.02,106.73,3546969
"2013-04-18",105.02,105.23,102.69,103,3965396
"2013-04-25",107.02,108.04,106.82,107.47,3580020
"2013-05-02",106.49,107.33,106.24,107.3,2568905
"2013-05-09",110.85,111.34,110.35,110.66,3405160
"2013-05-16",112.52,112.53,111.25,111.54,3622021
"2013-05-23",110.46,111.72,109.11,111.29,5564634
"2013-05-30",113.37,115,113.31,114.84,5531840
"2013-06-06",111.34,113.17,111.15,113.1,4550342
"2013-06-13",112.89,115.14,112.27,114.99,4022135
"2013-06-20",113.2,113.91,110.86,111.41,6303362
"2013-06-27",113.63,113.7,112.95,113,3209307
"2013-07-11",115.99,117.37,115.43,116.98,4339983
"2013-07-18",117.89,118.56,117.83,118.56,4141695
"2013-07-25",116,117.46,115.51,117.07,3243463
"2013-08-01",116.98,117.5,116.52,117.28,3992488
"2013-08-08",117.4,117.86,116.6,117.64,2558325
"2013-08-15",116,116.22,114.59,114.8,3626512
"2013-08-22",114.18,115.33,113.97,114.75,3481545
"2013-08-29",111.88,112.69,111.7,111.99,2655840
"2013-09-05",112,112.65,111.86,112.27,3402632
"2013-09-12",114.25,114.25,113.09,113.38,2968364
"2013-09-19",117.1,117.77,116.62,117.17,5064101
"2013-09-26",115.42,116.37,115.01,115.79,2362416
"2013-10-03",114.05,114.05,112.82,113.37,4110617
"2013-10-10",113.14,114.92,113.06,114.84,4148766
"2013-10-17",116.65,117.25,116.04,116.92,3704241
"2013-10-24",116.95,117.31,116.61,116.84,2597557
"2013-10-31",116.32,116.41,115.05,115.09,4379017
"2013-11-07",115.12,115.46,113.79,113.83,3553937
"2013-11-14",114.86,115.69,114.71,115.69,2854661
"2013-11-21",115.32,116.51,114.71,116.42,3202339
"2013-12-05",115.01,115.56,114.87,114.96,2874618
"2013-12-12",114.49,115.06,114.04,114.38,3120349
"2013-12-19",115.96,116.61,115.66,116.36,3478755
"2013-12-26",117.43,117.99,117.03,117.99,2036325
"2014-01-02",118.34,118.5,117.36,117.5,3087099
"2014-01-09",115.77,115.93,115.03,115.32,3339833
"2014-01-16",115.94,116.07,114.91,115.24,2702175
"2014-01-23",114.82,114.87,113.33,113.5,5138239
"2014-01-30",111.85,113.33,111.38,113,3788400
"2014-02-06",109.43,110.28,108.94,110.16,3909266
"2014-02-13",112.86,114.77,112.58,114.7,3739507
"2014-02-20",113.33,113.49,112.3,113.1,4110289
"2014-02-27",113.25,114.58,113.08,114.58,3207276
"2014-03-06",119.17,121.44,119.11,121.2,5338465
"2014-03-13",125.61,125.91,123.45,123.61,4714462
"2014-03-20",122.56,124.53,122.38,124.44,3819283
"2014-03-27",123.29,123.85,122.63,123.47,3983325
"2014-04-03",124.49,124.71,123.89,124.31,2272252
"2014-04-10",123.67,124.69,122.26,122.27,4103710
"2014-04-17",125.97,127.7,125.55,127.18,4411979
"2014-04-24",127.8,127.9,126.61,126.95,2848464
"2014-05-01",128.81,129.25,128.15,129.06,2657306
"2014-05-08",127.23,127.49,126.33,126.67,2773842
"2014-05-15",127.3,127.44,126,126.36,3207241
"2014-05-22",126.95,127.15,126.53,126.98,1546719
"2014-05-29",127.42,128.2,127.1,128.11,2029015
"2014-06-05",127.56,128.22,127.11,128.2,2164988
"2014-06-12",128.46,128.59,126.93,127.28,2408696
"2014-06-19",127.56,127.57,126.56,127.25,2954193
"2014-06-26",127.2,127.28,126.06,127.1,2148309
"2014-07-03",127.91,129.39,127.81,129.3,2511404
"2014-07-10",128,128.72,127.61,128.45,2789105
"2014-07-17",127.92,128.12,126.4,126.52,2835365
"2014-07-24",128.39,128.68,128.06,128.35,2241288
"2014-07-31",127.24,127.76,125.37,125.43,3632120
"2014-08-07",129.69,129.88,128.52,128.95,3443458
"2014-08-14",133.23,135.38,133.14,135.3,4483357
"2014-08-21",135.24,136.82,135.04,136.81,3329597
"2014-08-28",136.28,136.51,135.88,136.11,2114181
"2014-09-04",137.97,138.55,137.42,137.95,2563388
"2014-09-11",137.17,137.97,137,137.92,2016908
"2014-09-18",140.25,141.57,139.75,141.28,3870262
"2014-09-25",139.89,139.95,136.89,137.09,4585081
"2014-10-02",136.61,138.14,136.61,137.64,4596315
"2014-10-09",140.29,140.29,137.07,137.09,6593109
"2014-10-16",133.03,135.65,132.1,134.7,5038777
"2014-10-23",139.2,139.53,138.39,138.68,3908009
"2014-10-30",139.41,139.92,138.76,139.54,3513824
"2014-11-06",143.25,143.46,142.23,143.29,2717146
"2014-11-13",145.7,146.29,145.53,146.29,3056467
"2014-11-20",145.14,145.75,145.04,145.72,2049863
"2014-12-04",149.96,150.15,149.23,150.05,2419683
"2014-12-11",149.79,151.27,149.5,150.13,3627549
"2014-12-18",151.16,152.74,150.15,152.67,7867094
"2015-01-08",150.6,151.37,150.51,151.37,4282487
"2015-01-15",148.53,148.53,146.8,147.58,2896715
"2015-01-22",148.01,150.21,147.26,150.15,5892020
"2015-01-29",145.4,146.94,144.25,146.29,4461237
"2015-02-05",147.89,149.88,147.75,149.67,3085304
"2015-02-12",150,150.41,149.36,149.79,3608640
"2015-02-19",148.21,148.35,147.09,147.48,2757825
"2015-02-26",148.55,148.97,147.9,148.34,2549796
"2015-03-05",145.41,146.25,144.83,146.06,2711676
"2015-03-12",144.34,145.73,144.01,145.67,3539625
"2015-03-19",145.64,146,144.45,144.88,2633773
"2015-03-26",142.7,143.71,142.5,143.03,3550801
"2015-04-02",143.59,143.9,143.15,143.56,2336262
"2015-04-09",143.02,143.7,142.78,143.65,2820973
"2015-04-16",142.5,142.8,141.7,142.1,2693075
"2015-04-23",141.95,143.02,141.63,142.43,2631422
"2015-04-30",141.78,142.57,140.93,141.21,3554648
"2015-05-07",143.41,145.52,143.36,145.31,3314764
"2015-05-14",145.22,145.83,144.52,145.78,2326437
"2015-05-21",145.6,145.93,145.16,145.27,2293954
"2015-05-28",144.93,145.1,144.01,144.74,2299957
"2015-06-04",142.57,142.9,141.23,141.37,3369060
"2015-06-11",141.43,141.61,140.6,141.36,2435970
"2015-06-18",140.25,142.81,140.2,142.67,4583741
"2015-06-25",140.06,140.65,139.45,139.45,2616711
"2015-07-02",137.9,138.16,137.06,137.39,2823740
"2015-07-09",138.01,138.84,137.94,138.25,3574909
"2015-07-16",143.15,143.92,143,143.92,3179564
"2015-07-23",143.27,143.41,142.06,142.18,2322669
"2015-07-30",142.81,143.06,142.11,142.85,2018264
"2015-08-06",143.5,143.84,143,143.35,2418155
"2015-08-13",141.31,142.61,140.99,141.95,3045184
"2015-08-20",139.2,140,138.35,138.39,4016834
"2015-08-27",134.4,136.31,133.22,136.23,5894265
