"","CBS.Open","CBS.High","CBS.Low","CBS.Close","CBS.Volume"
"2014-05-22",58.97,59.31,58.39,59.29,7469469
"2014-05-29",60.81,60.9,59.73,60.15,4875821
"2014-06-05",60.03,60.53,59.49,60.48,3085472
"2014-06-12",61.59,61.65,60.72,60.88,12542038
"2014-06-19",61.12,61.54,59.91,60.37,6956142
"2014-06-26",62.75,62.75,61.51,61.99,11581864
"2014-07-03",64.3,64.54,64.12,64.3,14828864
"2014-07-10",61.89,62.35,61.31,61.8,90000585
"2014-07-17",60.39,63.14,60.36,61.63,31086827
"2014-07-24",58.99,59.15,58.47,58.51,14122360
"2014-07-31",57.3,57.71,56.81,56.83,6108282
"2014-08-07",58.06,58.19,56.74,56.9,6722014
"2014-08-14",59.29,59.63,59.14,59.46,4332417
"2014-08-21",60.55,60.6,60.16,60.36,4268890
"2014-08-28",60.04,60.37,59.55,59.55,5041056
"2014-09-04",59.02,59.7,58.9,59.43,7603930
"2014-09-11",57.4,58.67,57.32,58.13,4797707
"2014-09-18",57.1,57.13,56.06,56.5,9888064
"2014-09-25",54.78,54.93,53.78,53.84,7944275
"2014-10-02",52.42,52.54,50.52,52.34,17811732
"2014-10-09",52.3,52.34,50.7,50.72,10588838
"2014-10-16",49.8,52.35,49.62,51.18,8451158
"2014-10-23",53.49,54.1,53.1,53.75,5384293
"2014-10-30",53.81,54.14,53.47,53.89,3618541
"2014-11-06",53.71,53.71,50.52,52.13,15307571
"2014-11-13",51.76,52.63,51.63,51.87,5012699
"2014-11-20",53.05,54.06,52.93,53.67,7456917
"2014-12-04",54.92,55.02,54.45,54.85,4472306
"2014-12-11",51.75,52.76,51.39,52.49,5918475
"2014-12-18",54.06,54.6,53.78,54.6,6882353
"2015-01-08",53.73,54.07,53.44,53.74,5910373
"2015-01-15",54.68,54.93,53.49,53.55,4580485
"2015-01-22",56.35,56.86,55.74,56.73,7611386
"2015-01-29",56.29,56.98,55.17,55.72,8253765
"2015-02-05",57.06,57.28,55.45,56,7003110
"2015-02-12",56.91,57.8,56.45,57.77,6909193
"2015-02-19",59.79,60,59.4,59.54,5432968
"2015-02-26",59.61,60,58.83,59.14,4135529
"2015-03-05",62.47,62.49,61.29,61.55,6736592
"2015-03-12",59.84,61.9,59.83,61.65,6178324
"2015-03-19",62.83,63.26,62.34,62.63,4105389
"2015-03-26",61.25,61.63,60.76,61,4606115
"2015-04-02",59.52,61.49,59.11,61.16,9528382
"2015-04-09",61.27,61.61,60.61,61.2,2954161
"2015-04-16",61.56,62.09,61.36,61.78,3493081
"2015-04-23",61.59,62.08,61.32,61.63,2639960
"2015-04-30",62.5,63.04,61.79,62.13,3382337
"2015-05-07",61.21,61.6,60.89,61.22,5040799
"2015-05-14",60.11,60.26,59.52,59.64,2448057
"2015-05-21",60.91,62.05,60.87,61.81,2272380
"2015-05-28",62.36,62.97,61.77,62.03,3659731
"2015-06-04",61.88,62.46,61.55,61.74,3387068
"2015-06-11",59.5,59.87,58.28,58.77,5637014
"2015-06-18",58.08,58.74,58.08,58.51,3088047
"2015-06-25",56.88,57.55,56.7,57.13,5513678
"2015-07-02",56.09,56.39,55.33,55.52,2634603
"2015-07-09",54.74,54.94,54.02,54.25,6978058
"2015-07-16",55.83,55.91,55.35,55.45,2801852
"2015-07-23",54.22,54.3,53.55,53.75,2644820
"2015-07-30",52.46,53.37,52.33,53.2,3375820
"2015-08-06",50,52.37,47.83,52.24,20153102
"2015-08-13",50.07,50.5,49.66,50.05,4970908
"2015-08-20",47.98,47.98,46,46.03,9558932
"2015-08-27",44.83,45.69,44.42,45.26,5574915
"2015-09-03",44.48,44.62,43.62,43.81,4221074
"2015-09-10",44.27,44.28,42.7,43.94,8034944
"2015-09-17",43.86,44.1,43.28,43.42,4404465
"2015-09-24",41.37,41.37,40.16,40.89,6914640
"2015-10-01",39.92,40.18,39.34,39.47,7932723
"2015-10-08",42.44,44.11,42.3,43.86,8537515
"2015-10-15",42.58,43.17,42.19,43.16,3545163
"2015-10-22",43.33,43.95,42.76,43.21,11856843
"2015-10-29",45.35,47.2,45.1,46.62,10044149
"2015-11-05",48.09,48.47,46.59,47.77,8531020
"2015-11-12",49.97,50.62,49.67,50.36,5789303
"2015-11-19",51.43,51.8,51.02,51.75,4641944
"2015-12-03",50.07,50.46,48.83,49.33,6250107
"2015-12-10",48.45,49.05,48.23,48.53,3484892
