"","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume"
"2013-05-23",98.64,99.58,97.91,99.32,812881
"2013-05-30",98.2,100.43,97.74,99.86,966422
"2013-06-06",96.59,97.28,96,97.05,1527869
"2013-06-13",96.92,98.41,96.29,98.02,837802
"2013-06-20",96.88,96.88,95.31,95.71,1651614
"2013-06-27",96.15,96.66,95.34,96.37,742815
"2013-07-11",99.73,100.26,99.4,99.93,808971
"2013-07-18",100.1,101.84,99.78,101.05,689596
"2013-07-25",100.37,101.54,99.48,101.41,822554
"2013-08-01",104.47,107.12,104.11,106.79,1037405
"2013-08-08",102.35,104.08,102.35,103.93,895453
"2013-08-15",104.97,105.08,103.44,103.77,1123708
"2013-08-22",102.13,104.53,102.11,103.7,555563
"2013-08-29",100.46,101.53,100.43,100.8,631193
"2013-09-05",101.01,103.51,100.79,103.07,794026
"2013-09-12",104.96,105.09,104.31,104.53,919763
"2013-09-19",107.77,108.96,107.59,108.16,713533
"2013-09-26",109.04,110.21,108.96,109.92,1112414
"2013-10-03",108.63,108.68,106.28,106.97,916919
"2013-10-10",105.21,107.19,105.1,107.06,1077460
"2013-10-17",105.4,107.04,105,106.82,1179788
"2013-10-24",113.76,114.95,113.11,114.41,727038
"2013-10-31",115.83,117.94,115.3,116.72,778926
"2013-11-07",116.79,116.87,114.27,114.53,1152157
"2013-11-14",117,117.3,116.2,116.83,662146
"2013-11-21",115,116.83,115,116.71,775794
"2013-12-05",116.32,117.61,116.21,116.51,1379127
"2013-12-12",118.39,118.92,117.64,118.27,1227563
"2013-12-19",122.29,124.01,121.8,123.87,1063172
"2013-12-26",127.34,128.33,127.24,127.88,521323
"2014-01-02",128.1,128.78,126.99,127.24,806784
"2014-01-09",127.68,128.49,126.32,126.93,749661
"2014-01-16",128.22,129.25,128.11,129.17,861628
"2014-01-23",120.92,121.41,118.51,118.75,2042590
"2014-01-30",114.58,115.04,114.18,114.55,1321233
"2014-02-06",111.93,114.37,111.93,114.28,1637202
"2014-02-13",114.97,117.83,114.97,116.76,1131569
"2014-02-20",116.82,118.48,116.77,117.79,1304515
"2014-02-27",118.95,120.48,118.69,120.17,872023
"2014-03-06",122.36,122.84,121.94,122.45,873704
"2014-03-13",119.79,120.02,116.11,116.81,1056070
"2014-03-20",119.3,120.64,118.88,119.23,620303
"2014-03-27",118.58,118.88,117.5,118.01,894433
"2014-04-03",123.82,124.02,122.49,123.26,727852
"2014-04-10",122.05,123.17,119.69,119.82,957062
"2014-04-17",124.22,126,124.1,125.35,1343217
"2014-04-24",125.51,125.72,123.84,124.46,688179
"2014-05-01",126.42,127.28,125.71,126.09,768046
"2014-05-08",123.74,126,123.35,124.23,815398
"2014-05-15",124.42,124.8,121.59,122.56,1191043
"2014-05-22",122.76,123.99,121.82,121.88,793622
"2014-05-29",124.75,124.96,123.36,124.67,505689
"2014-06-05",126.3,127.54,125.9,127.39,1047247
"2014-06-12",128.62,128.63,126.51,126.82,727601
"2014-06-19",127.99,128.01,125.26,127.48,1321499
"2014-06-26",126.18,126.18,124.65,125.65,956741
"2014-07-03",126.82,127.6,126.63,127.37,754902
"2014-07-10",122.92,123.25,122.34,122.78,852238
"2014-07-17",123.38,124,121.73,121.92,766823
"2014-07-24",123.33,124.03,123.01,123.33,803983
"2014-07-31",116.47,116.91,114.89,114.95,1358228
"2014-08-07",110.35,111.91,109.36,109.85,2954222
"2014-08-14",113.41,113.62,112.93,113.52,926058
"2014-08-21",117.74,117.89,116.27,117.05,1191258
"2014-08-28",115.01,115.19,114.38,114.75,1251397
"2014-09-04",115.6,117.21,115.26,117.04,3112352
"2014-09-11",117.92,118.7,117.71,118.35,848537
"2014-09-18",116.73,117.39,116.46,117.26,675043
"2014-09-25",113.91,114.3,112.84,112.84,968958
"2014-10-02",111.75,112.27,110.27,111.13,1013680
"2014-10-09",112.04,112.26,109.41,109.53,826641
"2014-10-16",101.71,105.38,101.19,105.1,2460685
"2014-10-23",118.52,119.84,115.75,116.39,2709492
"2014-10-30",122.92,125.21,122.86,124.67,1190420
"2014-11-06",127.82,128.69,127.5,127.96,1441388
"2014-11-13",128.59,129.07,126.72,126.97,1269814
"2014-11-20",128.24,130.62,128.13,130.43,1097782
"2014-12-04",130.93,131,129.74,129.77,1194461
"2014-12-11",125.51,127.77,125.35,126.08,1006136
"2014-12-18",125.78,126.68,123.64,126.67,2057161
"2015-01-08",124.82,126.66,123.98,126.64,1171087
"2015-01-15",123.22,123.34,119.87,119.93,1378117
"2015-01-22",122.7,123.33,121.23,122.99,1847770
"2015-01-29",117.22,118.68,116.05,118.6,1176055
"2015-02-05",120,121.19,119.23,120.33,842019
"2015-02-12",121.2,122.18,120.73,121.83,1070617
"2015-02-19",122.06,123.38,121.8,123.25,907686
"2015-02-26",123.29,123.91,122.54,123.21,1015568
"2015-03-05",121.69,122.23,120.66,122.22,1104157
"2015-03-12",118.27,118.63,116.88,118.41,1356950
"2015-03-19",120.77,120.93,118.84,119.57,904305
"2015-03-26",116.36,117.8,115.93,117.36,1306887
"2015-04-02",118.3,119.91,117.88,118,1054844
"2015-04-09",119.54,120.16,118.12,119.77,956627
"2015-04-16",122.89,123.69,122.29,123.32,1449108
"2015-04-23",123.56,124.18,122.41,123.43,1166925
"2015-04-30",118.98,119.68,118.44,119.36,1731648
"2015-05-07",121.02,121.45,120.34,120.96,1027765
"2015-05-14",124.36,124.73,123.69,124.59,873921
"2015-05-21",122.78,125.33,122.75,125.15,2117937
"2015-05-28",123.26,123.42,121.26,122.27,1153540
"2015-06-04",120.7,121.17,119.33,119.53,1348826
"2015-06-11",120.59,120.96,119.9,120.21,868307
"2015-06-18",118.85,119.46,118.21,118.84,1037054
"2015-06-25",119.44,119.64,118.05,118.24,990941
"2015-07-02",117.56,117.98,115.87,116.31,866374
"2015-07-09",114.51,114.51,112.95,113.01,1071901
"2015-07-16",113.44,114.6,113.44,114.09,694393
"2015-07-23",111.32,112.5,110.7,110.92,1101976
"2015-07-30",111.3,112.81,110.93,112.58,1075586
"2015-08-06",110.93,112.25,110.39,111.02,3114951
"2015-08-13",112.83,113.95,112.02,113.28,1274030
"2015-08-20",110.3,111.07,108.11,108.16,1633313
"2015-08-27",104.43,107.23,103.65,107.21,2298485
"2015-09-03",106.37,107.41,105.02,105.28,1827395
"2015-09-10",105.28,106.02,104.49,105.15,894049
"2015-09-17",108.67,109.01,106.32,106.68,1436590
"2015-09-24",98.69,98.71,94.93,97.91,2510728
"2015-10-01",96.95,98.56,95.23,96.05,1508177
"2015-10-08",103.56,107.86,103.4,106.81,1500292
"2015-10-15",102.64,102.64,99.9,102.37,1675614
"2015-10-22",97.42,102.52,97.42,100.77,5011154
"2015-10-29",102.64,104.61,102.33,104.51,1397346
"2015-11-05",105.68,106.5,104.08,106.19,1067970
"2015-11-12",101.35,101.91,99.15,99.31,1769877
"2015-11-19",102.51,104.03,101.99,103.71,935217
"2015-12-03",102.36,102.82,100.26,101.31,1636663
"2015-12-10",97.58,98.9,97.5,98,1104695
"2015-12-17",98.63,98.63,95.16,95.19,1522283
"2015-12-24",99.22,100.12,99.09,99.85,522751
"2015-12-31",97.76,98.4,96.98,96.98,932248
"2016-01-07",92.21,93.47,91.61,92.21,1192118
"2016-01-14",89.89,92.43,88.33,90.65,2077118
"2016-01-21",86.66,89.61,85.9,87.95,1281030
"2016-01-28",92.67,94.54,92.64,94.08,1933903
"2016-02-04",97.69,102.77,97.57,101.13,2949513
"2016-02-11",94.54,97.28,94.44,96.89,2015926
"2016-02-18",101.12,102.23,100.22,100.76,1279776
"2016-02-25",101.69,101.95,100.01,101.63,654562
"2016-03-03",105.5,107.11,105.41,106.68,1319571
"2016-03-10",106.75,107.81,105.18,106.67,1148930
"2016-03-17",110.1,112.91,109.8,112.52,1478134
"2016-03-24",109.58,110.97,109.02,110.95,1157697
"2016-03-31",111.22,111.66,110.43,111.08,1091094
"2016-04-07",108.97,109.79,108.22,109.03,992586
"2016-04-14",112,112.58,111.7,112.27,2679041
"2016-04-21",113.73,114.02,112.74,112.85,876721
"2016-04-28",116.02,117.22,115.15,115.44,1134468
"2016-05-05",111.88,112.78,111.64,111.95,1179772
"2016-05-12",113.4,113.83,111.7,112.54,1012183
"2016-05-19",109.88,110.04,107.72,109,1150111
"2016-05-26",113.45,114.5,112.92,113.64,1074783
"2016-06-02",115.12,115.9,113.16,115.88,757465
"2016-06-09",115.66,116.14,115.18,115.36,916102
"2016-06-16",110.94,111.79,109.38,111.51,826388
"2016-06-23",114.39,115.07,113.7,114.01,966461
"2016-06-30",104.7,108.05,104.24,108.05,2208667
"2016-07-07",108.45,109.56,107.46,108.22,1900958
"2016-07-14",114.52,114.67,113.57,113.82,770224
"2016-07-21",112.91,113.74,111.81,112.28,455598
"2016-07-28",114.49,114.81,113.42,114.47,400092
"2016-08-04",118.1,120.99,117.72,118.96,2414780
"2016-08-11",122.89,123.92,122.63,123.61,662633
"2016-08-18",124.56,124.85,123.52,124.04,1468406
"2016-08-25",122.56,123.81,121.98,123.56,725297
"2016-09-01",122.67,123.16,121.37,122.86,731886
"2016-09-08",124.03,124.81,123.37,124.35,863549
"2016-09-15",120.98,123.03,120.17,122.56,1053259
