"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume"
"2012-06-14",58.88,58.89,56.01,56.79,27238222
"2012-06-21",57.17,57.35,55.04,55.13,15252710
"2012-06-28",54.58,55.2,53.77,54.3,13326477
"2012-07-05",56.27,56.68,55.77,56.25,10344586
"2012-07-12",53.84,54.39,53.11,53.73,11685553
"2012-07-19",58.85,58.89,57.49,58.44,26041934
"2012-07-26",58.04,58.77,57.74,58.21,10885809
"2012-08-02",58.74,59.7,58.16,58.88,9858165
"2012-08-09",61.53,62,61.27,62,7022321
"2012-08-16",62.7,63,62.51,62.57,9448832
"2012-08-23",62.04,62.33,61.75,62.04,5464409
"2012-08-30",61.64,61.97,61.07,61.2,7724402
"2012-09-06",61.3,62.67,61.2,62.62,11152809
"2012-09-13",62.58,64.25,62.5,63.84,13966200
"2012-09-20",64.65,64.76,63.19,64.35,13921808
"2012-09-27",62.52,63.7,62.39,63.49,8482725
"2012-10-04",62.15,62.78,61.67,62.65,7069182
"2012-10-11",60.45,60.51,59.16,59.21,8894403
"2012-10-18",61.03,61.04,59.61,59.96,15806580
"2012-10-25",57.99,58.21,57.29,57.43,8930176
"2012-11-01",58.71,59.87,58.52,59.73,9562719
"2012-11-08",62.76,62.8,60.38,60.67,32220276
"2012-11-15",61.64,62.29,60.84,61.28,14634913
"2012-11-29",63.05,63.68,62.88,63.35,11978052
"2012-12-06",63.6,64.2,63.4,64.2,8947092
"2012-12-13",63.07,64.01,62.5,62.76,13004060
"2012-12-20",62.93,63.16,62.53,62.86,10470372
"2012-12-27",61.57,61.75,60.72,61.51,8218618
"2013-01-03",64.82,65.19,64.09,64.45,14119294
"2013-01-10",65.47,65.53,64.39,64.78,13113968
"2013-01-17",64.92,65.32,64.8,65.14,7733695
"2013-01-24",63.95,64.95,63.85,64.4,12751553
"2013-01-31",67.08,67.44,65.96,66.02,27666121
"2013-02-07",67.12,67.33,66.02,66.54,11521674
"2013-02-14",65.12,65.7,65.03,65.53,13771192
"2013-02-21",65.2,65.43,64.32,64.82,11749523
"2013-02-28",65.82,66.22,65.61,65.64,9596474
"2013-03-07",66.97,67.1,66.4,66.79,9305367
"2013-03-14",67,67.06,66.36,66.57,9262438
"2013-03-21",65.7,66.12,65.06,65.35,9215012
"2013-03-28",66.64,67,66.53,66.94,7899189
"2013-04-04",65.98,66.3,65.34,65.81,7933469
"2013-04-11",67.24,67.6,66.62,67.03,11181879
"2013-04-18",64.99,65.59,63.25,63.64,15041454
"2013-04-25",62.81,63.05,61.79,62.44,56911610
"2013-05-02",62.14,63.01,61.93,62.89,15143014
"2013-05-09",64.21,64.5,63.93,64.11,9502100
"2013-05-16",65.43,66.2,65.36,65.64,11532265
"2013-05-23",64.59,64.93,63.63,63.91,19177343
"2013-05-30",64.13,64.76,64.03,64.18,10866944
"2013-06-06",63.34,63.82,62.53,62.97,10775944
"2013-06-13",61.22,62.12,60.75,61.96,11578784
"2013-06-20",61.4,61.86,60.67,60.92,14425468
"2013-06-27",61.63,61.77,60.27,61.08,14249055
"2013-07-11",61.15,61.37,60.81,61.3,13293643
"2013-07-18",61.94,62.02,60.82,61.12,23683940
"2013-07-25",63.49,64.45,62.89,63.42,25003173
"2013-08-01",64.78,65.48,64.31,65.27,11595566
"2013-08-08",65.59,66.64,65.36,66.35,12876439
"2013-08-15",66.35,66.95,66.2,66.95,11463148
"2013-08-22",66.69,67.17,66.64,67.13,6698123
"2013-08-29",66.57,67.14,66.4,66.71,6551794
"2013-09-05",67.33,67.96,67.24,67.83,8074594
"2013-09-12",68.73,69.72,68.5,68.81,17294185
"2013-09-19",69.71,70.04,69.42,69.46,12310200
"2013-09-26",69.08,69.35,68.7,68.87,4987096
"2013-10-03",67.72,67.72,66.7,67.11,6167388
"2013-10-10",66.22,66.97,66,66.84,7416752
"2013-10-17",68.29,68.76,67.85,68.7,7438329
"2013-10-24",67.46,67.51,66.82,66.94,7021822
"2013-10-31",69.19,69.98,68.76,69.49,11205114
"2013-11-07",66.83,67.75,66.25,67.09,33831405
"2013-11-14",69.98,71.48,69.85,71.22,14855556
"2013-11-21",70.4,71.81,70.4,71.71,13598689
"2013-12-05",73.01,73.43,72.9,73.23,7728769
"2013-12-12",73,73.42,72.49,72.73,7509590
"2013-12-19",73.08,73.3,72.13,72.43,8788150
"2013-12-26",73.05,73.68,73.05,73.48,4609188
"2014-01-02",73.61,73.77,73.26,73.32,10110167
"2014-01-09",74.04,74.1,73.68,73.91,9276238
"2014-01-16",74.47,74.88,74.01,74.72,10270124
"2014-01-23",75.49,75.9,75.16,75.87,8084877
"2014-01-30",72.65,73.4,71.97,73.26,17743735
"2014-02-06",72.74,73.33,72.32,73.24,8178699
"2014-02-13",76,76.75,76,76.44,9047172
"2014-02-20",75.96,76.2,75.68,75.95,7194165
"2014-02-27",74.89,75.26,74.5,75.19,9465155
"2014-03-06",77,77.18,76.54,77,7757672
"2014-03-13",77,77.12,75.38,75.63,8956118
"2014-03-20",76.78,78.37,76.7,78.1,10264175
"2014-03-27",78.42,79.72,78.31,79.05,10373216
"2014-04-03",80.21,81.3,80.21,80.55,8724235
"2014-04-10",80.1,80.3,77.85,78.07,10322035
"2014-04-17",80.14,81.34,80.04,81.32,10566174
"2014-04-24",77.5,78.62,76.77,77.87,22779739
"2014-05-01",78.53,79.49,78.53,78.99,7018325
"2014-05-08",79.34,80.09,78.96,79.5,7434918
"2014-05-15",80.34,80.81,79.18,79.78,10429947
"2014-05-22",79.48,79.92,79.43,79.56,6303841
"2014-05-29",80.58,80.58,79.88,80.19,9703951
"2014-06-05",79.83,79.93,79.15,79.66,9176174
"2014-06-12",79.13,79.76,78.81,79.34,7525145
"2014-06-19",79.3,79.8,79.19,79.75,6787247
"2014-06-26",78.4,79.13,78.08,78.77,7556174
"2014-07-03",80.5,81.28,80.09,80.99,5735679
"2014-07-10",79.93,80.68,79.8,80.43,5090184
"2014-07-17",79.11,79.21,77.88,78.11,12578379
"2014-07-24",77.6,77.63,75.66,76.17,37728502
"2014-07-31",75.39,75.6,73.65,73.72,15258027
"2014-08-07",73.28,73.35,72.34,72.49,9404704
"2014-08-14",74.76,74.99,74.6,74.76,6482178
"2014-08-21",76.61,77.31,76.45,76.77,8646467
"2014-08-28",76.69,76.9,76.31,76.34,5245935
"2014-09-04",75.22,75.55,74.62,75.11,8412098
"2014-09-11",75.58,76.12,75.2,76.11,6898685
"2014-09-18",75.91,76.45,75.83,76.44,7275157
"2014-09-25",76.03,76.17,74.72,74.81,7461618
"2014-10-02",74.14,74.14,73.16,73.66,7489287
"2014-10-09",75.22,75.3,73.95,74.08,9914616
"2014-10-16",69.84,71.89,69.36,71.14,11997242
"2014-10-23",75,75.4,74.74,75.14,9749962
"2014-10-30",76.65,77.59,76.53,77.37,5314244
"2014-11-06",71.03,71.07,67.67,70.58,70919663
"2014-11-13",70.21,70.83,70.19,70.65,9833120
"2014-11-20",70.12,70.84,69.6,70.71,12030329
"2014-12-04",74.24,74.34,72.93,73.34,9436300
"2014-12-11",71.73,72.77,71.56,71.99,9502633
"2014-12-18",73.28,73.36,72.61,73.36,8864577
"2015-01-08",74.3,75.3,74.14,74.5,10937230
"2015-01-15",72.26,72.59,71.04,71.38,10858404
"2015-01-22",71.86,72.09,70.84,71.9,10450061
"2015-01-29",65.51,65.69,62.47,63.69,47115329
"2015-02-05",67.17,67.99,66.79,67.95,10650494
"2015-02-12",69.58,70.39,69.56,70.39,12798277
"2015-02-19",70.23,71.27,70.21,70.98,9785320
"2015-02-26",71.87,72.27,71.61,72.01,9838730
"2015-03-05",71.2,71.27,70.68,70.93,6955767
"2015-03-12",70,70.55,69.2,69.37,16004288
"2015-03-19",70.23,70.59,69.78,69.83,6959833
"2015-03-26",66.54,67.45,65.68,67.16,13835913
"2015-04-02",69.52,69.61,67.76,67.97,14206170
"2015-04-09",67.42,69.09,67.31,68.81,14169160
"2015-04-16",68.16,68.25,67.73,67.91,10649873
"2015-04-23",67.35,68.43,66.96,68.34,18341076
"2015-04-30",68.33,68.59,67.61,68,8319804
"2015-05-07",67.8,68.45,67.79,68.43,6513976
"2015-05-14",69.99,70.66,69.81,70.52,10945698
"2015-05-21",69.63,70.95,69.03,70.09,27529727
"2015-05-28",70.95,71.32,70.51,70.6,11938952
"2015-06-04",69.36,69.51,68.76,68.9,9909305
"2015-06-11",67.59,67.81,67.38,67.6,10609823
"2015-06-18",66.72,67.66,66.67,67.36,10443504
"2015-06-25",65.51,65.87,65.02,65.26,9838779
"2015-07-02",63.01,63.65,62.99,63.11,11302828
"2015-07-09",62.85,63.43,61.85,61.86,12238918
"2015-07-16",63.45,64.68,63.38,64.55,10385928
"2015-07-23",62.57,62.78,60.83,61.78,37879791
"2015-07-30",62.99,64.78,62.8,64.41,12697168
"2015-08-06",63.75,64.11,62.65,62.84,12280301
"2015-08-13",62.5,62.6,61.95,62.03,9402553
"2015-08-20",60.85,61.34,60.15,60.15,12991260
"2015-08-27",57.07,57.45,56.17,57.36,18077535
"2015-09-03",56.22,56.76,55.47,55.55,10666234
"2015-09-10",54.5,55.81,54.28,55.33,13962173
"2015-09-17",55.19,55.91,54.85,54.98,9589474
"2015-09-24",53.18,53.53,52.39,53.27,13460908
"2015-10-01",53.6,53.82,53,53.18,9481106
"2015-10-08",56.93,57.68,56.32,57.66,8609513
"2015-10-15",59,59.91,58.66,59.26,8941816
"2015-10-22",60.6,60.64,59.49,60.43,10889456
"2015-10-29",59.67,60.23,59.58,60,5424842
"2015-11-05",55.06,56.81,49.92,51.07,65749615
"2015-11-12",52.75,53.19,52.52,52.58,10731723
"2015-11-19",48.51,49.28,48.23,48.39,20535965
"2015-12-03",52.16,52.24,50.37,51.4,25438139
"2015-12-10",48.65,49.57,48.47,48.57,11619464
"2015-12-17",49.32,49.6,47.54,47.54,15328038
"2015-12-24",49,49.88,49,49.55,5352009
"2015-12-31",50.06,50.44,49.89,49.98,7613411
"2016-01-07",47.78,48,45.98,46.14,20495621
"2016-01-14",46.21,48,45.84,47.73,20859978
"2016-01-21",46.36,47.44,45.71,47.05,12909678
"2016-01-28",45.8,45.82,43.47,43.59,27845748
"2016-02-04",44.62,45.76,44.4,45.66,10757421
"2016-02-11",42.51,43.29,42.24,43,12470936
"2016-02-18",48.41,49.31,48.02,49.08,12925857
"2016-02-25",51.5,51.79,50.9,51.64,8321638
"2016-03-03",52.45,52.81,51.86,52.38,12359757
"2016-03-10",51.91,52.37,51.17,52.02,9519117
"2016-03-17",51.15,51.69,51.12,51.38,10183296
"2016-03-24",50.63,50.9,50.13,50.86,7508431
"2016-03-31",50.87,51.43,50.83,51.14,6672332
"2016-04-07",50.4,50.45,49.77,50.03,7296180
"2016-04-14",51.85,51.89,51.24,51.82,7914987
"2016-04-21",51.3,51.8,50.74,51.67,16510691
"2016-04-28",52.48,53.28,52.04,52.13,7711002
"2016-05-05",50.74,51.27,50.43,51.13,10139921
"2016-05-12",52.33,52.53,51.36,51.51,9502735
"2016-05-19",52.71,53.08,52.26,52.76,8591127
"2016-05-26",55.97,56.14,55.51,55.74,6820459
"2016-06-02",54.65,54.92,54.28,54.88,9036180
"2016-06-09",54.4,55.04,54.19,54.98,8726216
"2016-06-16",52.97,53.47,52.48,53.42,5907509
"2016-06-23",54.85,55.57,54.57,55.55,8952241
"2016-06-30",52.9,53.57,52.46,53.57,9254406
"2016-07-07",52.58,53.38,52.41,52.93,5763546
"2016-07-14",55.19,55.36,54.56,54.88,6601526
"2016-07-21",59.8,60.47,59.13,59.93,33912287
"2016-07-28",62.44,62.79,62.17,62.43,8514227
"2016-08-04",61.11,61.23,60.73,60.98,5169565
"2016-08-11",61.89,62.16,61.67,61.74,4988258
"2016-08-18",62.35,63.04,62.18,63.04,7935943
"2016-08-25",62.67,62.96,62.58,62.64,4916719
"2016-09-01",62.87,63.5,62.51,63.47,6906300
"2016-09-08",62.03,62.81,62,62.69,7698134
"2016-09-15",61.95,62.67,61.55,62.54,8886405
