"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume"
"2013-09-26",86.72,87.56,86.55,87.04,715633
"2013-10-03",85.5,85.8,85.04,85.41,1172413
"2013-10-10",85.7,87.44,85.42,87.25,1116332
"2013-10-17",87.5,89.62,86.99,89.51,1152596
"2013-10-24",90.72,90.75,89.54,90.07,786421
"2013-10-31",91.64,92.08,90.68,91.14,997957
"2013-11-07",92,92.22,89.96,90.14,1332740
"2013-11-14",89.96,90.46,89.62,90,1227057
"2013-11-21",89.65,90.4,89.43,89.81,1008602
"2013-12-05",87.76,87.95,87.13,87.38,800583
"2013-12-12",86.82,87.68,86.56,86.61,811685
"2013-12-19",87.88,88.44,87.11,88.31,949910
"2013-12-26",89.55,89.82,89.06,89.45,1700293
"2014-01-02",89.55,89.67,88.13,88.44,1495162
"2014-01-09",89.91,90.35,89.77,90.33,1275369
"2014-01-16",92.05,92.19,91.32,92.14,672011
"2014-01-23",92.43,92.6,91.5,92.21,812205
"2014-01-30",90.69,91.8,90.53,91.5,968358
"2014-02-06",90.38,91.44,89.87,91.23,1054407
"2014-02-13",92.01,92.94,91.78,92.9,1656607
"2014-02-20",92.79,93.45,92.45,92.93,961167
"2014-02-27",92.56,95.84,92,94.1,2792666
"2014-03-06",94.04,94.16,93.38,93.61,1027922
"2014-03-13",94.67,96.2,94.61,95.54,1741305
"2014-03-20",95.29,96.22,94.55,96.17,1391285
"2014-03-27",96.03,96.93,95.43,96.2,1275378
"2014-04-03",96.37,96.62,95.94,96.09,997549
"2014-04-10",96.86,98.21,96.36,96.73,1194161
"2014-04-17",97.82,98.56,96.99,97.13,1176173
"2014-04-24",97.06,97.49,96.49,97.19,778303
"2014-05-01",98.64,99.17,97.87,98.72,821682
"2014-05-08",100.3,100.67,99.58,99.63,1206416
"2014-05-15",98.61,98.89,97.69,97.84,805067
"2014-05-22",98.08,98.87,97.94,98.5,563160
"2014-05-29",99.62,100.13,99.24,100.05,960544
"2014-06-05",100.25,101.36,100.03,101.11,794652
"2014-06-12",99.16,99.89,98.32,99.73,988602
"2014-06-19",104.12,105.25,103.64,104.65,1408007
"2014-06-26",104.51,104.71,104.04,104.52,647258
