"","VIAB.Open","VIAB.High","VIAB.Low","VIAB.Close","VIAB.Volume"
"2015-10-22",48.79,49.96,48.63,49.65,3384072
"2015-10-29",49.44,50.26,48.96,49.21,3085359
"2015-11-05",47.88,48.21,45.49,46.78,6929215
"2015-11-12",49.97,51.67,49.64,49.79,9065408
"2015-11-19",51.91,52.95,50.93,52.21,2968599
"2015-12-03",47.5,47.88,45.96,46.73,8419570
"2015-12-10",44.28,44.77,43.8,43.93,3484010
"2015-12-17",41.65,41.8,39.8,39.8,2996669
"2015-12-24",41.11,41.43,40.9,41.11,886966
"2015-12-31",40.73,41.44,40.59,41.16,2822361
"2016-01-07",39.94,40.03,38.73,38.89,3653456
"2016-01-14",40.7,41.94,40.4,41.43,2589081
"2016-01-21",40.85,42.53,39.66,41.58,4386478
"2016-01-28",44.18,44.68,43.21,44.54,3815011
"2016-02-04",46.98,47.47,44.28,45.34,10338394
"2016-02-11",30.94,32.58,30.11,32.25,9116904
"2016-02-18",35.98,36.08,34.57,35.71,4141913
"2016-02-25",37.71,37.71,35.92,37.11,4036473
"2016-03-03",37.33,39.2,37,39.02,3557977
"2016-03-10",38.89,38.98,37.26,38.17,3225215
"2016-03-17",40.35,42.16,40.11,41.48,3657073
"2016-03-24",39.32,39.69,38.68,39.68,1918854
"2016-03-31",40.04,41.4,40.02,41.28,2770317
"2016-04-07",39.3,39.55,37.8,38.27,4174614
"2016-04-14",39.96,40.12,38.4,38.45,2599635
"2016-04-21",37.25,42.62,37.08,42.56,18008804
"2016-04-28",42,43.36,40.78,42.4,7452489
"2016-05-05",41.54,42.21,40.79,41.43,2912245
"2016-05-12",40.84,41.51,39.52,39.93,1669314
"2016-05-19",38.56,38.88,37.94,38.41,1843357
"2016-05-26",42.03,42.65,41.8,42.53,3278341
"2016-06-02",44.64,45.11,44.12,45.09,2685977
"2016-06-09",44.1,44.61,43.54,44.41,2914928
"2016-06-16",42.18,45.45,41.46,45.05,10593469
"2016-06-23",44.27,44.98,43,43.47,3559796
"2016-06-30",40.5,41.47,40.12,41.47,3575160
"2016-07-07",41.3,43.24,41.3,43.04,4511822
"2016-07-14",45.52,45.6,44.64,44.8,3054271
"2016-07-21",44.8,45.58,44.75,45.3,2329029
"2016-07-28",45.69,46.26,44.97,45.97,3596527
"2016-08-04",43.3,44.48,42.75,43.56,3999499
"2016-08-11",41.93,42.68,41.8,42.61,3094787
"2016-08-18",43.63,44.25,42.75,42.84,1849527
"2016-08-25",41.21,41.71,41.1,41.41,2458546
"2016-09-01",40.42,40.51,39.61,39.77,2962530
"2016-09-08",40.43,40.5,39.4,39.51,4184948
"2016-09-15",37.3,37.46,36.53,37.27,5200680
