"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume"
"2012-08-09",53.56,54.12,53.45,53.75,1848867
"2012-08-16",53.99,54.43,53.64,54.31,1777131
"2012-08-23",54.39,54.45,53.78,53.8,2145923
"2012-08-30",54.01,54.24,53.59,54.09,2233570
"2012-09-06",55.08,56.32,54.69,56.26,3304159
"2012-09-13",56.82,58.01,55.82,57.96,2810171
"2012-09-20",56.91,57.48,56.54,57.05,2570622
"2012-09-27",54.26,55.2,54.12,54.82,2748448
"2012-10-04",54.79,55.79,54.44,55.78,3048863
"2012-10-11",56.71,57.05,56.14,56.92,2352840
"2012-10-18",58.83,59.98,58.68,59.89,4466224
"2012-10-25",57.19,57.58,56.73,57.31,3557895
"2012-11-01",57.05,58.17,56.33,57.69,4001770
"2012-11-08",54.35,56,52.61,52.76,13407092
"2012-11-15",50.27,50.79,49.72,50.42,5613082
"2012-11-29",51.97,52.22,51.64,51.83,2962044
"2012-12-06",52.62,52.72,52.13,52.63,2366113
"2012-12-13",52.76,53.5,51.69,51.76,3995475
"2012-12-20",53.35,54.5,53.26,54.48,3285367
"2012-12-27",53.2,53.47,52.08,53.05,2987000
"2013-01-03",55.7,56.01,55.28,55.65,3028567
"2013-01-10",56.86,58.04,53.4,57.9,3889523
"2013-01-17",57.22,58.01,56.9,57.74,2535109
"2013-01-24",58.32,58.83,58.11,58.29,1591172
"2013-01-31",57.91,58.24,57.65,57.88,2979813
"2013-02-07",57.91,58.06,55.81,56.9,5972121
"2013-02-14",56.91,57.22,56.56,57.06,2733045
"2013-02-21",55.97,56.01,54.76,55.11,3636409
"2013-02-28",55.72,56.21,55.26,55.57,3278262
"2013-03-07",57.03,58.45,57,58.23,4426132
"2013-03-14",60.05,60.18,59.6,60.18,2502608
"2013-03-21",59.04,59.13,58.26,58.33,2785197
"2013-03-28",59.01,59.3,58.72,58.99,2247184
"2013-04-04",58.2,58.2,56.5,56.96,5077635
"2013-04-11",57.88,58.16,57.46,57.64,2518786
"2013-04-18",56,56,54.58,54.91,2973959
"2013-04-25",58.58,59.86,58.3,59.34,2721754
"2013-05-02",62.4,64.46,61.61,63.41,9062914
"2013-05-09",65.9,66.08,65.16,65.51,2187075
"2013-05-16",67.57,68.45,66.94,67.2,3396313
"2013-05-23",66.62,67.27,65.8,66.99,2512973
"2013-05-30",69.3,70.76,69.15,70.01,2728089
"2013-06-06",67.52,69.07,67.13,69.06,3061488
"2013-06-13",70.87,71.85,70.41,71.7,2402521
"2013-06-20",71.47,73.05,70.84,71.91,3371142
"2013-06-27",71.76,72.77,71.52,72.41,2158844
"2013-07-11",78.63,78.64,76.94,78.01,2784037
"2013-07-18",77.5,78.64,77.48,78.52,1814782
"2013-07-25",78.31,78.73,77.75,78.73,1686471
"2013-08-01",79.67,83.21,79.67,82.62,3796791
"2013-08-08",81.27,82,79.03,80.41,4448239
"2013-08-15",79.68,79.77,78.65,78.74,2645822
"2013-08-22",78.09,80.01,78,79.51,2465906
"2013-08-29",74.95,76.39,74.79,75.41,1423011
"2013-09-05",78.24,79.1,77.92,78.05,1751129
"2013-09-12",80.07,80.44,79.6,79.95,1376483
"2013-09-19",80.7,80.7,78.03,78.69,4575943
"2013-09-26",79.06,79.63,78.32,78.8,1078344
"2013-10-03",78.03,78.41,75.73,77.25,2957366
"2013-10-10",77.28,79.1,77.18,79.07,2145952
"2013-10-17",80.75,82.63,80.74,82.26,1789586
"2013-10-24",80.66,81.58,80.04,81.37,1738739
"2013-10-31",81.97,82.35,81.25,81.39,2028292
"2013-11-07",82.23,85.89,81.75,83.76,5858990
"2013-11-14",88.33,89.31,88.02,89.05,2947285
"2013-11-21",89.35,90.64,89.24,90.2,2740422
"2013-12-05",87.56,88.39,87.03,87.7,2429006
"2013-12-12",88.25,89.12,87.88,88.33,2507836
"2013-12-19",90.12,90.72,89.78,90.17,2663035
"2013-12-26",91.96,92.6,91.72,92.43,867393
"2014-01-02",91.5,91.64,90.09,90.76,1694875
"2014-01-09",91.19,91.91,90.8,91.23,1676967
"2014-01-16",90.52,90.99,89.94,90.36,1715842
"2014-01-23",88.63,88.8,87.02,87.51,3180247
"2014-01-30",84.78,85.52,84.3,85.21,1489230
"2014-02-06",81.72,82.27,79.54,82.25,7595849
"2014-02-13",83.56,84.66,83.11,84.62,2343508
"2014-02-20",84.31,84.91,83.11,84.49,2942137
"2014-02-27",83.98,84.48,83.17,84.16,1994146
"2014-03-06",86.39,87.33,86.39,86.77,2276015
"2014-03-13",86.85,87.02,84.12,84.37,2632125
"2014-03-20",85.47,87.75,85.41,87.69,3206479
"2014-03-27",84.92,85.14,82.51,83.31,3619596
"2014-04-03",86.48,86.83,85.8,86.5,2195402
"2014-04-10",82.25,82.25,79.28,79.43,3381427
"2014-04-17",80,81.35,80,80.92,2738360
"2014-04-24",82.75,82.75,81.33,81.91,1795134
"2014-05-01",80.66,81.71,80.34,81.17,1707542
"2014-05-08",81.41,84.5,80.9,83.25,4298133
"2014-05-15",81.97,81.99,78.9,79.98,4903607
"2014-05-22",80.58,81.76,80.4,81.46,1838890
"2014-05-29",82.06,82.25,81.42,82.13,1847265
"2014-06-05",87.67,88.61,87.17,88.31,4976632
"2014-06-12",89.82,90.1,87.91,88.43,3354523
"2014-06-19",90.52,90.52,89.14,90.01,2125130
"2014-06-26",89.05,89.26,87.77,89.14,1856304
"2014-07-03",90.89,91.88,90.89,91.51,1550924
"2014-07-10",88.31,88.89,87.52,88.79,2365005
"2014-07-17",90.35,91.24,89.17,89.32,1831062
"2014-07-24",90.47,90.49,89.5,89.82,2270681
"2014-07-31",88.48,88.76,86.97,86.97,2813488
"2014-08-07",87.61,90.36,86.06,86.41,3554796
"2014-08-14",87.59,88.5,87.59,88.46,1337292
"2014-08-21",89.37,90.4,88.82,90.12,2991075
"2014-08-28",89.8,89.88,88.76,89.06,2134028
"2014-09-04",89.92,90.28,89.07,89.29,1701662
"2014-09-11",88.64,89.6,88.63,89.44,1433114
"2014-09-18",91.08,93.49,91.01,92.95,3279819
"2014-09-25",91.31,91.52,89.5,89.64,2249843
"2014-10-02",85.68,86.46,85.01,86.14,2014080
"2014-10-09",85.61,85.65,82.92,83.38,4286729
"2014-10-16",76.16,79.46,76.02,78.82,3805619
"2014-10-23",83.51,84.16,82.95,83.25,2722166
"2014-10-30",86.55,87.74,86.12,87.49,1661769
"2014-11-06",85.97,86.4,84.04,85.03,4873434
"2014-11-13",85.09,85.55,83.81,84.53,3122176
