"","ILMN.Open","ILMN.High","ILMN.Low","ILMN.Close","ILMN.Volume"
"2013-05-09",67,67.81,66.34,67.16,1456890
"2013-05-16",70.5,71,69.16,69.65,1195516
"2013-05-23",69.48,71.2,67.9,71.08,1584154
"2013-05-30",70.8,71.8,70.61,71.49,516046
"2013-06-06",69.1,69.35,67.7,69.23,1212335
"2013-06-13",66.55,68.42,66.11,67.89,1357841
"2013-06-20",69.68,70.07,68.84,69.26,1078029
"2013-06-27",75.09,75.86,74.72,74.95,1137442
"2013-07-11",75,76.05,74,76,1030251
"2013-07-18",74.82,75.3,74.22,74.9,460656
"2013-07-25",81.1,81.95,80.49,80.86,1175378
"2013-08-01",80.49,81.9,79.28,79.45,1075338
"2013-08-08",78.68,78.84,77.46,78.29,534823
"2013-08-15",78.43,78.9,77.55,78.07,740228
"2013-08-22",78.77,80.43,78.29,79.73,676345
"2013-08-29",77.45,78.76,77.45,77.63,761983
"2013-09-05",77.62,80.27,77.04,79.47,765599
"2013-09-12",83.61,83.98,81.76,83.52,999157
"2013-09-19",83,83.59,81.51,81.67,809977
"2013-09-26",80.92,82.41,80.38,82.23,483874
"2013-10-03",80.69,81.16,77.62,78.84,1337795
"2013-10-10",76.01,78.66,75.19,78,1240594
"2013-10-17",82.09,82.62,81.66,82.1,848353
"2013-10-24",92.51,93.17,91.01,92.81,1264337
"2013-10-31",93.14,94.43,92.78,93.51,1132932
"2013-11-07",94.38,95.15,91.65,92.99,1143881
"2013-11-14",95.61,95.92,93.57,94.1,1063283
"2013-11-21",93,99.7,92.45,98.85,1249648
"2013-12-05",97.4,98.77,96.73,97.65,896195
"2013-12-12",99.38,101.42,99.05,101,1462593
"2013-12-19",105.41,105.51,103,103.51,922674
"2013-12-26",108.36,109.42,107.52,108.66,654839
"2014-01-02",110.48,110.6,108.91,110.34,654500
"2014-01-09",115.05,115.75,114.26,114.8,1472816
"2014-01-16",126.94,127,123.75,125.26,2874845
"2014-01-23",144.09,144.36,140.66,144.1,2336908
"2014-01-30",147.02,151.59,147.02,150.82,1434936
"2014-02-06",151,152.4,148.61,150.06,1897259
"2014-02-13",160.2,164.46,159.48,163.77,1908093
"2014-02-20",173.72,173.8,171.01,173.7,1566450
"2014-02-27",178.92,181.6,177.3,178.11,2308108
"2014-03-06",178.89,180.37,170.65,171.37,2008134
"2014-03-13",168.78,169.12,157.99,159.2,2584097
"2014-03-20",160.55,163,159.73,161.34,806646
"2014-03-27",139.5,146.64,133.82,142.97,3341514
"2014-04-03",155.65,156.55,146.56,148.44,2134471
"2014-04-10",145.03,146.56,134,135.74,1974100
"2014-04-17",136.93,138.33,133.66,135.45,1123011
"2014-04-24",154.07,155,146.79,151.68,2851243
"2014-05-01",135.88,141.92,133.72,139.68,2064728
"2014-05-08",140.87,144.9,139.42,139.92,1095461
"2014-05-15",143.71,145.38,139.8,144.75,1069154
"2014-05-22",153.47,157.99,152.01,157.38,1367269
"2014-05-29",158.99,160.89,158.01,159.87,924772
