"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume"
"2013-01-10",37.87,37.97,37.7,37.8,554941
"2013-01-17",38.15,38.51,38.11,38.17,442208
"2013-01-24",38.58,39.57,38.46,38.95,1261280
"2013-01-31",39.57,39.88,39.49,39.84,1092547
"2013-02-07",40.34,40.41,39.92,39.97,567786
"2013-02-14",40.04,40.04,39.53,39.54,1268707
"2013-02-21",38.27,38.31,37.56,37.82,1372177
"2013-02-28",37.56,37.77,37.41,37.44,1291965
"2013-03-07",39.18,39.5,38.93,39.03,736783
"2013-03-14",38.06,38.41,37.88,38.12,1068263
"2013-03-21",38.53,39.03,38.42,38.42,673264
"2013-03-28",39.46,39.61,39.19,39.27,1022289
"2013-04-04",39.28,39.51,39.13,39.49,365894
"2013-04-11",41.08,41.69,41.02,41.49,919554
"2013-04-18",41.33,41.38,40.98,41.22,497381
"2013-04-25",41.99,41.99,41.5,41.68,736305
"2013-05-02",43.65,44.13,43.48,44,661137
"2013-05-09",44.36,44.5,44.04,44.25,580803
"2013-05-16",44.18,44.64,43.82,44.03,510938
"2013-05-23",43.54,43.69,42.7,43.38,1127943
"2013-05-30",42.1,42.56,42,42.49,776662
"2013-06-06",41.77,42.72,41.54,42.72,541752
"2013-06-13",40.98,42.03,40.96,41.97,709468
"2013-06-20",41.98,41.98,40.22,40.49,1421352
"2013-06-27",42.22,42.55,42.07,42.27,890678
"2013-07-11",43.21,44.01,43.21,43.59,886992
"2013-07-18",44.06,44.38,43.88,44,1044282
"2013-07-25",43.29,43.72,42.98,43.45,1199384
"2013-08-01",42.33,43.68,42.21,43.27,1577549
"2013-08-08",43.39,43.39,42.96,43.29,318964
"2013-08-15",43.21,43.21,42.15,42.16,732620
"2013-08-22",41.79,42.16,41.44,42.04,466213
"2013-08-29",41.09,41.55,41,41.51,247062
"2013-09-05",41.38,41.43,40.8,41.01,661254
"2013-09-12",43.8,43.86,43.15,43.44,942263
"2013-09-19",46.06,46.94,46.05,46.71,1167347
"2013-09-26",46.24,46.55,46.11,46.54,444111
"2013-10-03",46.38,46.54,45.4,45.7,734106
"2013-10-10",45.96,46.92,45.84,46.9,620436
"2013-10-17",47.67,48.7,47.59,48.61,873178
"2013-10-24",48.35,48.44,47.93,48.21,630152
"2013-10-31",46.26,46.52,45.79,45.99,941465
"2013-11-07",45.28,45.28,43.59,43.64,1255345
"2013-11-14",43.11,43.59,42.99,43.05,589489
"2013-11-21",41.02,41.32,40.69,41.22,709714
"2013-12-05",41.68,42.28,41.41,42.12,797031
"2013-12-12",40.61,40.83,40.38,40.42,659856
"2013-12-19",41.8,42.11,41.49,42.05,1341174
"2013-12-26",42.28,42.44,41.89,42.03,346317
"2014-01-02",42.09,42.15,41.48,41.79,491126
"2014-01-09",42.14,42.54,41.99,42.49,742086
"2014-01-16",44.54,44.69,44.22,44.38,542823
"2014-01-23",43.6,44.16,43.51,44.03,715812
"2014-01-30",44.85,45.42,44.85,45.35,787573
"2014-02-06",45.37,45.86,45.16,45.59,564089
"2014-02-13",46.9,47.5,46.78,47.38,915335
"2014-02-20",47.53,47.83,46.9,47.45,959617
"2014-02-27",48.35,48.7,47.9,48.02,574650
"2014-03-06",49.75,49.76,49.05,49.15,539681
"2014-03-13",49.43,49.43,49.01,49.12,727046
"2014-03-20",47.64,47.76,47.17,47.41,822426
"2014-03-27",47.45,47.74,47.15,47.6,350895
"2014-04-03",48.42,48.7,48.2,48.38,984117
"2014-04-10",48.92,48.98,48.01,48.16,730107
"2014-04-17",49.59,49.99,49.45,49.97,859566
"2014-04-24",50.57,50.85,50.37,50.82,529127
"2014-05-01",52.44,52.44,51.52,52.11,644614
"2014-05-08",51.52,52.02,51.25,51.43,809289
"2014-05-15",51.18,51.25,50.68,51.24,510183
"2014-05-22",51.84,52.28,51.58,51.62,804903
"2014-05-29",52.48,52.48,52.16,52.31,235655
"2014-06-05",52.92,54.19,52.86,54.12,852956
"2014-06-12",53.01,53.12,52.45,52.82,506405
"2014-06-19",53.52,54.3,53.19,54.28,646281
"2014-06-26",53.11,53.32,52.85,53.22,500679
"2014-07-03",53.45,53.45,52.71,53.14,283381
"2014-07-10",52.71,53.26,52.56,53.02,435672
"2014-07-17",53.13,53.22,52.77,52.87,393095
"2014-07-24",53.67,53.81,53.4,53.61,851618
"2014-07-31",52.89,52.96,51.35,51.73,861423
"2014-08-07",52.28,52.57,51.96,52.16,586527
"2014-08-14",54,54.17,53.68,53.94,421611
"2014-08-21",54.51,54.78,54.07,54.07,434320
"2014-08-28",52.73,52.93,52.61,52.72,340718
"2014-09-04",53.88,53.99,53.51,53.71,457597
"2014-09-11",52.67,52.93,52.36,52.6,432277
"2014-09-18",51.76,52.1,51.36,51.48,1366492
"2014-09-25",50.85,50.98,50.29,50.65,627871
"2014-10-02",51.48,51.79,51.1,51.69,518985
"2014-10-09",52.83,53.67,52.68,53.18,804012
"2014-10-16",54.47,55.41,54.29,55.22,1111890
"2014-10-23",56.73,56.79,56,56.61,677506
"2014-10-30",57,57,56.03,56.84,696330
"2014-11-06",58.56,59.02,58.19,58.28,597500
"2014-11-13",57.86,58.63,57.86,58.46,701463
"2014-11-20",56.97,57.2,56.76,57.06,522180
"2014-12-04",59.89,60.16,59.15,60.12,870148
"2014-12-11",59.28,59.49,58.81,58.96,534026
"2014-12-18",59.04,59.25,58.38,58.95,1132148
"2015-01-08",62.55,63.49,62.51,63.38,983642
"2015-01-15",65.05,65.45,64.37,65.42,760717
"2015-01-22",66.26,67.09,66.11,66.95,1142114
"2015-01-29",67.26,67.45,66.7,67.39,480267
"2015-02-05",66.84,68.08,66.57,67.97,532510
"2015-02-12",65.07,65.85,64.96,65.65,984630
"2015-02-19",65.2,65.38,63.65,63.76,841301
"2015-02-26",66.35,66.35,65.04,65.45,930514
"2015-03-05",65.46,66.28,65.31,65.85,414477
"2015-03-12",63.96,65.07,63.52,64.92,968564
"2015-03-19",66.49,67.39,66.32,66.93,755490
"2015-03-26",66.85,67.35,66.65,67.25,727928
"2015-04-02",67.34,68.38,67.21,67.87,935540
"2015-04-09",67.96,68.2,66.58,66.91,520760
"2015-04-16",65.86,66.55,65.71,66.21,596265
"2015-04-23",66.96,67.49,66.87,67.33,407013
"2015-04-30",66.01,67.8,65.74,65.93,1433150
"2015-05-07",65.72,67.07,65.46,66.99,847475
"2015-05-14",68.99,70.71,68.58,70.57,1185189
"2015-05-21",71.11,71.29,70.21,70.46,842344
"2015-05-28",71.08,71.52,70.15,70.64,930204
"2015-06-04",68.02,68.27,67.23,67.62,800550
"2015-06-11",66.4,67.11,65.95,67.1,855433
"2015-06-18",68.75,69.74,68.75,69.55,1118588
"2015-06-25",66.29,66.64,65.16,65.41,763264
"2015-07-02",67.31,68,67.05,67.41,1065167
"2015-07-09",69.19,69.37,68.64,68.9,618735
"2015-07-16",69.89,70.44,69.39,70.37,478379
"2015-07-23",71.41,71.47,70.26,70.85,587289
"2015-07-30",71.89,73.24,71.63,72.83,781041
"2015-08-06",74.57,75.43,73.98,75.34,649094
"2015-08-13",76.82,78.19,76.62,77.25,1509203
"2015-08-20",78.28,78.99,77.73,77.88,865349
"2015-08-27",72.83,74.29,72.15,73.84,985115
"2015-09-03",73.5,74.05,73.03,73.3,707941
"2015-09-10",71.9,72.94,71.58,71.97,746360
"2015-09-17",73.69,75.83,73.67,75.26,1339090
"2015-09-24",76.04,76.78,75.21,75.61,609021
"2015-10-01",77.43,77.48,76.03,76.41,1291443
"2015-10-08",76.19,77.49,75.81,77.35,932342
"2015-10-15",76.34,77.24,76.26,77.24,644787
"2015-10-22",81.46,81.48,80.38,81.38,821195
"2015-10-29",81.96,82.54,79.92,80.81,844035
"2015-11-05",79.16,79.52,78.67,79.13,570130
"2015-11-12",78.03,79.16,77.78,79.08,1246938
"2015-11-19",81,81.72,80.54,80.97,584931
"2015-12-03",85,85.5,84.07,84.36,1064182
"2015-12-10",86.11,86.4,84.66,84.92,902963
"2015-12-17",89.01,89.3,88.36,88.38,785663
"2015-12-24",88.34,88.42,87.72,88.23,353104
"2015-12-31",89.46,89.77,88.21,88.21,592449
"2016-01-07",89.87,90.76,89.52,90.18,922744
"2016-01-14",90.44,90.48,84.66,87.22,3958492
"2016-01-21",85.09,86.04,84.52,84.72,1423703
"2016-01-28",88.86,90.61,88.79,89.34,957854
"2016-02-04",87.89,88.28,85.81,86.1,1697028
"2016-02-11",79.1,81.53,78.78,80.88,1745722
"2016-02-18",84.66,85.19,84,84.55,928871
"2016-02-25",82.83,84.72,82.53,84.54,1142771
"2016-03-03",86.32,86.42,83.76,84.83,1125557
"2016-03-10",85.52,85.99,84.13,85.16,1037120
"2016-03-17",90.06,91.6,89.82,91.27,1003895
"2016-03-24",89.16,90.26,88.88,90.08,879544
"2016-03-31",92.57,93.48,92.43,93.46,741949
"2016-04-07",93.14,93.32,91.98,92.7,844829
"2016-04-14",91.1,91.37,88.95,89.26,1125501
"2016-04-21",87.45,87.75,85.06,85.39,1125214
"2016-04-28",85.23,86.86,85.23,86.14,601639
"2016-05-05",90.2,91.12,89.72,90.73,701948
"2016-05-12",91.96,93.65,90.89,93.4,995488
"2016-05-19",90.39,90.76,89.51,89.75,909424
"2016-05-26",92.24,93.1,91.89,92.64,796272
"2016-06-02",92.69,93.41,92.29,93.41,448271
"2016-06-09",91.04,91.32,89.02,89.67,2051941
"2016-06-16",87.24,88.01,87.03,87.91,843106
"2016-06-23",87.87,88.4,86.95,87.04,772761
"2016-06-30",91.44,92.72,91.18,92.54,1577268
"2016-07-07",92.1,92.29,90.76,92.04,780281
"2016-07-14",94.3,94.3,92.89,94.11,1131147
"2016-07-21",92.78,93.13,92.11,92.89,797187
"2016-07-28",88.62,88.88,84.19,85.98,3496139
"2016-08-04",82.59,82.84,81.36,81.99,1522098
"2016-08-11",84,84.05,83.22,83.55,1217229
"2016-08-18",82.72,82.83,81.54,81.77,637720
"2016-08-25",80.63,81.57,80.32,80.99,700407
"2016-09-01",80.55,81.84,80.24,81.01,916840
"2016-09-08",82.33,82.59,81.61,81.87,1294293
"2016-09-15",77.12,77.88,77.04,77.76,1038083
