"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume"
"2013-08-29",41.77,42.36,41.71,42.04,565496
"2013-09-05",42.14,42.45,42.07,42.43,439097
"2013-09-12",44.85,45.04,44.5,44.53,709851
"2013-09-19",44.71,44.93,44.28,44.31,569752
"2013-09-26",43.64,43.64,43.38,43.51,928387
"2013-10-03",43.75,43.81,43.18,43.22,1009186
"2013-10-10",43.84,44.11,43.56,44.09,495750
"2013-10-17",44.32,45.46,44.31,45.41,1303272
"2013-10-24",45.44,45.48,44.99,45,711177
"2013-10-31",46.81,47.23,46.55,47.1,881958
"2013-11-07",47.61,47.69,47.13,47.15,682496
"2013-11-14",48.25,48.65,48.08,48.55,625506
"2013-11-21",48.14,48.17,47.76,47.86,887036
"2013-12-05",47.26,47.48,46.83,46.94,803036
"2013-12-12",48.4,48.6,47.93,48.24,1286933
"2013-12-19",47.99,48.47,47.62,48.33,882859
"2013-12-26",48.77,48.96,48.48,48.55,464714
"2014-01-02",47.94,48.31,47.78,47.96,1025448
"2014-01-09",48.67,48.95,48.57,48.91,628011
"2014-01-16",48.14,48.38,48.03,48.26,1046206
"2014-01-23",47.42,48.04,46.91,47.03,1360787
"2014-01-30",46.31,46.81,46.1,46.6,809035
"2014-02-06",45.01,45.39,44.7,45.32,928144
"2014-02-13",45.64,46.45,45.29,45.99,1119718
"2014-02-20",44.98,45.52,44.6,45.47,895704
"2014-02-27",45.25,45.46,45.2,45.39,1444511
"2014-03-06",46.19,46.5,45.83,45.89,976181
"2014-03-13",45.85,46,45.11,45.29,570069
"2014-03-20",45.66,45.81,45.4,45.79,429848
"2014-03-27",45.56,45.56,45.14,45.21,602128
"2014-04-03",47.6,47.75,47.16,47.46,1570771
"2014-04-10",46.37,46.37,45.04,45.06,972547
"2014-04-17",44.62,45.58,44.42,45.19,873127
"2014-04-24",45.31,45.31,44.65,44.72,628151
"2014-05-01",44.73,45.2,44.46,44.98,801609
"2014-05-08",45.55,46.24,45.53,45.67,1175850
"2014-05-15",46.02,46.22,45.57,45.96,675135
"2014-05-22",46.66,47.12,46.48,46.89,808446
"2014-05-29",47.4,47.42,47.02,47.31,551617
"2014-06-05",47.84,48.09,47.54,47.9,622860
"2014-06-12",47.92,47.98,47.28,47.85,1086067
"2014-06-19",47.91,47.95,47.67,47.77,385248
"2014-06-26",48,48.12,47.72,47.95,352318
"2014-07-03",47.61,47.94,47.51,47.83,1181246
"2014-07-10",47.2,47.67,47.11,47.5,549949
"2014-07-17",47.06,47.3,46.21,46.27,1057682
"2014-07-24",46.85,46.99,46.69,46.89,241202
"2014-07-31",46.5,47.33,46.28,46.42,1046947
"2014-08-07",46.94,47.3,45.82,45.87,765577
"2014-08-14",47.28,47.68,47.16,47.65,398210
"2014-08-21",47.6,47.85,47.44,47.81,500944
"2014-08-28",47.85,48,47.21,47.58,469638
"2014-09-04",47.85,48.17,47.5,47.62,516369
"2014-09-11",47.49,47.49,46.9,47.13,729101
"2014-09-18",46.59,46.78,46.51,46.7,415355
"2014-09-25",46.01,46.2,45.38,45.38,520922
"2014-10-02",45.31,45.64,45.07,45.45,498874
"2014-10-09",45.59,46.01,45.04,45.04,591666
"2014-10-16",45.05,45.33,44.46,44.79,1567555
"2014-10-23",45.88,46.32,45.74,45.94,743854
"2014-10-30",49.2,50.47,48.62,50.09,1799183
"2014-11-06",51.62,52.21,51.44,52.13,915474
"2014-11-13",52.11,52.11,51.74,51.86,868429
"2014-11-20",52.91,53.68,52.91,53.51,808488
"2014-12-04",55.65,55.9,55.42,55.61,915890
"2014-12-11",54.47,55.15,54.35,54.45,647116
"2014-12-18",54.05,54.12,53.31,54.1,807831
"2015-01-08",52.54,53.81,52.54,53.54,1412406
"2015-01-15",51.25,51.26,50.52,50.59,938787
"2015-01-22",50,50.94,49.71,50.88,1410497
"2015-01-29",50.12,50.8,49.65,50.73,816971
"2015-02-05",50.89,51.34,50.74,50.79,879800
"2015-02-12",51.78,52.45,51.4,52.42,812496
"2015-02-19",53,53.24,52.4,52.57,1137023
"2015-02-26",53.11,53.85,53.11,53.64,1052663
"2015-03-05",52.37,52.79,52.37,52.64,757705
"2015-03-12",51.41,51.86,51.14,51.3,897810
"2015-03-19",52.05,52.22,51.68,51.94,694700
"2015-03-26",50.45,50.8,50.2,50.52,556244
"2015-04-02",50.16,50.72,49.97,50.23,457602
"2015-04-09",50.79,51.38,50.7,51.37,549889
"2015-04-16",50.97,51,50.69,50.88,459714
"2015-04-23",52.23,52.53,51.72,52.12,574306
"2015-04-30",50.96,51.25,50.42,51,943427
"2015-05-07",51.14,51.44,50.63,50.75,991798
"2015-05-14",51.17,51.68,50.92,51.62,590241
"2015-05-21",52.48,52.64,52.02,52.37,810247
"2015-05-28",51.83,52.19,51.49,52.15,662383
"2015-06-04",52.48,52.51,51.81,51.93,682804
"2015-06-11",52.74,52.86,52.33,52.75,527421
"2015-06-18",52.84,53.63,52.76,53.18,666812
"2015-06-25",52.24,52.35,51.92,52.33,574836
"2015-07-02",51.98,52.03,51.19,51.39,476613
"2015-07-09",51.77,52.08,50.7,50.85,686181
"2015-07-16",52.68,52.7,52.22,52.49,394435
"2015-07-23",52.53,52.89,52.21,52.72,594600
"2015-07-30",53.94,56.37,53.88,56.06,1948927
"2015-08-06",56.59,56.69,55.48,55.73,546517
"2015-08-13",57.24,57.51,56.92,57.02,959198
"2015-08-20",56.2,56.34,55.49,55.49,588027
"2015-08-27",53.38,53.64,52.35,53.26,905669
"2015-09-03",51.98,52.17,51.41,51.67,734475
"2015-09-10",51.7,52.51,51.37,52.29,709948
"2015-09-17",53.16,54.36,52.76,53.55,1939572
"2015-09-24",52.67,53.13,52.11,52.6,1393411
"2015-10-01",50.75,50.83,49.73,50.35,1378567
"2015-10-08",54.21,55.22,53.06,55.15,1853187
"2015-10-15",56.29,56.45,55.33,55.75,1319879
"2015-10-22",58,58.98,57.54,58.64,2340871
"2015-10-29",59.53,61.87,58.78,60.57,1669206
"2015-11-05",62.09,62.47,61.34,61.55,1021069
"2015-11-12",60.42,60.78,59.62,59.65,856370
"2015-11-19",60.58,61.13,60.12,61.09,642148
"2015-12-03",62.4,62.79,62.16,62.61,1941147
"2015-12-10",60.82,61.17,60.37,60.87,988020
"2015-12-17",60.44,60.56,59.77,60.26,654741
"2015-12-24",60.88,61.16,60.71,60.91,247684
"2015-12-31",61.2,61.57,60.75,60.85,417853
"2016-01-07",58.3,58.97,58.04,58.67,1140379
"2016-01-14",55.93,56.72,55.5,56.46,1341947
"2016-01-21",56.74,56.82,55.93,56.35,1639922
"2016-01-28",59.26,59.45,57.84,58.13,1162232
"2016-02-04",59.22,59.38,58.52,59.32,1224121
"2016-02-11",56.88,57.28,56,56.51,1627412
"2016-02-18",56.03,56.38,55.49,55.6,1296043
"2016-02-25",59.14,60.9,58.84,60.74,3223700
"2016-03-03",60.12,60.9,59.76,60.62,3246556
"2016-03-10",62.1,62.87,61.43,62.44,2419296
"2016-03-17",61.26,61.47,60.23,60.82,2896552
"2016-03-24",58.77,59.86,58.44,59.62,3080964
"2016-03-31",62.16,62.34,61.49,61.63,1656580
"2016-04-07",60.78,61.03,59.95,60.2,1173309
"2016-04-14",59.68,60.26,59.29,60.03,1051768
"2016-04-21",61.34,61.52,60.26,60.54,1041034
"2016-04-28",60.73,61.23,60.12,60.33,997159
"2016-05-05",59.96,61.12,59.91,60.49,1858992
"2016-05-12",62.23,62.23,61.26,61.9,1561332
"2016-05-19",60.62,61.04,59.91,60.31,1287255
"2016-05-26",61.67,61.99,61.45,61.72,1069865
"2016-06-02",62.21,63.02,62.21,63,1013569
"2016-06-09",64.04,64.59,63.84,64.43,965906
"2016-06-16",63.2,63.56,62.49,63.5,1763353
"2016-06-23",63.9,64.84,63.55,64.21,2059591
"2016-06-30",61.72,62.05,61.36,62.04,1642697
"2016-07-07",62.58,62.82,62.03,62.5,1157059
"2016-07-14",63.53,63.75,63.19,63.26,1077509
"2016-07-21",63.07,63.45,62.29,62.47,643524
"2016-07-28",62.6,63.36,62.59,63.1,743752
"2016-08-04",64.89,64.9,63.22,63.69,2605449
"2016-08-11",61.46,61.61,60.97,61.44,1009031
"2016-08-18",59.75,60.17,59.61,60.01,1029488
"2016-08-25",60,60.94,59.51,60.78,1901767
"2016-09-01",61.64,61.9,61.12,61.65,994841
"2016-09-08",61.08,61.47,60.31,60.35,1155393
"2016-09-15",58.97,60.35,58.97,60.03,1043498
