"","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume"
"2012-08-09",20.17,21.06,20.15,20.88,8100367
"2012-08-16",20.96,21.09,20.82,20.99,3184845
"2012-08-23",21.5,21.52,20.99,21.21,4758219
"2012-08-30",21.05,21.26,20.99,21.21,3288340
"2012-09-06",21.45,22.36,21.38,22.33,8270149
"2012-09-13",22.37,22.37,21.42,21.8,8499958
"2012-09-20",21.41,21.63,21.27,21.48,4048544
"2012-09-27",21.42,21.88,21.41,21.58,4463454
"2012-10-04",22.26,22.67,22.17,22.62,2906887
"2012-10-11",23.17,23.78,23.1,23.65,4204690
"2012-10-18",23.31,23.72,23.24,23.27,5099953
"2012-10-25",22.65,22.76,22.06,22.25,3352631
"2012-11-01",21.39,21.81,21.34,21.55,5284507
"2012-11-08",20.83,21.06,20.62,20.62,2875774
"2012-11-15",19.48,19.66,19.15,19.59,3112818
"2012-11-29",20.96,21.14,20.72,21.02,3239661
"2012-12-06",21.73,22.13,21.73,21.92,4146042
"2012-12-13",22.49,22.88,22.38,22.74,5647789
"2012-12-20",22.88,23.21,22.79,23.19,4282969
"2012-12-27",22.59,22.98,22.48,22.93,3383354
"2013-01-03",22.84,23.09,22.64,22.96,5811996
"2013-01-10",22.86,23.16,22.66,23.14,2782231
"2013-01-17",23.43,23.76,23.36,23.68,3535391
"2013-01-24",23.86,24.08,23.62,23.67,3325815
"2013-01-31",23.81,24.14,23.79,24,3513042
"2013-02-07",24.3,24.36,24.06,24.16,4279821
"2013-02-14",24.01,24.21,23.87,23.89,3499290
"2013-02-21",24,24.14,23.82,23.95,3000506
"2013-02-28",24.07,24.3,23.85,24,6980370
"2013-03-07",24.63,24.77,24.5,24.7,3427107
"2013-03-14",25.44,25.87,25.33,25.87,4908844
"2013-03-21",25.86,26.13,25.72,25.73,2822917
"2013-03-28",26.3,26.51,26.22,26.49,3762177
"2013-04-04",26.33,26.64,26.26,26.39,2353998
"2013-04-11",27.15,27.32,26.98,27.27,3073065
"2013-04-18",26.44,26.81,26.23,26.64,3175904
"2013-04-25",27.99,28.17,27.79,27.98,3197518
"2013-05-02",27.69,27.75,27.04,27.15,4137904
"2013-05-09",27.21,27.3,26.81,26.87,3484088
"2013-05-16",27.88,28.04,27.68,27.72,3247531
"2013-05-23",27.57,27.93,27.23,27.81,4008393
"2013-05-30",25.99,26.3,25.63,25.68,3934093
"2013-06-06",25.25,25.78,25.24,25.65,3835012
"2013-06-13",26.41,26.79,26.03,26.69,3960002
"2013-06-20",26.15,26.15,25.3,25.44,4322755
"2013-06-27",26.73,26.93,26.57,26.7,3189354
"2013-07-11",28,28.69,28,28.67,3979737
"2013-07-18",28.51,28.8,28,28.42,3760319
"2013-07-25",27.39,27.65,27.22,27.53,3232684
"2013-08-01",26.94,27.14,26.69,27.08,3047862
"2013-08-08",26.41,27.07,26.41,26.9,4300274
"2013-08-15",26.28,26.42,26.08,26.4,5200903
"2013-08-22",26.49,26.61,26.25,26.37,2839385
"2013-08-29",25.89,26.19,25.74,26,2017785
"2013-09-05",25.9,26.06,25.71,25.73,2909933
"2013-09-12",26.04,26.54,26.04,26.36,2372683
"2013-09-19",27.96,28.25,27.72,27.8,5190590
"2013-09-26",28.05,28.16,27.74,27.94,2106586
"2013-10-03",27.39,27.51,27.26,27.34,3185408
"2013-10-10",27.54,27.87,27.44,27.86,2964353
"2013-10-17",27.31,28.02,27.23,27.96,2743732
"2013-10-24",28.43,28.57,27.86,28.19,2523800
"2013-10-31",28.75,28.92,28.23,28.53,3023779
"2013-11-07",28.47,28.49,27.89,27.98,3362579
"2013-11-14",27.28,27.29,26.93,27.12,3573969
"2013-11-21",27.23,27.68,27.13,27.57,2376422
"2013-12-05",27.89,28.25,27.55,28.1,3809695
"2013-12-12",27.91,28.28,27.91,27.98,2618495
"2013-12-19",28.07,28.46,27.81,28.42,2219622
"2013-12-26",28.46,28.54,28.36,28.48,1917630
"2014-01-02",28.74,28.78,28.5,28.58,3896367
"2014-01-09",28.49,28.58,27.82,28.07,4994721
"2014-01-16",28.04,28.12,27.86,28.08,4884654
"2014-01-23",27.7,27.74,27.14,27.34,6312213
"2014-01-30",27.16,27.68,27.16,27.63,2818275
"2014-02-06",27.44,27.68,27.36,27.65,2673329
"2014-02-13",27.41,28.28,27.4,28.28,4396378
"2014-02-20",28.5,28.79,28.22,28.72,3346389
"2014-02-27",28.64,28.79,28.54,28.65,2480281
"2014-03-06",28.88,29.17,28.74,28.76,2486435
"2014-03-13",29.97,30.14,29.68,29.79,3557511
"2014-03-20",30.19,30.48,29.78,30.47,3384184
"2014-03-27",30.9,31.31,30.69,31.28,3362803
"2014-04-03",32.17,32.43,31.7,31.93,6291068
"2014-04-10",32.87,33.02,32.28,32.4,4003863
"2014-04-17",32.57,32.79,32.14,32.21,2223420
"2014-04-24",32.69,33.05,32.51,32.97,3524052
"2014-05-01",32.83,33.58,32.83,33.54,3316431
"2014-05-08",34.97,35.14,34.39,34.5,6500796
"2014-05-15",34.03,34.09,33.64,33.68,3546435
"2014-05-22",33.59,33.83,33.46,33.65,1970911
"2014-05-29",35.4,35.57,35.21,35.55,3581011
"2014-06-05",36.07,36.48,35.97,36.47,2420501
"2014-06-12",36.2,36.37,35.77,35.93,3577935
"2014-06-19",37.6,38.09,37.57,37.66,4883333
"2014-06-26",36.86,37.03,36.56,36.67,2488213
"2014-07-03",35.43,35.68,35.22,35.51,1993073
"2014-07-10",35.1,35.54,35.06,35.36,1988691
"2014-07-17",32.9,33,31.77,31.79,7401111
"2014-07-24",31.58,31.85,31.39,31.68,4113899
"2014-07-31",30.27,31.2,30.27,30.96,5949208
"2014-08-07",30.19,30.54,29.54,29.83,6224693
"2014-08-14",29.32,29.58,29.13,29.42,3169875
"2014-08-21",29.85,30.35,29.84,30.01,3052001
"2014-08-28",30.45,30.53,30.2,30.48,2480446
"2014-09-04",30.49,30.61,30.2,30.3,2216217
"2014-09-11",30.72,31.01,30.53,30.98,2948634
"2014-09-18",30.6,30.89,30.52,30.8,2871007
"2014-09-25",30.02,30.26,29.74,29.77,4100070
"2014-10-02",31.09,31.76,31.03,31.49,6470746
"2014-10-09",31.77,31.96,30.99,31.04,4668999
"2014-10-16",26.78,28.32,26.53,28.08,7779302
"2014-10-23",29.44,29.64,29.07,29.34,1974946
