"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume"
"2016-04-14",55.8,56.03,55.1,55.81,1903145
"2016-04-21",56.57,56.72,55.81,55.91,1435203
"2016-04-28",59.91,60.64,59.34,59.58,2200442
"2016-05-05",55.98,56.43,55.33,55.61,1928679
"2016-05-12",57.19,57.77,56.48,56.93,1695080
"2016-05-19",54.75,54.92,52.98,53.34,4508427
"2016-05-26",55.43,55.85,55.25,55.47,1608538
"2016-06-02",55.59,56.26,55.02,56.25,1537959
"2016-06-09",56.47,56.47,55.77,56.02,1001470
"2016-06-16",53.49,54.39,52.92,54.21,1586983
"2016-06-23",55.54,56.37,55.11,56.35,1579430
"2016-06-30",50.96,51.87,50.4,51.87,3069216
"2016-07-07",50.8,51.2,50.19,50.75,2270894
"2016-07-14",54.62,55,54.07,54.07,1815680
"2016-07-21",54.81,55.53,54,54.71,2301546
"2016-07-28",58.9,59.03,57.86,58.53,2697256
"2016-08-04",57.78,58.04,57.12,57.35,2383255
"2016-08-11",58,58.18,57.3,57.9,959931
"2016-08-18",59.24,59.54,59,59.54,1581324
"2016-08-25",59.7,59.94,59.52,59.93,850559
"2016-09-01",59.99,60.16,58.89,59.55,1866950
"2016-09-08",57.67,57.67,57.16,57.48,2798522
"2016-09-15",56.75,57.11,56.34,56.93,2752054
