"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume"
"2013-12-26",50.76,51.25,50.62,50.99,2439961
"2014-01-02",50.97,51.09,50.56,50.73,3176683
"2014-01-09",51.24,51.74,51.19,51.68,6355587
"2014-01-16",53.59,55.64,53.59,55.3,12158233
"2014-01-23",55.38,55.38,54.62,55.15,5130292
"2014-01-30",54.09,54.56,53.03,53.27,7277621
"2014-02-06",52.92,52.98,52.45,52.72,4513944
"2014-02-13",53.04,53.7,52.89,53.48,3769728
"2014-02-20",57.85,58.52,57.4,58.05,8991658
"2014-02-27",58.55,59.65,58.45,59.54,5666128
"2014-03-06",59.45,59.92,58.69,58.72,5083689
"2014-03-13",59.24,59.33,58.23,58.34,4103677
"2014-03-20",58.88,58.89,58.3,58.57,3546404
"2014-03-27",57.5,58.12,57.17,57.53,5472493
"2014-04-03",59.83,60.18,58.75,58.97,5447079
"2014-04-10",60.4,60.4,58.53,58.66,5514450
"2014-04-17",59.73,60.45,59.62,60.43,4750022
"2014-04-24",58.31,59.18,57.35,58.68,7854549
"2014-05-01",59.18,59.7,58.79,59.52,4173356
"2014-05-08",59.08,59.51,58.79,59.5,11023924
"2014-05-15",59.6,59.81,58.01,58.21,9782942
"2014-05-22",59.13,59.86,58.7,59.72,3782439
"2014-05-29",59.91,60,59.36,59.47,3362085
"2014-06-05",59.28,59.76,59.07,59.58,2753794
"2014-06-12",59.27,59.5,58.71,58.88,3937360
"2014-06-19",60.05,60.2,59.65,59.85,2431256
"2014-06-26",62.84,63.1,62.44,63.04,3663029
"2014-07-03",62.9,63.1,62.44,63.06,2709059
"2014-07-10",62.13,62.71,62,62.53,2619247
"2014-07-17",62.36,62.87,62.14,62.26,3424677
"2014-07-24",64.1,65.7,63.8,64.37,5095371
"2014-07-31",61.97,62.45,60.94,61.06,5486151
"2014-08-07",61.4,61.42,60.14,60.35,2352444
"2014-08-14",60.78,61.22,60.78,61.19,1801624
"2014-08-21",62.37,62.44,61.91,62.03,2846001
"2014-08-28",62.81,63.27,62.54,63.11,2162020
"2014-09-04",64.12,64.37,64,64.22,5792139
"2014-09-11",64.65,65.2,64.56,65.18,3579024
"2014-09-18",66.08,66.66,66.04,66.59,4326947
"2014-09-25",65.97,66.14,65.5,65.58,3131528
"2014-10-02",65.09,65.15,64.38,64.83,4313647
"2014-10-09",64.94,65.38,64.29,64.3,3632078
"2014-10-16",62.02,62.55,61.1,61.9,5488362
"2014-10-23",64.27,65.2,63.78,64.35,6349346
"2014-10-30",65.4,66.98,65.31,66.8,4134860
"2014-11-06",67.03,67.23,66.65,66.96,3091816
"2014-11-13",67.68,68.16,67.4,67.68,3292719
"2014-11-20",66.96,67.08,66.56,66.8,2467579
"2014-12-04",70.98,72.44,70.84,72.38,6519237
"2014-12-11",73.63,75.1,71.54,71.61,10901483
"2014-12-18",71.2,72.48,70.91,72.45,5875562
"2015-01-08",70,71.49,69.66,70.87,7472181
"2015-01-15",70.44,71.27,69.73,69.74,4054993
"2015-01-22",72.69,72.7,71.64,72.46,4582818
"2015-01-29",70.97,72.16,70.42,72.11,4416774
"2015-02-05",70.7,71.57,70.68,71.41,3846977
"2015-02-12",70.19,70.55,69.83,70.53,3383464
"2015-02-19",70.83,71.29,70.77,71.12,2337021
"2015-02-26",70.17,70.31,69.54,70.03,4544903
"2015-03-05",70.74,71.09,70.4,70.59,3465948
"2015-03-12",68.75,69.63,68.54,69.56,2724035
"2015-03-19",73.26,74.58,72.59,74.22,7051185
"2015-03-26",74,74.35,73.42,73.44,4023488
"2015-04-02",71.46,71.78,70.53,71.24,3781771
"2015-04-09",72.22,72.56,71.9,72.36,2595768
"2015-04-16",73.61,74,73.39,73.49,2880028
"2015-04-23",72.88,72.94,71.07,72.4,5448691
"2015-04-30",71.96,72.6,71.43,71.87,5479276
"2015-05-07",71.75,72.29,71.72,71.82,3628081
"2015-05-14",72.68,73.22,72.43,73.06,3364320
"2015-05-21",73.34,74.35,73.18,74.27,3288196
"2015-05-28",74.8,76.48,74.74,76.41,4823625
"2015-06-04",77.34,78.6,77.33,77.68,3786541
"2015-06-11",83.11,87.24,83.08,86.59,16740826
"2015-06-18",83.89,84.37,82.75,83.04,7251541
"2015-06-25",84.16,86.9,84.08,84.8,9630071
"2015-07-02",85.21,86.24,84.69,86.14,5128085
"2015-07-09",88,88.31,86.9,87.48,4767588
"2015-07-16",86.8,87.46,86.58,87.17,5578027
"2015-07-23",89.06,89.87,85.62,86.76,5258534
"2015-07-30",84.26,84.97,83.98,84.54,3867841
"2015-08-06",85.14,85.14,81.24,82.7,3866491
"2015-08-13",83.2,83.75,82.89,83.03,2253924
"2015-08-20",86.86,88.95,85.81,87.33,10869519
"2015-08-27",81.79,84.04,81.71,83.74,4678301
"2015-09-03",82.05,82.86,81.34,81.6,3204861
"2015-09-10",81.12,81.67,80.5,80.84,3666973
"2015-09-17",84.47,92.85,84.28,89.98,16849569
"2015-09-24",86.45,86.54,85.08,85.35,5641668
"2015-10-01",83.6,85.32,83.4,85.18,5316028
"2015-10-08",83.15,83.99,81.79,83.77,4595366
"2015-10-15",79.34,80.08,78.81,79.86,6408613
"2015-10-22",77.22,77.84,75.16,76.98,10070859
"2015-10-29",82.3,83.57,81.29,82,5151967
"2015-11-05",81,81.4,79.66,80.61,3782960
"2015-11-12",80.55,80.76,79.8,79.86,3638548
"2015-11-19",83.2,83.88,82.72,83.72,3064088
"2015-12-03",84.65,84.84,82.56,83.06,3669847
"2015-12-10",84.23,85.51,83.36,84.91,3667232
"2015-12-17",86.75,87.2,86.2,86.22,3928182
"2015-12-24",85.98,86.15,85.47,85.85,1486939
"2015-12-31",85.72,85.75,84.08,84.26,3178502
"2016-01-07",81.63,82.81,80.83,81.41,5833185
"2016-01-14",79.28,82.73,78.62,82.54,8244629
"2016-01-21",82.56,82.62,80.59,81.4,4930865
"2016-01-28",81.87,82.49,76.54,76.81,10125180
"2016-02-04",75.95,76.53,73.44,74.28,6295724
"2016-02-11",72.2,72.63,70.83,71.42,5391018
"2016-02-18",73.42,74.55,73.16,73.47,5619995
"2016-02-25",74.27,74.89,73.77,74.82,4307058
"2016-03-03",73.8,73.89,72.58,73.25,4526179
"2016-03-10",74,74.21,72.43,73.02,4419249
"2016-03-17",72.23,72.35,67.88,69.06,15420275
"2016-03-24",70.65,71.44,70.2,71.12,2653629
"2016-03-31",71.77,72.33,71.1,72.01,3571370
"2016-04-07",74.51,75.16,73.85,74.59,3716688
"2016-04-14",75.3,75.83,74.8,75.63,2741046
"2016-04-21",77.17,78.1,76.91,77.37,3286071
"2016-04-28",76.12,76.66,75.67,76.46,4382843
"2016-05-05",74.72,75.39,74.55,75.27,3426276
"2016-05-12",76.72,76.94,75.36,75.96,4077868
"2016-05-19",75.12,75.23,73.74,74.31,4847995
"2016-05-26",74.6,75.6,74.27,75.52,2654448
"2016-06-02",75.22,75.68,74.9,75.46,3231683
"2016-06-09",74.77,75.54,74.24,74.43,2760462
"2016-06-16",73.47,74.47,72.95,74.25,4788882
"2016-06-23",73.59,73.94,73.2,73.94,2989745
"2016-06-30",78.2,78.81,77.46,78.75,4017154
"2016-07-07",79.83,80.05,78.64,79.32,3587328
"2016-07-14",79.5,80.69,79.4,80.59,3823843
"2016-07-21",80.2,80.6,80.02,80.4,2713999
"2016-07-28",83.25,83.39,81.95,82.93,4862023
"2016-08-04",83.02,83.02,82.37,82.42,2093793
"2016-08-11",79.98,80.66,79.98,80.56,2407996
"2016-08-18",80.1,80.38,79.49,79.78,3037728
"2016-08-25",78.44,79.17,77.8,78.01,2800533
"2016-09-01",77.75,78,76.8,77.23,3544701
"2016-09-08",80.03,80.17,79.41,79.89,4405396
"2016-09-15",78.12,79.06,77.77,78.82,2653694
