"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume"
"2012-08-16",59.48,59.75,59.01,59.75,2119987
"2012-08-23",60.76,61.61,60.52,61.27,2026067
"2012-08-30",60.65,60.91,60.46,60.62,1054397
"2012-09-06",60.69,60.9,60.4,60.72,1465862
"2012-09-13",59.29,60.36,59.09,60.18,2149383
"2012-09-20",58.86,58.88,57.46,57.55,2490258
"2012-09-27",57.48,58.61,57.27,57.74,2558819
"2012-10-04",57.37,57.5,56.38,56.48,2028959
"2012-10-11",56.62,56.8,56.12,56.19,1999409
"2012-10-18",56.38,57.52,56.3,57.48,957391
"2012-10-25",56.93,57.05,55.81,56.42,1492103
"2012-11-01",57.24,58.15,57.07,58.15,2537040
"2012-11-08",57.82,58.15,57.13,57.13,1151800
"2012-11-15",54.35,54.7,53.99,54.28,1913375
"2012-11-29",55.8,56.1,55.12,55.75,18146201
"2012-12-06",54.67,55.56,54.43,55.56,3445206
"2012-12-13",55.26,55.7,54.9,55.13,1580040
"2012-12-20",55.36,56.5,55.19,56.5,1978737
"2012-12-27",56.11,56.53,55.85,56.43,1217463
"2013-01-03",57.08,57.48,56.78,57.25,1358584
"2013-01-10",58.21,58.37,57.9,58.37,1040231
"2013-01-17",58.72,58.81,58.43,58.47,1122807
"2013-01-24",58.49,58.6,57.73,57.97,1730164
"2013-01-31",57.01,57.06,55.34,55.39,3774562
"2013-02-07",55.16,55.23,54.3,54.82,2570110
"2013-02-14",57.41,57.92,57.41,57.56,1985637
"2013-02-21",57.3,57.47,56.74,57.11,1680663
"2013-02-28",56,56.18,55.02,55.04,4092170
"2013-03-07",56.24,56.53,55.1,55.24,2669306
"2013-03-14",55.6,56.54,55.34,56.39,2485386
"2013-03-21",54.61,55.19,54.37,54.39,1453078
"2013-03-28",55.09,55.32,54.74,55.06,2042545
"2013-04-04",56.14,57.6,56.05,57.52,1870576
"2013-04-11",58.43,59.42,58.3,59.02,2348192
"2013-04-18",57.62,58.32,57.46,57.84,1804272
"2013-04-25",57.63,57.77,57.07,57.2,1803340
"2013-05-02",57.06,57.39,56.42,56.63,1559121
"2013-05-09",57.63,57.64,57.03,57.24,1926062
"2013-05-16",58.98,60,58.95,59.61,1739981
"2013-05-23",58.41,60.32,58.05,60.18,10784497
"2013-05-30",58.53,58.58,57.26,57.42,2825402
"2013-06-06",56.6,57.04,56,56.67,1871005
"2013-06-13",54.63,56.57,54.6,56.44,1692862
"2013-06-20",54.34,54.34,52.71,52.91,2242942
"2013-06-27",57.64,58.8,57.5,58.42,3055137
"2013-07-11",58.55,59.28,58.46,59.08,1947209
"2013-07-18",58.66,59.4,58.57,59.09,1014074
"2013-07-25",57.34,58.07,57.15,57.73,1583055
"2013-08-01",56.26,56.54,55.46,55.66,2314961
"2013-08-08",54.5,54.5,53.91,54.26,1776305
"2013-08-15",52.14,52.21,51.21,51.79,1811758
"2013-08-22",51.38,51.99,50.82,51.85,1597057
"2013-08-29",51.94,52.16,51.4,52.1,1070799
"2013-09-05",51.97,52.01,51.3,51.74,1237003
"2013-09-12",54.89,55.23,54.55,54.72,1384546
"2013-09-19",56.45,56.95,56,56.31,2451897
"2013-09-26",54.53,54.89,54.32,54.67,1218030
"2013-10-03",53.97,54.18,52.62,52.86,2069201
"2013-10-10",52.55,53.56,52.34,53.54,1802374
"2013-10-17",54.94,55.71,54.51,55.6,1473647
"2013-10-24",55.41,55.41,53.61,53.82,3471431
"2013-10-31",53.6,53.87,51.76,52.36,2930166
"2013-11-07",52.72,52.81,52.32,52.45,1687473
"2013-11-14",51.98,52.44,51.74,52.07,1442130
"2013-11-21",50.66,50.99,50.47,50.83,1097007
"2013-12-05",52.93,53.09,52.25,52.62,1904930
"2013-12-12",52.96,53.5,52.44,52.45,2765159
"2013-12-19",52.47,52.64,51.61,52.04,1641559
"2013-12-26",51.79,52.02,51.57,51.76,1750709
"2014-01-02",51.74,52.3,51.55,51.99,1520619
"2014-01-09",53.61,53.69,53.02,53.44,2154098
"2014-01-16",53.88,54.09,53.69,53.89,1680073
"2014-01-23",53.71,53.83,53.48,53.77,2306330
"2014-01-30",54.2,55.25,54,55.14,2690404
"2014-02-06",55.67,56.52,55.65,56.48,3198953
"2014-02-13",57.96,58.86,57.86,58.3,3557221
"2014-02-20",58.52,58.83,58,58.73,2025034
"2014-02-27",58.55,58.81,58,58.36,1184249
"2014-03-06",58.72,58.74,58.15,58.36,2023373
"2014-03-13",58.62,58.79,57.82,57.9,1938715
"2014-03-20",56.77,57.22,56.51,57.22,1519388
"2014-03-27",57.05,57.35,56.68,57.19,1137358
"2014-04-03",59.22,59.4,58.32,58.64,1964583
"2014-04-10",60.03,60.34,58.99,59.17,1781928
"2014-04-17",58.18,58.29,57.19,57.5,3247516
"2014-04-24",57.83,58.56,57.66,58.54,1243282
"2014-05-01",58,59.64,58,59.59,1755167
"2014-05-08",61.43,62.05,61.43,61.72,1208937
"2014-05-15",61.61,61.75,61.04,61.47,1409416
"2014-05-22",61.08,61.21,60.56,60.64,1300165
"2014-05-29",61.17,61.67,61.07,61.58,1263359
"2014-06-05",62.19,63.23,61.9,63.18,1279961
"2014-06-12",61.1,61.29,60.52,61.25,1145036
"2014-06-19",61.54,61.96,61.21,61.94,1846864
"2014-06-26",63.16,63.16,62.62,62.96,1731171
"2014-07-03",63.38,63.42,62.75,63.19,786421
"2014-07-10",63.17,64.1,63.07,63.8,3383646
"2014-07-17",64.54,64.97,64.43,64.5,974718
"2014-07-24",65.4,65.87,65.31,65.84,1749280
"2014-07-31",66.04,66.24,64.63,64.65,3608029
"2014-08-07",64.9,64.9,64.35,64.54,1265131
"2014-08-14",66.11,66.11,65.64,65.77,937555
"2014-08-21",67.14,67.43,66.92,67.1,1196374
"2014-08-28",66.15,66.4,65.83,66.19,1049323
"2014-09-04",66.43,66.78,66.01,66.4,1458451
"2014-09-11",64.35,64.88,64.28,64.69,2421322
"2014-09-18",62.92,62.92,61.34,61.4,2269094
"2014-09-25",61.03,61.26,60.69,60.8,1921983
"2014-10-02",62.12,62.52,61.9,62.22,2201489
"2014-10-09",63.71,64.62,63.66,64.1,2538385
"2014-10-16",66.51,66.91,65.27,66.28,3237231
"2014-10-23",67.76,68.3,67.43,68.07,2303536
"2014-10-30",67.26,67.99,66.82,67.97,2270076
"2014-11-06",70.06,70.42,69.3,69.49,1835079
"2014-11-13",69.5,70.25,69.28,69.98,1590809
"2014-11-20",69.23,69.59,68.94,69.56,1121962
"2014-12-04",70.97,71.44,70.75,71.29,1260990
"2014-12-11",72.9,72.95,72.15,72.28,1411766
"2014-12-18",72.58,72.98,72.21,72.97,1346054
"2015-01-08",75.76,76.48,75.01,76.43,2122400
"2015-01-15",78.42,78.68,77.79,78.53,1388031
"2015-01-22",77.78,79.32,77.7,79.31,1805056
"2015-01-29",79.35,79.8,78.64,79.34,1768605
"2015-02-05",79.02,80.52,78.98,80.27,2177743
"2015-02-12",78.08,80.08,77.97,79.86,1950674
"2015-02-19",79.79,79.81,77.35,77.58,1672279
"2015-02-26",77.85,77.96,76.8,76.84,1994824
"2015-03-05",77.71,78.36,77.31,77.33,1670400
"2015-03-12",76.28,77.32,76.05,77.13,2554502
"2015-03-19",79.62,80.61,79.44,79.73,1574800
"2015-03-26",79.01,79.33,78.28,78.5,2742787
"2015-04-02",77.68,78.65,77.51,78.31,1461666
"2015-04-09",77.86,77.88,75.71,75.87,1453837
"2015-04-16",75.32,76.08,74.83,75.77,1010026
"2015-04-23",76.06,76.71,76.03,76.49,946377
"2015-04-30",74.95,75.52,73.32,73.86,2344836
"2015-05-07",72.65,74.5,72.65,74.18,1491986
"2015-05-14",73.73,74.98,73.53,74.94,986147
"2015-05-21",74.92,75.05,74.24,74.54,976715
"2015-05-28",75.02,75.37,74.48,74.89,1158691
"2015-06-04",71.72,72.25,71.48,71.89,1451795
"2015-06-11",71.34,72.06,71.32,71.59,1716186
"2015-06-18",73.52,75.51,73.52,74.77,2738276
"2015-06-25",71.37,71.66,70.63,70.65,1441602
"2015-07-02",72.17,73.03,71.85,72.59,2759993
"2015-07-09",74.34,74.86,74.03,74.19,1714550
"2015-07-16",74.97,75.51,74.74,75.07,1220309
"2015-07-23",75.25,75.43,74.23,74.53,1451117
"2015-07-30",74.17,75.06,74.05,74.29,2296948
"2015-08-06",74.32,74.8,73.37,74.77,1523026
"2015-08-13",76.55,77.52,76.02,76.8,1109510
"2015-08-20",76.2,76.67,75.61,75.96,1656602
"2015-08-27",71.89,73.58,71.43,73.12,1957282
"2015-09-03",70.49,70.92,70.21,70.44,1378775
"2015-09-10",68.99,70.26,68.99,69.52,1263337
"2015-09-17",71.9,73.98,71.38,72.61,1422436
"2015-09-24",72.59,73.16,71.72,72.27,1838483
"2015-10-01",75.52,75.59,74.38,75.27,1378295
"2015-10-08",76.91,77.46,76.06,77.35,1228545
"2015-10-15",76.54,78.26,76.54,78.23,1613375
"2015-10-22",79.86,80.13,79.04,79.72,1918950
"2015-10-29",78.5,78.87,77.68,78.14,2993931
"2015-11-05",78.97,79.21,78.29,79.16,1180664
"2015-11-12",78.1,78.65,77.64,77.7,1300160
"2015-11-19",78.97,79.82,78.76,79.13,1154370
"2015-12-03",79.88,79.96,77.47,77.63,1978263
"2015-12-10",77.55,78,76.98,77.21,2031632
"2015-12-17",80.71,80.89,80.12,80.58,2874008
"2015-12-24",80.79,81.19,80.14,80.87,505606
"2015-12-31",81.76,82.39,81.55,81.59,1577202
"2016-01-07",79.56,80.95,79.56,80.48,1675596
"2016-01-14",79.33,79.93,78.49,78.57,2233624
"2016-01-21",76.78,77.42,76.04,76.44,1654243
"2016-01-28",78.12,78.38,75.67,75.79,2731912
"2016-02-04",75.27,76.92,74.48,76.27,2271849
"2016-02-11",70.71,71.13,69.87,70.72,2249617
"2016-02-18",72.32,73.19,71.89,72.97,1830399
"2016-02-25",73.87,74.55,73.57,74.5,2094322
"2016-03-03",70.03,71,69.79,70.97,2167073
"2016-03-10",72.39,72.72,70.7,71.06,2870378
"2016-03-17",73.49,74.56,73.16,74.45,1693798
"2016-03-24",72.19,72.55,71.77,72.49,1763730
"2016-03-31",74.96,75.27,74.48,75.03,2223295
"2016-04-07",74.33,74.56,73.63,73.9,1109724
"2016-04-14",70.3,70.43,68.99,69.37,2703857
"2016-04-21",70.14,71.06,69.58,69.82,1629119
"2016-04-28",68.29,69.52,67.86,68.94,2269761
"2016-05-05",70.29,71.23,70.09,70.73,1519576
"2016-05-12",69.96,70.23,69.05,69.88,1953561
"2016-05-19",67.03,67.31,66.59,66.82,1953188
"2016-05-26",68.78,69.09,68.34,68.74,1679580
"2016-06-02",66.81,66.87,65.65,66.5,4539896
"2016-06-09",64.15,64.58,63.99,64.46,1815535
"2016-06-16",65.37,66.43,65.12,66.25,2572372
"2016-06-23",66.41,66.42,65.81,66.09,2458558
"2016-06-30",68.05,68.89,67.61,68.88,1993852
"2016-07-07",69.07,69.32,68.34,69.3,2037143
"2016-07-14",70.81,71.09,70.15,70.45,1287359
"2016-07-21",70,70.1,69.52,69.95,1954039
"2016-07-28",65.74,67.26,65.41,66.85,4188922
"2016-08-04",66.04,66.65,66,66.36,2899535
"2016-08-11",67.33,67.38,65.94,66.34,1485992
"2016-08-18",66.06,66.61,65.39,65.64,1865878
"2016-08-25",64.77,66.17,64.47,65.61,1839731
"2016-09-01",64.9,64.96,64.25,64.41,1900474
"2016-09-08",65.37,65.37,64.27,64.41,4005264
"2016-09-15",63.56,64.48,63.18,64.36,2099037
