"","RCL.Open","RCL.High","RCL.Low","RCL.Close","RCL.Volume"
"2015-11-05",97.77,99.59,97.7,99.24,1919723
"2015-11-12",97.88,98.6,97.23,97.72,1447729
"2015-11-19",94.72,95.03,93.8,94.35,1697858
"2015-12-03",94.6,95.65,90.53,91.5,2157676
"2015-12-10",93.11,94.79,92.65,94.23,1391221
"2015-12-17",95.57,96.83,93.8,93.95,2285912
"2015-12-24",99.92,100.81,99.48,99.92,689546
"2015-12-31",102.41,102.7,101.21,101.21,1018157
"2016-01-07",93.18,94.76,92.26,92.43,2674418
"2016-01-14",88.87,88.99,85.5,87.9,4437268
"2016-01-21",83.41,86.42,82.83,85.48,3910893
"2016-01-28",80.89,80.99,75.56,78.33,6084549
"2016-02-04",73.03,73.8,68.92,73.58,6722252
"2016-02-11",67.34,69.03,66.97,67.97,3031322
"2016-02-18",72.25,72.29,69.71,69.87,3079738
"2016-02-25",72.91,74.47,72.62,74.47,1681842
"2016-03-03",74.44,75.7,73.32,75.69,3537268
"2016-03-10",70.46,71.89,69,69.99,3205292
"2016-03-17",74.29,75.2,73.47,74.98,2643292
"2016-03-24",73.24,75.03,72.53,74.47,2247668
"2016-03-31",80.7,82.78,80.63,82.15,5019052
"2016-04-07",81.33,81.95,80,80.27,2026014
"2016-04-14",84.24,84.43,82.2,82.9,2273277
"2016-04-21",78.98,78.98,76.57,76.8,2902062
"2016-04-28",77.24,78.02,75.9,76.02,4229745
"2016-05-05",76,76.53,75.36,75.61,1504659
"2016-05-12",75.67,77.16,75.45,77.02,2398283
"2016-05-19",77.84,78.04,76.39,76.8,1865170
"2016-05-26",76.72,76.9,74.6,75.46,3190463
"2016-06-02",76.86,77.68,76.48,77.63,1122796
"2016-06-09",75.72,76.45,75.31,76.24,846849
"2016-06-16",73.09,73.76,71.98,73.62,1163690
"2016-06-23",77.3,77.4,76.69,77.15,1146820
"2016-06-30",68.09,68.09,66.43,67.15,2555249
"2016-07-07",66.5,67.34,65.7,66.79,1852741
"2016-07-14",73.69,74.36,71.84,71.88,2925254
"2016-07-21",72.44,72.7,72.1,72.36,1694885
"2016-07-28",72.94,73.28,71.93,73.24,2085285
"2016-08-04",69.42,74.43,69.42,73.3,6554966
"2016-08-11",70.2,71.58,70.11,71.04,2290472
"2016-08-18",71.25,71.45,70,70.12,2261484
"2016-08-25",70.52,71.11,69.98,70,2591434
"2016-09-01",71.76,73.15,71.56,72.71,2489259
"2016-09-08",66.87,67.07,65.78,66.04,3133617
"2016-09-15",67.66,67.94,67.15,67.34,1820881
