"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume"
"2012-10-25",31.86,32.3,31.73,32.1,3420123
"2012-11-01",32.05,32.48,30.96,32.39,3364357
"2012-11-08",30.99,31.24,30.72,30.73,5607059
"2012-11-15",30.47,30.73,30.22,30.5,4309797
"2012-11-29",33.23,33.63,33.22,33.51,2381970
"2012-12-06",33.6,33.96,33.43,33.8,1912817
"2012-12-13",34.28,34.33,33.53,33.88,2137126
"2012-12-20",36.06,36.14,35.78,35.9,1980971
"2012-12-27",35.13,35.26,34.32,35.12,2768215
"2013-01-03",36.75,36.92,36.26,36.37,1744032
"2013-01-10",36.89,36.94,36.03,36.52,1415957
"2013-01-17",36.77,37.68,36.73,37.33,1959737
"2013-01-24",37.39,38,37.11,37.6,3326276
"2013-01-31",38.77,39.3,38.62,38.88,2723346
"2013-02-07",38.61,38.76,38.1,38.65,2514202
"2013-02-14",38.54,38.77,38.22,38.67,2525640
"2013-02-21",38.58,38.62,37.91,37.97,2851527
"2013-02-28",36.31,36.95,36.22,36.72,4037788
"2013-03-07",39.87,40.08,39.54,40.01,2433831
"2013-03-14",40.67,40.81,40.46,40.69,1851042
"2013-03-21",40.6,41.26,40.25,41.03,2049129
"2013-03-28",40.62,41.3,40.43,41.25,1784727
"2013-04-04",38.53,38.68,38.04,38.48,2636361
"2013-04-11",39.49,39.52,38.92,39.01,2320860
"2013-04-18",36.9,37.02,35.92,35.93,2129509
"2013-04-25",37.5,38.14,37.31,37.87,2025263
"2013-05-02",38.17,38.76,37.92,38.53,1323927
"2013-05-09",39.95,40.22,39.56,39.75,2664393
"2013-05-16",39.39,40.26,39.35,39.78,4498387
"2013-05-23",36.36,36.96,36.22,36.46,3392330
"2013-05-30",37.14,37.99,37.08,37.9,2327701
"2013-06-06",36.03,36.13,35.6,35.97,3224128
"2013-06-13",34.8,36.02,34.6,35.88,4112750
"2013-06-20",35.24,35.43,34.49,34.56,2847218
"2013-06-27",34.71,35.26,34.62,34.92,1680581
"2013-07-11",34.83,35.46,34.5,35.4,2247873
"2013-07-18",36.37,36.91,36.37,36.87,2397626
"2013-07-25",36.9,37.05,36.45,36.73,1036410
"2013-08-01",34.79,35.14,34.22,34.27,6847333
"2013-08-08",35.1,35.72,35.08,35.6,1856607
"2013-08-15",36.46,36.46,35.86,36.04,2470541
"2013-08-22",35.71,36.22,35.7,36.13,2767736
"2013-08-29",36.75,37.29,36.72,37.02,2335636
"2013-09-05",37.1,37.29,36.95,37.04,1969161
"2013-09-12",38.26,38.44,37.84,37.88,2062990
"2013-09-19",40.61,41.19,40.42,40.94,4134654
"2013-09-26",40.8,42.41,40.75,41.94,7341082
"2013-10-03",41.54,42.25,41.21,42.15,7238204
"2013-10-10",40.13,40.76,40.09,40.61,2643387
"2013-10-17",40.52,40.68,39.85,40.41,3446536
"2013-10-24",39.59,40.36,39.54,40.2,2350624
"2013-10-31",40.1,40.34,39.86,39.9,2224741
"2013-11-07",42.25,43.17,41.41,41.76,3885679
"2013-11-14",42.97,44.21,42.9,44.13,2635432
"2013-11-21",42.58,43.6,42.21,43.53,4253980
"2013-12-05",46.18,46.56,45.81,45.94,2270101
"2013-12-12",45.85,46.17,45.25,45.51,3244287
"2013-12-19",48.13,48.45,47.89,48.04,1617223
"2013-12-26",49.63,49.85,49.36,49.39,1499246
"2014-01-02",49.33,49.74,48.88,49.25,2488043
"2014-01-09",50.82,51.68,50.74,51.08,3716379
"2014-01-16",53.22,53.73,52.98,53.6,2403308
"2014-01-23",52.68,52.68,51.71,51.86,3593210
"2014-01-30",51.55,51.9,50.71,51.52,4046089
"2014-02-06",49.89,51.11,49.7,50.96,1827250
"2014-02-13",53.51,54.49,53.39,54.13,3033103
"2014-02-20",54.37,54.98,53.6,54.9,1847406
"2014-02-27",57.2,58.68,53.72,54.28,11610022
"2014-03-06",53.6,53.94,53.42,53.74,2273916
"2014-03-13",52.62,52.73,50.13,50.47,4004655
"2014-03-20",50.91,51.79,50.78,51.61,2717365
"2014-03-27",48.6,48.6,47.91,48.28,4610761
"2014-04-03",49.71,49.9,48.18,48.31,2877822
"2014-04-10",48.44,48.44,45.89,45.97,4297797
"2014-04-17",47.39,48.89,47.13,48.49,3302876
"2014-04-24",48.73,48.9,47.22,47.72,2241537
"2014-05-01",47.84,48.94,47.81,48.42,2323577
"2014-05-08",46.68,47.79,46.24,46.82,1936955
"2014-05-15",48.05,48.23,47.07,47.82,3485698
"2014-05-22",50.97,51.7,50.76,51.51,1588605
"2014-05-29",51.88,52.77,51.74,52.69,2476967
"2014-06-05",52.95,53.74,52.83,53.72,1422683
"2014-06-12",53.86,54.41,53.67,53.85,1147572
"2014-06-19",56.78,57.17,55.67,56.31,1977733
"2014-06-26",55.88,56.26,55.44,56.25,1069215
"2014-07-03",57.03,57.28,56.84,56.88,842211
"2014-07-10",55.37,55.99,54.78,55.44,1708942
"2014-07-17",55.42,55.98,55.17,55.42,2873540
"2014-07-24",56.12,56.47,55.87,56,1641966
"2014-07-31",54.98,55.19,53.17,53.35,2805931
"2014-08-07",54.58,54.81,53.44,53.63,1334436
"2014-08-14",55.35,56.92,55.35,56.28,3602345
"2014-08-21",53.68,53.93,53.5,53.78,1751673
"2014-08-28",53.63,54.27,53.31,54,1250666
"2014-09-04",54.27,55.25,53.95,54.18,2137483
"2014-09-11",53.19,54.14,52.81,54.13,1862396
"2014-09-18",55.1,55.91,55,55.73,2960357
"2014-09-25",55.57,55.65,54.4,54.43,3394533
"2014-10-02",56.78,58.75,56.42,57.74,10205237
"2014-10-09",57.01,57.64,55.72,56.07,3988842
"2014-10-16",49.34,50.24,49.28,49.89,2944470
"2014-10-23",52.63,54.15,52.46,53.55,2292038
"2014-10-30",55.87,57.48,55.81,57.37,1626996
"2014-11-06",58.6,59.33,58.45,59.2,1809234
"2014-11-13",59.35,59.66,58.91,59.31,1779833
"2014-11-20",58.66,59.14,58.29,58.41,3485058
"2014-12-04",61.14,61.53,60.83,61.09,1020687
"2014-12-11",59.25,60.14,58.68,58.82,922713
"2014-12-18",57.92,59.47,57.38,59.46,2267091
"2015-01-08",57.87,59.13,57.74,58.8,1307198
"2015-01-15",56.38,56.62,55.57,55.71,1129475
"2015-01-22",57.89,58.63,56.97,58.27,1602130
"2015-01-29",54.58,55.47,54.08,55.36,1114333
"2015-02-05",56.45,56.57,55.86,56.23,1672455
