"","AYI.Open","AYI.High","AYI.Low","AYI.Close","AYI.Volume"
"2014-03-13",140,141.11,139.62,140.76,642038
"2014-03-20",141.32,142.43,140.47,141.56,218543
"2014-03-27",133.66,133.8,127.22,128.15,1229679
"2014-04-03",140.66,140.66,132.07,133.63,639252
"2014-04-10",127.24,127.74,122.02,122.4,601858
"2014-04-17",125.41,127.32,124.43,125.99,562274
"2014-04-24",128.15,128.15,124.97,125.49,248876
"2014-05-01",124.75,126.16,122.81,123.63,282008
"2014-05-08",121.47,123.9,118.93,119.24,531104
"2014-05-15",120.03,120.61,118.7,119.83,760325
"2014-05-22",122.48,124.32,122,123.7,227540
"2014-05-29",125.2,125.79,124.08,125.57,182122
"2014-06-05",124.87,128.2,124.48,128.02,234482
"2014-06-12",130.62,131.57,127.79,128.22,408897
"2014-06-19",133.43,134.69,131.6,134.61,570927
"2014-06-26",135.98,138.21,134.27,137.13,570085
"2014-07-03",119.67,120.99,117.96,118.88,568615
"2014-07-10",113.89,114.87,113.36,113.55,413913
"2014-07-17",112.63,113.57,110.94,111.4,531173
"2014-07-24",113.88,114.8,112.28,112.59,297155
"2014-07-31",108.63,109.49,107.07,107.27,411900
"2014-08-07",110.22,110.81,109.52,110.75,411365
"2014-08-14",116.01,117.21,115.54,117.01,259367
"2014-08-21",121.28,123.1,120.29,122.54,352114
"2014-08-28",123.3,123.83,122.81,123.72,214922
"2014-09-04",123.3,124.17,122.61,123.14,206988
"2014-09-11",122.14,123.35,121.9,123.04,204930
"2014-09-18",124.92,125.66,124.25,125.62,261361
"2014-09-25",122.43,122.76,120.73,120.94,306927
"2014-10-02",130.8,134.25,130,133.02,792990
"2014-10-09",133.78,135.42,128.52,128.99,718149
"2014-10-16",123,127.17,122.1,126.72,468695
"2014-10-23",133.25,134.78,132.67,133.54,375609
"2014-10-30",137.47,138.58,135.62,138.32,383251
"2014-11-06",138.65,140.82,138.36,140.73,290116
"2014-11-13",137.99,139.23,137.87,138.03,250443
"2014-11-20",138.66,141.93,138.03,141.53,225331
"2014-12-04",139.37,141.39,138.97,140.74,276400
"2014-12-11",133.87,135.36,131.48,131.75,376281
"2014-12-18",134.23,137.34,133.5,137.17,309747
"2015-01-08",138.95,142.28,138.01,142,526727
"2015-01-15",151.09,152.05,148.28,148.87,489052
"2015-01-22",151.12,151.48,148.28,150.65,397421
"2015-01-29",152,152.6,149.84,151.92,294980
"2015-02-05",152.9,155,152.58,154.06,154712
"2015-02-12",162.14,162.7,161.33,162.62,203952
"2015-02-19",161.44,163.09,160,160.26,350015
"2015-02-26",159.99,160.53,158.69,159.25,325808
"2015-03-05",160.14,160.87,159.06,159.95,313605
"2015-03-12",160.89,161.85,160.15,161.14,141482
"2015-03-19",166.51,166.82,164.1,165.85,211601
"2015-03-26",161.58,167.37,160.02,165.91,385214
"2015-04-02",168.66,169.39,164.7,166.64,745356
"2015-04-09",168.13,169.67,166.32,167.28,271983
"2015-04-16",168.57,168.57,166.6,167.44,173800
"2015-04-23",167.62,168.66,166.26,167.78,228516
"2015-04-30",168.95,168.95,166.36,166.95,441181
"2015-05-07",170.11,172.68,169.27,171.38,187999
"2015-05-14",181.01,181.99,179.05,181.15,472464
"2015-05-21",183.05,183.37,181.93,182.44,253256
"2015-05-28",179.75,180.68,176.25,178.6,588203
"2015-06-04",179.04,180.04,178.04,178.39,196767
"2015-06-11",179.82,181.79,179.04,181.74,247820
"2015-06-18",183.76,185.64,183.18,184.9,271308
"2015-06-25",181.43,183.29,180.02,182.48,549602
"2015-07-02",189,189.2,187.1,189,468749
"2015-07-09",189.12,190,187.55,187.81,415532
"2015-07-16",195.02,195.38,193.04,193.74,397352
"2015-07-23",192.35,193.4,190.34,191.54,376781
"2015-07-30",195.88,199.89,194.98,197.9,426376
"2015-08-06",207,207.38,204.56,205.32,497031
"2015-08-13",207.84,210.84,207.66,209.44,388042
"2015-08-20",206.44,207.28,200.81,201.06,416882
"2015-08-27",191.85,195.81,189.59,195.66,413710
"2015-09-03",195.22,198.58,194.93,195.95,243581
"2015-09-10",198.59,198.84,188.39,190.15,856694
"2015-09-17",194.9,197.53,193.19,195.01,235955
"2015-09-24",179.8,179.98,172.24,173.56,1054515
"2015-10-01",175.56,177.57,173.46,175.31,452541
"2015-10-08",182.88,198.31,180.93,195.98,1207611
"2015-10-15",196.45,200.01,195,199.59,280278
"2015-10-22",207.07,210.75,205.17,209.95,500291
"2015-10-29",212.39,213.62,210.03,211.91,300194
"2015-11-05",217,217.22,214.57,215.1,313349
"2015-11-12",210.1,212.78,207.82,209.25,301674
"2015-11-19",226.13,226.13,223,225.4,305084
"2015-12-03",230.36,231.47,223.83,225.52,345067
"2015-12-10",230.26,234.28,228.39,232.06,386433
"2015-12-17",235.34,236.32,231.72,232.7,267682
"2015-12-24",240.34,241.36,239.44,240.08,126358
"2015-12-31",235,240.63,233.74,233.8,268029
"2016-01-07",226.12,229.61,222.99,223.84,611796
"2016-01-14",199.51,208.83,199.46,207,535560
"2016-01-21",202.19,203.14,195.7,196.63,555844
"2016-01-28",196.1,197.5,188.74,189.78,544036
"2016-02-04",193.3,199.64,192.8,195.47,417828
"2016-02-11",179.49,179.49,169.42,175.13,1076615
"2016-02-18",195.77,196.78,192.82,194.29,466960
"2016-02-25",199.01,204.59,197.92,204.47,487093
"2016-03-03",219.62,222.2,216.18,222.13,571926
"2016-03-10",214.45,216.38,209.06,212.53,336456
"2016-03-17",222.45,225.18,219.62,224.62,668154
"2016-03-24",217.43,220.4,212.93,214.91,449186
"2016-03-31",215.23,218.4,214.12,218.14,618716
"2016-04-07",254.78,258.12,245.24,248.3,1303646
"2016-04-14",256.05,256.96,252.76,254.93,385627
"2016-04-21",257.57,258.75,254.02,255.6,334824
"2016-04-28",252.89,255.59,245.39,246.27,603343
"2016-05-05",243.09,245.99,242.42,243.95,404031
"2016-05-12",253.77,255.04,250,252.05,265597
"2016-05-19",246.25,247.41,243.19,245.9,268523
"2016-05-26",256.54,257.66,253.84,255.13,216938
"2016-06-02",253.88,255.53,252.27,255.53,310795
"2016-06-09",257.29,259.93,256.71,258.4,251820
"2016-06-16",247.26,248.52,246.33,247.43,288871
"2016-06-23",254,255,250.76,254.89,258677
"2016-06-30",248.41,249.57,245.44,247.96,535710
"2016-07-07",252.37,255,251.66,253.63,235486
"2016-07-14",263.46,267.34,262.32,265.28,359949
"2016-07-21",266.65,268.34,263.81,264.99,186064
"2016-07-28",261.64,264.42,260.12,263.65,148785
"2016-08-04",265,265,262.25,263.75,152307
"2016-08-11",273.78,276.16,272.63,275.14,247966
"2016-08-18",275.46,278.46,274,277.79,155805
"2016-08-25",273.85,276.44,272.74,273.71,220740
"2016-09-01",275.14,275.9,272.15,274.08,168776
"2016-09-08",269.72,272.55,269.43,270.8,194652
"2016-09-15",259.14,265.16,257.16,264.34,327334
