"","PDCO.Open","PDCO.High","PDCO.Low","PDCO.Close","PDCO.Volume"
"2014-08-28",40.1,40.41,39.84,40.32,424162
"2014-09-04",40.3,40.59,40.03,40.2,378068
"2014-09-11",40.54,40.9,40.54,40.86,459613
"2014-09-18",40.71,40.96,40.62,40.95,553054
"2014-09-25",42.21,42.21,41.25,41.27,746977
"2014-10-02",41.29,41.8,41.14,41.52,1233469
"2014-10-09",41.5,41.67,40.84,40.96,609888
"2014-10-16",39.9,40.02,39.28,39.81,746366
"2014-10-23",41.46,41.75,41.29,41.56,313180
"2014-10-30",42.14,42.66,42.12,42.64,506256
"2014-11-06",43.83,44.25,43.71,44.03,576795
"2014-11-13",45.23,45.93,45.23,45.7,1375742
"2014-11-20",47,47.38,46.28,46.77,1513449
"2014-12-04",48.7,49.09,48.66,48.98,790657
"2014-12-11",48.5,48.8,48.09,48.16,610294
"2014-12-18",48.39,48.76,48.05,48.76,607710
"2015-01-08",49.77,50.41,49.7,50.21,1508004
"2015-01-15",50.36,50.45,49.72,49.73,495944
"2015-01-22",50.37,51.48,49.81,51.45,838400
"2015-01-29",50.53,50.99,50.21,50.98,659956
"2015-02-05",50.92,51.45,50.71,51.37,456962
"2015-02-12",50.48,50.88,50.06,50.8,599975
"2015-02-19",49.47,49.75,48.52,49.32,2137954
"2015-02-26",49.35,49.59,49.09,49.44,1008757
"2015-03-05",50.31,50.61,50.17,50.42,471778
"2015-03-12",48.02,49.2,48.02,49.16,914337
"2015-03-19",49.82,49.99,49.56,49.82,460103
"2015-03-26",48.69,48.76,48.28,48.4,487523
"2015-04-02",48.07,48.69,47.8,48.46,953184
"2015-04-09",48.09,48.36,47.89,48.23,655634
"2015-04-16",47.5,47.94,47.43,47.59,698870
"2015-04-23",47.36,47.73,47.21,47.5,614866
"2015-04-30",47.05,47.48,46.84,46.96,892408
"2015-05-07",45.51,46.15,45.41,45.85,564994
"2015-05-14",46.12,46.67,45.87,46.45,641420
"2015-05-21",48.31,48.86,47.11,47.17,1672139
"2015-05-28",47.23,47.81,47.08,47.58,1110301
"2015-06-04",47.98,48.14,47.78,48.13,953988
"2015-06-11",48.4,48.77,48.09,48.6,596030
"2015-06-18",49.05,49.62,49.05,49.36,869798
"2015-06-25",48.83,49.02,48.4,48.68,1268814
"2015-07-02",49.22,49.4,48.78,48.95,878366
"2015-07-09",49.02,49.02,48.61,48.73,635476
"2015-07-16",49.12,49.24,48.8,49.23,1581367
"2015-07-23",49.59,49.65,48.63,48.7,834654
"2015-07-30",48.78,49.9,48.55,49.77,1074297
"2015-08-06",50.2,50.3,49.48,49.78,566858
"2015-08-13",49.45,49.82,49.17,49.62,490811
"2015-08-20",51.04,51.24,50.12,50.16,931281
"2015-08-27",48.2,48.49,45.04,45.94,4337248
"2015-09-03",45.03,45.22,44.74,44.84,929497
"2015-09-10",44.97,45.78,44.88,45.53,712056
"2015-09-17",45,45.54,44.77,45.02,1009123
"2015-09-24",44.93,45.08,44.52,45.01,625922
"2015-10-01",43.25,43.33,42.62,43.19,950026
"2015-10-08",45.04,46.04,45,45.99,1196877
"2015-10-15",45.18,45.94,45.06,45.64,1053057
"2015-10-22",46.43,46.56,45.46,45.7,984841
"2015-10-29",46.97,47.63,46.75,47.53,722019
"2015-11-05",48.08,48.45,47.82,48.12,583124
"2015-11-12",47.77,47.96,47.03,47.05,426906
"2015-11-19",48.49,48.86,48.14,48.28,783124
"2015-12-03",45.58,45.66,44.21,44.35,990804
"2015-12-10",44.1,44.37,43.97,44.2,924664
"2015-12-17",44.67,44.67,44.38,44.4,813584
"2015-12-24",44.82,45.23,44.76,45.07,171031
"2015-12-31",45.19,45.66,45.09,45.21,577671
"2016-01-07",43.64,43.84,43.32,43.46,758581
"2016-01-14",40.48,40.59,39.9,40.48,1531248
"2016-01-21",39.72,40.03,39.02,39.39,864140
"2016-01-28",41.74,41.76,40.86,41.18,1240124
"2016-02-04",43.07,43.58,42.34,43.24,804030
"2016-02-11",41.67,42.27,41.12,41.46,1059308
"2016-02-18",44.42,44.72,44.04,44.46,1002852
"2016-02-25",43.79,45.51,43.5,45.09,2234218
"2016-03-03",43.62,44.7,43.59,44.59,607004
"2016-03-10",44.13,44.31,43.03,43.48,789317
"2016-03-17",44.95,45.21,44.17,45.21,1084275
"2016-03-24",45.64,45.64,44.14,44.66,1184114
"2016-03-31",46.29,46.61,46.16,46.53,639650
"2016-04-07",45.61,45.74,44.73,44.9,794404
"2016-04-14",44.58,44.9,44.26,44.52,641036
"2016-04-21",45.02,45.17,44.7,44.79,694748
"2016-04-28",43.98,44.23,43.29,43.56,1661827
"2016-05-05",42.9,43.36,42.72,43.03,648306
"2016-05-12",43.9,44.46,43.68,44.39,1190979
"2016-05-19",44.89,45.14,44.64,45.03,706498
"2016-05-26",45.6,48.77,45.4,48.19,3584783
"2016-06-02",48.92,49.3,48.78,49.3,856105
"2016-06-09",49.85,50.4,49.36,50.32,1116551
"2016-06-16",47.89,48,47.18,47.68,1429219
"2016-06-23",48.07,48.48,47.83,48.46,752363
"2016-06-30",47.66,47.99,47.3,47.89,1315602
"2016-07-07",49.14,49.46,48.87,49.09,1031465
"2016-07-14",49.57,49.86,49.41,49.47,859723
"2016-07-21",49.46,49.77,49.17,49.33,693197
"2016-07-28",48.81,49.25,48.58,48.92,290978
"2016-08-04",48.88,48.98,46.83,47.36,1847860
"2016-08-11",46.33,46.73,46,46.41,596139
"2016-08-18",45,45.8,45,45.54,1118420
"2016-08-25",44.98,46.21,44.55,45.99,2438297
"2016-09-01",46.14,46.19,45.89,46.03,750089
"2016-09-08",47,47.2,46.64,46.66,924126
"2016-09-15",45.37,46.13,45.31,46.03,663191
