"","SRCL.Open","SRCL.High","SRCL.Low","SRCL.Close","SRCL.Volume"
"2015-07-09",135.07,135.25,133.46,133.85,407878
"2015-07-16",139.56,140.71,137.95,138.92,1294498
"2015-07-23",133.12,134.08,132.5,132.63,783889
"2015-07-30",139.44,140.68,138.56,140.41,895731
"2015-08-06",143.3,143.3,141.02,141.86,349747
"2015-08-13",144.52,145.88,144.07,144.97,368644
"2015-08-20",147.51,147.77,146.62,146.62,793836
"2015-08-27",140.15,141.91,139.27,141.84,616183
"2015-09-03",141.42,143.28,141.33,142.1,470153
"2015-09-10",135.41,139.85,135.21,138.51,3311502
"2015-09-17",137.71,140,136.88,138.18,1016029
"2015-09-24",138.05,139.21,137.65,138.89,507858
"2015-10-01",140.08,141.39,138.77,140.48,926743
"2015-10-08",144.67,146.98,144.06,146.83,748034
"2015-10-15",148.16,148.88,146.93,148.52,552771
"2015-10-22",149.23,149.95,148.68,149.04,873868
"2015-10-29",121.44,123.57,120.54,122.45,913119
"2015-11-05",123.92,125.48,123.92,124.09,918057
"2015-11-12",123.15,123.9,122.78,122.99,639602
"2015-11-19",122.5,122.82,120.52,120.82,1077551
"2015-12-03",118.07,118.65,113.26,113.64,1675889
"2015-12-10",116.47,118,115.75,117.58,1259805
"2015-12-17",119.16,119.85,118.49,118.66,791721
"2015-12-24",121.62,121.62,120.38,120.99,159610
"2015-12-31",121.78,122.49,120.58,120.6,333943
"2016-01-07",118.22,120.19,118.01,119.51,863213
"2016-01-14",117,117,114.55,116.41,823761
"2016-01-21",115.78,116.44,114.04,114.99,508047
"2016-01-28",118.01,118.57,116.52,116.93,727873
"2016-02-04",117.42,118.48,115.79,115.94,1860332
"2016-02-11",106.16,107.98,105.38,106.05,877817
"2016-02-18",110.83,113,110.5,111.54,840221
"2016-02-25",113.61,115.19,112.18,114.52,738860
"2016-03-03",114.61,115.65,114.3,115.55,716618
"2016-03-10",112.54,114.47,112.4,113.52,1431569
"2016-03-17",118.76,121.24,118.34,120.69,1233091
"2016-03-24",123.57,124.41,123.04,124.11,760786
"2016-03-31",125.54,126.3,125.16,126.19,1052360
"2016-04-07",126.36,127.29,125.75,127.24,741125
"2016-04-14",126.18,126.97,125.18,125.37,581382
"2016-04-21",125.27,125.98,123.61,123.71,426837
"2016-04-28",121.58,124.32,121.47,121.74,1251050
"2016-05-05",97.71,98.24,94.8,95.1,1838998
"2016-05-12",95.17,95.54,93.12,93.27,1832047
"2016-05-19",97.99,98.71,96.63,97.3,1227462
"2016-05-26",95.88,98.92,95.88,98.34,981764
"2016-06-02",98.16,98.99,98.16,98.73,834385
"2016-06-09",101.65,101.96,100.53,100.86,835403
"2016-06-16",100.78,102.97,100.62,102.89,1532106
"2016-06-23",102.52,103.43,102.09,103.38,481444
"2016-06-30",102.45,104.12,101.47,104.12,740938
"2016-07-07",102.79,103.63,101.71,102.06,484251
"2016-07-14",105.82,106.32,105.53,106.19,474623
"2016-07-21",106.05,106.42,105.86,106.27,507688
"2016-07-28",106.45,106.82,105.36,105.93,1103153
"2016-08-04",88.15,88.54,87.24,88.19,1372363
"2016-08-11",88.68,88.68,86.76,86.96,1160878
"2016-08-18",85.48,85.85,84.97,84.99,1074066
"2016-08-25",84.63,85.32,84.15,84.71,1049562
"2016-09-01",86.03,86.03,84.6,85.36,1119749
"2016-09-08",82.85,83.18,82.48,82.64,724029
"2016-09-15",81.19,81.96,81.02,81.76,660732
