"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume"
"2015-09-10",31.68,32.24,31.37,32.09,2324248
"2015-09-17",30.81,31.33,30.67,30.77,1058886
"2015-09-24",30.7,31.11,30.54,30.83,990110
"2015-10-01",31.31,31.58,31.12,31.38,857051
"2015-10-08",32.12,32.59,31.78,32.36,763636
"2015-10-15",31.19,32.13,30.51,31.32,9633573
"2015-10-22",32.7,32.81,31.29,31.83,6705932
"2015-10-29",31.18,31.4,30.68,30.92,8155814
"2015-11-05",32,32.71,31.64,32.61,10719284
"2015-11-12",30.85,31.74,30.65,30.79,41370431
"2015-11-19",31.61,32.03,31.02,31.65,29436039
"2015-12-03",31.89,32.05,30.89,31.09,20610851
"2015-12-10",30.72,31.31,30.66,31.05,9437120
"2015-12-17",30.64,30.75,30,30.01,8002809
"2015-12-24",30.48,30.72,30.31,30.6,1499019
"2015-12-31",30.21,30.63,30.1,30.41,3804880
"2016-01-07",29.47,29.83,29,29.12,11194130
"2016-01-14",27.6,28.28,26.28,28.18,20003464
"2016-01-21",27.62,28.25,27.3,27.73,9062959
"2016-01-28",28.5,28.85,27.59,27.99,12522146
"2016-02-04",26.26,26.56,26,26.31,16837625
"2016-02-11",24.29,24.85,23.74,24.5,11996755
"2016-02-18",26.23,26.73,26.04,26.62,8378475
"2016-02-25",27.7,27.89,27.4,27.78,6595878
"2016-03-03",28.26,28.67,28.02,28.56,8990302
"2016-03-10",27.8,28.22,27.3,27.81,6062082
"2016-03-17",27.62,28.25,27.21,28.1,8932131
"2016-03-24",28.2,28.55,28.07,28.45,4163828
"2016-03-31",28.38,28.76,28.08,28.66,5302475
"2016-04-07",28.42,28.51,27.8,27.97,6399748
"2016-04-14",28.8,29.26,28.8,29.08,4535409
"2016-04-21",30.58,30.74,30.28,30.42,6625466
"2016-04-28",30.62,31.23,30.5,30.97,5919317
"2016-05-05",30.28,30.43,29.79,29.83,5835767
"2016-05-12",30.21,30.23,29.32,29.42,8601336
"2016-05-19",29.86,30.25,29.58,29.94,6115698
"2016-05-26",30.64,30.98,30.4,30.89,5679734
"2016-06-02",31.25,31.29,30.88,31.28,6289457
"2016-06-09",31.72,31.72,31.2,31.41,5764617
"2016-06-16",26.24,26.28,25.6,26,21833217
"2016-06-23",25.78,26.04,25.5,26,10441151
"2016-06-30",24.98,25.28,24.45,25.28,10654647
"2016-07-07",25.35,26.08,25.31,26.02,14372028
"2016-07-14",28.59,28.66,28.09,28.3,5896333
"2016-07-21",28.06,28.47,27.57,28.26,7650591
"2016-07-28",28.05,28.19,27.88,27.91,7416664
"2016-08-04",27.9,28.08,27.75,27.92,4274613
"2016-08-11",27.7,27.87,27.53,27.61,5082539
"2016-08-18",27.39,27.4,27.16,27.29,5091608
"2016-08-25",27.1,27.21,26.91,27.01,3224371
"2016-09-01",27.83,28.01,27.4,27.76,5099241
"2016-09-08",27.6,27.69,27.28,27.34,9316464
"2016-09-15",26.76,27.17,26.62,27.05,5081053
